matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attLgCentre,attOneOnOne,attOpenplay,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2444579,11,2024-11-09 15:00:00,20,Southampton,Away,327.0,9.0,2.0,4.0,2.0,1.0,,283.0,4.0,,6.0,6.0,7.0,17.0,606.0,,,19.0,5.0,9.0,4.0,1.0,2.0,1.0,1.0,,1.0,1.0,,6.0,,,,,,7.0,4.0,4.0,5.0,4.0,102.0,45.0,1.0,1.0,,,6.0,3.0,12.0,,1.0,9.0,5.0,9.0,,8.0,1.0,43.0,47.0,,6.0,1.0,,2.0,,,,,,63.0,12.0,14.0,,5.0,3.0,1.0,161.0,,,,,,,4.0,,,,1.0,,5.0,5.0,,6.0,196.0,54.0,42.0,1.0,,3.0,2.0,,652.0,3.0,1.0,83.0,75.0,38.0,,,,,,116.0,116.0,2.0,12.0,25.0,71.1,,,,,20.0,0.0,214.0,1.0,1.0,2.0,,1.0,6.0,,,5.0,122.0,586.0,6.0,5.0,350.0,17.0,6.0,15.0,8.0,25.0,17.0,,1.0,150.0,3.0,348.0,,,11.0,7.0,29.0,,673.0,1.0,0.0,9.0,16.0,3.0,20.0,4.0,841.0,19.0,12.0,9.0,9.0,7.0,0.0
2444589,12,2024-11-24 14:00:00,20,Southampton,Home,205.0,14.0,1.0,3.0,2.0,3.0,1.0,101.0,8.0,,10.0,1.0,11.0,9.0,303.0,,,11.0,3.0,4.0,3.0,1.0,1.0,1.0,,,,,,3.0,1.0,,,,2.0,8.0,18.0,9.0,5.0,2.0,70.0,45.0,1.0,1.0,2.0,1.0,8.0,,10.0,,,3.0,3.0,2.0,,3.0,6.0,39.0,37.0,1.0,32.0,17.0,2.0,3.0,,,,,,27.0,11.0,9.0,,2.0,1.0,,115.0,1.0,,1.0,1.0,,1.0,8.0,1.0,2.0,1.0,17.0,,5.0,5.0,3.0,10.0,94.0,31.0,18.0,10.0,2.0,2.0,3.0,5.0,344.0,9.0,,46.0,32.0,12.0,1.0,1.0,1.0,,1.0,95.0,95.0,1.0,25.0,6.0,37.8,,3.0,,,13.0,0.0,86.0,5.0,3.0,8.0,1.0,1.0,2.0,,,4.0,39.0,282.0,8.0,5.0,241.0,26.0,32.0,22.0,2.0,8.0,6.0,,2.0,54.0,5.0,132.0,3.0,,14.0,12.0,29.0,,365.0,1.0,0.0,7.0,15.0,1.0,13.0,3.0,552.0,17.0,10.0,9.0,3.0,8.0,0.0
2444591,13,2024-11-29 20:00:00,20,Southampton,Away,265.0,15.0,2.0,4.0,2.0,1.0,,107.0,13.0,,7.0,3.0,9.0,23.0,368.0,1.0,2.0,7.0,10.0,9.0,7.0,,1.0,1.0,,,,,,8.0,,,,,1.0,8.0,15.0,7.0,8.0,2.0,58.0,39.0,1.0,1.0,,2.0,7.0,6.0,9.0,,1.0,6.0,13.0,2.0,,8.0,1.0,49.0,57.0,2.0,30.0,14.0,,2.0,,,,,,41.0,16.0,19.0,,,2.0,,125.0,,,,,,,14.0,1.0,,,14.0,1.0,4.0,4.0,,7.0,119.0,44.0,31.0,7.0,1.0,2.0,5.0,2.0,383.0,6.0,,36.0,38.0,28.0,,,,,,99.0,99.0,2.0,14.0,14.0,47.7,,,1.0,,15.0,0.0,119.0,2.0,2.0,4.0,,1.0,2.0,,,4.0,50.0,333.0,7.0,7.0,285.0,24.0,30.0,18.0,6.0,23.0,17.0,,1.0,72.0,1.0,159.0,,,10.0,10.0,40.0,1.0,421.0,2.0,0.0,10.0,17.0,3.0,7.0,4.0,611.0,21.0,12.0,12.0,6.0,9.0,0.0
2444609,14,2024-12-04 19:30:00,20,Southampton,Home,268.0,8.0,1.0,2.0,1.0,,,118.0,7.0,2.0,4.0,7.0,8.0,18.0,384.0,2.0,,12.0,6.0,7.0,3.0,1.0,1.0,,,,,,,5.0,,,,,,5.0,22.0,4.0,6.0,,97.0,36.0,3.0,3.0,1.0,,1.0,2.0,4.0,1.0,1.0,5.0,11.0,3.0,,3.0,3.0,31.0,46.0,,23.0,7.0,1.0,1.0,,,,,,27.0,7.0,13.0,,,,,122.0,1.0,,1.0,1.0,,,8.0,1.0,,1.0,7.0,,6.0,6.0,1.0,4.0,108.0,39.0,21.0,7.0,1.0,,5.0,4.0,399.0,6.0,,49.0,42.0,22.0,,,,,,89.0,89.0,5.0,17.0,6.0,45.1,,,,,14.0,0.0,105.0,8.0,,6.0,,,,,,5.0,61.0,355.0,1.0,5.0,287.0,13.0,23.0,26.0,2.0,16.0,14.0,,,75.0,1.0,161.0,,2.0,22.0,8.0,38.0,3.0,432.0,3.0,1.0,6.0,12.0,,12.0,1.0,588.0,20.0,9.0,14.0,5.0,10.0,0.0
2444610,15,2024-12-07 15:00:00,20,Southampton,Away,221.0,10.0,,2.0,2.0,,1.0,219.0,7.0,3.0,3.0,,13.0,23.0,438.0,,1.0,13.0,9.0,8.0,3.0,,,1.0,,,,,,4.0,,,,,,9.0,12.0,6.0,4.0,,91.0,49.0,,,,2.0,7.0,4.0,5.0,1.0,,1.0,7.0,4.0,,13.0,,56.0,45.0,2.0,17.0,5.0,1.0,1.0,,,,,,35.0,15.0,17.0,,1.0,1.0,,123.0,,,,,,,8.0,,1.0,,5.0,,12.0,12.0,2.0,3.0,131.0,45.0,32.0,14.0,,,3.0,,462.0,9.0,2.0,56.0,79.0,18.0,,,,,,105.0,105.0,9.0,19.0,16.0,52.8,,,,2.0,11.0,0.0,145.0,4.0,,3.0,1.0,1.0,,1.0,,4.0,103.0,412.0,7.0,3.0,237.0,16.0,17.0,18.0,1.0,13.0,12.0,,1.0,125.0,,266.0,2.0,3.0,10.0,13.0,42.0,4.0,490.0,,0.0,4.0,15.0,3.0,14.0,3.0,674.0,23.0,8.0,4.0,1.0,5.0,0.0
2444628,16,2024-12-15 19:00:00,20,Southampton,Home,249.0,10.0,2.0,5.0,3.0,,,129.0,4.0,,2.0,4.0,6.0,14.0,373.0,,,12.0,4.0,9.0,6.0,,1.0,,,,,,,8.0,,,,,,5.0,15.0,3.0,5.0,4.0,77.0,43.0,3.0,3.0,,,5.0,2.0,13.0,,,2.0,5.0,3.0,,11.0,1.0,39.0,41.0,,15.0,11.0,1.0,,,,,,,36.0,8.0,15.0,,2.0,3.0,,120.0,,,,,,,6.0,,,,11.0,,11.0,11.0,1.0,2.0,106.0,46.0,29.0,5.0,,4.0,2.0,3.0,405.0,4.0,1.0,41.0,50.0,19.0,,,,,,94.0,94.0,5.0,18.0,16.0,41.6,,,,,11.0,0.0,125.0,3.0,1.0,4.0,1.0,,4.0,,,3.0,52.0,353.0,5.0,6.0,266.0,28.0,15.0,5.0,2.0,13.0,11.0,,,82.0,2.0,175.0,,,13.0,7.0,36.0,2.0,428.0,,0.0,9.0,15.0,2.0,13.0,1.0,575.0,16.0,13.0,2.0,2.0,10.0,0.0
2444634,17,2024-12-22 14:00:00,20,Southampton,Away,230.0,8.0,2.0,4.0,2.0,2.0,1.0,110.0,3.0,,2.0,2.0,9.0,16.0,336.0,,,10.0,15.0,15.0,1.0,1.0,1.0,1.0,,,1.0,,,2.0,,,,,1.0,7.0,7.0,8.0,3.0,2.0,82.0,46.0,,,,2.0,5.0,3.0,5.0,,,5.0,3.0,3.0,,4.0,2.0,45.0,43.0,2.0,38.0,14.0,,,,,,,,38.0,15.0,8.0,,3.0,2.0,1.0,126.0,,,,,,,11.0,,1.0,,14.0,,11.0,11.0,2.0,2.0,104.0,55.0,23.0,6.0,,1.0,1.0,1.0,399.0,4.0,,50.0,39.0,20.0,,,,,,118.0,118.0,1.0,20.0,19.0,43.2,,,,1.0,15.0,0.0,107.0,3.0,2.0,5.0,,1.0,1.0,,,4.0,35.0,330.0,5.0,2.0,260.0,14.0,38.0,7.0,5.0,13.0,8.0,,1.0,70.0,6.0,172.0,1.0,,27.0,10.0,59.0,2.0,419.0,,0.0,5.0,19.0,,14.0,3.0,591.0,14.0,10.0,1.0,5.0,11.0,0.0
2444648,18,2024-12-26 15:00:00,20,Southampton,Home,192.0,22.0,1.0,9.0,8.0,1.0,,216.0,5.0,,4.0,9.0,9.0,33.0,399.0,1.0,,17.0,21.0,22.0,15.0,2.0,1.0,,,,,,,13.0,,,,,,7.0,11.0,5.0,16.0,2.0,98.0,51.0,4.0,4.0,,1.0,13.0,4.0,8.0,,,2.0,11.0,8.0,,9.0,,62.0,53.0,1.0,13.0,7.0,,,,,,,,63.0,15.0,8.0,,2.0,2.0,,157.0,,,,,,,9.0,,1.0,,7.0,,10.0,10.0,1.0,4.0,102.0,75.0,48.0,2.0,,8.0,9.0,5.0,457.0,5.0,,64.0,69.0,34.0,,,,,,120.0,120.0,8.0,23.0,14.0,54.2,,,,,23.0,0.0,118.0,,1.0,1.0,,,9.0,1.0,,6.0,106.0,387.0,13.0,17.0,209.0,33.0,13.0,18.0,2.0,23.0,21.0,,,141.0,5.0,289.0,2.0,,21.0,9.0,63.0,,475.0,3.0,0.0,18.0,15.0,,17.0,1.0,655.0,31.0,11.0,8.0,2.0,8.0,0.0
2444652,19,2024-12-29 15:00:00,20,Southampton,Away,194.0,21.0,1.0,4.0,3.0,4.0,1.0,168.0,2.0,,6.0,13.0,13.0,30.0,358.0,,,7.0,17.0,24.0,5.0,,1.0,,,,,,,5.0,,,,,1.0,5.0,12.0,7.0,7.0,,76.0,62.0,1.0,,1.0,1.0,4.0,1.0,4.0,1.0,,7.0,7.0,5.0,,11.0,2.0,58.0,62.0,1.0,33.0,12.0,1.0,3.0,0.407361,0.9414,,0.9988,2.3522,59.0,19.0,18.0,1.0,2.0,3.0,,163.0,1.0,,,1.0,,,4.0,1.0,,1.0,12.0,,13.0,13.0,,6.0,110.0,74.0,41.0,8.0,,3.0,3.0,3.0,418.0,7.0,1.0,61.0,57.0,24.0,,,,,,146.0,146.0,,28.0,24.0,53.6,,3.0,,1.0,15.0,0.0,96.0,5.0,3.0,8.0,,,3.0,,,5.0,82.0,337.0,4.0,6.0,219.0,34.0,33.0,12.0,7.0,22.0,15.0,,,125.0,12.0,248.0,1.0,,33.0,13.0,62.0,1.0,445.0,,0.0,7.0,16.0,,9.0,3.0,652.0,16.0,18.0,4.0,7.0,8.0,0.0
2444667,20,2025-01-04 15:00:00,20,Southampton,Home,184.0,10.0,,1.0,1.0,3.0,,215.0,3.0,,8.0,8.0,3.0,19.0,398.0,,,5.0,15.0,18.0,7.0,,,,,,,,,8.0,,,,,,5.0,18.0,2.0,3.0,5.0,80.0,53.0,,,,,8.0,2.0,5.0,1.0,,2.0,5.0,6.0,,9.0,3.0,49.0,49.0,,22.0,9.0,3.0,2.0,,,,,,46.0,10.0,4.0,,,,,145.0,,,,,,,6.0,,2.0,1.0,9.0,,4.0,4.0,,8.0,115.0,57.0,34.0,2.0,,4.0,3.0,1.0,447.0,3.0,,67.0,58.0,21.0,1.0,1.0,1.0,,,114.0,114.0,5.0,19.0,16.0,50.6,,,,,12.0,0.0,125.0,5.0,1.0,5.0,2.0,,5.0,,,5.0,122.0,384.0,8.0,7.0,204.0,22.0,22.0,23.0,2.0,13.0,11.0,,,145.0,8.0,274.0,2.0,,24.0,3.0,46.0,1.0,465.0,,0.0,8.0,15.0,4.0,7.0,2.0,621.0,19.0,12.0,12.0,2.0,8.0,0.0
