matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
803267,11,2015-10-31 15:00:00,31,Crystal Palace,Home,166.0,17.0,2.0,5.0,3.0,3.0,1.0,110.0,6.0,1.0,6.0,4.0,2.0,26.0,271.0,,,18.0,15.0,15.0,3.0,2.0,,,,,,,,,,,5.0,,,,,,1.0,10.0,2.0,3.0,53.0,62.0,1.0,1.0,,3.0,10.0,2.0,5.0,,,7.0,10.0,1.0,,6.0,1.0,54.0,59.0,3.0,12.0,8.0,,,64.0,12.0,14.0,,,6.0,4.0,,145.0,,,,,,7.0,,1.0,,8.0,1.0,18.0,18.0,5.0,6.0,80.0,74.0,31.0,3.0,,2.0,3.0,5.0,331.0,2.0,1.0,,39.0,62.0,28.0,,,,,150.0,149.0,5.0,24.0,23.0,44.6,,,10.0,0.0,77.0,,1.0,1.0,,,,3.0,,1.0,61.0,256.0,5.0,5.0,178.0,41.0,13.0,27.0,6.0,21.0,15.0,,109.0,13.0,198.0,1.0,1.0,16.0,3.0,64.0,,355.0,,0.0,10.0,20.0,,28.0,3.0,549.0,15.0,10.0,7.0,14.0,0.0
803273,12,2015-11-08 16:00:00,31,Crystal Palace,Away,99.0,11.0,2.0,4.0,2.0,1.0,,96.0,4.0,,,10.0,9.0,34.0,191.0,,,17.0,18.0,10.0,4.0,1.0,1.0,,,,,,1.0,,,,6.0,,,,,,1.0,6.0,16.0,6.0,45.0,61.0,1.0,1.0,1.0,3.0,18.0,1.0,17.0,,,6.0,9.0,2.0,1.0,16.0,1.0,69.0,57.0,3.0,24.0,15.0,,,52.0,6.0,7.0,1.0,,1.0,1.0,,137.0,,,,,,13.0,1.0,,,21.0,,17.0,17.0,2.0,,55.0,70.0,25.0,14.0,,2.0,3.0,4.0,261.0,8.0,4.0,,51.0,40.0,21.0,,,,,181.0,165.0,7.0,21.0,29.0,36.2,,,18.0,0.0,50.0,2.0,1.0,3.0,,,1.0,4.0,,3.0,49.0,180.0,8.0,5.0,124.0,25.0,40.0,27.0,6.0,18.0,12.0,1.0,93.0,3.0,181.0,,,39.0,10.0,84.0,2.0,287.0,,0.0,9.0,25.0,1.0,23.0,2.0,519.0,15.0,15.0,6.0,20.0,0.0
803290,13,2015-11-23 20:00:00,31,Crystal Palace,Home,152.0,20.0,2.0,8.0,6.0,2.0,,227.0,5.0,1.0,5.0,6.0,7.0,43.0,371.0,,,23.0,20.0,18.0,12.0,2.0,,,1.0,,1.0,,,,,,15.0,,,,,,,5.0,9.0,3.0,60.0,63.0,,,,2.0,16.0,4.0,12.0,1.0,,11.0,20.0,13.0,,15.0,1.0,74.0,54.0,2.0,18.0,15.0,1.0,,78.0,18.0,11.0,,,6.0,4.0,1.0,180.0,,,,,,6.0,,2.0,1.0,15.0,,13.0,13.0,,5.0,110.0,71.0,50.0,2.0,,5.0,9.0,7.0,433.0,3.0,2.0,,78.0,77.0,49.0,,,,,169.0,165.0,4.0,24.0,28.0,66.6,,,16.0,0.0,102.0,2.0,1.0,2.0,,,,8.0,,3.0,119.0,357.0,9.0,14.0,167.0,35.0,22.0,21.0,11.0,48.0,37.0,,169.0,10.0,333.0,2.0,2.0,22.0,8.0,71.0,1.0,452.0,,0.0,19.0,15.0,1.0,24.0,1.0,694.0,14.0,10.0,11.0,13.0,0.0
803296,14,2015-11-28 15:00:00,31,Crystal Palace,Home,189.0,17.0,2.0,9.0,7.0,4.0,,195.0,2.0,,5.0,18.0,19.0,41.0,375.0,1.0,,20.0,13.0,17.0,11.0,1.0,,,,,,,,,,,16.0,,,,,,1.0,2.0,5.0,2.0,90.0,70.0,1.0,,1.0,2.0,13.0,5.0,9.0,,,7.0,19.0,4.0,,8.0,,49.0,61.0,2.0,10.0,8.0,,,71.0,7.0,13.0,,,4.0,2.0,,156.0,3.0,,3.0,2.0,1.0,4.0,4.0,1.0,1.0,12.0,,15.0,15.0,3.0,5.0,107.0,75.0,43.0,5.0,5.0,5.0,10.0,8.0,430.0,4.0,,,64.0,58.0,38.0,,,,,142.0,135.0,7.0,27.0,31.0,53.7,,,13.0,0.0,96.0,,1.0,1.0,,,,6.0,1.0,3.0,104.0,362.0,10.0,15.0,202.0,22.0,17.0,28.0,6.0,31.0,25.0,,147.0,6.0,278.0,1.0,,47.0,21.0,76.0,3.0,449.0,2.0,0.0,19.0,18.0,,25.0,1.0,670.0,9.0,14.0,7.0,16.0,0.0
803304,15,2015-12-07 20:00:00,31,Crystal Palace,Away,119.0,23.0,4.0,6.0,2.0,6.0,,138.0,3.0,,1.0,7.0,11.0,32.0,251.0,,,13.0,5.0,14.0,7.0,3.0,,,,,,,,,,,8.0,,,,,,,5.0,8.0,11.0,51.0,75.0,1.0,1.0,,5.0,18.0,1.0,14.0,,,6.0,10.0,5.0,1.0,10.0,2.0,53.0,56.0,5.0,32.0,14.0,,,67.0,11.0,4.0,,,,1.0,,147.0,1.0,1.0,1.0,,1.0,9.0,,,,18.0,,25.0,25.0,7.0,1.0,70.0,72.0,39.0,13.0,,7.0,4.0,5.0,311.0,7.0,1.0,,44.0,44.0,33.0,,,,,154.0,146.0,3.0,41.0,22.0,38.0,,,18.0,0.0,63.0,1.0,2.0,3.0,,1.0,,8.0,,2.0,75.0,242.0,12.0,11.0,141.0,44.0,40.0,27.0,5.0,21.0,16.0,,116.0,11.0,211.0,,,21.0,11.0,73.0,3.0,331.0,,0.0,14.0,25.0,,18.0,2.0,573.0,18.0,13.0,6.0,16.0,0.0
803317,16,2015-12-12 15:00:00,31,Crystal Palace,Home,75.0,8.0,4.0,5.0,1.0,5.0,,120.0,3.0,,4.0,10.0,4.0,26.0,190.0,,,22.0,18.0,18.0,7.0,1.0,,,,,,,,,,,9.0,,,,,,,6.0,9.0,6.0,42.0,57.0,1.0,,1.0,3.0,12.0,4.0,7.0,,,8.0,9.0,7.0,,9.0,2.0,50.0,59.0,3.0,36.0,26.0,,,64.0,11.0,12.0,,1.0,2.0,2.0,,146.0,1.0,,1.0,1.0,,10.0,1.0,2.0,,27.0,,10.0,10.0,2.0,4.0,57.0,89.0,31.0,5.0,1.0,3.0,6.0,5.0,273.0,4.0,1.0,,58.0,59.0,34.0,,,,,170.0,166.0,3.0,23.0,20.0,43.8,,,12.0,0.0,51.0,2.0,1.0,3.0,,,,3.0,1.0,2.0,55.0,182.0,6.0,9.0,94.0,17.0,40.0,19.0,8.0,26.0,18.0,,112.0,13.0,228.0,2.0,,53.0,4.0,88.0,3.0,296.0,1.0,0.0,12.0,17.0,,29.0,0.0,518.0,13.0,14.0,8.0,14.0,0.0
803324,17,2015-12-19 15:00:00,31,Crystal Palace,Away,131.0,6.0,,4.0,4.0,4.0,,114.0,5.0,1.0,3.0,8.0,6.0,25.0,241.0,,,21.0,22.0,12.0,7.0,,1.0,,,,,,,,,,7.0,1.0,,,,,,7.0,11.0,15.0,55.0,57.0,2.0,2.0,1.0,4.0,6.0,2.0,9.0,,1.0,3.0,7.0,4.0,,12.0,4.0,59.0,44.0,4.0,20.0,8.0,,1.0,48.0,12.0,6.0,1.0,,1.0,,,154.0,,,,,,17.0,,1.0,1.0,10.0,,12.0,12.0,1.0,3.0,67.0,83.0,28.0,7.0,,6.0,1.0,3.0,315.0,11.0,2.0,,31.0,66.0,20.0,1.0,1.0,1.0,1.0,158.0,152.0,7.0,24.0,17.0,41.6,,1.0,6.0,0.0,66.0,2.0,2.0,4.0,,2.0,1.0,7.0,,3.0,42.0,232.0,3.0,7.0,150.0,13.0,26.0,15.0,3.0,14.0,11.0,1.0,81.0,10.0,206.0,1.0,1.0,48.0,8.0,86.0,1.0,342.0,,0.0,12.0,16.0,,26.0,0.0,533.0,16.0,10.0,3.0,13.0,0.0
803333,18,2015-12-26 15:00:00,31,Crystal Palace,Away,132.0,14.0,5.0,10.0,5.0,3.0,,141.0,4.0,,2.0,16.0,12.0,40.0,263.0,,,18.0,18.0,18.0,4.0,2.0,,,,,,,,,,,4.0,,,,,,2.0,6.0,5.0,5.0,71.0,62.0,,,,3.0,16.0,3.0,14.0,,,9.0,11.0,6.0,,18.0,2.0,70.0,56.0,3.0,17.0,12.0,,1.0,79.0,13.0,10.0,,1.0,2.0,1.0,,163.0,,,,,,10.0,,1.0,,15.0,,24.0,24.0,4.0,2.0,75.0,85.0,42.0,8.0,,4.0,2.0,1.0,344.0,2.0,5.0,,63.0,58.0,37.0,,,,,179.0,168.0,3.0,26.0,25.0,44.8,,,16.0,0.0,60.0,1.0,3.0,4.0,,1.0,,4.0,,3.0,68.0,253.0,10.0,6.0,148.0,29.0,28.0,18.0,9.0,27.0,18.0,,135.0,8.0,248.0,1.0,,46.0,12.0,92.0,1.0,369.0,,0.0,8.0,18.0,,22.0,0.0,592.0,8.0,10.0,9.0,13.0,0.0
803350,19,2015-12-28 15:00:00,31,Crystal Palace,Home,131.0,16.0,3.0,10.0,7.0,3.0,3.0,182.0,2.0,1.0,3.0,5.0,15.0,29.0,303.0,,,29.0,14.0,18.0,4.0,3.0,,,,,1.0,,,,,,6.0,,,,,,2.0,7.0,1.0,4.0,65.0,58.0,,1.0,,2.0,16.0,2.0,3.0,,,7.0,13.0,14.0,,7.0,1.0,39.0,53.0,2.0,8.0,5.0,,,70.0,11.0,15.0,,,7.0,6.0,1.0,170.0,,,,,,5.0,,,,6.0,,20.0,20.0,2.0,3.0,86.0,72.0,43.0,4.0,,6.0,1.0,2.0,390.0,2.0,4.0,,94.0,58.0,48.0,,,,,172.0,166.0,3.0,20.0,32.0,53.6,,,16.0,0.0,86.0,,3.0,3.0,,,,6.0,,3.0,79.0,295.0,7.0,7.0,151.0,31.0,14.0,12.0,6.0,39.0,33.0,,138.0,8.0,295.0,,1.0,26.0,18.0,67.0,4.0,407.0,2.0,0.0,10.0,12.0,,32.0,3.0,611.0,11.0,8.0,7.0,9.0,0.0
803354,20,2016-01-03 13:30:00,31,Crystal Palace,Home,142.0,7.0,2.0,7.0,5.0,3.0,3.0,139.0,5.0,1.0,3.0,4.0,8.0,19.0,274.0,,,22.0,13.0,13.0,5.0,2.0,,,,,,,,,,,6.0,,,,,,1.0,6.0,7.0,3.0,49.0,62.0,1.0,1.0,,,15.0,2.0,10.0,,,5.0,12.0,8.0,,9.0,1.0,58.0,51.0,,9.0,3.0,1.0,,71.0,12.0,14.0,,,1.0,3.0,,162.0,,,,,,7.0,,1.0,,6.0,,23.0,23.0,4.0,3.0,78.0,93.0,46.0,7.0,,2.0,5.0,4.0,349.0,4.0,4.0,,47.0,48.0,34.0,,,,,168.0,158.0,5.0,22.0,31.0,39.8,,,15.0,0.0,84.0,1.0,,1.0,,,,2.0,,3.0,66.0,257.0,6.0,7.0,160.0,25.0,19.0,22.0,5.0,28.0,23.0,,117.0,9.0,241.0,1.0,1.0,24.0,8.0,62.0,,373.0,,0.0,8.0,17.0,,25.0,3.0,571.0,8.0,8.0,5.0,10.0,0.0
