matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
284105,11.0,2009-10-31 15:00:00,14,Liverpool,Away,269.0,16.0,1.0,4.0,4.0,1.0,,274.0,3.0,,8.0,4.0,28.0,80.0,539.0,,,17.0,15.0,9.0,5.0,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,8.0,5.0,,,,54.0,,4.0,5.0,,2.0,10.0,4.0,,11.0,1.0,52.0,41.0,,10.0,5.0,,,,,,,,99.0,13.0,10.0,1.0,,,,1.0,,,,,,,5.0,,,,1.0,,,,,8.0,1.0,17.0,17.0,,,8.0,90.0,51.0,2.0,,4.0,2.0,1.0,,,,3.0,,58.0,114.0,16.0,,,,,,149.0,138.0,,23.0,22.0,64.2,1.0,1.0,0.0,,,,2.0,1.0,,,,,5.0,,,3.0,139.0,,6.0,282.0,41.0,21.0,14.0,2.0,18.0,17.0,,202.0,5.0,373.0,1.0,,19.0,33.0,109.0,2.0,637.0,1.0,2.0,10.0,16.0,3.0,20.0,0.0,855.0,,,6.0,2.0,13.0,0.0
284114,12.0,2009-11-09 20:00:00,14,Liverpool,Home,260.0,11.0,4.0,14.0,10.0,6.0,,314.0,4.0,,5.0,3.0,33.0,61.0,560.0,1.0,1.0,29.0,16.0,15.0,20.0,3.0,,,,,,,,,,,,1.0,,,1.0,2.0,2.0,3.0,,,,60.0,,10.0,7.0,,11.0,24.0,12.0,,18.0,,58.0,80.0,,11.0,5.0,,,,,,,,85.0,8.0,9.0,1.0,,,,,1.0,,1.0,1.0,,,5.0,,,,,,,,,11.0,1.0,20.0,20.0,,,5.0,79.0,56.0,1.0,1.0,14.0,10.0,7.0,,,,,,66.0,113.0,34.0,,,,,1.0,173.0,161.0,3.0,25.0,26.0,77.0,1.0,1.0,0.0,,,,,,,,1.0,,18.0,1.0,,3.0,163.0,,24.0,273.0,33.0,23.0,30.0,11.0,49.0,38.0,,226.0,13.0,430.0,,,8.0,34.0,78.0,2.0,654.0,3.0,0.0,35.0,35.0,1.0,31.0,1.0,985.0,,,21.0,11.0,32.0,0.0
284125,13.0,2009-11-21 12:45:00,14,Liverpool,Home,207.0,18.0,4.0,7.0,3.0,2.0,,199.0,2.0,,6.0,4.0,29.0,33.0,399.0,1.0,,25.0,7.0,8.0,6.0,5.0,,,,,,,,,,,,,,,,3.0,3.0,6.0,,,,48.0,2.0,9.0,5.0,,7.0,10.0,5.0,1.0,8.0,1.0,38.0,51.0,2.0,15.0,5.0,,1.0,,,,,,95.0,10.0,13.0,,,,,,1.0,1.0,1.0,,1.0,,7.0,,,,1.0,,,,1.0,8.0,,21.0,21.0,1.0,,6.0,83.0,43.0,3.0,1.0,3.0,9.0,4.0,,,,2.0,,72.0,56.0,28.0,,,,,,157.0,150.0,2.0,24.0,12.0,57.4,,2.0,0.0,,,,1.0,1.0,,,1.0,,4.0,1.0,,3.0,99.0,,12.0,227.0,34.0,22.0,17.0,7.0,25.0,18.0,,163.0,11.0,304.0,1.0,,23.0,31.0,62.0,1.0,506.0,1.0,0.0,17.0,22.0,5.0,27.0,2.0,752.0,,,8.0,7.0,19.0,0.0
284133,14.0,2009-11-29 13:30:00,14,Liverpool,Away,164.0,26.0,1.0,3.0,2.0,2.0,,180.0,3.0,1.0,4.0,12.0,19.0,36.0,341.0,1.0,,17.0,27.0,13.0,7.0,1.0,,,,,,,,,,,10.0,,,,,,8.0,8.0,,,,51.0,2.0,3.0,7.0,,4.0,7.0,3.0,,16.0,3.0,68.0,69.0,2.0,29.0,14.0,,,,,,,,95.0,12.0,15.0,,1.0,,,,,,,,,,11.0,,,1.0,1.0,,,,,26.0,,17.0,16.0,,,4.0,107.0,54.0,6.0,1.0,3.0,5.0,5.0,,,,3.0,,60.0,57.0,17.0,,,,,,187.0,169.0,4.0,22.0,16.0,53.5,,2.0,0.0,,,,5.0,1.0,,,,,3.0,1.0,,2.0,89.0,,8.0,191.0,46.0,47.0,11.0,3.0,13.0,10.0,,156.0,16.0,289.0,2.0,1.0,40.0,19.0,71.0,1.0,467.0,1.0,0.0,11.0,36.0,4.0,18.0,0.0,692.0,,,5.0,4.0,24.0,0.0
284142,15.0,2009-12-05 15:00:00,14,Liverpool,Away,177.0,14.0,,4.0,4.0,3.0,,205.0,3.0,,6.0,5.0,12.0,45.0,378.0,,2.0,31.0,18.0,10.0,12.0,,,1.0,,,,,,,,,,,1.0,,,,5.0,5.0,,,,51.0,,9.0,8.0,,8.0,8.0,9.0,,11.0,1.0,56.0,55.0,,13.0,10.0,,,,,,,,78.0,10.0,15.0,,,,,,,,,,,,7.0,,,,,,,,1.0,14.0,1.0,14.0,14.0,1.0,,6.0,78.0,46.0,1.0,,3.0,9.0,2.0,,,,1.0,,62.0,76.0,22.0,,,,,,160.0,149.0,1.0,15.0,22.0,60.2,1.0,,0.0,,,,2.0,,,,,1.0,4.0,1.0,,2.0,110.0,,12.0,200.0,25.0,24.0,17.0,5.0,24.0,19.0,,165.0,7.0,302.0,,,19.0,15.0,73.0,2.0,478.0,2.0,0.0,15.0,23.0,3.0,33.0,0.0,722.0,,,7.0,8.0,16.0,0.0
284155,16.0,2009-12-13 16:00:00,14,Liverpool,Home,130.0,26.0,1.0,4.0,3.0,3.0,1.0,156.0,4.0,,5.0,7.0,8.0,32.0,282.0,1.0,1.0,20.0,14.0,19.0,4.0,2.0,,1.0,,,,,,1.0,,,3.0,,,,,3.0,6.0,4.0,,,,69.0,3.0,3.0,13.0,,3.0,7.0,5.0,,8.0,,65.0,75.0,3.0,17.0,4.0,,,,,,,,101.0,19.0,16.0,,,2.0,3.0,,,,,,,,7.0,,,,,,,,,10.0,,37.0,36.0,2.0,,6.0,116.0,56.0,4.0,1.0,2.0,4.0,3.0,,,,2.0,1.0,49.0,72.0,30.0,,,,,,198.0,191.0,10.0,23.0,28.0,48.1,,1.0,0.0,,,,2.0,1.0,,,2.0,1.0,3.0,,,3.0,76.0,,6.0,154.0,59.0,24.0,24.0,3.0,18.0,15.0,1.0,159.0,25.0,290.0,,,30.0,9.0,74.0,4.0,426.0,2.0,0.0,9.0,27.0,5.0,26.0,3.0,653.0,,,13.0,3.0,20.0,0.0
284169,17.0,2009-12-16 20:00:00,14,Liverpool,Home,132.0,12.0,2.0,5.0,3.0,3.0,,205.0,3.0,,4.0,5.0,15.0,23.0,332.0,2.0,,23.0,16.0,8.0,8.0,1.0,,2.0,,1.0,,,1.0,,,,,,,,,,4.0,7.0,,,,60.0,1.0,2.0,13.0,,13.0,21.0,6.0,,15.0,,67.0,58.0,1.0,7.0,2.0,,,,,,,,78.0,12.0,11.0,2.0,,,,1.0,1.0,,1.0,1.0,,1.0,7.0,,,,1.0,,,,,11.0,,15.0,15.0,,,4.0,97.0,58.0,,,4.0,6.0,8.0,,,,3.0,,53.0,78.0,16.0,,,,,,171.0,159.0,2.0,18.0,31.0,55.1,,,0.0,,,,1.0,2.0,,,1.0,2.0,10.0,,,3.0,107.0,,10.0,152.0,27.0,19.0,20.0,11.0,38.0,27.0,,151.0,11.0,309.0,1.0,,16.0,18.0,40.0,1.0,423.0,2.0,0.0,20.0,30.0,1.0,27.0,1.0,696.0,,,9.0,13.0,26.0,0.0
284176,18.0,2009-12-19 12:45:00,14,Liverpool,Away,164.0,27.0,1.0,5.0,4.0,1.0,,176.0,10.0,,7.0,,18.0,36.0,335.0,,1.0,24.0,11.0,6.0,3.0,1.0,,,,,,,,,,,,,,,,1.0,9.0,6.0,,,,56.0,2.0,2.0,5.0,,9.0,10.0,4.0,,22.0,,63.0,45.0,2.0,14.0,11.0,1.0,1.0,,,,,,84.0,13.0,7.0,,,,,,,,,,,,13.0,,,,2.0,,,,2.0,18.0,,21.0,21.0,,,7.0,100.0,52.0,8.0,,2.0,2.0,1.0,,,,5.0,,82.0,44.0,15.0,,,,,,192.0,183.0,3.0,22.0,22.0,54.4,,1.0,0.0,,,,1.0,,,,3.0,,5.0,,,3.0,84.0,,4.0,189.0,55.0,23.0,24.0,9.0,24.0,15.0,,143.0,7.0,282.0,2.0,,24.0,20.0,66.0,3.0,447.0,,1.0,8.0,22.0,3.0,34.0,3.0,728.0,,,10.0,10.0,17.0,0.0
284185,19.0,2009-12-26 17:30:00,14,Liverpool,Home,190.0,16.0,,3.0,3.0,2.0,,314.0,9.0,,12.0,,20.0,59.0,501.0,1.0,,17.0,7.0,13.0,11.0,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,3.0,2.0,,,,59.0,1.0,5.0,3.0,,7.0,18.0,8.0,,11.0,1.0,41.0,47.0,1.0,6.0,1.0,,,,,,,,85.0,9.0,10.0,,1.0,,,1.0,1.0,,1.0,1.0,,,10.0,,,,1.0,,,,,5.0,,10.0,10.0,,,12.0,70.0,48.0,1.0,2.0,5.0,8.0,8.0,,,,,,79.0,110.0,39.0,,,,,,158.0,150.0,5.0,27.0,14.0,66.6,,,0.0,,,,1.0,,,,4.0,,5.0,,,3.0,189.0,,13.0,212.0,29.0,14.0,17.0,6.0,36.0,30.0,,239.0,5.0,409.0,1.0,,8.0,21.0,71.0,3.0,585.0,1.0,0.0,18.0,18.0,4.0,23.0,0.0,818.0,,,6.0,7.0,12.0,0.0
284190,20.0,2009-12-29 19:45:00,14,Liverpool,Away,154.0,16.0,,2.0,2.0,1.0,,200.0,4.0,,6.0,6.0,17.0,28.0,352.0,,,24.0,13.0,7.0,9.0,,,,,1.0,,,2.0,,,,,,,,,1.0,7.0,2.0,,,,62.0,3.0,7.0,7.0,,10.0,10.0,2.0,,20.0,1.0,61.0,62.0,3.0,14.0,7.0,,1.0,,,,,,87.0,11.0,13.0,1.0,,,,2.0,,,,,,,12.0,,,,1.0,,,,,15.0,,19.0,19.0,1.0,,6.0,79.0,42.0,8.0,,3.0,6.0,4.0,,,,1.0,,38.0,74.0,13.0,,,,,,175.0,160.0,5.0,19.0,27.0,56.6,,,0.0,,,,3.0,1.0,,,1.0,,4.0,,,3.0,98.0,,9.0,169.0,34.0,29.0,20.0,8.0,21.0,13.0,,159.0,7.0,302.0,2.0,,16.0,18.0,46.0,1.0,450.0,,0.0,15.0,32.0,5.0,28.0,1.0,748.0,,,10.0,10.0,20.0,0.0
284205,21.0,2010-01-20 20:00:00,14,Liverpool,Home,75.0,14.0,,5.0,5.0,8.0,,145.0,4.0,,3.0,7.0,12.0,17.0,215.0,,,25.0,36.0,27.0,8.0,,,,,,,,,,,,,1.0,1.0,,,2.0,3.0,7.0,,,,58.0,3.0,1.0,6.0,,2.0,10.0,4.0,,13.0,1.0,73.0,75.0,3.0,16.0,7.0,,1.0,,,,,,91.0,11.0,16.0,,,,,,1.0,,1.0,1.0,,,7.0,,,,,,,,,16.0,1.0,25.0,24.0,,,3.0,97.0,38.0,3.0,2.0,5.0,4.0,5.0,,,,5.0,,45.0,87.0,24.0,,,,,1.0,190.0,174.0,,22.0,24.0,44.8,1.0,1.0,0.0,,,,1.0,2.0,,,2.0,,8.0,,,3.0,73.0,,9.0,97.0,35.0,32.0,12.0,2.0,20.0,18.0,,146.0,21.0,267.0,1.0,,35.0,12.0,62.0,2.0,344.0,,0.0,14.0,26.0,2.0,30.0,2.0,617.0,,,5.0,2.0,17.0,0.0
