matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenMiss,attPenPost,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360574,11,2011-11-05 15:00:00,14,Liverpool,Home,158.0,24.0,4.0,12.0,8.0,5.0,1.0,279.0,8.0,,4.0,7.0,33.0,33.0,425.0,,3.0,32.0,6.0,11.0,10.0,5.0,,,,,2.0,,,,,,16.0,,,,,1.0,,,2.0,4.0,8.0,64.0,53.0,1.0,1.0,,3.0,8.0,8.0,,11.0,16.0,8.0,,11.0,1.0,46.0,40.0,3.0,3.0,2.0,,1.0,84.0,15.0,5.0,,4.0,1.0,2.0,169.0,,,,,,,10.0,,,2.0,4.0,1.0,13.0,12.0,,4.0,137.0,70.0,45.0,4.0,,9.0,6.0,5.0,,3.0,2.0,,80.0,75.0,25.0,,,,,,161.0,156.0,4.0,18.0,25.0,52.3,1.0,,0.0,142.0,1.0,2.0,,2.0,,12.0,1.0,2.0,150.0,,15.0,167.0,36.0,8.0,19.0,11.0,36.0,25.0,,207.0,11.0,381.0,,,12.0,36.0,44.0,2.0,512.0,,0.0,25.0,13.0,3.0,35.0,2.0,727.0,,17.0,11.0,11.0,9.0,0.0
360579,12,2011-11-20 16:00:00,14,Liverpool,Away,175.0,8.0,,2.0,2.0,,,134.0,9.0,1.0,4.0,5.0,11.0,16.0,307.0,,1.0,16.0,10.0,5.0,5.0,,,,2.0,,2.0,,1.0,,,,7.0,,,,,,,,,12.0,7.0,74.0,58.0,2.0,,2.0,2.0,,8.0,,5.0,5.0,2.0,1.0,17.0,1.0,51.0,62.0,2.0,22.0,11.0,,,50.0,12.0,13.0,,4.0,1.0,2.0,175.0,2.0,,1.0,2.0,,,15.0,2.0,,2.0,15.0,,11.0,6.0,1.0,4.0,81.0,75.0,39.0,6.0,1.0,4.0,3.0,3.0,,2.0,,,51.0,45.0,11.0,,,,,,147.0,140.0,1.0,29.0,21.0,42.5,,,0.0,64.0,2.0,,,2.0,,6.0,,3.0,61.0,,7.0,202.0,27.0,29.0,19.0,5.0,13.0,8.0,,99.0,5.0,205.0,,1.0,23.0,12.0,40.0,2.0,394.0,,0.0,9.0,31.0,5.0,19.0,2.0,591.0,,8.0,13.0,5.0,18.0,0.0
360592,13,2011-11-27 16:00:00,14,Liverpool,Home,201.0,17.0,3.0,8.0,5.0,3.0,,214.0,5.0,1.0,3.0,5.0,15.0,41.0,407.0,1.0,1.0,17.0,8.0,13.0,10.0,2.0,,,,,,,,,,,13.0,,,,,,,,1.0,4.0,3.0,72.0,65.0,,1.0,,,2.0,7.0,1.0,8.0,10.0,18.0,,7.0,1.0,46.0,59.0,,12.0,4.0,,,64.0,11.0,13.0,,2.0,1.0,,205.0,,,,,,,9.0,,,,8.0,,20.0,18.0,2.0,3.0,121.0,81.0,52.0,5.0,,7.0,5.0,6.0,,1.0,1.0,,77.0,60.0,28.0,,,,,,171.0,162.0,3.0,27.0,29.0,51.3,,1.0,0.0,104.0,2.0,,,1.0,,9.0,,1.0,104.0,,12.0,231.0,33.0,21.0,22.0,6.0,35.0,29.0,,148.0,6.0,306.0,,1.0,14.0,16.0,53.0,2.0,502.0,1.0,0.0,17.0,24.0,2.0,19.0,1.0,708.0,,11.0,9.0,8.0,20.0,0.0
360602,14,2011-12-05 20:00:00,14,Liverpool,Away,226.0,10.0,2.0,5.0,3.0,5.0,,212.0,6.0,,7.0,7.0,28.0,33.0,433.0,2.0,2.0,13.0,12.0,15.0,15.0,1.0,1.0,,,,2.0,,,,,,16.0,,,,,,,1.0,,7.0,12.0,86.0,77.0,2.0,2.0,,2.0,5.0,9.0,,10.0,11.0,7.0,,11.0,2.0,52.0,49.0,2.0,8.0,5.0,1.0,,66.0,10.0,12.0,,5.0,1.0,2.0,177.0,,,,,,,7.0,,,1.0,8.0,2.0,23.0,20.0,2.0,7.0,133.0,79.0,51.0,2.0,,9.0,7.0,6.0,,5.0,2.0,,57.0,72.0,29.0,,,,,,154.0,147.0,4.0,33.0,29.0,54.6,1.0,1.0,0.0,123.0,3.0,4.0,,1.0,1.0,9.0,,2.0,125.0,,16.0,242.0,29.0,15.0,18.0,9.0,28.0,19.0,1.0,176.0,11.0,305.0,,,23.0,28.0,63.0,3.0,519.0,2.0,1.0,20.0,15.0,5.0,14.0,1.0,717.0,,9.0,7.0,10.0,11.0,0.0
360612,15,2011-12-10 15:00:00,14,Liverpool,Home,229.0,21.0,1.0,4.0,3.0,,,208.0,4.0,,3.0,4.0,23.0,29.0,433.0,3.0,4.0,26.0,12.0,17.0,19.0,1.0,2.0,,1.0,,2.0,,,,,1.0,16.0,,,,,,,1.0,,3.0,4.0,91.0,60.0,5.0,4.0,1.0,3.0,10.0,6.0,,17.0,16.0,1.0,,11.0,,52.0,36.0,3.0,13.0,9.0,,,76.0,14.0,5.0,1.0,2.0,,2.0,208.0,1.0,,1.0,,1.0,,7.0,,1.0,2.0,12.0,3.0,16.0,14.0,1.0,3.0,111.0,90.0,55.0,5.0,,5.0,16.0,8.0,,2.0,4.0,,45.0,80.0,16.0,,,,,,178.0,171.0,2.0,21.0,32.0,61.9,1.0,1.0,0.0,120.0,1.0,,,1.0,2.0,7.0,1.0,2.0,132.0,,21.0,247.0,45.0,20.0,19.0,13.0,30.0,17.0,2.0,194.0,1.0,313.0,1.0,,15.0,25.0,52.0,3.0,530.0,3.0,0.0,25.0,6.0,6.0,28.0,2.0,738.0,,14.0,8.0,17.0,5.0,0.0
360619,16,2011-12-18 14:05:00,14,Liverpool,Away,249.0,18.0,3.0,4.0,1.0,3.0,,182.0,4.0,1.0,4.0,3.0,19.0,42.0,427.0,1.0,1.0,16.0,9.0,8.0,10.0,,1.0,,,,,,,,,,13.0,,,,,1.0,1.0,,,3.0,13.0,85.0,70.0,,1.0,1.0,2.0,3.0,7.0,,11.0,6.0,3.0,1.0,11.0,2.0,51.0,40.0,2.0,11.0,5.0,,,58.0,15.0,5.0,1.0,1.0,1.0,,159.0,1.0,1.0,1.0,,1.0,,12.0,,,1.0,9.0,2.0,21.0,16.0,,4.0,144.0,82.0,39.0,4.0,,4.0,7.0,7.0,,5.0,3.0,,62.0,58.0,7.0,,,,,,153.0,149.0,4.0,33.0,25.0,52.1,2.0,2.0,0.0,126.0,1.0,3.0,,2.0,1.0,7.0,,3.0,103.0,,11.0,272.0,31.0,15.0,18.0,9.0,19.0,10.0,1.0,140.0,8.0,261.0,,1.0,29.0,21.0,69.0,7.0,514.0,1.0,0.0,17.0,19.0,1.0,16.0,2.0,706.0,,8.0,8.0,10.0,16.0,0.0
360631,17,2011-12-21 20:00:00,14,Liverpool,Away,152.0,23.0,1.0,3.0,3.0,1.0,,213.0,4.0,1.0,7.0,3.0,15.0,29.0,362.0,,1.0,21.0,6.0,11.0,10.0,2.0,,,,1.0,3.0,,,,,,12.0,,,,1.0,,,,1.0,7.0,12.0,66.0,64.0,1.0,2.0,,1.0,4.0,6.0,,14.0,13.0,4.0,,20.0,3.0,55.0,58.0,1.0,13.0,6.0,,,59.0,12.0,16.0,,9.0,3.0,3.0,153.0,,,,,,,6.0,,,,12.0,,13.0,11.0,2.0,7.0,116.0,63.0,36.0,7.0,,6.0,6.0,9.0,,8.0,,,75.0,48.0,21.0,,,,,1.0,159.0,152.0,3.0,27.0,24.0,55.3,,,0.0,107.0,1.0,5.0,,,,8.0,,3.0,146.0,,12.0,164.0,34.0,20.0,22.0,10.0,29.0,20.0,,199.0,6.0,307.0,,1.0,12.0,15.0,45.0,1.0,442.0,1.0,0.0,21.0,20.0,3.0,25.0,2.0,662.0,,8.0,11.0,14.0,13.0,0.0
360642,18,2011-12-26 15:00:00,14,Liverpool,Home,182.0,19.0,2.0,19.0,17.0,2.0,1.0,293.0,7.0,,8.0,4.0,25.0,44.0,456.0,,1.0,25.0,15.0,15.0,15.0,3.0,,,1.0,,1.0,1.0,,,,,19.0,,,,,,,,2.0,5.0,2.0,77.0,71.0,5.0,4.0,1.0,1.0,5.0,7.0,,9.0,30.0,13.0,,9.0,,43.0,55.0,1.0,5.0,4.0,,,78.0,7.0,15.0,,6.0,4.0,1.0,208.0,1.0,,1.0,,1.0,,7.0,,,1.0,4.0,,16.0,16.0,3.0,8.0,126.0,77.0,57.0,2.0,1.0,10.0,9.0,7.0,,1.0,4.0,1.0,96.0,94.0,35.0,,,,,,166.0,166.0,7.0,34.0,21.0,64.6,,,0.0,138.0,1.0,,,1.0,,15.0,1.0,2.0,168.0,,19.0,208.0,35.0,5.0,15.0,7.0,54.0,47.0,,218.0,6.0,395.0,,,15.0,25.0,58.0,5.0,549.0,3.0,0.0,27.0,17.0,2.0,25.0,1.0,776.0,,13.0,8.0,9.0,14.0,0.0
360652,19,2011-12-30 19:45:00,14,Liverpool,Home,183.0,28.0,1.0,5.0,4.0,2.0,,214.0,6.0,1.0,8.0,3.0,26.0,41.0,392.0,,2.0,22.0,1.0,12.0,7.0,1.0,,1.0,,,1.0,1.0,1.0,,,,14.0,,,,,1.0,,,,2.0,3.0,65.0,62.0,1.0,,2.0,2.0,3.0,2.0,1.0,7.0,17.0,9.0,,13.0,,26.0,51.0,2.0,5.0,4.0,,,71.0,7.0,11.0,2.0,6.0,3.0,1.0,180.0,1.0,,1.0,1.0,,,6.0,2.0,,,5.0,1.0,11.0,8.0,,9.0,122.0,78.0,43.0,,1.0,6.0,3.0,4.0,,1.0,1.0,1.0,66.0,88.0,18.0,,,,,,156.0,153.0,3.0,22.0,27.0,51.4,1.0,,0.0,117.0,1.0,,,,,9.0,,2.0,112.0,,9.0,204.0,46.0,8.0,12.0,6.0,35.0,29.0,,156.0,5.0,315.0,,1.0,17.0,27.0,62.0,4.0,484.0,,0.0,16.0,19.0,4.0,24.0,0.0,671.0,,7.0,9.0,7.0,13.0,0.0
360663,20,2012-01-03 20:00:00,14,Liverpool,Away,216.0,22.0,1.0,7.0,6.0,,,302.0,2.0,,4.0,5.0,25.0,48.0,511.0,,1.0,21.0,8.0,11.0,9.0,,,,,1.0,2.0,,,,,,13.0,,,,,,,,,5.0,6.0,95.0,62.0,1.0,2.0,,1.0,3.0,5.0,,6.0,18.0,18.0,,15.0,1.0,39.0,50.0,1.0,1.0,1.0,1.0,,74.0,8.0,13.0,,3.0,,2.0,175.0,,,,,,,3.0,,,1.0,3.0,,14.0,13.0,1.0,4.0,177.0,78.0,53.0,5.0,,4.0,5.0,6.0,,3.0,1.0,,93.0,98.0,25.0,1.0,1.0,1.0,,,149.0,145.0,2.0,32.0,21.0,64.0,,,0.0,146.0,2.0,1.0,,,,7.0,1.0,3.0,159.0,,9.0,234.0,38.0,5.0,12.0,3.0,39.0,36.0,,204.0,5.0,398.0,,,19.0,26.0,68.0,,593.0,,0.0,16.0,18.0,2.0,21.0,1.0,778.0,,10.0,8.0,6.0,15.0,0.0
360672,21,2012-01-14 15:00:00,14,Liverpool,Home,229.0,26.0,2.0,5.0,3.0,2.0,,292.0,4.0,,4.0,5.0,30.0,52.0,516.0,,1.0,24.0,14.0,8.0,7.0,4.0,,,,,,,1.0,,,,11.0,,,,,,,,1.0,,3.0,97.0,68.0,1.0,2.0,,2.0,5.0,2.0,,11.0,13.0,13.0,,14.0,,44.0,46.0,2.0,10.0,8.0,,1.0,99.0,6.0,11.0,,5.0,5.0,,201.0,,,,,,,4.0,,,,12.0,,10.0,9.0,,4.0,182.0,81.0,49.0,1.0,,8.0,3.0,1.0,,,3.0,,80.0,76.0,38.0,,,,,,194.0,189.0,8.0,35.0,20.0,68.7,,,0.0,143.0,,1.0,,,,9.0,,2.0,178.0,,11.0,254.0,45.0,15.0,19.0,11.0,42.0,31.0,,239.0,3.0,411.0,,,25.0,30.0,76.0,3.0,623.0,,0.0,15.0,16.0,6.0,24.0,0.0,822.0,,17.0,11.0,11.0,11.0,0.0
