season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7374908,26,1,Manchester_United,Away,44864,58877,Daley Blind,daley-blind,D,False,,,,4.0,12.0,16.0,2.0,1.0,5.0,,,,1.0,,,,3.0,4.0,,,,,,,,2.0,,,90.0,,2.0,,,,,,,5.0,,7.5,,,,9.0,,1.0,,3.0,,8.0,13.0,20.0,0,3.0,38.0,,,,1.0
2016-17,7374908,26,1,Manchester_United,Away,69378,51940,David De Gea,david-de-gea,G,False,,,9.0,8.0,8.0,16.0,,,8.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,14.0,,7.8,2.0,6.0,,,,,,23.0,,21.0,9.0,30.0,0,,38.0,,,,
2016-17,7374908,26,1,Manchester_United,Away,82474,59846,Ander Herrera,ander-herrera,M,False,,,2.0,13.0,8.0,21.0,1.0,,4.0,,1.0,1.0,7.0,,,1.0,11.0,6.0,,,2.0,,,,,3.0,,,90.0,,,,,,,,,17.0,,6.3,,,1.0,1.0,,2.0,,7.0,,24.0,11.0,33.0,2,5.0,57.0,1.0,1.0,,3.0
2016-17,7374908,26,1,Manchester_United,Away,190839,106760,Luke Shaw,luke-shaw,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7374908,26,1,Manchester_United,Away,191176,148225,Anthony Martial,anthony-martial,M,False,,,,8.0,6.0,14.0,1.0,,5.0,,,,,,,1.0,6.0,7.0,,,1.0,,,,,1.0,,,80.0,,,,,,,,,18.0,,7.2,,,,1.0,8.0,1.0,,2.0,,15.0,9.0,23.0,0,1.0,43.0,2.0,1.0,5.0,1.0
2016-17,7374908,26,1,Manchester_United,Away,205508,109322,Jesse Lingard,jesse-lingard,F,True,,,,1.0,,1.0,1.0,,1.0,,,,,,,,4.0,,,,,,,,,,,,10.0,,,,,,,,,3.0,,6.0,,,,,3.0,,,,,1.0,,1.0,0,,6.0,,,,
2016-17,7374908,26,1,Manchester_United,Away,606346,197365,Eric Bailly,eric-bailly,D,False,,,2.0,4.0,12.0,16.0,1.0,1.0,9.0,,,,1.0,,,,2.0,2.0,,,,,,,,3.0,,,90.0,,2.0,,,,,,,6.0,,7.3,,,,4.0,,,,6.0,,9.0,13.0,22.0,0,,32.0,,1.0,,
2016-17,7374908,26,1,Manchester_United,Away,795260,201084,Timothy Fosu-Mensah,timothy-fosu-mensah,D,True,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,4.0,,,,,,,,,1.0,,6.8,,,,,,,,,,1.0,1.0,2.0,0,1.0,4.0,,,,
2016-17,7374908,26,1,Manchester_United,Away,814590,176297,Marcus Rashford,marcus-rashford,F,False,1.0,,,5.0,1.0,5.0,,,2.0,1.0,,,,,,3.0,7.0,4.0,,,2.0,,,,,1.0,1.0,,89.0,,,,,,,,,15.0,,6.6,,,,,3.0,4.0,,,1.0,11.0,1.0,8.0,0,1.0,28.0,3.0,2.0,1.0,1.0
2016-17,7374908,26,1,Manchester_United,Away,817979,180804,Axel Tuanzebe,axel-tuanzebe,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
