matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
442108,11,2012-11-10 15:00:00,111,Wigan,Home,200.0,31.0,3.0,11.0,8.0,6.0,1.0,306.0,6.0,2.0,4.0,3.0,12.0,58.0,495.0,1.0,,18.0,15.0,10.0,7.0,1.0,,,,,,,1.0,1.0,,,,1.0,,12.0,,,,,8.0,2.0,,,83.0,45.0,1.0,1.0,1.0,,2.0,6.0,,,5.0,23.0,15.0,,13.0,1.0,51.0,48.0,,12.0,6.0,,,65.0,12.0,13.0,1.0,,3.0,1.0,1.0,166.0,,,,,,,7.0,1.0,,2.0,8.0,,16.0,13.0,1.0,5.0,152.0,80.0,67.0,8.0,,4.0,4.0,4.0,,1.0,1.0,1.0,98.0,83.0,27.0,,,,,,133.0,126.0,3.0,16.0,21.0,65.9,,1.0,0.0,152.0,2.0,1.0,,,,8.0,,3.0,127.0,,8.0,211.0,40.0,19.0,11.0,5.0,44.0,39.0,,157.0,11.0,386.0,,2.0,9.0,13.0,67.0,1.0,553.0,2.0,0.0,14.0,21.0,,20.0,1.0,749.0,,8.0,3.0,5.0,16.0,0.0
442111,12,2012-11-17 15:00:00,111,Wigan,Away,189.0,14.0,,1.0,1.0,2.0,,184.0,11.0,,3.0,8.0,14.0,30.0,372.0,,,19.0,8.0,12.0,6.0,1.0,,,,1.0,,,2.0,,1.0,,,,,6.0,,,,,11.0,11.0,,,69.0,38.0,,,,2.0,1.0,12.0,,2.0,5.0,6.0,2.0,,17.0,2.0,54.0,44.0,2.0,17.0,8.0,1.0,,42.0,11.0,9.0,,,3.0,1.0,2.0,157.0,,,,,,,16.0,,1.0,,9.0,,22.0,13.0,1.0,3.0,120.0,75.0,43.0,10.0,,5.0,2.0,2.0,,6.0,4.0,,72.0,58.0,8.0,,,,,,140.0,132.0,,19.0,14.0,51.1,,1.0,0.0,101.0,2.0,1.0,,1.0,,7.0,,3.0,68.0,,7.0,208.0,24.0,25.0,9.0,3.0,12.0,9.0,,98.0,7.0,251.0,1.0,,18.0,16.0,41.0,2.0,447.0,,0.0,10.0,20.0,,20.0,3.0,639.0,,11.0,3.0,5.0,16.0,0.0
442128,13,2012-11-24 15:00:00,111,Wigan,Home,163.0,16.0,,6.0,6.0,1.0,,251.0,7.0,,4.0,7.0,9.0,45.0,408.0,1.0,4.0,32.0,18.0,14.0,12.0,,,2.0,,,,,,1.0,,,,,,17.0,,,,,13.0,5.0,,,66.0,45.0,4.0,3.0,2.0,2.0,3.0,6.0,,1.0,9.0,18.0,11.0,,7.0,3.0,54.0,51.0,2.0,18.0,7.0,1.0,,61.0,16.0,10.0,,,1.0,,,161.0,2.0,,2.0,2.0,,1.0,12.0,3.0,1.0,1.0,17.0,,13.0,11.0,1.0,4.0,141.0,77.0,53.0,5.0,3.0,5.0,9.0,9.0,,6.0,1.0,1.0,106.0,58.0,21.0,,,,,,162.0,144.0,1.0,16.0,21.0,66.7,,1.0,0.0,116.0,2.0,2.0,,1.0,2.0,6.0,,3.0,116.0,,14.0,184.0,30.0,36.0,15.0,5.0,34.0,29.0,4.0,151.0,7.0,334.0,1.0,,20.0,9.0,61.0,5.0,484.0,2.0,0.0,18.0,20.0,4.0,34.0,2.0,718.0,,12.0,7.0,9.0,13.0,0.0
442136,14,2012-11-28 20:00:00,111,Wigan,Home,170.0,13.0,,4.0,4.0,3.0,,187.0,5.0,1.0,2.0,4.0,9.0,33.0,353.0,,1.0,14.0,9.0,6.0,7.0,,,2.0,,1.0,,,1.0,,,,,,,8.0,,,,,8.0,9.0,,,61.0,52.0,1.0,1.0,,3.0,3.0,6.0,,,6.0,14.0,11.0,,10.0,,49.0,50.0,3.0,13.0,3.0,1.0,1.0,44.0,13.0,12.0,,,3.0,1.0,1.0,116.0,,,,,,,10.0,,1.0,,4.0,,17.0,14.0,4.0,2.0,113.0,63.0,44.0,6.0,,3.0,4.0,1.0,,1.0,2.0,,51.0,64.0,16.0,,,,,,126.0,121.0,2.0,23.0,23.0,45.6,,2.0,0.0,121.0,2.0,2.0,,,2.0,5.0,,2.0,64.0,,7.0,189.0,24.0,18.0,23.0,2.0,28.0,26.0,2.0,85.0,7.0,250.0,1.0,1.0,14.0,14.0,44.0,1.0,411.0,,0.0,9.0,20.0,2.0,15.0,1.0,593.0,,9.0,12.0,6.0,15.0,0.0
442143,15,2012-12-03 20:00:00,111,Wigan,Away,191.0,9.0,2.0,4.0,3.0,3.0,,202.0,11.0,,5.0,6.0,4.0,35.0,389.0,,,12.0,9.0,12.0,6.0,2.0,,,,,,,,,,,,,,8.0,,,,,6.0,12.0,,,70.0,47.0,,,,3.0,4.0,9.0,,2.0,4.0,12.0,6.0,,13.0,3.0,48.0,54.0,3.0,4.0,3.0,1.0,,44.0,15.0,13.0,,,2.0,1.0,,136.0,,,,,,,15.0,,3.0,1.0,12.0,,19.0,13.0,1.0,5.0,112.0,74.0,46.0,4.0,,4.0,4.0,1.0,,1.0,,,67.0,67.0,7.0,1.0,1.0,1.0,,,132.0,121.0,3.0,19.0,16.0,49.8,,,0.0,139.0,3.0,2.0,,,,5.0,,3.0,60.0,,8.0,215.0,15.0,15.0,15.0,3.0,21.0,19.0,,81.0,7.0,263.0,3.0,,26.0,5.0,51.0,1.0,457.0,,1.0,10.0,17.0,,13.0,3.0,631.0,,14.0,12.0,4.0,13.0,0.0
442158,16,2012-12-08 15:00:00,111,Wigan,Home,119.0,8.0,1.0,5.0,4.0,6.0,,224.0,6.0,,5.0,6.0,6.0,24.0,338.0,,,23.0,14.0,10.0,9.0,1.0,,1.0,,1.0,,1.0,2.0,,1.0,,,,1.0,9.0,,1.0,,,6.0,2.0,,,49.0,48.0,1.0,2.0,,3.0,2.0,7.0,,,11.0,19.0,9.0,,14.0,1.0,54.0,64.0,3.0,11.0,4.0,1.0,1.0,60.0,8.0,11.0,,,4.0,1.0,2.0,152.0,1.0,,1.0,1.0,,,9.0,1.0,2.0,,6.0,1.0,26.0,22.0,5.0,5.0,107.0,63.0,33.0,4.0,2.0,3.0,8.0,8.0,,,,,68.0,61.0,21.0,,,,,,158.0,151.0,1.0,15.0,27.0,56.7,1.0,1.0,0.0,101.0,1.0,1.0,,1.0,1.0,5.0,1.0,2.0,103.0,,11.0,134.0,17.0,18.0,23.0,8.0,37.0,29.0,1.0,136.0,10.0,312.0,2.0,,25.0,7.0,36.0,4.0,409.0,2.0,0.0,15.0,31.0,,24.0,0.0,641.0,,15.0,12.0,11.0,20.0,0.0
442163,17,2012-12-15 15:00:00,111,Wigan,Away,178.0,6.0,2.0,6.0,4.0,4.0,,193.0,6.0,3.0,5.0,4.0,9.0,29.0,365.0,,1.0,21.0,10.0,6.0,9.0,2.0,,,,1.0,,,1.0,,3.0,,,,,9.0,,,,1.0,10.0,7.0,,,61.0,52.0,,,,,6.0,5.0,,1.0,3.0,12.0,5.0,,12.0,3.0,39.0,41.0,,13.0,8.0,1.0,1.0,43.0,4.0,7.0,,,1.0,,1.0,143.0,1.0,,1.0,1.0,,,9.0,1.0,1.0,,15.0,,30.0,22.0,3.0,5.0,128.0,74.0,47.0,7.0,1.0,3.0,9.0,4.0,,3.0,,,78.0,40.0,12.0,,,,,,161.0,149.0,1.0,22.0,21.0,51.8,,2.0,0.0,121.0,3.0,3.0,,,,4.0,,3.0,54.0,,12.0,208.0,15.0,25.0,17.0,3.0,20.0,17.0,,81.0,6.0,265.0,1.0,3.0,20.0,11.0,43.0,6.0,453.0,,0.0,14.0,19.0,1.0,25.0,1.0,668.0,,14.0,9.0,3.0,15.0,0.0
442178,18,2012-12-22 12:45:00,111,Wigan,Home,195.0,10.0,,3.0,3.0,4.0,,236.0,5.0,1.0,2.0,4.0,10.0,37.0,428.0,,,12.0,10.0,8.0,11.0,,3.0,2.0,,,,,,,,1.0,,,,11.0,,,,,6.0,5.0,6.0,8.0,71.0,57.0,1.0,1.0,,2.0,2.0,9.0,,2.0,4.0,19.0,9.0,,8.0,1.0,49.0,51.0,2.0,5.0,3.0,,,51.0,17.0,8.0,,,,,,137.0,,,,,,,6.0,,,3.0,6.0,,17.0,16.0,6.0,2.0,138.0,67.0,46.0,4.0,,8.0,3.0,3.0,477.0,5.0,3.0,,93.0,57.0,29.0,1.0,1.0,1.0,,,134.0,134.0,5.0,26.0,24.0,50.4,,1.0,0.0,147.0,2.0,1.0,3.0,,2.0,9.0,,2.0,70.0,413.0,11.0,214.0,17.0,11.0,18.0,3.0,31.0,28.0,2.0,89.0,6.0,310.0,,1.0,18.0,11.0,53.0,5.0,493.0,,0.0,14.0,25.0,,17.0,1.0,687.0,19.0,12.0,10.0,4.0,16.0,0.0
442181,19,2012-12-26 15:00:00,111,Wigan,Away,187.0,11.0,1.0,5.0,4.0,,,195.0,5.0,1.0,5.0,3.0,11.0,23.0,377.0,,,14.0,23.0,12.0,6.0,1.0,,,,,,1.0,1.0,,,,,,,8.0,,,,,9.0,8.0,,,60.0,58.0,,,1.0,2.0,6.0,6.0,,1.0,2.0,9.0,5.0,,12.0,,62.0,36.0,2.0,21.0,10.0,,,56.0,12.0,10.0,1.0,,1.0,,1.0,168.0,,,,,,,9.0,1.0,,1.0,18.0,,21.0,20.0,1.0,5.0,122.0,87.0,48.0,11.0,,2.0,5.0,3.0,,7.0,2.0,,74.0,44.0,21.0,,,,,,161.0,147.0,3.0,30.0,17.0,52.7,,2.0,0.0,115.0,1.0,,,,,2.0,1.0,2.0,74.0,,7.0,209.0,28.0,35.0,13.0,2.0,16.0,14.0,,120.0,3.0,272.0,,1.0,16.0,17.0,43.0,1.0,465.0,,0.0,11.0,11.0,3.0,20.0,3.0,662.0,,13.0,3.0,2.0,9.0,0.0
442190,20,2012-12-29 15:00:00,111,Wigan,Away,217.0,15.0,1.0,3.0,2.0,4.0,,210.0,7.0,2.0,4.0,12.0,22.0,39.0,424.0,,2.0,11.0,15.0,7.0,5.0,,,1.0,,,,,1.0,,,,,,1.0,7.0,,,,,5.0,7.0,,,84.0,56.0,3.0,1.0,2.0,4.0,1.0,16.0,,2.0,3.0,7.0,3.0,2.0,10.0,1.0,55.0,49.0,4.0,16.0,8.0,,,51.0,9.0,15.0,1.0,1.0,1.0,,1.0,177.0,3.0,1.0,3.0,2.0,1.0,,11.0,2.0,2.0,1.0,12.0,,14.0,11.0,1.0,4.0,124.0,93.0,57.0,4.0,,3.0,5.0,5.0,,4.0,1.0,,64.0,73.0,12.0,,,,,,158.0,146.0,1.0,22.0,26.0,54.1,,,0.0,133.0,,2.0,,,1.0,3.0,,3.0,51.0,,8.0,256.0,28.0,28.0,17.0,3.0,13.0,10.0,5.0,79.0,8.0,275.0,2.0,2.0,34.0,25.0,68.0,2.0,518.0,1.0,0.0,9.0,16.0,3.0,15.0,2.0,692.0,,14.0,11.0,3.0,14.0,0.0
442208,21,2013-01-01 15:00:00,111,Wigan,Home,187.0,15.0,,2.0,2.0,2.0,,247.0,2.0,,8.0,6.0,13.0,24.0,432.0,,,20.0,10.0,5.0,6.0,,,,,1.0,,,1.0,,,,,,,7.0,,,,,11.0,4.0,,,92.0,71.0,,,,2.0,4.0,12.0,,1.0,1.0,7.0,2.0,,16.0,2.0,56.0,37.0,2.0,12.0,7.0,1.0,2.0,62.0,13.0,5.0,,,1.0,,1.0,179.0,,,,,,,9.0,,2.0,,12.0,,10.0,9.0,,8.0,140.0,91.0,56.0,6.0,,2.0,4.0,,,4.0,,,56.0,63.0,16.0,,,,,,143.0,136.0,3.0,28.0,31.0,52.8,,,0.0,106.0,2.0,1.0,,,,4.0,,3.0,107.0,,6.0,205.0,35.0,19.0,12.0,,9.0,9.0,1.0,152.0,3.0,321.0,3.0,,19.0,13.0,43.0,2.0,517.0,,0.0,8.0,20.0,,21.0,1.0,687.0,,13.0,7.0,1.0,15.0,0.0
