season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385566,31,4,Newcastle_United,Away,914902,232826,Anthony Gordon,anthony-gordon,F,False,,,,5.0,5.0,10.0,,,3.0,,,,,,,,3.0,2.0,,,0.02168,0.0,0.0,,,,,,,,,,56.0,,,,,,,,7.0,,6.4,,,,,,4.0,2.0,,,1.0,8.0,6.0,12.0,0,,22.0,,1.0,1.0,
2022-23,10385610,32,4,Newcastle_United,Home,113956,75115,Callum Wilson,callum-wilson,F,True,,,1.0,2.0,2.0,4.0,,,,,,,,,,,,4.0,,,0.0211879,0.2908,0.9407,,,1.0,,,,,1.0,,24.0,1.0,,,,,,,,,7.6,,,,,,2.0,,,1.0,,2.0,2.0,4.0,1,,11.0,,2.0,2.0,
2022-23,10385610,32,4,Newcastle_United,Home,372336,114243,Jacob Murphy,jacob-murphy,F,False,1.0,,1.0,14.0,1.0,14.0,,,4.0,,,,1.0,,,,2.0,3.0,,,0.0811362,0.3596,1.132,,,2.0,,,,1.0,1.0,,66.0,2.0,,,,,,,11.0,,8.6,,,1.0,,,2.0,3.0,,1.0,1.0,21.0,3.0,21.0,3,,35.0,1.0,2.0,1.0,
2022-23,10385610,32,4,Newcastle_United,Home,823941,219168,Alexander Isak,alexander-isak,F,False,,,3.0,12.0,2.0,14.0,,,2.0,,,1.0,,,,1.0,3.0,2.0,,,0.0191669,0.683,1.16,1.0,,2.0,,,,,,,66.0,2.0,,,,,,,7.0,,8.5,,,1.0,,,3.0,,,3.0,,15.0,2.0,17.0,4,,29.0,2.0,,2.0,
2022-23,10385610,32,4,Newcastle_United,Home,914902,232826,Anthony Gordon,anthony-gordon,F,True,1.0,,,10.0,2.0,11.0,,,1.0,,1.0,,2.0,,,,2.0,,,,0.0709877,0.2814,0.7627,,,,,,,,1.0,,20.0,1.0,,,,,,,3.0,,6.4,,,,,,,2.0,,,,11.0,2.0,11.0,1,,18.0,2.0,,,
2022-23,10385612,33,4,Newcastle_United,Away,113956,75115,Callum Wilson,callum-wilson,F,False,,,,2.0,7.0,9.0,3.0,,2.0,,,,,,,5.0,12.0,4.0,,,0.00993338,0.5166,1.2633,1.0,,2.0,,,,,,,87.0,3.0,,,,,,,21.0,,7.9,,,1.0,,,4.0,,,1.0,,8.0,8.0,16.0,4,1.0,41.0,6.0,2.0,1.0,1.0
2022-23,10385612,33,4,Newcastle_United,Away,372336,114243,Jacob Murphy,jacob-murphy,F,True,,,1.0,2.0,1.0,3.0,,,1.0,,,,,,,,,,,,0.00124772,1.1274,0.9654,,,1.0,,,,,,,22.0,1.0,,,,,,,3.0,,7.2,,,1.0,,,,1.0,,1.0,,5.0,1.0,5.0,2,,8.0,,,,
2022-23,10385612,33,4,Newcastle_United,Away,823941,219168,Alexander Isak,alexander-isak,F,True,,,,4.0,1.0,5.0,,,,,,2.0,3.0,,,,3.0,3.0,,,0.0364111,0.1196,0.0,,,,,,,,,,16.0,,,,,,,,3.0,,6.7,,,,,,3.0,,,,,7.0,1.0,8.0,2,,14.0,,,3.0,
2022-23,10385612,33,4,Newcastle_United,Away,914902,232826,Anthony Gordon,anthony-gordon,F,True,,,,4.0,1.0,5.0,,,1.0,,,,,,,,,,,,0.00563088,0.0,0.0,,,,,,,,,,8.0,,,,,,,,1.0,,6.5,,,,,,,,,,,4.0,1.0,5.0,0,,7.0,1.0,,,
2022-23,10385645,34,4,Newcastle_United,Home,113956,75115,Callum Wilson,callum-wilson,F,True,,,,1.0,,1.0,2.0,1.0,,,1.0,1.0,1.0,,,,5.0,4.0,,,0.00919547,2.341,1.167,1.0,,2.0,,,1.0,,,,45.0,3.0,,,,,,,4.0,,8.4,,,2.0,,,3.0,,,,1.0,2.0,,2.0,6,,16.0,2.0,1.0,2.0,
2022-23,10385645,34,4,Newcastle_United,Home,372336,114243,Jacob Murphy,jacob-murphy,F,False,1.0,,1.0,12.0,5.0,16.0,,,5.0,,,1.0,,,,2.0,2.0,5.0,,,0.00869538,0.1365,0.0,,,,,,,,1.0,,69.0,,,,,,,,16.0,,7.1,,,1.0,,,2.0,4.0,,2.0,,23.0,5.0,24.0,2,3.0,40.0,3.0,,2.0,1.0
2022-23,10385645,34,4,Newcastle_United,Home,823941,219168,Alexander Isak,alexander-isak,F,False,,,4.0,17.0,7.0,24.0,,,3.0,2.0,,,,,,,2.0,7.0,,,0.446992,0.0,0.0,1.0,1.0,,,,,1.0,3.0,,89.0,,,,,,,,11.0,,8.3,,,,,,6.0,1.0,,4.0,,24.0,7.0,30.0,0,1.0,46.0,3.0,1.0,5.0,
2022-23,10385645,34,4,Newcastle_United,Home,914902,232826,Anthony Gordon,anthony-gordon,F,False,1.0,,,10.0,7.0,16.0,1.0,,2.0,,1.0,,,,,2.0,5.0,3.0,,,0.221507,0.5893,0.0,,,,,,1.0,1.0,,,45.0,,,,,,,,15.0,,6.4,,,2.0,,,4.0,3.0,,,,16.0,8.0,21.0,2,1.0,41.0,3.0,,2.0,1.0
2022-23,10385658,35,4,Newcastle_United,Home,113956,75115,Callum Wilson,callum-wilson,F,False,,,,1.0,2.0,3.0,1.0,1.0,1.0,,,,,,,3.0,5.0,1.0,,,0.00236977,0.0,0.0,,,,,,,,1.0,,78.0,,,,,,,,11.0,,6.2,,,,,,1.0,,,1.0,,6.0,2.0,8.0,0,,17.0,2.0,,,
2022-23,10385658,35,4,Newcastle_United,Home,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,True,,,1.0,4.0,,4.0,,,1.0,,,,,,,,,3.0,,,0.0183904,0.0226,0.4084,,,,,,,,,,12.0,1.0,,,,,,,4.0,,7.1,,,,,,1.0,1.0,,1.0,,6.0,,5.0,1,2.0,14.0,2.0,,1.0,
2022-23,10385658,35,4,Newcastle_United,Home,372336,114243,Jacob Murphy,jacob-murphy,F,False,,,,10.0,4.0,14.0,,,3.0,1.0,,,,,,1.0,3.0,2.0,,,0.456134,0.1,0.0,,,,,,1.0,1.0,1.0,,65.0,,,,,,,,8.0,,6.9,,,1.0,,,2.0,2.0,,,,14.0,5.0,17.0,1,,29.0,,2.0,,
2022-23,10385658,35,4,Newcastle_United,Home,823941,219168,Alexander Isak,alexander-isak,F,False,,,2.0,16.0,6.0,22.0,1.0,2.0,4.0,,1.0,1.0,,,,2.0,3.0,5.0,,,0.169701,0.2444,0.0,,,,,,1.0,,1.0,,90.0,,,,,,,,10.0,,6.8,,,1.0,,,2.0,,,2.0,,21.0,7.0,28.0,2,1.0,38.0,2.0,,2.0,1.0
2022-23,10385658,35,4,Newcastle_United,Home,914902,232826,Anthony Gordon,anthony-gordon,F,True,,,,4.0,6.0,10.0,,,1.0,,,,1.0,,,,3.0,,,,0.00885603,0.0,0.0,2.0,,,,,,,,,12.0,,,,,,,,2.0,,6.5,,,,,,,,,,,6.0,6.0,12.0,0,,12.0,,,,
2022-23,10385683,36,4,Newcastle_United,Away,113956,75115,Callum Wilson,callum-wilson,F,False,,,,4.0,1.0,5.0,2.0,1.0,2.0,,,1.0,,,,,3.0,5.0,,,0.00708762,1.7227,2.0593,,,2.0,,,,,1.0,,73.0,3.0,,,,,,,11.0,,8.3,,,1.0,,,2.0,,,,,9.0,3.0,12.0,5,1.0,28.0,3.0,2.0,1.0,1.0
2022-23,10385683,36,4,Newcastle_United,Away,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,True,,,,3.0,3.0,6.0,,1.0,1.0,,,,,,,,4.0,5.0,,,0.00608721,0.0309,0.0208,2.0,,,,,,,,,17.0,1.0,,,,,,,7.0,,6.8,,,,,,5.0,2.0,,,,6.0,3.0,7.0,1,1.0,18.0,2.0,,3.0,
2022-23,10385683,36,4,Newcastle_United,Away,372336,114243,Jacob Murphy,jacob-murphy,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385683,36,4,Newcastle_United,Away,823941,219168,Alexander Isak,alexander-isak,F,False,,,1.0,15.0,5.0,20.0,,,2.0,,,1.0,,,,1.0,4.0,5.0,,,0.0170564,0.0428,,1.0,,,,,,1.0,,,90.0,,,,,,,1.0,12.0,,6.9,,,,,,4.0,,,1.0,1.0,20.0,7.0,27.0,1,2.0,41.0,2.0,1.0,2.0,1.0
2022-23,10385683,36,4,Newcastle_United,Away,914902,232826,Anthony Gordon,anthony-gordon,F,True,,,,5.0,2.0,7.0,,,1.0,,,,,,,1.0,3.0,2.0,,,0.0184086,,,,,,,,,,,,17.0,,,,,,,,5.0,,6.3,,,,,,2.0,,,,,6.0,2.0,8.0,0,,15.0,,2.0,,
2022-23,11227334,37,4,Newcastle_United,Home,113956,75115,Callum Wilson,callum-wilson,F,False,,,,2.0,,2.0,1.0,,1.0,,2.0,1.0,1.0,,,2.0,4.0,,,,0.00127173,0.5454,0.0,,,,,,1.0,,,,68.0,1.0,,,,,,,5.0,,5.9,,,2.0,,,,1.0,,,1.0,3.0,,2.0,4,,16.0,2.0,,,
2022-23,11227334,37,4,Newcastle_United,Home,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,True,,,,11.0,1.0,12.0,,,,,,,,,,,,3.0,,,0.0856673,0.0,0.0,,,,,,,,1.0,,22.0,,,,,,,,3.0,,7.0,,,,,,2.0,,,,,14.0,1.0,15.0,0,1.0,18.0,,,2.0,
2022-23,11227334,37,4,Newcastle_United,Home,372336,114243,Jacob Murphy,jacob-murphy,F,True,,,,2.0,2.0,4.0,,,1.0,,,,1.0,,,,1.0,1.0,,,0.00254987,0.0,0.0,,,,,,,,,,13.0,,,,,,,,1.0,,6.5,,,,,,1.0,,,,,2.0,3.0,5.0,0,,6.0,,,1.0,
2022-23,11227334,37,4,Newcastle_United,Home,823941,219168,Alexander Isak,alexander-isak,F,False,,,2.0,34.0,4.0,38.0,1.0,,,,,1.0,1.0,,,3.0,9.0,2.0,,,0.0620368,0.3261,0.0617,2.0,,,,,,,,,90.0,1.0,,,,,,,15.0,,6.6,,,2.0,,,4.0,3.0,,2.0,,41.0,4.0,42.0,4,,62.0,3.0,,2.0,
2022-23,11227334,37,4,Newcastle_United,Home,914902,232826,Anthony Gordon,anthony-gordon,F,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,8.0,,,,,,,,1.0,,6.5,,,,,,,,,,,1.0,,1.0,0,,1.0,,,,
2022-23,10385709,38,4,Newcastle_United,Away,113956,75115,Callum Wilson,callum-wilson,F,True,,,,1.0,,1.0,,,,,,,,,,2.0,2.0,,,,0.00069959,,,,,,,,,,,,21.0,,,,,,,,3.0,,6.4,,,,,1.0,,,,,,2.0,,2.0,0,,5.0,,,,
2022-23,10385709,38,4,Newcastle_United,Away,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,False,,,1.0,12.0,5.0,17.0,,,5.0,1.0,,1.0,3.0,,,2.0,7.0,8.0,,,0.178283,0.0766,,,,,,,,1.0,5.0,,69.0,,,,,,,,9.0,,7.4,,,,,,8.0,1.0,,1.0,1.0,15.0,5.0,19.0,1,,39.0,2.0,2.0,6.0,
2022-23,10385709,38,4,Newcastle_United,Away,372336,114243,Jacob Murphy,jacob-murphy,F,True,,,,,2.0,2.0,2.0,,1.0,,,,,,,2.0,5.0,,,,7.68e-06,,,,,,,,,,,,21.0,,,,,,,,7.0,,6.0,,,,,,1.0,,,,,2.0,3.0,5.0,0,,9.0,1.0,,,
2022-23,10385709,38,4,Newcastle_United,Away,823941,219168,Alexander Isak,alexander-isak,F,False,,,,7.0,6.0,13.0,1.0,,4.0,,,1.0,2.0,,,1.0,8.0,5.0,,,0.0183419,0.2445,0.1316,,,,,,,,,,88.0,1.0,,,,,,,9.0,,6.5,,,1.0,,1.0,6.0,,,,,8.0,6.0,14.0,3,2.0,33.0,2.0,1.0,2.0,
2022-23,10385709,38,4,Newcastle_United,Away,914902,232826,Anthony Gordon,anthony-gordon,F,False,,,1.0,7.0,4.0,11.0,,,2.0,,,,1.0,,,,3.0,3.0,,,0.023309,0.4541,0.64,,,1.0,,,,,1.0,,69.0,1.0,1.0,,,,,,7.0,,7.1,,,,,1.0,2.0,1.0,,1.0,,9.0,4.0,12.0,1,2.0,27.0,3.0,1.0,,2.0
