season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,8897123,35,4,Newcastle_United,Away,372336,114243,Jacob Murphy,jacob-murphy,F,False,,,2.0,9.0,11.0,20.0,,2.0,6.0,,,,3.0,,,4.0,5.0,,,,,,,,1.0,,,90.0,,,,,,,,,14.0,,6.3,,,,,2.0,2.0,2.0,,2.0,,17.0,13.0,28.0,0,2.0,49.0,2.0,,1.0,1.0
2020-21,8897157,36,4,Newcastle_United,Home,18998,40142,Andy Carroll,andy-carroll,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8897157,36,4,Newcastle_United,Home,232118,104547,Dwight Gayle,dwight-gayle,F,True,,,,,1.0,1.0,2.0,,,,,,1.0,,,3.0,,,,,,,,,,,,8.0,,,,,,,,,,,6.4,,,,,,,,,,,,1.0,1.0,0,,1.0,,,,
2020-21,8897157,36,4,Newcastle_United,Home,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,False,1.0,,1.0,11.0,9.0,19.0,,,4.0,,,,,,6.0,9.0,3.0,,,,,,,,,2.0,,90.0,,,,,,,,,16.0,,6.2,,,,,,5.0,1.0,,2.0,,13.0,9.0,21.0,0,,44.0,5.0,1.0,2.0,
2020-21,8897157,36,4,Newcastle_United,Home,372336,114243,Jacob Murphy,jacob-murphy,F,False,,,,5.0,5.0,10.0,,,7.0,,,1.0,1.0,,3.0,9.0,10.0,,,4.0,,,,,1.0,1.0,,90.0,1.0,,,,,,,,18.0,,6.3,,,,,1.0,3.0,,,4.0,,10.0,11.0,21.0,2,6.0,47.0,1.0,2.0,2.0,4.0
2020-21,8897158,37,4,Newcastle_United,Home,18998,40142,Andy Carroll,andy-carroll,F,True,,,,2.0,,2.0,,2.0,,,,,1.0,,,1.0,2.0,,,1.0,,,,,,,,13.0,,,,,,,,,4.0,,6.5,,,,,1.0,,,,,,3.0,2.0,5.0,0,,7.0,1.0,,,
2020-21,8897158,37,4,Newcastle_United,Home,232118,104547,Dwight Gayle,dwight-gayle,F,True,,,,6.0,5.0,11.0,2.0,1.0,,,,,,,,5.0,1.0,,,2.0,,,,,,,,45.0,,,,,,,,,3.0,,6.4,,,,,,1.0,,,,,7.0,5.0,12.0,0,,16.0,1.0,,,
2020-21,8897158,37,4,Newcastle_United,Home,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,False,,,,25.0,6.0,31.0,1.0,1.0,2.0,,,,,,3.0,5.0,19.0,,,,,,,,,1.0,,71.0,,,,,,,,,12.0,,8.1,,,1.0,,,16.0,1.0,,,1.0,30.0,6.0,35.0,1,,64.0,3.0,3.0,15.0,
2020-21,8897158,37,4,Newcastle_United,Home,372336,114243,Jacob Murphy,jacob-murphy,F,False,2.0,,1.0,13.0,11.0,22.0,,,5.0,2.0,,1.0,,,1.0,3.0,2.0,,,,1.0,,,,1.0,2.0,,90.0,,,,,,,,,11.0,,7.5,,,1.0,,,3.0,2.0,,1.0,,15.0,13.0,26.0,2,,54.0,3.0,1.0,1.0,
2020-21,8897221,38,4,Newcastle_United,Away,18998,40142,Andy Carroll,andy-carroll,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8897221,38,4,Newcastle_United,Away,232118,104547,Dwight Gayle,dwight-gayle,F,True,,,,4.0,2.0,6.0,,1.0,,,1.0,,,,,,2.0,,,,,,,,,1.0,,25.0,,,,,,,,,1.0,,6.4,,,1.0,,,,,,,,5.0,2.0,7.0,1,,10.0,,1.0,,
2020-21,8897221,38,4,Newcastle_United,Away,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,False,,,,8.0,2.0,10.0,,2.0,4.0,,,,,,3.0,6.0,3.0,,,,,,,,,1.0,,65.0,1.0,,,,,,,,14.0,,6.5,,,1.0,,,3.0,,,1.0,,11.0,5.0,16.0,2,,31.0,2.0,1.0,,
2020-21,8897221,38,4,Newcastle_United,Away,372336,114243,Jacob Murphy,jacob-murphy,F,False,,,1.0,6.0,13.0,19.0,,,2.0,,,,1.0,,,3.0,3.0,,,,,,,,,1.0,,90.0,,,,,,,,,14.0,,6.9,,,,,5.0,2.0,2.0,,1.0,,10.0,15.0,23.0,0,1.0,49.0,2.0,2.0,,1.0
