playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,iboxTarget,shotsOnTargetInBox,rightFootGoals,blocks,hitWoodwork,handballsConceded,throwInsToOppositionPlayer,foulWonPenalty,clearancesOffTheLine,headedGoals,setPiecesGoals,penaltiesConceded,penaltiesTaken,penaltyGoals,ownGoalScored,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
49413,James Tomkins,Defender,C Palace,31,England,2019-20,53.0,,0.1068,0.0,,,3.0,,0.9794,29.0,9.0,1.0,65.0,18.0,1.0,,18.0,138.0,1.0,671.0,1.0,1.0,1.0,,,,92.0,3.0,,,1584.0,,32.0,100.0,2.0,4.0,40.0,487.0,,21.0,28.3317,1.0,3.0,99.0,23.0,,21.0,132.0,10.0,0.0,153.0,2.0,0.0,257.0,82.0,18.0,,12.0,,1.0,103.0,21.0,1.0,2.0,,,61.0,60.0,0.0,646.0,6.0,3.0,148.0,17.0,1.0,,224.0,14.0,21.0,,46.0,58.0,901.0,2.0,2.0,,29.0,430.0,9.0,1.0657,5.0,73.0,45.0,,2.0,2.0,,15.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,
86417,Jeffrey Schlupp,Midfielder,C Palace,31,Ghana,2019-20,77.0,2.0,0.3519,0.0,,6.0,10.0,6.0,1.6541,18.0,12.0,1.0,55.0,17.0,1.0,5.0,11.0,76.0,7.0,314.0,3.0,1.0,1.0,3.0,6.0,,44.0,1.0,5.0,2.0,1034.0,,24.0,63.0,,17.0,43.0,229.0,,31.0,12.9995,6.0,1.0,10.0,16.0,3.0,53.0,67.0,12.0,1.0,140.0,8.0,2.0,122.0,42.0,17.0,5.0,9.0,2.0,11.0,153.0,16.0,7.0,27.0,,3.0,96.0,20.0,0.0,311.0,2.0,10.0,151.0,9.0,13.0,,66.0,17.0,13.0,,9.0,59.0,532.0,11.0,6.0,3.0,6.0,87.0,12.0,1.7385,2.0,21.0,12.0,,2.0,2.0,1.0,3.0,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,
55494,Joel Ward,Defender,C Palace,31,England,2019-20,87.0,5.0,0.6257,0.0,,1.0,1.0,1.0,0.0315,69.0,4.0,,182.0,29.0,,,27.0,278.0,31.0,962.0,,,,,2.0,,81.0,7.0,1.0,5.0,2383.0,,29.0,158.0,2.0,53.0,106.0,640.0,,10.0,37.1811,5.0,9.0,82.0,36.0,1.0,58.0,53.0,29.0,0.0,245.0,7.0,,497.0,116.0,29.0,1.0,27.0,,7.0,375.0,34.0,31.0,19.0,,1.0,164.0,52.0,0.0,957.0,3.0,6.0,400.0,42.0,8.0,,299.0,24.0,48.0,,44.0,113.0,1632.0,224.0,3.0,,52.0,314.0,11.0,0.2665,4.0,96.0,92.0,,,,,6.0,1.0,1.0,46.0,,1.0,,,,,,,,,,,,,,,,,,,,
80146,Jordan Ayew,Forward,C Palace,31,Ghana,2019-20,398.0,1.0,1.9679,0.0,,14.0,24.0,7.0,7.136,48.0,44.0,2.0,139.0,37.0,2.0,46.0,37.0,152.0,24.0,817.0,9.0,9.0,5.0,2.0,,1.0,251.0,6.0,3.0,1.0,3160.0,4.0,171.0,303.0,4.0,49.0,223.0,646.0,,130.0,52.171,28.0,1.0,20.0,45.0,12.0,227.0,136.0,105.0,5.0,701.0,25.0,4.0,190.0,147.0,37.0,3.0,18.0,1.0,44.0,447.0,41.0,24.0,139.0,,12.0,450.0,80.0,0.0,793.0,20.0,19.0,440.0,30.0,73.0,,231.0,59.0,15.0,,19.0,260.0,1563.0,10.0,14.0,2.0,6.0,219.0,35.0,7.5131,6.0,13.0,33.0,,12.0,12.0,7.0,4.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
66975,Luka Milivojevic,Midfielder,C Palace,31,Serbia,2019-20,144.0,,2.844,0.0,0.7056,10.0,9.0,1.0,4.0524,61.0,21.0,3.0,169.0,31.0,1.0,13.0,28.0,258.0,11.0,1437.0,3.0,1.0,2.0,10.0,3.0,99.0,64.0,6.0,6.0,32.0,2514.0,,28.0,129.0,,44.0,93.0,1075.0,22.0,9.0,42.4883,28.0,3.0,37.0,38.0,,116.0,304.0,27.0,2.0,273.0,23.0,1.0,497.0,179.0,31.0,6.0,29.0,,4.0,579.0,38.0,112.0,17.0,11.0,,209.0,36.0,0.0,1319.0,12.0,13.0,414.0,32.0,7.0,11.0,429.0,50.0,42.0,70.0,104.0,207.0,1923.0,6.0,4.0,10.0,20.0,632.0,34.0,2.7355,12.0,89.0,84.0,,,,3.0,7.0,,,,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,
40784,Mamadou Sakho,Defender,C Palace,31,France,2019-20,28.0,,0.1302,1.0,,,,,,7.0,,,47.0,14.0,,,11.0,66.0,,538.0,,,,,3.0,,34.0,,,,931.0,,17.0,30.0,2.0,12.0,13.0,444.0,,3.0,21.8339,1.0,2.0,44.0,21.0,,11.0,184.0,2.0,0.0,58.0,7.0,,228.0,67.0,14.0,,2.0,,1.0,126.0,19.0,,6.0,,,24.0,17.0,1.0,523.0,,,79.0,5.0,4.0,,99.0,3.0,20.0,,28.0,27.0,656.0,,2.0,,9.0,346.0,1.0,,1.0,19.0,32.0,,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
58786,Martin Kelly,Defender,C Palace,31,England,2019-20,58.0,6.0,0.5694,0.0,,,,,,23.0,2.0,,100.0,19.0,1.0,,17.0,168.0,14.0,570.0,,,,,2.0,,58.0,5.0,,6.0,1550.0,,25.0,61.0,2.0,21.0,28.0,370.0,,6.0,23.7525,5.0,6.0,74.0,16.0,,33.0,79.0,,0.0,119.0,8.0,,296.0,71.0,19.0,,5.0,,5.0,153.0,14.0,14.0,8.0,,,61.0,33.0,0.0,556.0,2.0,,228.0,18.0,5.0,,144.0,8.0,16.0,,32.0,51.0,904.0,92.0,3.0,,34.0,255.0,5.0,0.069,0.0,68.0,66.0,,,,,10.0,,,26.0,,,,,,,,,,,,,,,,,,,,,,
141020,Max Meyer,Midfielder,C Palace,31,Germany,2019-20,47.0,1.0,0.2425,0.0,,2.0,2.0,,0.1186,19.0,7.0,,39.0,17.0,,9.0,6.0,44.0,8.0,201.0,,2.0,,,11.0,,11.0,1.0,,1.0,650.0,,9.0,43.0,2.0,14.0,41.0,154.0,,17.0,12.9355,4.0,,2.0,11.0,2.0,38.0,46.0,16.0,0.0,90.0,5.0,,57.0,27.0,17.0,,8.0,,7.0,91.0,9.0,8.0,22.0,,2.0,79.0,2.0,0.0,201.0,5.0,4.0,86.0,11.0,6.0,,44.0,6.0,7.0,,3.0,54.0,329.0,,5.0,,,67.0,3.0,0.5283,1.0,5.0,13.0,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
235599,Nikola Tavares,Defender,C Palace,31,Croatia,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209043,Nya Kirby,Midfielder,C Palace,31,England,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74230,Patrick van Aanholt,Defender,C Palace,31,Netherlands,2019-20,89.0,5.0,3.2263,0.0,0.2187,9.0,6.0,1.0,1.7575,43.0,18.0,2.0,184.0,29.0,2.0,,29.0,230.0,24.0,1218.0,3.0,2.0,2.0,5.0,,45.0,33.0,8.0,1.0,31.0,2511.0,,16.0,83.0,2.0,42.0,66.0,958.0,18.0,45.0,40.2139,30.0,10.0,44.0,38.0,4.0,73.0,408.0,8.0,2.0,172.0,22.0,1.0,527.0,176.0,29.0,1.0,20.0,3.0,22.0,541.0,36.0,61.0,38.0,3.0,4.0,139.0,17.0,0.0,1175.0,12.0,17.0,425.0,23.0,16.0,3.0,62.0,9.0,46.0,23.0,30.0,221.0,1940.0,222.0,4.0,5.0,15.0,478.0,7.0,2.1145,0.0,46.0,70.0,,2.0,2.0,,9.0,1.0,1.0,57.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
221272,Sam Woods,Defender,C Palace,31,England,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19188,Scott Dann,Defender,C Palace,31,England,2019-20,44.0,1.0,0.6917,0.0,,2.0,2.0,,0.5805,9.0,6.0,,63.0,16.0,1.0,,14.0,108.0,1.0,584.0,,,,,2.0,,71.0,5.0,,1.0,1265.0,,32.0,53.0,,10.0,14.0,439.0,,22.0,20.6949,4.0,7.0,64.0,14.0,2.0,12.0,127.0,,0.0,97.0,2.0,,276.0,72.0,16.0,,4.0,,1.0,121.0,14.0,1.0,2.0,,2.0,26.0,39.0,0.0,556.0,4.0,4.0,117.0,5.0,5.0,,145.0,5.0,14.0,,37.0,36.0,719.0,1.0,1.0,,17.0,356.0,1.0,0.7795,0.0,45.0,46.0,1.0,2.0,2.0,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
42525,Stephen Henderson,Goalkeeper,C Palace,31,Ireland,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244723,Tyrick Mitchell,Defender,C Palace,31,England,2019-20,18.0,3.0,0.1967,0.0,,,,,,5.0,,,10.0,4.0,,,2.0,19.0,1.0,94.0,,,,,2.0,,6.0,,,3.0,193.0,,6.0,7.0,,6.0,7.0,72.0,,1.0,3.2677,4.0,3.0,1.0,4.0,,12.0,31.0,1.0,0.0,25.0,2.0,,48.0,7.0,4.0,,3.0,,2.0,46.0,4.0,1.0,5.0,,,19.0,,0.0,94.0,,3.0,30.0,2.0,1.0,,2.0,1.0,2.0,,3.0,13.0,157.0,25.0,,,4.0,32.0,,,1.0,9.0,5.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
40836,Vicente Guaita,Goalkeeper,C Palace,31,Spain,2019-20,3.0,,0.0423,0.0,,,,,,1.0,,,5.0,35.0,,,35.0,446.0,,885.0,,,,,,,19.0,10.0,,,3150.0,,2.0,21.0,2.0,,4.0,219.0,,,49.3654,,102.0,40.0,42.0,,1.0,95.0,4.0,0.0,24.0,,,683.0,302.0,35.0,,,,,168.0,40.0,,,,,5.0,17.0,0.0,460.0,,,455.0,1.0,,,107.0,,,,220.0,,1254.0,,,,199.0,271.0,,,1.0,441.0,56.0,,,,,,,,,,,,,,,,1.0,18.0,36.0,274.0,10.0,1.0,22.0,110.0,3.0,5.0,1.0,289.0,158.0,22.0,73.0
20066,Wayne Hennessey,Goalkeeper,C Palace,31,Wales,2019-20,1.0,,0.0087,0.0,,,,,,,,,1.0,3.0,,,3.0,55.0,,97.0,,,,,,,1.0,,,,270.0,,1.0,,2.0,,,8.0,,,8.318,,16.0,5.0,8.0,,,2.0,,0.0,1.0,,,92.0,16.0,3.0,,,,,30.0,6.0,,,,,,,0.0,41.0,,,56.0,,,,3.0,,1.0,,34.0,,127.0,,,,24.0,12.0,,,0.0,54.0,7.0,,,,,,,,,,,,,,,,,,5.0,39.0,1.0,,2.0,16.0,,,,25.0,21.0,5.0,10.0
82403,Wilfried Zaha,Forward,C Palace,31,Cote d’Ivoire,2019-20,362.0,19.0,4.6631,0.0,,22.0,17.0,41.0,3.3333,43.0,39.0,1.0,191.0,38.0,3.0,18.0,37.0,207.0,49.0,1094.0,4.0,16.0,1.0,4.0,1.0,,36.0,9.0,3.0,19.0,3280.0,8.0,26.0,335.0,2.0,57.0,325.0,860.0,,239.0,53.3508,33.0,,2.0,46.0,18.0,336.0,364.0,120.0,1.0,697.0,20.0,3.0,236.0,181.0,38.0,3.0,24.0,2.0,104.0,629.0,44.0,49.0,252.0,,18.0,661.0,10.0,0.0,1088.0,22.0,50.0,683.0,19.0,163.0,,148.0,48.0,18.0,,27.0,346.0,2159.0,23.0,1.0,4.0,3.0,277.0,15.0,5.1819,5.0,16.0,34.0,1.0,10.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
