matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
284201,21,2010-01-09 17:30:00,"St. Andrew's @ Knighthead Park, Birmingham",28907,Away,Man Utd,Birmingham,1,1,D,0,1,1,0,1.0,21.0,3.0,5.0,13.0,,,13.0,8.0,24.0,92.0,523.0,386.0,62.8,,27.0,18.0,23.0,34.0,14.0,2.0,,,3.0,24.0,230.0,,1.0,,60.0,57.0,13.0,14.0,12.0,12.0,1.0,13.0,11.0,0.0,0.0,,,5.0
284215,22,2010-01-16 15:00:00,"Old Trafford, Manchester",75120,Home,Man Utd,Burnley,3,0,W,0,0,0,0,3.0,27.0,10.0,14.0,3.0,,2.0,25.0,11.0,53.0,77.0,485.0,397.0,59.9,61.0,19.0,13.0,13.0,25.0,11.0,3.0,,,7.0,9.0,147.0,4.0,,1.0,40.0,40.0,10.0,6.0,7.0,7.0,,13.0,7.0,0.0,0.0,,,3.0
284221,23,2010-01-23 15:00:00,"Old Trafford, Manchester",73933,Home,Man Utd,Hull,4,0,W,1,0,0,0,4.0,25.0,10.0,10.0,5.0,1.0,3.0,18.0,10.0,26.0,66.0,516.0,420.0,59.2,,15.0,12.0,14.0,32.0,19.0,2.0,1.0,,7.0,15.0,168.0,,,1.0,56.0,55.0,17.0,17.0,12.0,12.0,1.0,6.0,10.0,0.0,0.0,,,2.0
284230,24,2010-01-31 16:00:00,"Emirates Stadium, London",60091,Away,Man Utd,Arsenal,3,1,W,2,0,0,0,3.0,13.0,4.0,6.0,3.0,,3.0,10.0,7.0,18.0,90.0,425.0,318.0,46.3,,36.0,28.0,21.0,31.0,15.0,4.0,1.0,,18.0,16.0,171.0,,1.0,,62.0,63.0,8.0,15.0,5.0,5.0,,12.0,9.0,0.0,0.0,,,
284246,25,2010-02-06 15:00:00,"Old Trafford, Manchester",74684,Home,Man Utd,Portsmouth,5,0,W,2,0,0,0,5.0,21.0,5.0,12.0,4.0,,1.0,18.0,7.0,41.0,89.0,536.0,457.0,58.8,,21.0,19.0,16.0,15.0,11.0,4.0,,,5.0,9.0,132.0,,,1.0,54.0,36.0,11.0,8.0,14.0,12.0,,9.0,11.0,0.0,0.0,,,1.0
284256,26,2010-02-10 19:45:00,"Villa Park, Birmingham",42788,Away,Man Utd,Aston Villa,1,1,D,1,1,1,0,1.0,14.0,3.0,7.0,4.0,,,12.0,6.0,12.0,82.0,475.0,370.0,52.2,,26.0,19.0,17.0,31.0,14.0,3.0,,,5.0,23.0,170.0,,1.0,,58.0,57.0,13.0,15.0,8.0,7.0,,11.0,9.0,0.0,0.0,,,2.0
284263,27,2010-02-20 12:45:00,"Goodison Park, Liverpool",39448,Away,Man Utd,Everton,1,3,L,1,1,0,0,1.0,13.0,2.0,9.0,2.0,,,11.0,2.0,30.0,82.0,413.0,321.0,53.9,,22.0,11.0,13.0,39.0,19.0,2.0,,,5.0,14.0,164.0,,3.0,,56.0,41.0,12.0,8.0,12.0,12.0,1.0,11.0,12.0,0.0,0.0,,,
284276,28,2010-02-23 20:00:00,"Old Trafford, Manchester",73797,Home,Man Utd,West Ham,3,0,W,1,0,0,0,3.0,16.0,10.0,5.0,1.0,1.0,3.0,15.0,11.0,18.0,77.0,522.0,436.0,53.8,,20.0,17.0,21.0,31.0,14.0,2.0,,,6.0,17.0,147.0,,,1.0,58.0,54.0,12.0,13.0,6.0,6.0,,13.0,13.0,0.0,0.0,,,3.0
284289,29,2010-03-06 17:30:00,"Molineux Stadium, Wolverhampton",28883,Away,Man Utd,Wolves,1,0,W,0,0,0,0,1.0,16.0,4.0,10.0,2.0,,,13.0,4.0,20.0,74.0,520.0,383.0,54.4,,25.0,17.0,11.0,35.0,15.0,5.0,,,4.0,13.0,208.0,,,1.0,64.0,38.0,25.0,6.0,4.0,4.0,1.0,8.0,9.0,0.0,0.0,,,1.0
284296,30,2010-03-14 13:30:00,"Old Trafford, Manchester",75207,Home,Man Utd,Fulham,3,0,W,0,0,0,0,3.0,35.0,9.0,14.0,12.0,,3.0,27.0,15.0,25.0,82.0,548.0,453.0,56.8,,15.0,11.0,21.0,16.0,4.0,3.0,1.0,,,13.0,154.0,,,1.0,52.0,31.0,17.0,10.0,10.0,11.0,,7.0,11.0,0.0,0.0,,,2.0
284305,31,2010-03-21 13:30:00,"Old Trafford, Manchester",75216,Home,Man Utd,Liverpool,2,1,W,1,1,0,0,2.0,12.0,5.0,5.0,2.0,,1.0,8.0,4.0,23.0,89.0,535.0,430.0,55.2,,25.0,18.0,15.0,14.0,10.0,,,,3.0,21.0,157.0,,1.0,,69.0,58.0,20.0,15.0,1.0,1.0,1.0,11.0,16.0,0.0,0.0,1.0,,1.0
284311,32,2010-03-27 17:30:00,"Toughsheet Community Stadium, Bolton",25370,Away,Man Utd,Bolton,4,0,W,1,0,0,0,4.0,13.0,6.0,5.0,2.0,,2.0,12.0,7.0,22.0,73.0,433.0,327.0,54.2,,17.0,11.0,14.0,54.0,28.0,8.0,,,4.0,12.0,187.0,,,1.0,59.0,51.0,21.0,11.0,6.0,6.0,,16.0,14.0,0.0,0.0,,,2.0
284326,33,2010-04-03 12:45:00,"Old Trafford, Manchester",75217,Home,Man Utd,Chelsea,1,2,L,0,1,0,0,1.0,11.0,3.0,7.0,1.0,,,10.0,3.0,24.0,80.0,467.0,376.0,52.8,,20.0,13.0,21.0,16.0,10.0,2.0,,,8.0,23.0,154.0,,2.0,,52.0,62.0,15.0,15.0,3.0,3.0,1.0,13.0,11.0,0.0,0.0,,,2.0
284331,34,2010-04-11 13:30:00,"Ewood Park, Blackburn",29912,Away,Man Utd,Blackburn,0,0,D,0,0,0,0,,16.0,4.0,7.0,5.0,,,10.0,6.0,27.0,83.0,561.0,449.0,66.4,,11.0,8.0,15.0,28.0,9.0,6.0,,,4.0,16.0,179.0,,,1.0,42.0,44.0,8.0,8.0,7.0,7.0,2.0,13.0,12.0,0.0,0.0,,,1.0
284344,35,2010-04-17 12:45:00,"Etihad Stadium, Manchester",47019,Away,Man Utd,Man City,1,0,W,0,0,0,0,1.0,15.0,3.0,9.0,3.0,,1.0,13.0,6.0,19.0,77.0,441.0,346.0,56.3,,31.0,24.0,13.0,22.0,13.0,2.0,,,9.0,13.0,147.0,,,1.0,61.0,48.0,14.0,8.0,5.0,5.0,1.0,12.0,7.0,0.0,0.0,,,3.0
284357,36,2010-04-24 12:45:00,"Old Trafford, Manchester",75268,Home,Man Utd,Spurs,3,1,W,0,0,0,0,3.0,19.0,6.0,8.0,5.0,,1.0,12.0,5.0,26.0,70.0,436.0,353.0,56.4,,23.0,17.0,18.0,32.0,14.0,,,,11.0,12.0,149.0,,1.0,,54.0,53.0,12.0,13.0,4.0,4.0,,14.0,10.0,0.0,0.0,2.0,2.0,4.0
284367,37,2010-05-02 16:00:00,"Stadium of Light, Sunderland",47641,Away,Man Utd,Sunderland,1,0,W,1,0,0,0,1.0,16.0,5.0,7.0,4.0,1.0,1.0,14.0,8.0,23.0,74.0,438.0,327.0,51.7,,31.0,23.0,16.0,31.0,10.0,2.0,,,2.0,27.0,196.0,,,1.0,59.0,54.0,12.0,10.0,4.0,4.0,,10.0,10.0,0.0,0.0,,,
284377,38,2010-05-09 16:00:00,"Old Trafford, Manchester",75316,Home,Man Utd,Stoke,4,0,W,2,0,0,0,4.0,21.0,6.0,5.0,10.0,1.0,2.0,15.0,11.0,30.0,67.0,494.0,405.0,60.8,,25.0,17.0,10.0,30.0,17.0,,,,5.0,14.0,153.0,,,1.0,62.0,49.0,22.0,16.0,9.0,10.0,,11.0,5.0,0.0,0.0,,,2.0
