matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
321760,11,2010-11-06 15:00:00,11,Everton,Away,118.0,19.0,3.0,7.0,4.0,7.0,,217.0,5.0,,3.0,7.0,12.0,28.0,328.0,1.0,2.0,21.0,17.0,22.0,14.0,1.0,,,,,,,,,,19.0,,,,,,1.0,8.0,7.0,65.0,56.0,1.0,1.0,,1.0,7.0,8.0,,7.0,15.0,2.0,1.0,16.0,,62.0,77.0,1.0,12.0,6.0,,,71.0,15.0,14.0,,,2.0,2.0,,154.0,1.0,,1.0,1.0,,,8.0,2.0,,3.0,10.0,,12.0,10.0,,3.0,94.0,91.0,49.0,3.0,1.0,7.0,9.0,6.0,7.0,5.0,,81.0,56.0,23.0,,,,,178.0,163.0,3.0,25.0,22.0,51.8,,,0.0,99.0,,2.0,,,,8.0,,3.0,128.0,16.0,133.0,29.0,27.0,19.0,7.0,26.0,19.0,,172.0,12.0,305.0,,,30.0,13.0,59.0,3.0,412.0,1.0,0.0,21.0,31.0,3.0,30.0,1.0,650.0,15.0,10.0,7.0,22.0,0.0
321774,12,2010-11-10 20:00:00,11,Everton,Home,127.0,9.0,6.0,14.0,8.0,2.0,1.0,244.0,9.0,,3.0,15.0,11.0,41.0,357.0,,3.0,23.0,23.0,12.0,15.0,3.0,,,1.0,,,1.0,,,,17.0,,,,,,1.0,9.0,3.0,67.0,46.0,,1.0,,2.0,8.0,5.0,,15.0,21.0,9.0,,23.0,2.0,64.0,47.0,2.0,15.0,9.0,,,89.0,10.0,12.0,1.0,,2.0,1.0,1.0,155.0,1.0,,,1.0,,,13.0,1.0,,1.0,23.0,,11.0,9.0,,3.0,104.0,98.0,61.0,10.0,,9.0,10.0,7.0,3.0,1.0,,49.0,73.0,25.0,,,,,174.0,153.0,2.0,19.0,18.0,64.3,,,0.0,103.0,1.0,1.0,,,,12.0,,3.0,158.0,19.0,137.0,13.0,36.0,12.0,13.0,44.0,31.0,,207.0,9.0,336.0,,,31.0,13.0,62.0,2.0,429.0,1.0,1.0,27.0,15.0,4.0,29.0,0.0,671.0,11.0,8.0,15.0,10.0,0.0
321779,13,2010-11-14 14:00:00,11,Everton,Home,127.0,11.0,2.0,7.0,5.0,4.0,,185.0,3.0,,8.0,15.0,9.0,35.0,305.0,2.0,1.0,19.0,15.0,16.0,10.0,2.0,1.0,,,,1.0,2.0,,,,13.0,,,,,,1.0,6.0,7.0,55.0,64.0,3.0,2.0,1.0,,6.0,8.0,,8.0,15.0,4.0,,15.0,2.0,57.0,69.0,,14.0,5.0,,,101.0,16.0,14.0,,,4.0,2.0,2.0,180.0,1.0,,,,1.0,,7.0,,,1.0,7.0,,13.0,13.0,1.0,8.0,92.0,92.0,47.0,2.0,1.0,5.0,8.0,6.0,3.0,3.0,,48.0,53.0,29.0,,,,,177.0,170.0,3.0,22.0,29.0,48.8,,,0.0,86.0,1.0,2.0,,1.0,1.0,7.0,,3.0,80.0,13.0,141.0,32.0,21.0,19.0,6.0,27.0,21.0,1.0,157.0,11.0,299.0,,,38.0,9.0,70.0,5.0,413.0,2.0,0.0,19.0,24.0,4.0,22.0,2.0,629.0,8.0,15.0,9.0,20.0,0.0
321795,14,2010-11-22 20:00:00,11,Everton,Away,97.0,14.0,1.0,6.0,5.0,4.0,,236.0,4.0,,10.0,10.0,25.0,31.0,327.0,,2.0,23.0,30.0,19.0,9.0,1.0,,,,,,,,,,12.0,,,,,,,7.0,7.0,67.0,54.0,1.0,1.0,,1.0,3.0,8.0,,4.0,11.0,12.0,,16.0,2.0,65.0,49.0,1.0,14.0,7.0,,,89.0,8.0,5.0,,,,,,183.0,2.0,,1.0,2.0,,,11.0,2.0,,1.0,18.0,,11.0,7.0,,10.0,108.0,104.0,46.0,4.0,2.0,3.0,9.0,7.0,4.0,3.0,,73.0,84.0,33.0,,,,,228.0,209.0,4.0,20.0,16.0,54.7,,3.0,0.0,101.0,,2.0,,1.0,,3.0,,3.0,119.0,12.0,122.0,32.0,33.0,6.0,4.0,27.0,23.0,,187.0,9.0,364.0,,,42.0,28.0,66.0,5.0,459.0,,0.0,13.0,23.0,3.0,30.0,2.0,679.0,14.0,2.0,4.0,16.0,0.0
321799,15,2010-11-27 15:00:00,11,Everton,Home,104.0,9.0,1.0,4.0,3.0,3.0,1.0,154.0,1.0,1.0,11.0,14.0,8.0,40.0,254.0,,1.0,20.0,10.0,12.0,8.0,,,,1.0,,1.0,2.0,,,,7.0,,,,,,2.0,5.0,4.0,50.0,62.0,3.0,3.0,,2.0,1.0,11.0,,2.0,10.0,2.0,,7.0,,51.0,65.0,2.0,8.0,3.0,,,75.0,12.0,19.0,,,7.0,5.0,2.0,139.0,1.0,1.0,1.0,,1.0,,2.0,,2.0,,14.0,,18.0,15.0,,11.0,79.0,83.0,51.0,2.0,1.0,5.0,4.0,4.0,1.0,3.0,,49.0,55.0,21.0,,,,,161.0,142.0,3.0,20.0,21.0,46.6,,,0.0,77.0,1.0,,,,,7.0,,3.0,66.0,9.0,118.0,19.0,27.0,15.0,2.0,19.0,17.0,,122.0,12.0,246.0,2.0,1.0,27.0,8.0,56.0,1.0,345.0,,1.0,12.0,30.0,3.0,23.0,1.0,543.0,10.0,4.0,2.0,23.0,0.0
321811,16,2010-12-04 15:00:00,11,Everton,Away,118.0,21.0,1.0,8.0,7.0,2.0,,174.0,7.0,1.0,9.0,16.0,13.0,40.0,284.0,,,10.0,23.0,14.0,9.0,,,,,,,,,,1.0,18.0,,,,,1.0,,9.0,5.0,46.0,61.0,1.0,,1.0,1.0,5.0,11.0,,2.0,8.0,12.0,,18.0,,67.0,50.0,1.0,26.0,9.0,1.0,,79.0,13.0,6.0,1.0,,3.0,3.0,,144.0,1.0,,1.0,1.0,,,8.0,1.0,1.0,1.0,11.0,1.0,9.0,7.0,,9.0,91.0,81.0,53.0,7.0,,4.0,6.0,4.0,6.0,3.0,,60.0,43.0,26.0,1.0,1.0,1.0,,157.0,146.0,,24.0,19.0,43.6,1.0,,0.0,85.0,2.0,,,,,9.0,,2.0,107.0,10.0,134.0,33.0,37.0,6.0,2.0,25.0,23.0,,149.0,9.0,257.0,3.0,2.0,26.0,14.0,58.0,1.0,366.0,,0.0,18.0,27.0,1.0,18.0,4.0,588.0,13.0,3.0,2.0,22.0,0.0
321819,17,2010-12-11 15:00:00,11,Everton,Home,82.0,13.0,1.0,9.0,8.0,4.0,2.0,190.0,4.0,1.0,3.0,22.0,13.0,35.0,263.0,,1.0,20.0,16.0,17.0,10.0,1.0,,,,,,,,,,9.0,,,,1.0,,2.0,4.0,2.0,54.0,59.0,4.0,4.0,,3.0,2.0,5.0,,9.0,14.0,8.0,,20.0,1.0,67.0,70.0,3.0,13.0,3.0,,1.0,92.0,12.0,18.0,,,7.0,7.0,,148.0,,,,,,,6.0,,,,8.0,1.0,13.0,8.0,1.0,3.0,86.0,87.0,48.0,4.0,,5.0,6.0,5.0,2.0,1.0,,70.0,54.0,40.0,,,,,205.0,195.0,2.0,18.0,30.0,49.8,1.0,1.0,0.0,75.0,1.0,1.0,,,,7.0,1.0,2.0,112.0,11.0,100.0,23.0,23.0,23.0,7.0,36.0,29.0,,167.0,8.0,299.0,,1.0,41.0,14.0,59.0,8.0,363.0,,0.0,14.0,26.0,2.0,30.0,2.0,605.0,13.0,9.0,9.0,15.0,0.0
321833,18,2010-12-20 20:00:00,11,Everton,Away,84.0,5.0,,3.0,3.0,2.0,,129.0,5.0,,2.0,16.0,13.0,23.0,210.0,,,16.0,10.0,9.0,3.0,,,,,,,,,,,6.0,,,,,,,14.0,19.0,51.0,51.0,1.0,,1.0,3.0,2.0,8.0,,,5.0,3.0,1.0,21.0,4.0,57.0,48.0,3.0,21.0,8.0,,,66.0,13.0,9.0,,,2.0,1.0,,118.0,2.0,,2.0,2.0,,,13.0,2.0,1.0,,14.0,,21.0,19.0,2.0,2.0,61.0,65.0,34.0,11.0,1.0,2.0,3.0,2.0,16.0,1.0,,58.0,38.0,6.0,,,,,148.0,132.0,1.0,25.0,15.0,31.8,,1.0,0.0,56.0,3.0,3.0,1.0,,,2.0,,3.0,69.0,5.0,103.0,15.0,37.0,13.0,,9.0,9.0,,108.0,9.0,192.0,1.0,,35.0,14.0,45.0,2.0,286.0,,1.0,6.0,22.0,,21.0,1.0,515.0,8.0,8.0,,16.0,0.0
321842,19,2011-03-09 20:00:00,11,Everton,Home,107.0,12.0,4.0,11.0,7.0,3.0,,210.0,6.0,,6.0,14.0,14.0,44.0,306.0,,,26.0,16.0,15.0,16.0,1.0,,,,,,1.0,,,,18.0,,,,,,,2.0,4.0,42.0,51.0,2.0,2.0,,2.0,8.0,2.0,,9.0,18.0,12.0,1.0,14.0,1.0,43.0,46.0,2.0,16.0,10.0,,,97.0,8.0,12.0,,,2.0,1.0,1.0,165.0,,,,,,,11.0,,,,16.0,,9.0,8.0,,6.0,106.0,92.0,48.0,1.0,,5.0,12.0,9.0,,2.0,,88.0,57.0,28.0,,,,,189.0,179.0,,17.0,21.0,59.0,,,0.0,102.0,1.0,1.0,,1.0,,5.0,,3.0,112.0,17.0,125.0,23.0,26.0,9.0,9.0,40.0,31.0,,178.0,7.0,330.0,,,48.0,16.0,86.0,,415.0,,0.0,22.0,13.0,2.0,33.0,1.0,638.0,10.0,6.0,9.0,11.0,0.0
321855,20,2010-12-28 17:30:00,11,Everton,Away,139.0,11.0,4.0,9.0,5.0,3.0,2.0,252.0,8.0,1.0,6.0,17.0,13.0,48.0,382.0,,1.0,25.0,24.0,11.0,8.0,3.0,,,,,,,1.0,,,7.0,,,,,,1.0,10.0,5.0,72.0,61.0,2.0,1.0,1.0,4.0,3.0,7.0,,7.0,13.0,8.0,1.0,11.0,,63.0,48.0,4.0,17.0,11.0,,,75.0,19.0,12.0,,,2.0,2.0,,166.0,1.0,,1.0,1.0,,,13.0,1.0,,2.0,21.0,,18.0,15.0,1.0,6.0,130.0,92.0,55.0,4.0,,7.0,5.0,3.0,6.0,3.0,1.0,78.0,74.0,19.0,,,,,161.0,146.0,1.0,24.0,29.0,62.5,,1.0,0.0,97.0,,,,,,10.0,,3.0,125.0,12.0,153.0,20.0,32.0,10.0,7.0,30.0,23.0,,169.0,9.0,342.0,,2.0,35.0,16.0,68.0,3.0,465.0,,0.0,16.0,19.0,1.0,26.0,0.0,693.0,15.0,6.0,7.0,11.0,0.0
321861,21,2011-01-01 15:00:00,11,Everton,Away,132.0,17.0,3.0,9.0,6.0,3.0,1.0,209.0,5.0,,9.0,12.0,14.0,36.0,332.0,,,32.0,26.0,19.0,6.0,3.0,,,1.0,,,2.0,1.0,,,7.0,,,,,,,8.0,1.0,73.0,62.0,1.0,1.0,,,6.0,4.0,,5.0,9.0,9.0,,18.0,,65.0,57.0,,20.0,11.0,,,80.0,10.0,12.0,,,6.0,3.0,2.0,157.0,,,,,,,11.0,,3.0,2.0,19.0,,11.0,9.0,2.0,9.0,101.0,89.0,49.0,1.0,,5.0,4.0,2.0,3.0,,1.0,62.0,53.0,27.0,,,,,194.0,171.0,4.0,28.0,19.0,64.1,,,0.0,101.0,,,,1.0,,7.0,,3.0,98.0,9.0,156.0,36.0,43.0,15.0,5.0,26.0,21.0,,153.0,9.0,302.0,3.0,,28.0,18.0,64.0,,432.0,,0.0,15.0,20.0,,36.0,1.0,667.0,17.0,6.0,5.0,14.0,0.0
321874,22,2011-01-05 20:00:00,11,Everton,Home,78.0,4.0,1.0,4.0,3.0,5.0,,182.0,6.0,1.0,2.0,14.0,12.0,29.0,256.0,,,17.0,22.0,12.0,14.0,,4.0,,,,,1.0,,,,19.0,,,,,,,5.0,9.0,52.0,52.0,2.0,2.0,,1.0,6.0,7.0,,3.0,11.0,9.0,1.0,5.0,1.0,58.0,57.0,1.0,24.0,15.0,,,83.0,18.0,13.0,1.0,,2.0,2.0,1.0,154.0,1.0,,,1.0,,1.0,10.0,2.0,,1.0,27.0,,6.0,5.0,,2.0,73.0,78.0,40.0,3.0,,5.0,10.0,10.0,4.0,2.0,,67.0,49.0,26.0,,,,,160.0,145.0,2.0,19.0,23.0,46.5,,1.0,0.0,67.0,1.0,2.0,,1.0,4.0,5.0,,3.0,112.0,15.0,85.0,15.0,39.0,15.0,3.0,25.0,22.0,4.0,176.0,12.0,286.0,,1.0,32.0,13.0,56.0,1.0,346.0,,0.0,21.0,24.0,3.0,20.0,1.0,545.0,12.0,8.0,4.0,22.0,0.0
