matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPostHigh,attPostLeft,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
442106,11.0,2012-11-10 15:00:00,80,Swansea,Away,219.0,16.0,4.0,5.0,1.0,4.0,,191.0,4.0,,3.0,4.0,13.0,39.0,405.0,,1.0,13.0,15.0,17.0,4.0,2.0,,,,,,,,,,,,4.0,,,,10.0,6.0,,,,81.0,53.0,,,,4.0,2.0,6.0,,,6.0,8.0,3.0,,9.0,1.0,51.0,46.0,4.0,31.0,18.0,,,57.0,13.0,11.0,,,,,157.0,,,,,,,10.0,,,1.0,2.0,,,,2.0,29.0,,16.0,9.0,3.0,3.0,108.0,78.0,41.0,10.0,1.0,2.0,4.0,3.0,,,,5.0,,,31.0,87.0,10.0,,,,,158.0,135.0,1.0,18.0,26.0,51.6,,2.0,0.0,,,,143.0,2.0,1.0,,,,,2.0,,3.0,80.0,,6.0,234.0,23.0,54.0,13.0,5.0,16.0,11.0,,122.0,9.0,271.0,2.0,,20.0,13.0,67.0,2.0,489.0,,0.0,7.0,15.0,2.0,14.0,2.0,685.0,,12.0,3.0,6.0,10.0,0.0
442113,12.0,2012-11-17 15:00:00,80,Swansea,Away,140.0,10.0,2.0,4.0,2.0,3.0,,198.0,7.0,,4.0,7.0,14.0,23.0,334.0,,3.0,14.0,21.0,16.0,9.0,2.0,,3.0,,,,,,,,,1.0,13.0,,,,17.0,15.0,,,,68.0,62.0,3.0,2.0,2.0,3.0,3.0,11.0,,,4.0,9.0,2.0,,7.0,3.0,57.0,49.0,3.0,31.0,21.0,,,69.0,8.0,8.0,,2.0,1.0,,148.0,1.0,,1.0,1.0,,,22.0,,,2.0,,,,,1.0,33.0,,13.0,11.0,3.0,4.0,101.0,92.0,59.0,5.0,2.0,5.0,7.0,7.0,,,,6.0,,,31.0,75.0,12.0,,,,,171.0,142.0,3.0,21.0,30.0,48.0,,1.0,0.0,,,,89.0,5.0,3.0,,,1.0,3.0,6.0,,3.0,73.0,,12.0,157.0,14.0,60.0,13.0,4.0,16.0,12.0,3.0,108.0,10.0,265.0,,,16.0,15.0,39.0,2.0,406.0,,0.0,16.0,23.0,5.0,18.0,3.0,650.0,,19.0,2.0,4.0,18.0,0.0
442126,13.0,2012-11-25 13:30:00,80,Swansea,Home,228.0,3.0,3.0,5.0,2.0,1.0,,223.0,4.0,,5.0,9.0,15.0,23.0,446.0,1.0,,18.0,14.0,11.0,11.0,3.0,,,,2.0,,,2.0,,,,,11.0,,,,14.0,7.0,,,,96.0,67.0,,,,1.0,7.0,13.0,,,7.0,11.0,5.0,,8.0,4.0,48.0,57.0,1.0,16.0,7.0,,3.0,55.0,7.0,10.0,,2.0,,2.0,177.0,,,,,,,7.0,,,,,,,,1.0,17.0,,29.0,22.0,3.0,5.0,137.0,61.0,43.0,6.0,,7.0,7.0,2.0,,,,5.0,4.0,,47.0,79.0,18.0,,,,,146.0,130.0,2.0,27.0,28.0,49.5,,,0.0,,,,112.0,6.0,3.0,,,,,9.0,,3.0,97.0,,14.0,252.0,9.0,32.0,14.0,6.0,22.0,16.0,,130.0,4.0,292.0,,,19.0,16.0,35.0,,522.0,1.0,0.0,18.0,29.0,,18.0,1.0,759.0,,15.0,7.0,7.0,26.0,0.0
442134,14.0,2012-11-28 19:45:00,80,Swansea,Home,327.0,15.0,1.0,7.0,6.0,1.0,,302.0,4.0,,1.0,1.0,21.0,68.0,622.0,1.0,,16.0,15.0,8.0,7.0,1.0,,,,2.0,,,2.0,,,,,10.0,,1.0,,2.0,4.0,,,,116.0,51.0,1.0,,2.0,3.0,4.0,4.0,,,5.0,14.0,5.0,,12.0,,51.0,43.0,3.0,13.0,5.0,,,54.0,11.0,16.0,,4.0,1.0,2.0,171.0,2.0,,2.0,2.0,,,9.0,,,3.0,2.0,,,,,10.0,1.0,18.0,17.0,2.0,1.0,208.0,92.0,69.0,2.0,3.0,3.0,7.0,4.0,,,,1.0,2.0,,68.0,110.0,15.0,,,,,137.0,118.0,1.0,20.0,28.0,64.7,1.0,,0.0,,,,184.0,,,,,,,5.0,,3.0,99.0,,10.0,340.0,20.0,32.0,12.0,5.0,25.0,20.0,,120.0,1.0,364.0,2.0,,7.0,24.0,80.0,6.0,679.0,1.0,0.0,13.0,16.0,,17.0,0.0,869.0,,8.0,3.0,5.0,14.0,0.0
442139,15.0,2012-12-01 15:00:00,80,Swansea,Away,301.0,11.0,2.0,6.0,4.0,3.0,,203.0,3.0,,5.0,7.0,16.0,34.0,498.0,1.0,3.0,10.0,12.0,6.0,9.0,,1.0,3.0,,1.0,,,1.0,,,1.0,3.0,11.0,,,1.0,6.0,4.0,10.0,4.0,,112.0,56.0,4.0,2.0,2.0,11.0,5.0,10.0,,,5.0,8.0,1.0,,9.0,1.0,45.0,46.0,11.0,13.0,5.0,,,33.0,10.0,12.0,,3.0,1.0,1.0,164.0,2.0,,1.0,2.0,,1.0,3.0,,,2.0,3.0,,,,1.0,9.0,,13.0,9.0,2.0,5.0,148.0,64.0,38.0,8.0,2.0,1.0,10.0,7.0,544.0,,,3.0,2.0,,62.0,66.0,18.0,,,,,98.0,98.0,3.0,22.0,20.0,47.5,,1.0,0.0,,,,140.0,3.0,2.0,5.0,,,3.0,2.0,,2.0,67.0,483.0,11.0,325.0,23.0,22.0,11.0,4.0,14.0,10.0,3.0,84.0,6.0,253.0,3.0,,29.0,16.0,60.0,6.0,564.0,1.0,0.0,14.0,22.0,3.0,10.0,0.0,734.0,17.0,2.0,6.0,5.0,19.0,0.0
442156,16.0,2012-12-08 15:00:00,80,Swansea,Home,228.0,11.0,1.0,11.0,10.0,1.0,,379.0,,,5.0,3.0,20.0,47.0,596.0,,2.0,13.0,10.0,13.0,13.0,,,,,,,1.0,2.0,,,,,17.0,1.0,,,7.0,2.0,,,,99.0,63.0,2.0,,2.0,1.0,4.0,3.0,,1.0,6.0,9.0,16.0,,2.0,1.0,43.0,37.0,1.0,13.0,6.0,1.0,,79.0,12.0,9.0,,3.0,1.0,2.0,162.0,2.0,,2.0,1.0,1.0,,1.0,,,2.0,,,,,,17.0,1.0,13.0,9.0,,5.0,215.0,68.0,56.0,2.0,3.0,10.0,5.0,5.0,,,,,3.0,,77.0,88.0,30.0,,,,,137.0,117.0,3.0,23.0,30.0,66.8,1.0,2.0,0.0,,,,185.0,3.0,,,,,,11.0,,1.0,163.0,,15.0,246.0,19.0,33.0,20.0,6.0,32.0,26.0,,196.0,2.0,447.0,,,10.0,21.0,54.0,1.0,661.0,,0.0,20.0,11.0,4.0,14.0,2.0,840.0,,7.0,4.0,6.0,8.0,0.0
442167,17.0,2012-12-16 13:30:00,80,Swansea,Away,230.0,5.0,1.0,2.0,1.0,2.0,,166.0,9.0,,4.0,6.0,16.0,26.0,394.0,,,19.0,13.0,12.0,2.0,,,,,,,,,,1.0,,,3.0,,,,13.0,16.0,,,,91.0,51.0,1.0,1.0,,3.0,,4.0,,,3.0,4.0,4.0,,12.0,5.0,44.0,46.0,3.0,7.0,5.0,,1.0,47.0,8.0,12.0,,1.0,2.0,,167.0,,,,,,,11.0,,,,,,,,,13.0,,21.0,14.0,5.0,4.0,111.0,79.0,53.0,9.0,,2.0,,,,,,11.0,2.0,,43.0,65.0,17.0,,,,,150.0,138.0,1.0,20.0,23.0,50.1,,,0.0,,,,112.0,3.0,4.0,,,,,3.0,,3.0,48.0,,2.0,247.0,8.0,19.0,10.0,3.0,13.0,10.0,,91.0,8.0,247.0,,,15.0,18.0,42.0,5.0,481.0,,0.0,3.0,19.0,,22.0,3.0,664.0,,9.0,3.0,3.0,13.0,0.0
442174,18.0,2012-12-23 13:30:00,80,Swansea,Home,157.0,7.0,,1.0,1.0,1.0,,157.0,5.0,,1.0,7.0,16.0,21.0,313.0,,,14.0,26.0,16.0,11.0,,,,,,,,,,,,,14.0,,,,13.0,7.0,,,,74.0,62.0,1.0,1.0,1.0,6.0,1.0,5.0,1.0,,3.0,6.0,4.0,,7.0,2.0,56.0,50.0,6.0,21.0,10.0,,1.0,43.0,11.0,16.0,,2.0,2.0,,146.0,,,,,,,9.0,,,1.0,,,,,,22.0,,12.0,11.0,2.0,1.0,95.0,70.0,35.0,6.0,1.0,4.0,7.0,9.0,,,,9.0,,,18.0,61.0,18.0,,,,,147.0,124.0,1.0,31.0,22.0,40.3,,,0.0,,,,75.0,4.0,2.0,,,1.0,,4.0,,3.0,67.0,,11.0,179.0,19.0,44.0,9.0,3.0,15.0,12.0,,94.0,5.0,226.0,,,23.0,17.0,46.0,3.0,390.0,,0.0,14.0,16.0,,15.0,2.0,586.0,,11.0,2.0,3.0,14.0,0.0
442186,19.0,2012-12-26 15:00:00,80,Swansea,Away,314.0,9.0,1.0,3.0,2.0,1.0,,242.0,4.0,,8.0,4.0,18.0,38.0,553.0,,,24.0,18.0,10.0,5.0,,,,,1.0,,,1.0,,,,,8.0,,,1.0,2.0,1.0,,,,100.0,52.0,1.0,2.0,,3.0,2.0,,1.0,,4.0,6.0,6.0,,15.0,,56.0,43.0,3.0,35.0,17.0,,1.0,67.0,16.0,15.0,,3.0,3.0,1.0,169.0,,,,,,,4.0,,,,,,,,1.0,24.0,,12.0,10.0,,8.0,199.0,83.0,58.0,6.0,,2.0,3.0,2.0,,,,2.0,2.0,,54.0,83.0,17.0,,,,,145.0,129.0,4.0,21.0,19.0,72.0,,4.0,0.0,,,,163.0,1.0,,,,,,6.0,,3.0,98.0,,5.0,332.0,26.0,51.0,14.0,4.0,19.0,15.0,,136.0,5.0,318.0,,,21.0,20.0,69.0,1.0,631.0,,0.0,10.0,12.0,,25.0,1.0,827.0,,8.0,6.0,4.0,9.0,0.0
442192,20.0,2012-12-29 15:00:00,80,Swansea,Away,141.0,5.0,3.0,6.0,3.0,,,108.0,10.0,,5.0,4.0,4.0,17.0,243.0,,,15.0,11.0,13.0,4.0,1.0,,,,,,,1.0,,,,,8.0,,,,10.0,13.0,,,,66.0,58.0,,,1.0,4.0,2.0,8.0,,,8.0,11.0,4.0,,9.0,4.0,44.0,50.0,4.0,30.0,17.0,,,37.0,12.0,14.0,1.0,2.0,1.0,1.0,126.0,1.0,,1.0,1.0,,,18.0,,,2.0,2.0,,,,,30.0,,20.0,15.0,2.0,5.0,64.0,75.0,34.0,9.0,1.0,1.0,5.0,7.0,,,,7.0,,,35.0,55.0,10.0,,,,,163.0,135.0,4.0,32.0,11.0,40.6,,3.0,0.0,,,,71.0,1.0,4.0,,,1.0,,1.0,,3.0,62.0,,6.0,169.0,7.0,58.0,9.0,7.0,23.0,16.0,,82.0,2.0,181.0,2.0,,28.0,5.0,49.0,,327.0,,0.0,10.0,18.0,,16.0,1.0,558.0,,12.0,5.0,8.0,14.0,0.0
