matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
919000,11,2017-11-04 15:00:00,80,Swansea,Home,166.0,16.0,1.0,4.0,3.0,2.0,1.0,217.0,2.0,,1.0,7.0,9.0,38.0,379.0,,2.0,20.0,23.0,27.0,6.0,,,,,,,,7.0,,1.0,,,2.0,6.0,3.0,2.0,11.0,1.0,70.0,54.0,1.0,1.0,,2.0,14.0,7.0,3.0,,,8.0,8.0,9.0,,9.0,,54.0,61.0,2.0,19.0,11.0,,,72.0,13.0,11.0,,,5.0,6.0,,171.0,,,,,,7.0,,1.0,,11.0,1.0,10.0,10.0,1.0,1.0,120.0,93.0,62.0,7.0,,2.0,4.0,2.0,448.0,1.0,5.0,,46.0,104.0,42.0,,,,,,149.0,149.0,4.0,21.0,25.0,56.1,1.0,,,1.0,14.0,0.0,107.0,1.0,,1.0,2.0,,3.0,3.0,3.0,86.0,369.0,7.0,6.0,179.0,24.0,19.0,19.0,8.0,31.0,23.0,,133.0,5.0,320.0,1.0,,22.0,10.0,71.0,1.0,468.0,,0.0,12.0,12.0,2.0,22.0,2.0,653.0,28.0,8.0,11.0,8.0,7.0,0.0
919006,12,2017-11-18 15:00:00,80,Swansea,Away,177.0,6.0,,4.0,4.0,4.0,,206.0,3.0,1.0,8.0,9.0,13.0,32.0,379.0,,,25.0,24.0,22.0,11.0,,,1.0,,1.0,,,10.0,,,,,2.0,4.0,12.0,5.0,8.0,6.0,71.0,62.0,,,,6.0,14.0,4.0,6.0,,,6.0,11.0,7.0,,16.0,3.0,60.0,58.0,6.0,29.0,10.0,,,67.0,12.0,11.0,,,4.0,3.0,1.0,168.0,,,,,,6.0,,1.0,2.0,10.0,,8.0,8.0,2.0,8.0,119.0,79.0,52.0,8.0,,8.0,3.0,1.0,447.0,5.0,1.0,,53.0,93.0,37.0,,,,,,150.0,150.0,2.0,23.0,24.0,60.8,,,,,14.0,0.0,113.0,2.0,3.0,6.0,1.0,,9.0,,3.0,83.0,362.0,3.0,11.0,203.0,18.0,29.0,22.0,5.0,26.0,21.0,,122.0,7.0,294.0,1.0,1.0,25.0,13.0,60.0,1.0,471.0,,0.0,14.0,10.0,,25.0,1.0,685.0,19.0,11.0,15.0,6.0,9.0,0.0
919020,13,2017-11-25 15:00:00,80,Swansea,Home,162.0,13.0,,2.0,2.0,5.0,,190.0,5.0,,1.0,10.0,10.0,37.0,350.0,,1.0,16.0,17.0,18.0,5.0,,,,,,,,10.0,,1.0,,,,6.0,5.0,4.0,7.0,3.0,69.0,71.0,,1.0,,3.0,19.0,3.0,13.0,,,4.0,8.0,6.0,,15.0,1.0,62.0,50.0,3.0,25.0,12.0,,,57.0,18.0,5.0,,,,,,156.0,,,,,,7.0,,,1.0,12.0,1.0,15.0,15.0,1.0,1.0,123.0,67.0,30.0,5.0,,3.0,2.0,1.0,425.0,2.0,,,71.0,71.0,30.0,,,,,,150.0,150.0,6.0,29.0,28.0,48.2,1.0,,,,19.0,0.0,99.0,4.0,1.0,5.0,1.0,,6.0,,2.0,85.0,335.0,7.0,5.0,181.0,37.0,25.0,11.0,4.0,18.0,14.0,,128.0,10.0,284.0,1.0,,30.0,12.0,71.0,3.0,447.0,,0.0,10.0,17.0,1.0,23.0,4.0,630.0,17.0,11.0,10.0,4.0,13.0,0.0
919029,14,2017-11-29 19:45:00,80,Swansea,Away,165.0,10.0,,,,1.0,,150.0,5.0,,1.0,10.0,20.0,32.0,315.0,,,14.0,21.0,9.0,2.0,,,,,,,,2.0,,,,,,2.0,14.0,7.0,,2.0,83.0,57.0,,,,4.0,25.0,1.0,12.0,,,1.0,8.0,1.0,,16.0,6.0,60.0,38.0,4.0,42.0,26.0,,2.0,53.0,7.0,10.0,,,,1.0,,137.0,,,,,,10.0,,1.0,1.0,26.0,,14.0,14.0,1.0,1.0,89.0,74.0,47.0,15.0,,1.0,1.0,,378.0,4.0,2.0,,45.0,44.0,9.0,,,,,,148.0,148.0,1.0,28.0,20.0,38.9,,,,,25.0,0.0,95.0,6.0,3.0,9.0,,,1.0,,3.0,55.0,300.0,15.0,2.0,194.0,24.0,42.0,10.0,1.0,11.0,10.0,,94.0,5.0,221.0,1.0,,28.0,25.0,65.0,,404.0,,0.0,2.0,16.0,1.0,22.0,0.0,611.0,3.0,16.0,4.0,1.0,10.0,0.0
919040,15,2017-12-02 15:00:00,80,Swansea,Away,198.0,15.0,1.0,3.0,2.0,1.0,,177.0,3.0,,7.0,3.0,9.0,33.0,372.0,,,17.0,25.0,19.0,5.0,1.0,,,,,,,6.0,,,,,1.0,3.0,6.0,4.0,3.0,7.0,74.0,57.0,,,,2.0,15.0,5.0,9.0,,,6.0,14.0,8.0,,11.0,,57.0,61.0,2.0,21.0,10.0,1.0,,57.0,10.0,12.0,1.0,,3.0,3.0,,150.0,1.0,,1.0,1.0,,6.0,1.0,2.0,,10.0,,5.0,5.0,,7.0,117.0,76.0,40.0,2.0,,2.0,5.0,3.0,436.0,1.0,2.0,,44.0,70.0,36.0,,,,,,146.0,146.0,2.0,20.0,27.0,55.9,,3.0,,,15.0,0.0,117.0,1.0,,1.0,,,2.0,,3.0,60.0,358.0,4.0,7.0,216.0,35.0,21.0,9.0,6.0,31.0,25.0,,98.0,3.0,273.0,2.0,,22.0,9.0,71.0,,458.0,,0.0,10.0,24.0,,23.0,0.0,649.0,10.0,11.0,7.0,6.0,13.0,0.0
919050,16,2017-12-09 15:00:00,80,Swansea,Home,161.0,15.0,4.0,5.0,1.0,2.0,,209.0,4.0,,6.0,6.0,8.0,31.0,365.0,,,19.0,28.0,21.0,7.0,4.0,1.0,,,1.0,,1.0,10.0,,,,,2.0,3.0,5.0,2.0,8.0,10.0,64.0,51.0,1.0,1.0,,4.0,11.0,7.0,6.0,,,6.0,18.0,3.0,,14.0,,55.0,71.0,4.0,24.0,11.0,,,58.0,8.0,18.0,1.0,,5.0,2.0,1.0,172.0,,,,,,7.0,,2.0,,11.0,1.0,9.0,9.0,3.0,6.0,116.0,77.0,46.0,3.0,,7.0,4.0,3.0,436.0,3.0,1.0,,67.0,71.0,41.0,,,,,,157.0,157.0,1.0,20.0,23.0,54.3,,,,,11.0,0.0,109.0,,1.0,1.0,,1.0,8.0,1.0,3.0,96.0,345.0,1.0,11.0,190.0,29.0,24.0,14.0,6.0,29.0,23.0,1.0,131.0,10.0,300.0,2.0,,25.0,8.0,63.0,1.0,461.0,,0.0,18.0,20.0,,25.0,2.0,675.0,21.0,14.0,13.0,6.0,17.0,0.0
919057,17,2017-12-13 19:45:00,80,Swansea,Home,90.0,6.0,1.0,3.0,2.0,1.0,1.0,62.0,8.0,,3.0,4.0,5.0,18.0,149.0,,,17.0,11.0,10.0,3.0,1.0,1.0,,,,,,4.0,,,,,2.0,9.0,17.0,6.0,3.0,4.0,27.0,43.0,,1.0,,1.0,9.0,2.0,19.0,,,2.0,5.0,,,13.0,5.0,58.0,42.0,1.0,18.0,5.0,,1.0,35.0,12.0,6.0,,1.0,1.0,1.0,,102.0,,,,,,17.0,,1.0,1.0,5.0,,12.0,12.0,1.0,3.0,49.0,54.0,18.0,5.0,,,4.0,3.0,193.0,3.0,1.0,,30.0,28.0,16.0,,,,,,116.0,116.0,2.0,20.0,12.0,21.5,,,,,9.0,0.0,45.0,3.0,3.0,6.0,,1.0,2.0,,3.0,27.0,135.0,5.0,4.0,102.0,11.0,18.0,18.0,2.0,8.0,6.0,1.0,58.0,5.0,129.0,1.0,,25.0,5.0,54.0,2.0,223.0,,0.0,7.0,12.0,,17.0,0.0,383.0,11.0,16.0,14.0,2.0,10.0,0.0
919067,18,2017-12-18 20:00:00,80,Swansea,Away,170.0,5.0,1.0,2.0,1.0,3.0,,164.0,6.0,1.0,1.0,7.0,11.0,25.0,332.0,,,21.0,17.0,16.0,4.0,,,,1.0,1.0,,,6.0,,,,,,8.0,9.0,3.0,2.0,6.0,74.0,60.0,1.0,,1.0,3.0,15.0,1.0,9.0,,1.0,3.0,5.0,2.0,,8.0,3.0,53.0,50.0,3.0,22.0,14.0,,,54.0,12.0,12.0,,,3.0,1.0,1.0,159.0,1.0,1.0,1.0,,1.0,7.0,,,1.0,14.0,,9.0,9.0,1.0,1.0,105.0,66.0,37.0,6.0,1.0,3.0,2.0,3.0,404.0,2.0,,,69.0,73.0,14.0,1.0,2.0,2.0,1.0,,149.0,149.0,1.0,32.0,22.0,48.9,,3.0,,1.0,15.0,0.0,93.0,2.0,2.0,4.0,1.0,,4.0,,3.0,71.0,311.0,6.0,5.0,199.0,20.0,22.0,17.0,2.0,10.0,8.0,,116.0,11.0,242.0,,1.0,29.0,12.0,59.0,,431.0,,0.0,8.0,14.0,,29.0,3.0,603.0,7.0,17.0,8.0,3.0,10.0,0.0
919081,19,2017-12-23 15:00:00,80,Swansea,Home,254.0,8.0,1.0,1.0,,4.0,,252.0,5.0,,6.0,5.0,14.0,40.0,505.0,,,16.0,18.0,11.0,3.0,,,,,,,,7.0,,,,,,6.0,8.0,5.0,2.0,5.0,97.0,69.0,1.0,1.0,,,18.0,2.0,19.0,,,6.0,17.0,4.0,,11.0,2.0,71.0,60.0,,13.0,8.0,,,67.0,13.0,11.0,,1.0,1.0,,,190.0,1.0,,,1.0,,5.0,1.0,1.0,,8.0,,9.0,9.0,,6.0,156.0,81.0,50.0,3.0,,2.0,2.0,2.0,574.0,3.0,2.0,,113.0,72.0,31.0,1.0,1.0,1.0,,,165.0,165.0,2.0,25.0,33.0,64.3,,,1.0,,18.0,0.0,151.0,3.0,1.0,4.0,,,3.0,,3.0,107.0,487.0,6.0,4.0,272.0,21.0,13.0,30.0,6.0,27.0,21.0,,153.0,4.0,349.0,1.0,,21.0,16.0,65.0,1.0,594.0,,0.0,7.0,18.0,,18.0,2.0,790.0,17.0,23.0,20.0,6.0,11.0,0.0
919087,20,2017-12-26 17:30:00,80,Swansea,Away,266.0,22.0,1.0,4.0,3.0,2.0,,160.0,7.0,,5.0,8.0,20.0,32.0,422.0,,,13.0,8.0,12.0,5.0,1.0,,,,,,,6.0,,,,,,7.0,14.0,8.0,6.0,1.0,89.0,60.0,,,,,17.0,1.0,24.0,,1.0,2.0,7.0,,,15.0,4.0,60.0,39.0,,21.0,11.0,2.0,2.0,37.0,8.0,5.0,,,,,,173.0,,,,,,13.0,,1.0,,11.0,,13.0,13.0,4.0,5.0,118.0,75.0,50.0,4.0,,2.0,4.0,4.0,467.0,6.0,4.0,,60.0,53.0,12.0,,,,,,122.0,122.0,1.0,34.0,16.0,45.0,,,,,17.0,0.0,116.0,3.0,1.0,4.0,,,2.0,,3.0,55.0,402.0,7.0,6.0,289.0,34.0,21.0,14.0,2.0,9.0,7.0,,81.0,8.0,216.0,1.0,,16.0,21.0,55.0,,496.0,,0.0,7.0,13.0,,17.0,1.0,663.0,16.0,15.0,9.0,2.0,7.0,0.0
