season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7090073,8,11,Everton,Away,78893,66749,Romelu Lukaku,romelu-lukaku,F,False,,,,10.0,4.0,14.0,6.0,5.0,7.0,,,,1.0,,1.0,11.0,6.0,,,,,1.0,,,,,,90.0,1.0,1.0,,,,,,,18.0,,7.0,,,1.0,,2.0,3.0,1.0,,,,19.0,7.0,25.0,2,,40.0,1.0,1.0,,
2016-17,7090073,8,11,Everton,Away,96372,94924,Gerard Deulofeu,gerard-deulofeu,F,False,,,1.0,2.0,4.0,6.0,1.0,,4.0,,,,4.0,,1.0,6.0,2.0,,,,,,,,,,,57.0,1.0,,,,,,,,12.0,,6.5,,,,,,1.0,1.0,,1.0,5.0,8.0,6.0,13.0,1,1.0,24.0,2.0,,1.0,1.0
2016-17,7090073,8,11,Everton,Away,106456,148179,Enner Valencia,enner-valencia,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090102,9,11,Everton,Away,46620,55452,Yannick Bolasie,yannick-bolasie,F,False,3.0,,1.0,22.0,3.0,22.0,,3.0,3.0,,,1.0,,,1.0,3.0,7.0,,,,,1.0,,,1.0,1.0,,90.0,2.0,,,,,,,,22.0,,7.7,,,2.0,,,6.0,10.0,,2.0,,34.0,4.0,28.0,5,,58.0,4.0,,4.0,
2016-17,7090102,9,11,Everton,Away,78893,66749,Romelu Lukaku,romelu-lukaku,F,False,,,1.0,19.0,9.0,28.0,7.0,2.0,1.0,,,1.0,,,2.0,11.0,7.0,,,,1.0,,,,,5.0,,90.0,1.0,,,,,,,,15.0,,7.3,,,,,1.0,4.0,,,1.0,,24.0,11.0,35.0,2,,52.0,3.0,3.0,2.0,
2016-17,7090102,9,11,Everton,Away,96372,94924,Gerard Deulofeu,gerard-deulofeu,F,True,,,,8.0,1.0,9.0,,,2.0,,,,,,,,2.0,,,,,,,1.0,,1.0,,14.0,,,,,,,,,8.0,,7.0,,,,,,2.0,6.0,,,,16.0,1.0,11.0,0,,20.0,,,2.0,
2016-17,7090102,9,11,Everton,Away,106456,148179,Enner Valencia,enner-valencia,F,True,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,0,,1.0,,,,
2016-17,7090127,10,11,Everton,Home,46620,55452,Yannick Bolasie,yannick-bolasie,F,False,,,,10.0,7.0,17.0,1.0,1.0,5.0,1.0,,3.0,,,2.0,4.0,8.0,,,1.0,1.0,,,,,2.0,,83.0,,,,,,,,,17.0,,7.2,,,,,1.0,3.0,6.0,,1.0,,19.0,8.0,21.0,3,1.0,46.0,5.0,3.0,3.0,1.0
2016-17,7090127,10,11,Everton,Home,78893,66749,Romelu Lukaku,romelu-lukaku,F,False,1.0,,2.0,18.0,3.0,20.0,4.0,1.0,3.0,2.0,,1.0,,,,6.0,7.0,,,1.0,1.0,1.0,,,,2.0,,90.0,2.0,,,,,,,,11.0,,9.1,,,1.0,,,6.0,1.0,,2.0,2.0,24.0,4.0,27.0,4,,42.0,3.0,1.0,5.0,
2016-17,7090127,10,11,Everton,Home,96372,94924,Gerard Deulofeu,gerard-deulofeu,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090127,10,11,Everton,Home,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
