season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7438014,31,11,Everton,Away,72127,66838,Cenk Tosun,cenk-tosun,F,False,1.0,,,10.0,4.0,13.0,4.0,1.0,1.0,,1.0,,1.0,,1.0,10.0,3.0,,,4.0,,2.0,,,,1.0,90.0,3.0,,,,,,,10.0,,8.2,,,,,,,3.0,,,2.0,15.0,4.0,16.0,3,1.0,32.0,2.0,1.0,,
2017-18,7438014,31,11,Everton,Away,226780,113688,Oumar Niasse,oumar-niasse,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7438014,31,11,Everton,Away,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,True,,,,5.0,4.0,9.0,1.0,,5.0,1.0,3.0,,1.0,,,3.0,3.0,,,1.0,1.0,,,,,1.0,37.0,2.0,,,,,,,6.0,,6.8,,,,,,2.0,,,1.0,,6.0,4.0,10.0,2,,22.0,5.0,1.0,2.0,
2017-18,7438045,32,11,Everton,Home,751,13017,Wayne Rooney,wayne-rooney,F,False,1.0,,1.0,3.0,3.0,5.0,,,1.0,,,,1.0,,1.0,3.0,1.0,,,,,,,,,1.0,57.0,,,,,,,,5.0,,6.2,,,,,2.0,2.0,2.0,,3.0,,5.0,4.0,7.0,0,,14.0,,,1.0,
2017-18,7438045,32,11,Everton,Home,46620,55452,Yannick Bolasie,yannick-bolasie,F,False,,,1.0,4.0,1.0,5.0,2.0,1.0,2.0,,1.0,,,,,5.0,2.0,,,3.0,,1.0,,,2.0,,90.0,1.0,,,,,,,8.0,,6.7,,,1.0,,2.0,1.0,3.0,,2.0,1.0,8.0,1.0,6.0,2,1.0,23.0,1.0,,,1.0
2017-18,7438045,32,11,Everton,Home,72127,66838,Cenk Tosun,cenk-tosun,F,False,,,,4.0,,4.0,3.0,3.0,,,,,,,1.0,5.0,3.0,,,1.0,,,,,,,79.0,,1.0,,,,,,5.0,,6.7,,,1.0,,3.0,,1.0,,,1.0,8.0,,7.0,1,,17.0,,,,
2017-18,7438045,32,11,Everton,Home,226780,113688,Oumar Niasse,oumar-niasse,F,True,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,11.0,1.0,,,,,,,3.0,,6.3,,,,,,,,,,,2.0,,2.0,1,,5.0,2.0,,,
2017-18,7438045,32,11,Everton,Home,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,False,1.0,,1.0,6.0,1.0,6.0,4.0,3.0,1.0,1.0,,,,,,5.0,4.0,,,2.0,1.0,,,,,2.0,75.0,,,,,,,,6.0,,6.9,,,,,2.0,,1.0,,1.0,,11.0,1.0,11.0,0,,17.0,1.0,1.0,,
2017-18,7438047,33,11,Everton,Home,751,13017,Wayne Rooney,wayne-rooney,F,False,,,,8.0,5.0,13.0,1.0,,3.0,,,,2.0,,2.0,6.0,2.0,,,1.0,,,,,1.0,,57.0,,,,,,,,9.0,,6.4,,,1.0,,2.0,,1.0,,2.0,,14.0,5.0,18.0,1,2.0,29.0,,,,1.0
2017-18,7438047,33,11,Everton,Home,46620,55452,Yannick Bolasie,yannick-bolasie,F,False,1.0,,,6.0,1.0,6.0,2.0,1.0,4.0,,,,,,4.0,7.0,1.0,,,1.0,,,,,1.0,,61.0,1.0,,,,,,,18.0,,6.3,,,,,,,2.0,,5.0,,15.0,5.0,18.0,1,,29.0,1.0,,,
2017-18,7438047,33,11,Everton,Home,72127,66838,Cenk Tosun,cenk-tosun,F,False,,,1.0,12.0,3.0,15.0,7.0,1.0,1.0,,1.0,,,,1.0,8.0,1.0,,,,,,,,1.0,1.0,90.0,,,,,,,,13.0,,6.5,,,2.0,,1.0,,,,2.0,1.0,18.0,4.0,22.0,2,,35.0,5.0,,,
2017-18,7438047,33,11,Everton,Home,226780,113688,Oumar Niasse,oumar-niasse,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7438047,33,11,Everton,Home,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,True,,,,8.0,4.0,12.0,2.0,3.0,3.0,,,1.0,,,1.0,3.0,8.0,,,,,,,,1.0,,29.0,,,,,,,,7.0,,7.0,,,1.0,,,,,,1.0,,10.0,7.0,17.0,2,3.0,29.0,1.0,2.0,,2.0
2017-18,7438085,34,11,Everton,Away,751,13017,Wayne Rooney,wayne-rooney,F,False,1.0,,3.0,23.0,16.0,38.0,1.0,,1.0,,,,1.0,,,6.0,4.0,,,2.0,,,,,,1.0,87.0,,,,,,,,14.0,,6.9,,,2.0,,,2.0,4.0,,6.0,,31.0,18.0,45.0,2,3.0,62.0,2.0,1.0,,2.0
2017-18,7438085,34,11,Everton,Away,46620,55452,Yannick Bolasie,yannick-bolasie,F,False,,,,10.0,4.0,14.0,1.0,3.0,6.0,,,1.0,,,2.0,8.0,7.0,,,,,,,,,1.0,76.0,2.0,,,,,,,23.0,,6.4,,,,,1.0,6.0,2.0,,2.0,,20.0,8.0,26.0,3,1.0,49.0,2.0,3.0,1.0,1.0
2017-18,7438085,34,11,Everton,Away,72127,66838,Cenk Tosun,cenk-tosun,F,False,1.0,,2.0,13.0,8.0,20.0,12.0,3.0,3.0,1.0,,1.0,,2.0,1.0,18.0,4.0,,,3.0,,,,,,2.0,90.0,,2.0,,,,,,10.0,,7.7,,,,,1.0,2.0,1.0,,3.0,,18.0,10.0,27.0,1,,39.0,,1.0,,
2017-18,7438085,34,11,Everton,Away,226780,113688,Oumar Niasse,oumar-niasse,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7438042,35,11,Everton,Home,751,13017,Wayne Rooney,wayne-rooney,F,False,2.0,,4.0,22.0,20.0,40.0,1.0,,9.0,,,1.0,,,2.0,3.0,1.0,,,,,,,,,2.0,90.0,,1.0,,,,,,20.0,,7.1,,,1.0,,5.0,,5.0,,12.0,,39.0,21.0,55.0,2,1.0,73.0,,,,1.0
2017-18,7438042,35,11,Everton,Home,46620,55452,Yannick Bolasie,yannick-bolasie,F,False,2.0,,,9.0,9.0,16.0,,2.0,2.0,,,1.0,,,3.0,4.0,3.0,,,1.0,,,,,,,59.0,,,,,,,,17.0,,6.7,,,,,,1.0,5.0,,,1.0,19.0,9.0,23.0,1,,40.0,4.0,,1.0,
2017-18,7438042,35,11,Everton,Home,72127,66838,Cenk Tosun,cenk-tosun,F,False,,,,11.0,2.0,13.0,7.0,3.0,,,,,2.0,,2.0,13.0,4.0,,,2.0,,,,,,1.0,85.0,,1.0,,,,,,12.0,,6.5,,,1.0,,1.0,,,,,,18.0,3.0,21.0,1,,30.0,2.0,1.0,,
2017-18,7438042,35,11,Everton,Home,226780,113688,Oumar Niasse,oumar-niasse,F,True,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,5.0,,,,,,,,4.0,,6.5,,,,,,,,,,1.0,3.0,,3.0,0,,5.0,1.0,,,
2017-18,7438042,35,11,Everton,Home,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,True,,,,2.0,1.0,3.0,2.0,1.0,1.0,,,,2.0,,,7.0,3.0,,,1.0,,,,,,,31.0,,,,,,,,7.0,,6.3,,,,,2.0,2.0,,,,1.0,4.0,2.0,6.0,0,2.0,14.0,2.0,,,
2017-18,7438091,36,11,Everton,Away,751,13017,Wayne Rooney,wayne-rooney,F,False,3.0,,6.0,17.0,15.0,29.0,1.0,1.0,4.0,,,,,,,1.0,2.0,,,,,,,,2.0,,63.0,,1.0,,,,,,12.0,,7.3,,,1.0,,,,4.0,,9.0,,28.0,15.0,39.0,1,,50.0,1.0,1.0,,
2017-18,7438091,36,11,Everton,Away,46620,55452,Yannick Bolasie,yannick-bolasie,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7438091,36,11,Everton,Away,72127,66838,Cenk Tosun,cenk-tosun,F,False,,,,11.0,1.0,12.0,4.0,4.0,5.0,,,,1.0,,1.0,9.0,8.0,,,2.0,,1.0,,,1.0,2.0,72.0,1.0,,,,,,,16.0,,7.5,,,,,2.0,2.0,1.0,,,1.0,19.0,3.0,21.0,1,1.0,37.0,3.0,2.0,1.0,
2017-18,7438091,36,11,Everton,Away,226780,113688,Oumar Niasse,oumar-niasse,F,True,1.0,,,1.0,,,2.0,2.0,,,,,,,,3.0,4.0,,,,,,,,,,18.0,,,,,,,,7.0,,6.7,,,,,,2.0,1.0,,1.0,1.0,5.0,1.0,5.0,0,1.0,10.0,1.0,,1.0,1.0
2017-18,7438044,37,11,Everton,Home,46620,55452,Yannick Bolasie,yannick-bolasie,F,False,1.0,,,3.0,3.0,5.0,,3.0,3.0,,,,2.0,,3.0,6.0,3.0,,,,,,,,,,45.0,1.0,,,,,,,8.0,,6.1,,,,,1.0,1.0,4.0,,,,6.0,3.0,5.0,1,,19.0,1.0,,,
2017-18,7438044,37,11,Everton,Home,72127,66838,Cenk Tosun,cenk-tosun,F,False,,,1.0,10.0,2.0,12.0,6.0,3.0,4.0,,,,2.0,,1.0,11.0,7.0,,,2.0,,,,,,,90.0,,,,,,,,7.0,,6.5,,,1.0,,1.0,1.0,,,1.0,1.0,12.0,2.0,14.0,1,1.0,27.0,4.0,2.0,1.0,
2017-18,7438044,37,11,Everton,Home,226780,113688,Oumar Niasse,oumar-niasse,F,True,,,1.0,4.0,1.0,5.0,1.0,2.0,1.0,,,1.0,,,,2.0,3.0,,,,,,,,,,32.0,,,,,,,,9.0,,6.6,,,1.0,,,1.0,2.0,,1.0,,11.0,1.0,10.0,2,,17.0,1.0,1.0,,
2017-18,7438043,38,11,Everton,Away,46620,55452,Yannick Bolasie,yannick-bolasie,F,True,,,,3.0,,3.0,,,1.0,,,,,,,2.0,1.0,,,1.0,,,,,,,7.0,,,,,,,,2.0,,6.5,,,,,,2.0,1.0,,,,4.0,,3.0,0,,6.0,,,1.0,
2017-18,7438043,38,11,Everton,Away,72127,66838,Cenk Tosun,cenk-tosun,F,False,,,,8.0,1.0,9.0,3.0,1.0,3.0,,,1.0,,,,3.0,1.0,,,,,,,,,2.0,61.0,,,,,,,,6.0,,6.6,,,,,,,,,,,11.0,1.0,12.0,1,,17.0,2.0,,,
2017-18,7438043,38,11,Everton,Away,226780,113688,Oumar Niasse,oumar-niasse,F,False,,,,19.0,2.0,21.0,7.0,2.0,5.0,1.0,1.0,1.0,3.0,,2.0,14.0,7.0,,,1.0,,1.0,,1.0,,1.0,90.0,5.0,,,,,,,16.0,,8.0,,,1.0,,,5.0,1.0,,2.0,,24.0,3.0,26.0,7,,52.0,4.0,1.0,4.0,
