season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436936,4,36,Brighton_and_Hove_Albion,Home,886242,243505,Jakub Moder,jakub-moder,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436936,4,36,Brighton_and_Hove_Albion,Home,936849,451340,Kaoru Mitoma,kaoru-mitoma,M,False,,,1.0,21.0,7.0,28.0,1.0,2.0,,2.0,,2.0,1.0,1.0,,,2.0,6.0,5.0,,,0.0246787,0.6496,0.936,1.0,0.0,,,,,,,,90.0,2.0,,,,,,19.0,,,6.5,,,,,,,2.0,4.0,,2.0,,34.0,8.0,38.0,,,3,2.0,57.0,2.0,,1.0,1.0
2024-25,12436936,4,36,Brighton_and_Hove_Albion,Home,946695,463067,Georginio Rutter,georginio-rutter,M,False,,,,13.0,2.0,15.0,2.0,3.0,,,,1.0,1.0,,,,2.0,8.0,6.0,,,0.100771,0.3951,0.3844,3.0,0.0,,,,,,2.0,,67.0,1.0,,,,,,12.0,,,7.0,,,1.0,,,,2.0,,,,1.0,19.0,4.0,23.0,,,3,1.0,34.0,1.0,1.0,1.0,
2024-25,12436936,4,36,Brighton_and_Hove_Albion,Home,973556,474120,Julio Enciso,julio-enciso,M,True,,,,11.0,4.0,15.0,,,,1.0,,,,,,,,1.0,1.0,,,0.010813,0.0459,0.4486,,0.0,,,,,,1.0,,23.0,1.0,,,,,,8.0,,,6.8,,,,,,,2.0,4.0,,,,15.0,5.0,16.0,,,1,,26.0,2.0,,1.0,
2024-25,12436936,4,36,Brighton_and_Hove_Albion,Home,1036269,509416,Yasin Ayari,yasin-ayari,M,False,1.0,,,20.0,15.0,34.0,2.0,1.0,,5.0,,,1.0,2.0,,,1.0,7.0,10.0,,,0.303296,0.0829,,1.0,0.0,,,,,1.0,1.0,,90.0,,,,,,,16.0,,,7.4,,,1.0,,,,2.0,1.0,,2.0,,30.0,16.0,45.0,,,2,4.0,67.0,1.0,4.0,1.0,2.0
2024-25,12436936,4,36,Brighton_and_Hove_Albion,Home,1110842,535818,Simon Adingra,simon-adingra,M,True,,,,7.0,,7.0,,,,1.0,,,1.0,1.0,,,,2.0,1.0,,,0.010266,0.0326,,,0.0,,,,,,,,22.0,,,,,,,7.0,,,6.4,,,,,,,1.0,3.0,,,,11.0,2.0,10.0,,,1,1.0,16.0,,,,
2024-25,12436936,4,36,Brighton_and_Hove_Albion,Home,1142315,532529,Jack Hinshelwood,jack-hinshelwood,M,False,2.0,,1.0,17.0,26.0,41.0,,1.0,,4.0,,,,,,,1.0,3.0,5.0,,,0.105074,,,2.0,0.0,,,,,,1.0,,67.0,,,,,,,18.0,,,7.1,,,,,,1.0,,9.0,,4.0,,30.0,29.0,50.0,,,0,4.0,72.0,1.0,,,3.0
2024-25,12436936,4,36,Brighton_and_Hove_Albion,Home,1199043,535301,Carlos Baleba,carlos-baleba,M,False,,,1.0,24.0,20.0,44.0,2.0,2.0,,7.0,,,2.0,1.0,,,,5.0,10.0,,,0.0372412,0.2033,0.3599,1.0,0.0,,,,,2.0,1.0,,90.0,1.0,,,,,,7.0,,,7.7,,,1.0,,,,6.0,,,1.0,,28.0,20.0,48.0,,,4,3.0,68.0,1.0,1.0,4.0,2.0
2024-25,12436936,4,36,Brighton_and_Hove_Albion,Home,1400106,592031,Yankuba Minteh,yankuba-minteh,M,False,2.0,,1.0,18.0,5.0,21.0,1.0,1.0,,6.0,1.0,,,,,,,9.0,3.0,,,0.203315,,,3.0,0.0,,,,,,2.0,,68.0,,,,,,,18.0,,,6.3,,,,,,,6.0,7.0,,1.0,,27.0,5.0,25.0,,,0,,44.0,2.0,1.0,1.0,
2024-25,12436959,5,36,Brighton_and_Hove_Albion,Home,805465,204214,Pervis Estupiñán,pervis-estupinan,M,False,4.0,,,28.0,16.0,40.0,,2.0,,1.0,,,1.0,,,,,1.0,2.0,,,0.168137,0.0161,,,0.0,,,,,1.0,2.0,,82.0,,,,,,,19.0,,,6.9,,,,,,2.0,1.0,14.0,,,,41.0,16.0,43.0,,,1,,72.0,2.0,,,
2024-25,12436959,5,36,Brighton_and_Hove_Albion,Home,936849,451340,Kaoru Mitoma,kaoru-mitoma,M,False,2.0,,1.0,26.0,6.0,30.0,,,,4.0,,,,,,,1.0,2.0,5.0,,,0.229375,,,1.0,0.0,,,,,1.0,2.0,,90.0,,,,,,,18.0,,,7.2,,,,,,,3.0,8.0,,1.0,,40.0,7.0,39.0,,,0,2.0,61.0,,1.0,2.0,
2024-25,12436959,5,36,Brighton_and_Hove_Albion,Home,946695,463067,Georginio Rutter,georginio-rutter,M,False,,,,17.0,5.0,22.0,2.0,,,2.0,,,2.0,2.0,,,2.0,7.0,4.0,,,0.0487699,0.3841,,1.0,0.0,,,,,,1.0,,71.0,,,,,,,9.0,,,6.9,,,3.0,,,,3.0,1.0,,1.0,,22.0,5.0,26.0,,,5,,44.0,1.0,2.0,2.0,
2024-25,12436959,5,36,Brighton_and_Hove_Albion,Home,973556,474120,Julio Enciso,julio-enciso,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
