season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,blockedScoringAttempt,challengeLost,dispossessed,duelLost,duelWon,errorLeadToAGoal,fouls,goalAssist,goals,goodHighClaim,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,possessionLostCtrl,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,wasFouled,wonContest,wonTackle
2009-10,1062589,13,14,Liverpool,Home,16582,38328,David N'Gog,david-ngog,F,False,,,,,,,,,,,,,,,,,1.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062597,14,14,Liverpool,Away,9737,13594,Yossi Benayoun,yossi-benayoun,F,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,15.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062597,14,14,Liverpool,Away,16582,38328,David N'Gog,david-ngog,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,75.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062606,15,14,Liverpool,Away,9737,13594,Yossi Benayoun,yossi-benayoun,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,72.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062606,15,14,Liverpool,Away,16582,38328,David N'Gog,david-ngog,F,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,38.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062619,16,14,Liverpool,Home,2436,14402,Fernando Torres,fernando-torres,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062619,16,14,Liverpool,Home,9737,13594,Yossi Benayoun,yossi-benayoun,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,79.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062619,16,14,Liverpool,Home,16582,38328,David N'Gog,david-ngog,F,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,11.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062633,17,14,Liverpool,Home,2436,14402,Fernando Torres,fernando-torres,F,True,,,,,,,,,,,,,,,,,0.0,1.0,,,,26.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062633,17,14,Liverpool,Home,9737,13594,Yossi Benayoun,yossi-benayoun,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,81.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
