playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,savesFromPenalty,totalTouchesInOppositionBox,punches,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,totalTackles,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,substituteOn,successfulCrossesAndCorners,aerialDuelsLost,throwInsToOppositionPlayer,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,tacklesWon,blocks,totalFoulsConceded,clearancesOffTheLine,throwInsToOwnPlayer,substituteOff,offsides,penaltiesConceded,ownGoalScored,shotsOnTargetIncGoals,goals,awayGoals,unsuccessfulLayoffs,homeGoals,leftFootGoals,headedGoals,hitWoodwork,rightFootGoals,handballsConceded,foulWonPenalty,redCards2ndYellow,cornersTakenInclShortCorners,attemptsFromSetPieces,successfulCornersIntoBox,unsuccessfulCornersIntoBox,setPiecesGoals,penaltiesTaken,penaltyGoals
19930,Mark Davies,Midfielder,Bolton Wanderers,England,2009-10,36.0,,0.0,,,21.0,17.0,5.0,26.0,160.0,,,7.0,,,549.0,54.0,1.0,53.0,121.0,,9.0,,,1.0,,4.0,13.0,30.0,,16.0,0.0,90.0,,,36.0,17.0,,,86.0,12.0,10.0,83.0,1.0,0.0,,158.0,1.0,45.0,10.0,,,16.0,13.0,275.0,2.0,49.0,,1.0,5.0,7.0,1.0,4.0,27.0,5.0,,,4.0,1.0,12.0,1.0,6.0,,6.0,1.0,3.0,5.0,3.0,21.0,,15.0,,,4.0,1.0,,,2.0,,,,,,,1.0,,2.0,,,4.0,,,2.0,,,
18621,Tamir Cohen,Midfielder,Bolton Wanderers,Israel,2009-10,117.0,,1.0,,,144.0,27.0,26.0,169.0,554.0,,,57.0,3.0,,2102.0,134.0,6.0,99.0,357.0,,52.0,,2.0,13.0,2.0,54.0,40.0,95.0,,22.0,0.0,251.0,,,65.0,27.0,,,227.0,34.0,16.0,194.0,35.0,0.0,,552.0,7.0,227.0,2.0,,,52.0,28.0,917.0,13.0,159.0,,6.0,25.0,39.0,1.0,17.0,75.0,44.0,10.0,3.0,18.0,8.0,1.0,1.0,22.0,,25.0,,7.0,8.0,32.0,50.0,13.0,54.0,,3.0,11.0,,,,12.0,3.0,2.0,1.0,1.0,2.0,1.0,,,2.0,1.0,1.0,,4.0,,,,,
19948,Stuart Holden,Midfielder,Bolton Wanderers,United States,2009-10,7.0,,0.0,,,6.0,2.0,1.0,7.0,36.0,,,2.0,1.0,,114.0,9.0,,9.0,25.0,,,,,2.0,1.0,6.0,1.0,5.0,,2.0,0.0,16.0,,,4.0,2.0,,,19.0,1.0,1.0,14.0,,0.0,,34.0,2.0,19.0,,,,2.0,4.0,71.0,1.0,12.0,,0.0,1.0,3.0,,,7.0,3.0,,,2.0,3.0,1.0,2.0,2.0,,1.0,,,9.0,2.0,6.0,1.0,3.0,,,,1.0,,,1.0,,,,,,,,,,,,6.0,,1.0,4.0,,,
1589,Sean Davis,Midfielder,Bolton Wanderers,England,2009-10,17.0,,1.0,,,14.0,3.0,3.0,24.0,91.0,,,3.0,,,234.0,16.0,1.0,16.0,58.0,,2.0,,,4.0,,,3.0,14.0,,4.0,0.0,33.0,,,16.0,3.0,,,46.0,2.0,5.0,30.0,,0.0,,88.0,2.0,40.0,,,,3.0,9.0,138.0,3.0,25.0,,2.0,10.0,4.0,1.0,4.0,12.0,1.0,,,1.0,3.0,,4.0,3.0,,3.0,,,11.0,,9.0,2.0,9.0,,,,,,,1.0,,,,,,,,,,,1.0,7.0,1.0,2.0,5.0,,,
75773,Lee Chung-yong,Midfielder,Crystal Palace,South Korea,2009-10,182.0,,0.0,,,202.0,34.0,27.0,230.0,719.0,,,68.0,1.0,,2411.0,164.0,6.0,132.0,477.0,,103.0,,3.0,53.0,3.0,19.0,50.0,146.0,,41.0,4.0,346.0,,,142.0,34.0,,,390.0,44.0,115.0,278.0,32.0,0.0,,713.0,20.0,449.0,41.0,,,67.0,12.0,1327.0,23.0,148.0,,4.0,28.0,62.0,26.0,4.0,50.0,22.0,18.0,3.0,20.0,55.0,7.0,49.0,36.0,3.0,14.0,1.0,62.0,91.0,11.0,36.0,1.0,17.0,1.0,8.0,13.0,5.0,,,11.0,4.0,1.0,5.0,3.0,3.0,,,1.0,1.0,1.0,,47.0,1.0,18.0,24.0,,,
54102,Jack Wilshere,Midfielder,Bournemouth,England,2009-10,90.0,,0.0,,,88.0,15.0,13.0,103.0,401.0,,,12.0,,,1093.0,89.0,2.0,84.0,284.0,,19.0,,2.0,19.0,,4.0,18.0,83.0,,34.0,2.0,179.0,,,84.0,15.0,,,209.0,16.0,42.0,167.0,5.0,0.0,,399.0,6.0,192.0,18.0,,,31.0,14.0,684.0,4.0,96.0,,4.0,15.0,17.0,2.0,5.0,32.0,12.0,9.0,1.0,11.0,21.0,2.0,7.0,7.0,,11.0,,19.0,43.0,7.0,21.0,,27.0,,5.0,8.0,,,,5.0,1.0,1.0,3.0,0.0,1.0,,,,2.0,,,15.0,2.0,4.0,11.0,,,
59306,Vladimír Weiss,Midfielder,SK Slovan Bratislava,Slovakia,2009-10,39.0,,0.0,,,21.0,13.0,3.0,26.0,104.0,,,3.0,,,386.0,44.0,1.0,44.0,74.0,,11.0,,1.0,4.0,,2.0,9.0,36.0,,15.0,0.0,83.0,,,21.0,13.0,,,58.0,8.0,25.0,80.0,,0.0,,98.0,6.0,84.0,13.0,,,8.0,4.0,252.0,,29.0,,0.0,5.0,4.0,5.0,1.0,16.0,3.0,2.0,3.0,5.0,16.0,10.0,9.0,3.0,2.0,3.0,,15.0,26.0,2.0,13.0,1.0,3.0,,6.0,3.0,,,,1.0,,,,,,,,,,,,13.0,1.0,4.0,6.0,,,
4739,Johan Elmander,Forward,Norwich City,Sweden,2009-10,139.0,,0.0,,,130.0,25.0,15.0,137.0,399.0,,,77.0,2.0,,1353.0,88.0,1.0,55.0,248.0,,79.0,,2.0,21.0,1.0,18.0,22.0,95.0,,20.0,2.0,227.0,,,49.0,25.0,,,219.0,21.0,47.0,150.0,33.0,0.0,,399.0,12.0,220.0,7.0,,,33.0,14.0,704.0,2.0,50.0,,2.0,7.0,22.0,7.0,9.0,28.0,34.0,3.0,1.0,37.0,18.0,10.0,7.0,44.0,1.0,5.0,,9.0,18.0,18.0,23.0,4.0,27.0,,,11.0,5.0,,,16.0,3.0,2.0,9.0,1.0,1.0,,1.0,2.0,,,,,,,,,,
3630,Kevin Davies,Forward,Preston North End,England,2009-10,485.0,,0.0,,,631.0,37.0,37.0,660.0,1413.0,,,443.0,4.0,,3316.0,385.0,7.0,162.0,728.0,,257.0,,3.0,74.0,2.0,49.0,65.0,265.0,,89.0,0.0,870.0,,,65.0,37.0,,,647.0,58.0,136.0,427.0,223.0,0.0,,1412.0,28.0,893.0,12.0,,,25.0,25.0,2148.0,9.0,124.0,,9.0,29.0,41.0,18.0,18.0,61.0,53.0,32.0,7.0,138.0,61.0,,18.0,220.0,4.0,11.0,,40.0,61.0,32.0,50.0,2.0,121.0,,9.0,1.0,24.0,1.0,1.0,21.0,7.0,1.0,50.0,6.0,2.0,4.0,2.0,1.0,5.0,1.0,,,2.0,,,,1.0,1.0
38157,Mustapha Riga,Forward,Bolton Wanderers,Ghana,2009-10,,,0.0,,,,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,,,,0.0,,1.0,,,,,,,,1.0,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75826,Danny Ward,Forward,Huddersfield Town,England,2009-10,3.0,,0.0,,,4.0,2.0,,4.0,7.0,,,2.0,,,16.0,,,,3.0,,2.0,,,1.0,1.0,,,1.0,,,0.0,3.0,,1.0,,2.0,,,3.0,,,1.0,,0.0,,7.0,,4.0,,,,,,9.0,,,,0.0,,1.0,,1.0,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51929,Temitope Obadeyi,Midfielder,Hereford FC,England,2009-10,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
