season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,786186,184754,Hwang Hee-chan,hwang-hee-chan,F,True,,,,1.0,,1.0,1.0,,2.0,,,,,,,,,3.0,1.0,,,0.00072377,,,2.0,0.0,,,,,,,,,,,,,14.0,,,,,,,,4.0,0.0,,6.4,,,,,23.029039279871,,,1.0,,,,3.0,1.0,4.0,14.633437088887,,0,1.0,6.0,,,,1.0
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,845273,231057,Jean-Ricner Bellegarde,jean-ricner-bellegarde,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,846308,231480,Santiago Bueno,santiago-bueno,D,False,,,,7.0,22.0,29.0,2.0,1.0,8.0,2.0,,,1.0,,,,,2.0,5.0,,,0.00445274,0.0957,,,0.0,,,,,,,,,,,,,90.0,,1.0,,,,,,2.0,0.0,,6.9,,,,,62.360623601611,4.0,,,,1.0,,8.0,23.0,31.0,11.432413176102,,1,3.0,42.0,,1.0,,3.0
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,867441,209041,Angel Gomes,angel-gomes,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,973418,510362,Toti Gomes,toti-gomes,D,False,,,,13.0,25.0,38.0,2.0,2.0,10.0,4.0,,,,,,,1.0,3.0,6.0,,,0.00362264,,,,0.0,,,,,,,,,,,,,90.0,,,,,,,,11.0,1.0,,6.7,,,,,96.863901069959,3.0,1.0,,,6.0,,16.0,31.0,47.0,52.798826937633,23.685981001428,0,2.0,62.0,,1.0,1.0,1.0
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,987734,488213,Tolu Arokodare,tolu-arokodare,F,True,,,,2.0,,2.0,2.0,3.0,3.0,,,,,,,,,3.0,3.0,,,0.0033623,,,,0.0,,,,,,,,,,,,,19.0,,,,,,,,6.0,0.0,,6.3,,,,,14.540728096426,1.0,1.0,,,,,5.0,1.0,6.0,2.7335165296845,,0,,10.0,1.0,,,
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,1006073,483081,Rodrigo Gomes,gomes-rodrigo,M,False,,,,4.0,1.0,5.0,4.0,,4.0,1.0,,,1.0,2.0,,,2.0,9.0,,,,0.00437094,0.0308,,,0.0,,,,,,,,,,,,,71.0,,,,,,,,9.0,0.0,,5.9,,,,,25.893761907885,,1.0,,,,,6.0,3.0,9.0,-12.69823201464,,1,,16.0,2.0,,,
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,1013928,490721,Hugo Bueno,hugo-bueno,M,False,2.0,,,15.0,7.0,22.0,3.0,1.0,9.0,4.0,,,1.0,6.0,,,1.0,13.0,9.0,,,0.110722,0.1398,,2.0,0.0,,,,,3.0,1.0,,,,,,,89.0,,,,,,,,25.0,0.0,,6.6,,,1.0,,53.845501060246,4.0,2.0,5.0,,2.0,,20.0,13.0,33.0,42.807369269852,,2,5.0,83.0,5.0,2.0,1.0,4.0
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,1015267,448089,João Gomes,joao-gomes,M,False,,,,15.0,17.0,32.0,2.0,1.0,14.0,6.0,,,,,,,5.0,9.0,13.0,,,0.0108524,0.0677,0.4724,3.0,0.0,,,,,1.0,,,,,,,,90.0,1.0,1.0,,,,,,12.0,3.0,,7.2,,,,,161.49958177072,,2.0,,,1.0,,19.0,19.0,38.0,67.810337456215,51.415237496747,1,7.0,62.0,1.0,3.0,2.0,5.0
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,1031283,497949,David Møller Wolfe,david-moller-wolfe,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,0.0,,,,,0,,1.0,,,,
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,1035996,509291,André,andre,M,False,,,4.0,15.0,19.0,34.0,,,9.0,8.0,,,,,,,2.0,4.0,5.0,,1.0,0.00521502,,,1.0,0.0,,,,,,,,,,,,,90.0,,,,,,,,6.0,1.0,,6.9,,,,,107.40467563712,,2.0,,,4.0,,15.0,20.0,35.0,54.688534633293,40.323669674274,0,3.0,49.0,2.0,1.0,1.0,2.0
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,1096210,523705,Jackson Tchatchoua,jackson-tchatchoua,M,True,1.0,,,3.0,3.0,6.0,,,3.0,,,,,,,,,,,,,0.00980134,,,,0.0,,,,,,,,,,,,,13.0,,,,,,,,2.0,0.0,,6.7,,,,,24.069686275923,,,2.0,,,,4.0,3.0,7.0,12.7155012366,,0,,10.0,,,,
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,1445189,596054,Tom Edozie,tom-edozie,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,1597270,641221,Pedro Lima,lima-pedro,D,False,2.0,,2.0,6.0,5.0,11.0,,1.0,8.0,2.0,,,,2.0,,,1.0,5.0,6.0,,1.0,0.121946,0.0098,,,0.0,,,,,1.0,1.0,,,,,,,86.0,,,,,,,,14.0,2.0,,7.1,,,1.0,,100.50388293566,2.0,2.0,5.0,,5.0,,9.0,7.0,16.0,72.600224628729,46.978244850432,1,4.0,47.0,1.0,1.0,,3.0
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,1881904,601956,Saheed Olagunju,saheed-olagunju,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14024022,34,39,Wolverhampton_Wanderers,Home,1899647,647671,Mateus Mané,mateus-mane,F,False,4.0,,,6.0,,6.0,3.0,,11.0,1.0,1.0,,,2.0,,,2.0,15.0,8.0,,,0.340986,0.0911,,,0.0,,,,,1.0,3.0,,,,,,,90.0,,,,,,,,20.0,2.0,,6.5,,,2.0,,89.614601929337,,11.0,6.0,,,,10.0,1.0,11.0,70.26689013138,26.406722203522,2,2.0,46.0,2.0,3.0,3.0,2.0
2025-26,14023951,35,39,Wolverhampton_Wanderers,Home,101367,79602,Daniel Bentley,daniel-bentley,G,False,,3.0,6.0,4.0,20.0,24.0,,,9.0,11.0,,,,,,,,,,,,0.00265843,,,,0.0,,0.3913,1.0,,,,,,,,,,90.0,,,,,,,,7.0,0.0,,7.3,1.0,1.0,,,52.304349792246,1.0,,,3.0,13.0,,10.0,21.0,31.0,32.565446311689,,0,,39.0,,,,
2025-26,14023951,35,39,Wolverhampton_Wanderers,Home,143047,87835,Matt Doherty,matt-doherty,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14023951,35,39,Wolverhampton_Wanderers,Home,361352,155511,Adam Armstrong,adam-armstrong,F,False,,,,11.0,3.0,14.0,,1.0,5.0,1.0,1.0,,1.0,,,,2.0,4.0,3.0,,,0.168259,0.3229,0.136,1.0,0.0,,,,,,1.0,,,,,,,90.0,2.0,,,,,,,7.0,1.0,,7.0,,,,,33.743561730574,,1.0,,,,1.0,14.0,4.0,18.0,17.170801975881,10.299417896173,3,2.0,28.0,,,,
2025-26,14023951,35,39,Wolverhampton_Wanderers,Home,786186,184754,Hwang Hee-chan,hwang-hee-chan,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14023951,35,39,Wolverhampton_Wanderers,Home,845273,231057,Jean-Ricner Bellegarde,jean-ricner-bellegarde,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14023951,35,39,Wolverhampton_Wanderers,Home,846308,231480,Santiago Bueno,santiago-bueno,D,False,,,,8.0,26.0,34.0,,2.0,14.0,5.0,1.0,,,,,,,2.0,4.0,,,0.379773,0.1962,0.8473,2.0,0.0,1.0,,,,,2.0,,,,,,,90.0,1.0,2.0,,,,,,8.0,1.0,,8.1,,,1.0,,117.6876932841,3.0,,,,4.0,,13.0,27.0,40.0,65.149958428164,25.807723669475,2,1.0,54.0,2.0,1.0,,
2025-26,14023951,35,39,Wolverhampton_Wanderers,Home,867441,209041,Angel Gomes,angel-gomes,M,True,,,1.0,6.0,4.0,10.0,,,7.0,1.0,,,,,,,1.0,1.0,,,,0.0196096,,,,0.0,,,,,,,,,,,,,12.0,,,,,,,,5.0,1.0,,6.8,,,,,62.114782267022,,,2.0,,1.0,,6.0,4.0,10.0,41.520765167102,14.07142693546,0,,15.0,1.0,,,
2025-26,14023951,35,39,Wolverhampton_Wanderers,Home,973418,510362,Toti Gomes,toti-gomes,D,False,,,6.0,27.0,30.0,57.0,3.0,2.0,32.0,4.0,,1.0,,,,,,4.0,4.0,,,0.0807217,0.3087,0.3281,1.0,0.0,,,,,2.0,1.0,1.0,,,,,,90.0,1.0,1.0,,,,,,8.0,6.0,,7.8,,,,,344.61867614292,7.0,,1.0,,8.0,,31.0,33.0,64.0,206.50986531957,151.86419656885,1,2.0,80.0,,,,2.0
2025-26,14023951,35,39,Wolverhampton_Wanderers,Home,987734,488213,Tolu Arokodare,tolu-arokodare,F,False,,,,2.0,,2.0,4.0,9.0,2.0,,,1.0,1.0,,,,1.0,5.0,12.0,,,0.0171337,0.5765,0.155,,0.0,,,,,,,,,,,,,89.0,2.0,,,,,,,9.0,1.0,,6.8,,,2.0,,15.860324206767,4.0,,,,1.0,,6.0,,6.0,12.270392591995,12.007797633205,5,,27.0,4.0,3.0,,
2025-26,14023951,35,39,Wolverhampton_Wanderers,Home,1006073,483081,Rodrigo Gomes,gomes-rodrigo,M,True,,,,12.0,1.0,13.0,,,8.0,1.0,,,,,,,,1.0,2.0,,,0.0420717,,,1.0,0.0,,,,,,,,,,,,,45.0,,,,,,,,9.0,2.0,,6.7,,,,,91.4711762792,,1.0,1.0,,1.0,,18.0,2.0,20.0,58.849692861432,43.472876808567,0,1.0,26.0,,,1.0,1.0
2025-26,14023951,35,39,Wolverhampton_Wanderers,Home,1013928,490721,Hugo Bueno,hugo-bueno,M,False,5.0,,1.0,16.0,12.0,28.0,,1.0,18.0,2.0,1.0,,,,,,1.0,2.0,3.0,,,0.352735,0.0891,,,1.0,,,,,,2.0,,,,,,,78.0,,,,,,,,8.0,4.0,,7.3,,,1.0,,160.03524440036,3.0,3.0,7.0,,1.0,,18.0,14.0,32.0,94.224403898256,64.574221600301,1,,52.0,,,2.0,
2025-26,14023951,35,39,Wolverhampton_Wanderers,Home,1014835,501837,Yerson Mosquera,yerson-mosquera,D,False,,,1.0,19.0,25.0,44.0,4.0,6.0,19.0,4.0,,,,,,,,6.0,10.0,,,0.0322099,0.0918,,2.0,0.0,,,,,1.0,,,,,,,,90.0,,1.0,,,,,,9.0,1.0,,7.1,,,3.0,,168.237617579,5.0,,1.0,,1.0,,22.0,29.0,51.0,134.09768129987,42.826882025195,3,1.0,74.0,,3.0,,
2025-26,14023951,35,39,Wolverhampton_Wanderers,Home,1015267,448089,João Gomes,joao-gomes,M,False,2.0,,1.0,37.0,16.0,53.0,,2.0,24.0,4.0,,,1.0,1.0,,,3.0,6.0,6.0,,1.0,0.174912,0.0252,,1.0,0.0,,,,,,2.0,,,,,,,90.0,,,,,,,,12.0,3.0,,7.0,,,,,245.07007522515,2.0,1.0,3.0,,1.0,,40.0,19.0,59.0,93.185259264453,70.495771285874,1,3.0,76.0,1.0,1.0,,1.0
2025-26,14023951,35,39,Wolverhampton_Wanderers,Home,1031283,497949,David Møller Wolfe,david-moller-wolfe,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
