season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7090193,17,1,Manchester_United,Away,28367,43670,Juan Mata,juan-mata,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090193,17,1,Manchester_United,Away,82474,59846,Ander Herrera,ander-herrera,M,False,,,5.0,30.0,26.0,56.0,,1.0,4.0,,,,2.0,,,3.0,6.0,5.0,,,1.0,,,,,5.0,,,89.0,,,,,,,,,17.0,,6.9,,,,,1.0,,1.0,,9.0,,42.0,28.0,69.0,0,2.0,85.0,,2.0,,1.0
2016-17,7090193,17,1,Manchester_United,Away,111802,74208,Paul Pogba,paul-pogba,M,False,1.0,,10.0,42.0,35.0,76.0,1.0,1.0,12.0,,,,,,,1.0,7.0,4.0,,,3.0,,,,,,,,90.0,2.0,,,,,,,,18.0,,7.4,,,1.0,,3.0,3.0,1.0,,13.0,,50.0,40.0,89.0,3,1.0,109.0,1.0,1.0,1.0,
2016-17,7090193,17,1,Manchester_United,Away,191176,148225,Anthony Martial,anthony-martial,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090169,18,1,Manchester_United,Home,938,2404,Michael Carrick,michael-carrick,M,False,,,3.0,40.0,33.0,73.0,,,7.0,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,1.0,,90.0,,,,,,,,,7.0,,7.0,,,1.0,,2.0,,,,5.0,,46.0,34.0,80.0,1,1.0,85.0,,,,
2016-17,7090169,18,1,Manchester_United,Home,28367,43670,Juan Mata,juan-mata,M,False,,,2.0,35.0,11.0,46.0,,,,,,1.0,,,,,1.0,2.0,,,1.0,,,,,,2.0,,74.0,1.0,,,,,,,,6.0,,7.3,,,,,,1.0,4.0,,3.0,,41.0,11.0,48.0,2,,58.0,,1.0,1.0,
2016-17,7090169,18,1,Manchester_United,Home,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,True,1.0,,1.0,7.0,5.0,11.0,,,2.0,1.0,,,1.0,,,1.0,2.0,2.0,,,,,1.0,,,,3.0,,28.0,1.0,,,,,,,,6.0,,7.8,,,1.0,,,1.0,2.0,,1.0,1.0,10.0,6.0,14.0,2,,22.0,,1.0,1.0,
2016-17,7090169,18,1,Manchester_United,Home,82474,59846,Ander Herrera,ander-herrera,M,False,2.0,,2.0,59.0,32.0,89.0,,,3.0,,,2.0,1.0,,,2.0,3.0,3.0,,,,,,,,1.0,3.0,,84.0,,,,,,,,,7.0,,7.3,,,2.0,,1.0,2.0,3.0,,3.0,,63.0,33.0,93.0,4,,112.0,,1.0,2.0,
2016-17,7090169,18,1,Manchester_United,Home,111802,74208,Paul Pogba,paul-pogba,M,False,1.0,,6.0,44.0,15.0,58.0,,2.0,9.0,1.0,,2.0,2.0,,,1.0,3.0,9.0,,,,1.0,,,1.0,1.0,2.0,,90.0,3.0,,,,,,,,17.0,,9.2,,,3.0,,2.0,3.0,2.0,,11.0,,55.0,17.0,70.0,8,3.0,97.0,2.0,1.0,3.0,3.0
2016-17,7090169,18,1,Manchester_United,Home,191176,148225,Anthony Martial,anthony-martial,M,True,,,,4.0,3.0,7.0,1.0,,3.0,,,,,,,1.0,3.0,2.0,,,1.0,,,,,,,,16.0,,,,,,,,,3.0,,6.6,,,,,,1.0,1.0,,,1.0,5.0,3.0,7.0,0,,12.0,,1.0,1.0,
