playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,redCards2ndYellow,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,shotsOnTargetIncGoals,goals,awayGoals,homeGoals,rightFootGoals,attemptsFromSetPieces,handballsConceded,cornersTakenInclShortCorners,successfulCornersIntoBox,penaltiesTaken,leftFootGoals,unsuccessfulCornersIntoBox,penaltyGoals,punches,catches,savesMade,savesMadeFromOutsideBox,crossesNotClaimed,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,penaltiesFaced,savesMadeParried,savesMadeFromInsideBox,penaltiesConceded,lastPlayerTackle,clearancesOffTheLine,hitWoodwork,foulWonPenalty,headedGoals,secondGoalAssists,ownGoalScored,drops
8380,James Collins,Defender,A Villa,7,Wales,2011-12,94.0,,0.0,2.0,,41.0,21.0,,189.0,32.0,,1.0,31.0,313.0,1.0,966.0,1.0,1.0,132.0,7.0,,2780.0,,48.0,146.0,2.0,62.0,564.0,55.0,,4.0,5.0,31.0,302.0,41.0,46.0,140.0,15.0,0.0,240.0,525.0,106.0,32.0,7.0,,221.0,39.0,,1.0,3.0,108.0,84.0,0.0,918.0,17.0,4.0,326.0,34.0,6.0,32.0,232.0,24.0,73.0,89.0,69.0,1510.0,5.0,1.0,100.0,432.0,7.0,124.0,73.0,4.0,1.0,0.0,1.0,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,1.0,,,
15154,Jean Makoun,Midfielder,A Villa,7,Cameroon,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51938,Marc Albrighton,Midfielder,A Villa,7,England,2011-12,99.0,25.0,0.0,8.0,11.0,41.0,14.0,2.0,86.0,26.0,2.0,15.0,15.0,129.0,99.0,452.0,1.0,11.0,18.0,3.0,37.0,1489.0,,14.0,80.0,1.0,76.0,307.0,30.0,1.0,3.0,21.0,9.0,18.0,22.0,85.0,84.0,18.0,0.0,179.0,155.0,114.0,26.0,13.0,31.0,267.0,21.0,,126.0,45.0,161.0,4.0,0.0,429.0,8.0,31.0,342.0,28.0,17.0,3.0,109.0,20.0,32.0,16.0,104.0,897.0,7.0,6.0,32.0,93.0,3.0,43.0,33.0,6.0,2.0,1.0,1.0,2.0,,2.0,57.0,12.0,,,26.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,
52477,Nathan Baker,Defender,A Villa,7,England,2011-12,15.0,,0.0,,,11.0,2.0,,29.0,8.0,,1.0,6.0,44.0,2.0,108.0,,2.0,28.0,1.0,,550.0,,10.0,29.0,,11.0,60.0,7.0,,2.0,,3.0,58.0,12.0,5.0,17.0,,0.0,44.0,64.0,7.0,8.0,4.0,,24.0,12.0,,2.0,,16.0,18.0,0.0,106.0,2.0,,47.0,7.0,,9.0,18.0,1.0,6.0,4.0,9.0,209.0,2.0,,18.0,40.0,0.0,15.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
51484,Nathan Delfouneso,Forward,A Villa,7,England,2011-12,15.0,,0.0,1.0,2.0,3.0,2.0,,14.0,6.0,,1.0,1.0,14.0,2.0,46.0,2.0,5.0,9.0,,,163.0,,5.0,10.0,,6.0,30.0,5.0,,,2.0,,2.0,2.0,10.0,13.0,1.0,0.0,25.0,16.0,12.0,6.0,,3.0,21.0,2.0,,2.0,5.0,16.0,4.0,0.0,46.0,1.0,2.0,26.0,3.0,2.0,,7.0,5.0,1.0,2.0,10.0,73.0,,,1.0,11.0,0.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,Richard Dunne,Defender,A Villa,7,Ireland,2011-12,85.0,1.0,0.0,5.0,1.0,65.0,11.0,1.0,144.0,28.0,,2.0,28.0,241.0,2.0,932.0,,,85.0,6.0,1.0,2519.0,,24.0,146.0,2.0,85.0,600.0,32.0,,4.0,9.0,27.0,252.0,37.0,61.0,252.0,11.0,0.0,231.0,460.0,124.0,28.0,13.0,4.0,202.0,35.0,,2.0,11.0,146.0,61.0,0.0,902.0,7.0,4.0,269.0,52.0,9.0,23.0,164.0,33.0,57.0,91.0,56.0,1436.0,3.0,1.0,84.0,490.0,7.0,97.0,54.0,4.0,1.0,1.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,1.0,
114042,Samir Carruthers,Midfielder,A Villa,7,Ireland,2011-12,5.0,,0.0,,,3.0,1.0,,2.0,3.0,,,,2.0,,14.0,,3.0,,,,20.0,,,5.0,,5.0,11.0,1.0,,,,,,1.0,5.0,6.0,1.0,0.0,10.0,5.0,3.0,3.0,1.0,1.0,10.0,1.0,,,2.0,10.0,,0.0,14.0,1.0,2.0,6.0,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,26.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,Shay Given,Goalkeeper,A Villa,7,Ireland,2011-12,2.0,,0.0,,,,,,7.0,32.0,,,32.0,442.0,,864.0,,,4.0,8.0,,2828.0,,1.0,6.0,3.0,3.0,103.0,,,4.0,,125.0,16.0,45.0,1.0,37.0,3.0,0.0,8.0,785.0,269.0,32.0,,,270.0,42.0,,,,4.0,3.0,0.0,341.0,,,448.0,,,,42.0,,,319.0,,1100.0,,1.0,193.0,152.0,1.0,435.0,28.0,,,,,,,,,,,,,,11.0,32.0,98.0,35.0,1.0,323.0,231.0,22.0,164.0,5.0,25.0,62.0,,,,,,,,,4.0
20481,Stephen Ireland,Midfielder,A Villa,7,Ireland,2011-12,84.0,5.0,0.0,3.0,3.0,54.0,16.0,12.0,127.0,24.0,3.0,49.0,19.0,150.0,14.0,774.0,6.0,5.0,24.0,2.0,6.0,1589.0,2.0,18.0,80.0,1.0,74.0,599.0,39.0,1.0,4.0,18.0,2.0,14.0,29.0,66.0,199.0,17.0,0.0,164.0,251.0,121.0,24.0,11.0,11.0,424.0,28.0,,16.0,32.0,140.0,6.0,0.0,770.0,10.0,13.0,231.0,43.0,3.0,6.0,209.0,24.0,62.0,25.0,115.0,1065.0,3.0,6.0,11.0,206.0,2.0,23.0,29.0,6.0,1.0,1.0,0.0,,,2.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,
13310,Stephen Warnock,Defender,A Villa,7,England,2011-12,115.0,15.0,0.0,1.0,2.0,81.0,8.0,1.0,222.0,35.0,2.0,11.0,34.0,313.0,63.0,1229.0,3.0,1.0,56.0,8.0,17.0,3056.0,,20.0,170.0,3.0,134.0,808.0,22.0,73.0,5.0,27.0,26.0,145.0,45.0,95.0,421.0,32.0,0.0,285.0,579.0,144.0,35.0,26.0,19.0,559.0,42.0,,75.0,27.0,229.0,36.0,0.0,1177.0,4.0,12.0,521.0,55.0,21.0,13.0,84.0,35.0,103.0,108.0,145.0,2134.0,232.0,3.0,56.0,374.0,6.0,91.0,64.0,4.0,2.0,1.0,1.0,,,,10.0,2.0,,2.0,7.0,,,,,,,,,,,,,,,1.0,3.0,2.0,,,,1.0,
2160,Stiliyan Petrov,Midfielder,A Villa,7,Bulgaria,2011-12,107.0,4.0,0.0,12.0,2.0,59.0,32.0,8.0,153.0,27.0,2.0,31.0,26.0,198.0,19.0,1165.0,,1.0,30.0,3.0,21.0,2328.0,3.0,14.0,129.0,3.0,113.0,905.0,24.0,,3.0,37.0,8.0,52.0,36.0,93.0,311.0,39.0,4.0,236.0,350.0,167.0,27.0,16.0,10.0,565.0,33.0,,44.0,28.0,206.0,16.0,0.0,1131.0,19.0,14.0,290.0,43.0,15.0,15.0,315.0,31.0,97.0,62.0,189.0,1642.0,3.0,5.0,43.0,423.0,7.0,45.0,43.0,13.0,4.0,4.0,0.0,2.0,6.0,,40.0,15.0,,2.0,18.0,,,,,,,,,,,,,,,,,1.0,,,,,
