season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352588,28,14,Liverpool,Home,318927,171287,Joe Gomez,joe-gomez,D,False,,,3.0,17.0,21.0,38.0,,,7.0,,,1.0,5.0,,,5.0,4.0,,,0.0277042,0.0358,,,,,,,,1.0,,,90.0,,,,,,,,13.0,,6.8,,,,,1.0,1.0,1.0,,6.0,,24.0,23.0,46.0,1,3.0,67.0,2.0,,1.0,3.0
2023-24,11352588,28,14,Liverpool,Home,786259,214285,Kostas Tsimikas,kostas-tsimikas,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352588,28,14,Liverpool,Home,1003339,441428,Jarell Quansah,jarell-quansah,D,False,,,6.0,21.0,57.0,78.0,,1.0,11.0,,,,1.0,,,2.0,2.0,,,0.00683323,0.0238,0.1255,,,,,,,,,,90.0,1.0,1.0,,,,,,13.0,,6.9,,,,,3.0,2.0,,,13.0,,30.0,60.0,90.0,1,,98.0,,,1.0,
2023-24,11352588,28,14,Liverpool,Home,1008402,492777,Conor Bradley,conor-bradley,D,False,,,,13.0,8.0,21.0,1.0,1.0,5.0,,,1.0,2.0,,,4.0,7.0,,,0.0106393,0.0393,,,,,,,,2.0,,,61.0,,1.0,,,,,,11.0,,7.2,,,,,2.0,1.0,1.0,,2.0,,20.0,10.0,29.0,1,4.0,52.0,1.0,2.0,,4.0
2023-24,11352588,28,14,Liverpool,Home,1550811,611926,Amara Nallo,amara-nallo,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,12190339,29,14,Liverpool,Away,151545,97032,Virgil van Dijk,virgil-van-dijk,D,False,,,6.0,49.0,44.0,93.0,3.0,9.0,5.0,,,1.0,,,,3.0,11.0,,,0.0265191,0.0855,0.0645,,,,,,,,1.0,,90.0,1.0,1.0,,,,,,15.0,,7.5,,,,,3.0,1.0,,,11.0,,57.0,50.0,107.0,2,1.0,118.0,1.0,,1.0,1.0
2023-24,12190339,29,14,Liverpool,Away,262911,122798,Andy Robertson,andy-robertson,D,False,3.0,,5.0,34.0,21.0,52.0,2.0,,6.0,,,,5.0,,,8.0,1.0,,,0.0972657,0.0624,0.036,,,,,,,,3.0,,84.0,1.0,2.0,,,,,,28.0,,7.1,,,,,1.0,1.0,16.0,,10.0,1.0,57.0,23.0,64.0,1,1.0,97.0,2.0,,,1.0
2023-24,12190339,29,14,Liverpool,Away,318927,171287,Joe Gomez,joe-gomez,D,True,2.0,,,4.0,4.0,6.0,,,1.0,,,,,,,1.0,2.0,,,0.0460692,,,1.0,,,,,,,,,12.0,,,,,,,,1.0,,6.7,,,,,,,3.0,,,,5.0,4.0,6.0,0,2.0,12.0,,,,1.0
2023-24,12190339,29,14,Liverpool,Away,786259,214285,Kostas Tsimikas,kostas-tsimikas,D,True,,,,2.0,,2.0,1.0,,,,,,,,,1.0,,,,0.0012967,,,1.0,,,,,,,,,12.0,,,,,,,,4.0,,6.6,,,,,,,3.0,,,,6.0,,3.0,0,,7.0,,,,
2023-24,12190339,29,14,Liverpool,Away,795064,169187,Trent Alexander-Arnold,trent-alexander-arnold,D,False,2.0,,3.0,47.0,36.0,81.0,,,5.0,,,,1.0,,,1.0,2.0,,,0.405554,0.0302,,,,,,,,1.0,,,84.0,,1.0,,,,,,26.0,,7.1,,,1.0,,2.0,1.0,7.0,,14.0,,68.0,38.0,99.0,1,,124.0,2.0,1.0,1.0,
2023-24,12190339,29,14,Liverpool,Away,826215,204716,Ibrahima Konaté,ibrahima-konate,D,False,,,1.0,31.0,36.0,67.0,2.0,4.0,2.0,,,,,,,3.0,6.0,1.0,,0.0113254,,,1.0,,,,,,,,,63.0,,,,,,,,6.0,,6.0,,,,,1.0,,,,3.0,,35.0,37.0,72.0,0,2.0,77.0,1.0,,,
2023-24,12190339,29,14,Liverpool,Away,1003339,441428,Jarell Quansah,jarell-quansah,D,True,,,,14.0,9.0,23.0,2.0,1.0,4.0,,,,,,1.0,3.0,1.0,,,0.0115587,,,,,,,,,1.0,1.0,,27.0,,,,,,,,6.0,,6.7,,,,,,,,,1.0,,17.0,11.0,28.0,0,,32.0,,,,
2023-24,11352617,30,14,Liverpool,Home,151545,97032,Virgil van Dijk,virgil-van-dijk,D,False,,,1.0,20.0,25.0,45.0,2.0,2.0,1.0,,,,,,,4.0,2.0,,,0.0123791,,,2.0,,,,,,,1.0,,90.0,,1.0,,,,,,6.0,,6.8,,,,,3.0,,,,1.0,,23.0,28.0,51.0,0,,57.0,,,,
2023-24,11352617,30,14,Liverpool,Home,318927,171287,Joe Gomez,joe-gomez,D,False,1.0,,2.0,25.0,15.0,39.0,,,7.0,,,,,,2.0,6.0,4.0,,,0.082239,,,3.0,,,,,,1.0,1.0,,90.0,,,,,,,,8.0,,6.8,,,,,1.0,1.0,1.0,,3.0,,29.0,15.0,43.0,0,3.0,64.0,,1.0,,2.0
2023-24,11352617,30,14,Liverpool,Home,786259,214285,Kostas Tsimikas,kostas-tsimikas,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352617,30,14,Liverpool,Home,826215,204716,Ibrahima Konaté,ibrahima-konate,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352617,30,14,Liverpool,Home,1003339,441428,Jarell Quansah,jarell-quansah,D,False,,,5.0,46.0,56.0,102.0,,2.0,5.0,,,,1.0,,,2.0,4.0,,,0.0235227,,,,,,,,,4.0,1.0,,90.0,,,,,,,,13.0,,7.2,,,,,2.0,1.0,,,13.0,,53.0,61.0,114.0,0,2.0,126.0,,,,1.0
2023-24,11352617,30,14,Liverpool,Home,1008402,492777,Conor Bradley,conor-bradley,D,False,,,1.0,27.0,15.0,42.0,,,7.0,,,1.0,1.0,,2.0,5.0,11.0,,,0.186123,0.1074,,,,,,,,3.0,4.0,,90.0,,,,,,,,12.0,,8.2,,,1.0,,2.0,6.0,1.0,,1.0,1.0,34.0,16.0,49.0,2,6.0,81.0,,1.0,4.0,5.0
2023-24,11352347,31,14,Liverpool,Home,151545,97032,Virgil van Dijk,virgil-van-dijk,D,False,,,9.0,60.0,39.0,99.0,1.0,,3.0,,,,,,,1.0,2.0,,,0.0200013,0.0439,0.0784,,,,,,,,,,90.0,1.0,,,,,,,2.0,,7.5,,,,,,,,,9.0,,61.0,40.0,101.0,1,1.0,108.0,,1.0,,1.0
2023-24,11352347,31,14,Liverpool,Home,262911,122798,Andy Robertson,andy-robertson,D,True,3.0,,1.0,28.0,4.0,29.0,,,1.0,1.0,,,,,,,1.0,,,0.0896603,0.0478,,,1.0,,,,,,1.0,,30.0,,,,,,,,13.0,,7.7,,,1.0,,,,12.0,,1.0,,40.0,4.0,32.0,1,,51.0,1.0,1.0,,
2023-24,11352347,31,14,Liverpool,Home,318927,171287,Joe Gomez,joe-gomez,D,False,,,2.0,59.0,12.0,71.0,,1.0,7.0,1.0,,,2.0,,1.0,3.0,4.0,,,0.264088,0.0749,,,,,,,,,2.0,,73.0,,,,,,,,12.0,,7.6,,,2.0,,1.0,,2.0,,3.0,,68.0,13.0,79.0,2,1.0,94.0,1.0,2.0,,1.0
2023-24,11352347,31,14,Liverpool,Home,786259,214285,Kostas Tsimikas,kostas-tsimikas,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352347,31,14,Liverpool,Home,826215,204716,Ibrahima Konaté,ibrahima-konate,D,False,,,3.0,47.0,36.0,83.0,3.0,8.0,5.0,,,,,,,5.0,10.0,,,0.01747,0.0508,,2.0,,,,,,1.0,,,90.0,,,,,,,,14.0,,7.1,,,1.0,,1.0,,,,5.0,,53.0,43.0,96.0,1,1.0,106.0,1.0,1.0,,1.0
2023-24,11352347,31,14,Liverpool,Home,1003339,441428,Jarell Quansah,jarell-quansah,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
