playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,aerialDuels,cleanSheets,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,blocks,leftsidePasses,interceptions,successfulLongPasses,backwardPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,goals,offsides,awayGoals,oboxBlocked,iboxTarget,shotsOnTargetInBox,goalsConcededOutsideBox,successfulCornersIntoBox,penaltyGoalsConceded,shotsBlockedInBox,totalFoulsWon,rightFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,totalFoulsConceded,clearancesOffTheLine,throwInsToOwnPlayer,hitWoodwork,handballsConceded,successfulCrossesOpenPlay,overruns,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,penaltiesConceded,throwInsToOppositionPlayer,homeGoals,oboxTarget,headedGoals,iboxBlocked,successfulDribbles,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,substituteOn,lastPlayerTackle,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,leftFootGoals,throughBalls,unsuccessfulCornersIntoBox,ownGoalScored,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,penaltiesTaken,foulWonPenalty,penaltyGoals,secondGoalAssists,setPiecesGoals,redCards2ndYellow
15137,Liam Rosenior,Defender,Hull,88,England,2013-14,83.0,1.6232,0.0,73.0,7.0,211.0,29.0,22.0,268.0,967.0,49.0,6.0,1986.0,,26.0,129.0,62.0,106.0,660.0,15.0,23.4527,18.0,12.0,70.0,28.0,57.0,213.0,1.0,212.0,24.0,456.0,104.0,29.0,19.0,450.0,26.0,163.0,23.0,0.0,963.0,5.0,6.0,435.0,54.0,10.0,153.0,36.0,39.0,145.0,1623.0,55.0,265.0,1.1354,5.0,57.0,64.0,2.0,2.0,0.6536,1.0,,0.0,1.0,,,2.0,,2.0,1.0,15.0,,11.0,51.0,28.0,14.0,1.0,193.0,,,16.0,2.0,2.0,11.0,51.0,,1.0,16.0,,60.0,1.0,1.0,1.0,1.0,20.0,7.0,1.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19182,Matty Fryatt,Forward,Hull,88,England,2013-14,26.0,0.0443,0.0,1.0,5.0,11.0,10.0,,11.0,84.0,9.0,,219.0,,7.0,11.0,3.0,9.0,70.0,10.0,5.5538,1.0,,,6.0,19.0,23.0,0.0,37.0,1.0,9.0,12.0,10.0,,51.0,6.0,28.0,2.0,0.0,81.0,2.0,5.0,36.0,1.0,1.0,26.0,1.0,3.0,26.0,131.0,1.0,22.0,0.4113,0.0,,1.0,1.0,3.0,1.322,2.0,3.0,1.0,1.0,,,,,,,4.0,2.0,2.0,3.0,12.0,4.0,,2.0,,,,3.0,,9.0,3.0,,1.0,,,,1.0,1.0,,,4.0,,1.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34285,Maynor Figueroa,Defender,Hull,88,Honduras,2013-14,129.0,1.2794,0.0,68.0,15.0,183.0,32.0,31.0,300.0,1145.0,79.0,8.0,2715.0,,31.0,167.0,36.0,119.0,777.0,9.0,38.1931,11.0,24.0,112.0,42.0,98.0,385.0,0.0,296.0,22.0,545.0,133.0,32.0,16.0,440.0,35.0,217.0,48.0,0.0,1106.0,9.0,5.0,487.0,52.0,16.0,74.0,79.0,68.0,141.0,1917.0,71.0,418.0,0.5369,6.0,117.0,64.0,6.0,6.0,0.9992,,,,3.0,,,7.0,,3.0,3.0,39.0,,13.0,38.0,29.0,43.0,,167.0,,1.0,13.0,2.0,,1.0,38.0,,6.0,13.0,,82.0,,6.0,,3.0,14.0,6.0,3.0,15.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,0.0514,1.0,1.0,,,,,,
78778,Nick Proschwitz,Forward,Hull,88,Germany,2013-14,6.0,0.0191,0.0,1.0,,,2.0,,,9.0,5.0,,23.0,,5.0,1.0,,1.0,9.0,1.0,0.1887,1.0,,,,1.0,3.0,0.0,7.0,,,1.0,2.0,1.0,8.0,,2.0,,0.0,9.0,,1.0,2.0,,,3.0,,,3.0,13.0,,1.0,0.0246,0.0,,,1.0,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62419,Nikica Jelavic,Forward,Hull,88,Croatia,2013-14,196.0,0.4179,0.0,7.0,53.0,131.0,25.0,21.0,134.0,462.0,183.0,1.0,1696.0,17.0,125.0,93.0,18.0,35.0,322.0,89.0,19.0357,10.0,1.0,25.0,26.0,71.0,108.0,0.0,289.0,10.0,106.0,45.0,25.0,2.0,248.0,23.0,106.0,58.0,0.0,446.0,27.0,13.0,227.0,5.0,4.0,101.0,5.0,6.0,147.0,720.0,3.0,82.0,6.6143,3.0,3.0,21.0,17.0,26.0,7.0499,4.0,25.0,4.0,6.0,12.0,12.0,3.0,,1.0,6.0,19.0,1.0,13.0,13.0,44.0,31.0,1.0,2.0,2.0,6.0,2.0,2.0,1.0,53.0,13.0,,3.0,2.0,,,0.0,3.0,3.0,6.0,11.0,15.0,6.0,5.0,4.0,,,,,,,,,,,,,,,,,,,3.0,,,0.4875,7.0,7.0,1.0,,,,,
17506,Paul McShane,Defender,Hull,88,Ireland,2013-14,31.0,0.0396,0.0,13.0,2.0,42.0,10.0,9.0,58.0,300.0,39.0,2.0,686.0,,17.0,39.0,5.0,17.0,221.0,5.0,9.9312,1.0,4.0,25.0,9.0,14.0,82.0,0.0,70.0,2.0,128.0,40.0,10.0,2.0,88.0,9.0,31.0,22.0,0.0,297.0,2.0,1.0,72.0,11.0,3.0,74.0,13.0,21.0,16.0,392.0,8.0,154.0,0.1596,0.0,16.0,28.0,1.0,,,,,,,,,,,2.0,1.0,6.0,,,3.0,2.0,9.0,,4.0,,,,2.0,,,3.0,,,,,2.0,,,,1.0,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90517,Robert Brady,Midfielder,Hull,88,Ireland,2013-14,70.0,0.6712,0.0,16.0,5.0,55.0,16.0,11.0,68.0,337.0,31.0,,890.0,3.0,20.0,55.0,19.0,44.0,257.0,12.0,13.993,12.0,3.0,8.0,13.0,50.0,126.0,2.0,125.0,13.0,99.0,51.0,16.0,4.0,159.0,10.0,94.0,11.0,0.0,335.0,1.0,4.0,171.0,12.0,,34.0,18.0,12.0,78.0,561.0,7.0,120.0,1.9282,2.0,13.0,15.0,6.0,4.0,2.1758,3.0,1.0,1.0,5.0,,,3.0,4.0,,1.0,16.0,,12.0,44.0,35.0,10.0,,10.0,,,3.0,2.0,1.0,27.0,24.0,16.0,1.0,10.0,,4.0,2.0,1.0,,1.0,12.0,8.0,5.0,2.0,5.0,,,,,,,,,,,,,,,,,,3.0,1.0,12.0,,0.1314,3.0,3.0,2.0,1.0,2.0,,,
27522,Robert Koren,Midfielder,Hull,88,Slovenia,2013-14,51.0,0.3743,0.0,21.0,15.0,83.0,22.0,10.0,93.0,534.0,14.0,1.0,1135.0,2.0,14.0,34.0,29.0,34.0,423.0,22.0,13.0013,10.0,1.0,4.0,14.0,37.0,131.0,0.0,85.0,15.0,146.0,56.0,22.0,4.0,285.0,11.0,71.0,,0.0,521.0,9.0,11.0,155.0,17.0,,149.0,13.0,18.0,108.0,699.0,3.0,157.0,2.0734,1.0,10.0,19.0,11.0,6.0,2.3463,2.0,2.0,0.0,8.0,1.0,1.0,3.0,1.0,,3.0,8.0,1.0,5.0,21.0,19.0,9.0,,2.0,,1.0,,2.0,,41.0,13.0,9.0,3.0,1.0,,,2.0,3.0,,3.0,5.0,6.0,8.0,2.0,12.0,,,,,,,,,,,,,,,,,,1.0,2.0,8.0,,,,,,,,,,
20452,Shane Long,Forward,Hull,88,Ireland,2013-14,230.0,0.7658,0.0,26.0,48.0,201.0,30.0,26.0,211.0,591.0,215.0,1.0,2244.0,15.0,128.0,169.0,25.0,82.0,368.0,92.0,15.7238,23.0,,16.0,34.0,102.0,149.0,1.0,399.0,16.0,138.0,56.0,30.0,2.0,301.0,29.0,184.0,87.0,0.0,557.0,25.0,7.0,363.0,24.0,2.0,143.0,10.0,12.0,161.0,960.0,6.0,90.0,3.6339,2.0,10.0,23.0,4.0,23.0,4.0547,7.0,27.0,3.0,,6.0,6.0,5.0,,1.0,,49.0,1.0,10.0,30.0,51.0,47.0,,7.0,4.0,2.0,11.0,5.0,2.0,72.0,30.0,,1.0,11.0,,,4.0,1.0,3.0,,8.0,11.0,,1.0,4.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,1.0,,
27503,Sone Aluko,Forward,Hull,88,Nigeria,2013-14,88.0,0.9884,0.0,13.0,16.0,52.0,17.0,10.0,56.0,361.0,18.0,,935.0,1.0,14.0,63.0,22.0,59.0,288.0,18.0,13.4394,9.0,,,12.0,74.0,79.0,1.0,151.0,9.0,76.0,49.0,17.0,1.0,200.0,11.0,133.0,4.0,0.0,349.0,9.0,11.0,149.0,12.0,,86.0,8.0,17.0,120.0,577.0,4.0,113.0,1.4407,1.0,4.0,14.0,5.0,7.0,1.7646,1.0,7.0,1.0,2.0,1.0,1.0,1.0,,,3.0,31.0,,23.0,20.0,50.0,19.0,,2.0,1.0,1.0,6.0,3.0,3.0,46.0,17.0,3.0,5.0,8.0,,,0.0,5.0,,3.0,18.0,8.0,2.0,10.0,7.0,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,0.0992,2.0,2.0,,,,,,
20462,Stephen Quinn,Midfielder,Hull,88,Ireland,2013-14,27.0,0.2208,0.0,6.0,2.0,33.0,15.0,4.0,37.0,316.0,12.0,,503.0,,7.0,28.0,12.0,23.0,260.0,7.0,7.4269,4.0,1.0,3.0,10.0,20.0,84.0,0.0,55.0,6.0,76.0,33.0,15.0,2.0,163.0,9.0,43.0,5.0,0.0,313.0,1.0,3.0,69.0,4.0,,90.0,9.0,19.0,66.0,400.0,3.0,118.0,0.0866,0.0,4.0,10.0,,1.0,0.0241,,3.0,,,1.0,1.0,1.0,1.0,,,15.0,,2.0,13.0,12.0,4.0,,1.0,,,1.0,1.0,,13.0,10.0,5.0,,2.0,,,,,,,3.0,2.0,,1.0,11.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
1881,Steve Harper,Goalkeeper,Hull,88,England,2013-14,1.0,0.1123,0.0,,,4.0,13.0,11.0,203.0,334.0,2.0,3.0,1100.0,,,3.0,2.0,1.0,31.0,,15.757,1.0,49.0,11.0,19.0,1.0,6.0,0.0,4.0,,316.0,117.0,13.0,,87.0,18.0,2.0,2.0,0.0,145.0,,1.0,208.0,,,12.0,1.0,100.0,,432.0,109.0,44.0,,1.0,199.0,20.0,,,,,,,,,,1.0,,3.0,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,2.0,,,5.0,15.0,99.0,2.0,3.0,,8.0,33.0,,,1.0,82.0,55.0,10.0,18.0,,,,,,,,,,,,,
15109,Tom Huddlestone,Midfielder,Hull,88,England,2013-14,139.0,3.7669,1.0,94.0,41.0,253.0,36.0,35.0,383.0,1882.0,59.0,7.0,3144.0,1.0,22.0,169.0,54.0,132.0,1274.0,17.0,42.2942,57.0,12.0,66.0,48.0,117.0,496.0,1.0,308.0,29.0,609.0,267.0,36.0,33.0,783.0,41.0,249.0,37.0,0.0,1803.0,22.0,25.0,608.0,61.0,11.0,555.0,74.0,225.0,222.0,2575.0,49.0,776.0,2.2541,4.0,130.0,79.0,19.0,19.0,3.4874,3.0,2.0,2.0,18.0,1.0,1.0,7.0,43.0,3.0,1.0,27.0,2.0,9.0,123.0,49.0,45.0,,8.0,2.0,1.0,5.0,3.0,2.0,71.0,28.0,100.0,15.0,60.0,,4.0,1.0,15.0,,1.0,12.0,2.0,18.0,17.0,1.0,,,,,,,,,,,,,,,,,,1.0,7.0,50.0,,0.7753,12.0,12.0,,,,,1.0,1.0
51627,Yannick Sagbo,Forward,Hull,88,Cote d’Ivoire,2013-14,167.0,0.6969,1.0,17.0,14.0,131.0,28.0,16.0,140.0,510.0,143.0,2.0,1498.0,10.0,102.0,96.0,27.0,55.0,365.0,47.0,22.9452,19.0,1.0,3.0,23.0,65.0,118.0,0.0,263.0,10.0,112.0,56.0,28.0,2.0,271.0,18.0,120.0,41.0,1.0,496.0,5.0,3.0,231.0,15.0,3.0,110.0,4.0,5.0,170.0,733.0,3.0,104.0,1.7031,2.0,9.0,18.0,9.0,9.0,2.6097,2.0,15.0,2.0,7.0,3.0,3.0,5.0,,2.0,2.0,25.0,1.0,6.0,17.0,35.0,26.0,,2.0,,,5.0,3.0,1.0,47.0,17.0,,4.0,5.0,,,0.0,4.0,,2.0,14.0,7.0,7.0,2.0,12.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,
