season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767947,2,21,West_Ham_United,Home,45944,55037,Cheikhou Kouyaté,cheikhou-kouyate,M,False,,,1.0,9.0,13.0,22.0,3.0,4.0,4.0,,,,,,,3.0,6.0,7.0,,,,1.0,,,,,1.0,,76.0,,,,,,,,,6.6,,,1.0,1.0,,2.0,,1.0,,14.0,15.0,27.0,1,1.0,40.0,,2.0,
2015-16,6767947,2,21,West_Ham_United,Home,46799,59779,Pedro Obiang,pedro-obiang,M,True,,,5.0,20.0,12.0,32.0,1.0,1.0,3.0,,,,1.0,,,1.0,4.0,7.0,,,1.0,,,,,,,,45.0,,,,,,,,,7.2,,,,,3.0,,,5.0,,24.0,14.0,38.0,0,3.0,45.0,,,3.0
2015-16,6767947,2,21,West_Ham_United,Home,50539,60706,Adrián,adrian,G,False,,,6.0,2.0,16.0,18.0,,,8.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,89.0,,,,,,,,,6.5,3.0,3.0,,,,,,13.0,,6.0,19.0,25.0,0,,35.0,,1.0,
2015-16,6767947,2,21,West_Ham_United,Home,74069,73889,Diafra Sakho,diafra-sakho,F,False,,,,8.0,1.0,9.0,4.0,1.0,3.0,,,,,,,1.0,6.0,2.0,,,1.0,,,,,,,,90.0,2.0,,,,,,,,6.7,,,1.0,,,3.0,,1.0,1.0,16.0,1.0,14.0,3,,25.0,1.0,1.0,
2015-16,6767947,2,21,West_Ham_United,Home,137844,80254,Carl Jenkinson,carl-jenkinson,D,False,2.0,,4.0,30.0,22.0,50.0,2.0,1.0,11.0,,,,,,,1.0,9.0,2.0,,,2.0,,,,,1.0,,,90.0,,,,,,,,,6.0,,,1.0,2.0,4.0,6.0,,8.0,,38.0,26.0,58.0,1,1.0,89.0,1.0,,
2015-16,6767947,2,21,West_Ham_United,Home,220315,86934,Manuel Lanzini,manuel-lanzini,M,True,,,,7.0,,7.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,14.0,,,,,,,,,6.7,,,,,,1.0,,,,12.0,,11.0,0,1.0,14.0,1.0,,
2015-16,6767947,2,21,West_Ham_United,Home,788768,173792,Reece Oxford,reece-oxford,D,False,,,1.0,2.0,7.0,9.0,,,1.0,,,,1.0,,,,1.0,2.0,,,,,,,,,,,45.0,,,,,,,,,6.4,,,,,,,,4.0,,3.0,10.0,13.0,0,2.0,16.0,1.0,,
2015-16,6767957,3,21,West_Ham_United,Home,1227,5306,Kevin Nolan,kevin-nolan,M,False,,,,6.0,2.0,8.0,1.0,,2.0,,,,1.0,,,1.0,3.0,,,,,,,,,,,,45.0,,,,,,,,,6.4,,,,,,,,,,6.0,2.0,8.0,0,,10.0,,,
2015-16,6767957,3,21,West_Ham_United,Home,9729,8380,James Collins,james-collins,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767957,3,21,West_Ham_United,Home,9741,18073,Mark Noble,mark-noble,M,False,,,6.0,26.0,12.0,38.0,,1.0,5.0,,,,1.0,,,,3.0,7.0,,,1.0,,1.0,,,4.0,1.0,,90.0,1.0,,,,,,1.0,,8.0,,,1.0,,2.0,,,9.0,,32.0,13.0,45.0,2,4.0,61.0,1.0,1.0,1.0
