season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025016,1,7,Aston_Villa,Home,833956,199796.0,Matty Cash,matty-cash,D,False,,,1.0,5.0,5.0,10.0,2.0,,,2.0,,,,,,,,3.0,4.0,,,0.00334747,,,1.0,0.0,,,,,1.0,,,0.69,4.95,1.39,0.25,2.88,90.0,,5.0,,,,,10.0,,,7.6,,,,,3.0,,4.0,,3.0,,8.0,5.0,13.0,,,0,2.0,42.0,,2.0,,1.0
2025-26,14025016,1,7,Aston_Villa,Home,864169,244954.0,Pau Torres,pau-torres,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025016,1,7,Aston_Villa,Home,923973,449871.0,Amadou Onana,amadou-onana,M,False,,,2.0,18.0,18.0,36.0,,1.0,,7.0,,,,1.0,,,1.0,2.0,7.0,,,0.0130309,,,,0.0,,,,,2.0,,,0.63,5.03,1.87,0.17,2.79,90.0,,1.0,,,,,8.0,,,7.3,,,,,2.0,2.0,,,5.0,,23.0,20.0,43.0,,,0,2.0,58.0,,2.0,2.0,1.0
2025-26,14025016,1,7,Aston_Villa,Home,930245,485337.0,Evann Guessand,evann-guessand,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025016,1,7,Aston_Villa,Home,948261,244850.0,Morgan Rogers,morgan-rogers,M,False,,,2.0,7.0,3.0,10.0,4.0,,,5.0,,,,,,,1.0,7.0,3.0,,,0.0513599,,,1.0,0.0,,,,,1.0,1.0,,0.6,5.57,1.72,0.16,2.91,90.0,,,,,,,19.0,,,6.6,,,,,,3.0,,,7.0,,14.0,6.0,20.0,,,0,1.0,33.0,5.0,,2.0,
2025-26,14025016,1,7,Aston_Villa,Home,976263,441302.0,Ian Maatsen,ian-maatsen,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025016,1,7,Aston_Villa,Home,996919,,Samuel Iling Junior,samuel-iling-junior,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025016,1,7,Aston_Villa,Home,1089388,515597.0,Lamare Bogarde,lamare-bogarde,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025016,1,7,Aston_Villa,Home,1138445,481283.0,James Wright,wright-james,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025016,1,7,Aston_Villa,Home,1410178,559962.0,Jamaldeen Jimoh,jamaldeen-jimoh,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025068,2,7,Aston_Villa,Away,96538,101188.0,Lucas Digne,lucas-digne,D,False,1.0,,,16.0,7.0,23.0,1.0,1.0,6.0,2.0,,,,1.0,,,,3.0,4.0,,,0.155706,,,,0.0,,,,,,,,,,,,,64.0,,,,,,,12.0,0.0,,6.5,,,,40.206246674428,1.0,1.0,4.0,,,,21.0,9.0,30.0,17.5355514553,,0,1.0,50.0,,2.0,,1.0
2025-26,14025068,2,7,Aston_Villa,Away,100390,72147.0,Marco Bizot,marco-bizot,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025068,2,7,Aston_Villa,Away,158263,98980.0,Emiliano Martínez,emiliano-martinez,G,False,,,4.0,3.0,28.0,31.0,,1.0,14.0,10.0,,,,,,,,,1.0,,,0.00512296,,,,0.0,,0.3602,,,,,,,,,,,90.0,,,,,,,2.0,0.0,,7.4,1.0,1.0,,81.528942541142,,,,,6.0,,3.0,30.0,33.0,64.977773312357,,0,,43.0,,1.0,,
2025-26,14025068,2,7,Aston_Villa,Away,250223,122806.0,John McGinn,john-mcginn,M,False,2.0,,1.0,18.0,7.0,25.0,1.0,2.0,17.0,2.0,,,,,,,3.0,7.0,5.0,,,0.121663,0.0462,0.0954,1.0,0.0,,,,,1.0,2.0,,,,,,,74.0,1.0,1.0,,,,,16.0,3.0,,6.8,,,,143.19105517277,,3.0,5.0,,1.0,,24.0,7.0,31.0,81.940588166858,46.271113994024,1,,51.0,2.0,2.0,1.0,
2025-26,14025068,2,7,Aston_Villa,Away,303638,149484.0,Tyrone Mings,tyrone-mings,D,False,,,3.0,39.0,36.0,75.0,2.0,8.0,38.0,6.0,,,1.0,,,,,4.0,9.0,,,0.0314255,0.1104,,1.0,0.0,,,,,2.0,1.0,,,,,,,90.0,,,,,,,9.0,1.0,,7.2,,,1.0,309.9477169666,3.0,2.0,,,7.0,,45.0,38.0,83.0,138.85057763192,27.071186822893,2,,98.0,,1.0,1.0,
2025-26,14025068,2,7,Aston_Villa,Away,331737,166989.0,Youri Tielemans,youri-tielemans,M,False,,,6.0,56.0,22.0,78.0,1.0,1.0,31.0,2.0,,,1.0,1.0,,,2.0,5.0,4.0,,,0.289854,0.0395,,1.0,0.0,,,,,,3.0,,,,,,,90.0,,,,,,,22.0,5.0,,6.9,,,1.0,325.89491149573,,1.0,5.0,,7.0,,69.0,23.0,92.0,173.60859120802,112.19727987185,2,1.0,107.0,1.0,1.0,1.0,1.0
2025-26,14025068,2,7,Aston_Villa,Away,555386,178301.0,Ollie Watkins,ollie-watkins,F,False,,,,14.0,2.0,16.0,2.0,1.0,10.0,3.0,,1.0,2.0,,,,,3.0,4.0,,,0.0822365,0.3733,,,0.0,,,,,,1.0,,,,,,,90.0,,,,,,,4.0,3.0,,6.5,,,2.0,111.41371575829,,2.0,,,,,16.0,2.0,18.0,17.062348498414,58.141864671486,4,1.0,28.0,1.0,1.0,1.0,1.0
2025-26,14025068,2,7,Aston_Villa,Away,783126,195546.0,Emiliano Buendía,emiliano-buendia,M,True,,,1.0,6.0,4.0,10.0,2.0,1.0,4.0,,,,,1.0,,,3.0,7.0,2.0,,,0.198566,0.2008,,1.0,0.0,,,,,,1.0,,,,,,,59.0,,,,,,,4.0,1.0,,6.5,,,2.0,27.898106093869,2.0,,,,1.0,,7.0,4.0,11.0,11.147681383624,11.484320833206,2,1.0,22.0,,,,1.0
2025-26,14025068,2,7,Aston_Villa,Away,803039,204646.0,Donyell Malen,donyell-malen,F,True,,,1.0,8.0,3.0,11.0,,,6.0,1.0,,,,,,,,,,,,0.0151037,,,,0.0,,,,,,,,,,,,,26.0,,,,,,,1.0,2.0,,6.5,,,,86.569115553428,,,,,1.0,,9.0,3.0,12.0,38.113457964147,43.141608960965,0,,12.0,,,,
2025-26,14025068,2,7,Aston_Villa,Away,826204,226944.0,Boubacar Kamara,boubacar-kamara,M,False,,,,5.0,1.0,6.0,,,1.0,,,,,1.0,,,,1.0,1.0,,,0.00487912,,,,0.0,,,,,,,,,,,,,16.0,,,,,,,1.0,0.0,,6.5,,,,6.6748782760437,,,,,,,5.0,1.0,6.0,-1.935592762099,,0,1.0,9.0,1.0,,,1.0
2025-26,14025068,2,7,Aston_Villa,Away,833956,199796.0,Matty Cash,matty-cash,D,False,,,,37.0,25.0,62.0,3.0,1.0,27.0,5.0,,,,2.0,,,,6.0,5.0,,,0.232072,,,,0.0,,,,,,2.0,,,,,,,90.0,,,,,,,17.0,2.0,,6.8,,,,246.21698246662,3.0,1.0,7.0,,3.0,,39.0,28.0,67.0,117.74202206932,56.815163763592,0,3.0,92.0,,1.0,,3.0
2025-26,14025068,2,7,Aston_Villa,Away,864169,244954.0,Pau Torres,pau-torres,D,False,,,7.0,44.0,50.0,94.0,2.0,1.0,47.0,8.0,,,1.0,1.0,,,1.0,5.0,3.0,,,0.133776,0.0742,,,0.0,,,,,,,,,,,,,90.0,,1.0,,,,,14.0,4.0,,6.8,,,,470.44421085936,,1.0,,,11.0,,53.0,52.0,105.0,305.10444735783,88.337089042512,1,2.0,116.0,1.0,,,1.0
2025-26,14025068,2,7,Aston_Villa,Away,923973,449871.0,Amadou Onana,amadou-onana,M,False,,,1.0,12.0,13.0,25.0,,2.0,7.0,3.0,,,1.0,,,,,1.0,5.0,,,0.0383343,0.2283,0.037,1.0,0.0,,,,,3.0,,,,,,,,64.0,1.0,1.0,,,,,5.0,0.0,,6.7,,,,49.137902074529,,,,,1.0,,15.0,14.0,29.0,-2.958115380073,,2,2.0,42.0,1.0,1.0,,1.0
2025-26,14025068,2,7,Aston_Villa,Away,930245,485337.0,Evann Guessand,evann-guessand,F,True,,,,4.0,2.0,6.0,1.0,,8.0,1.0,,,,,,,1.0,6.0,2.0,,,0.0073316,,,1.0,0.0,,,,,,,,,,,,,15.0,,,,,,,8.0,2.0,,6.4,,,,104.64024769141,,4.0,2.0,,,,4.0,2.0,6.0,65.227927774249,51.007243266633,0,1.0,18.0,2.0,,1.0,1.0
2025-26,14025068,2,7,Aston_Villa,Away,948261,244850.0,Morgan Rogers,morgan-rogers,M,False,,,,15.0,5.0,20.0,,1.0,13.0,1.0,,,1.0,1.0,,,1.0,8.0,5.0,,,0.118937,0.1012,,,0.0,,,,,,1.0,,,,,,,90.0,,,,,,,22.0,0.0,,5.8,,,1.0,80.417840100169,,9.0,1.0,,1.0,,22.0,6.0,28.0,9.1685351608685,,2,,49.0,6.0,1.0,3.0,
2025-26,14025068,2,7,Aston_Villa,Away,976263,441302.0,Ian Maatsen,ian-maatsen,D,True,1.0,,1.0,10.0,5.0,15.0,1.0,1.0,7.0,2.0,1.0,,1.0,,,,,2.0,2.0,,,0.0603515,0.0182,,1.0,0.0,,,,,,1.0,,,,,,,26.0,,,,,,,4.0,0.0,,6.9,,,,39.722589161106,3.0,,3.0,,1.0,,10.0,6.0,16.0,-5.7721285839459,,1,1.0,27.0,,,,1.0
2025-26,14025068,2,7,Aston_Villa,Away,1089388,515597.0,Lamare Bogarde,lamare-bogarde,M,True,,,,16.0,1.0,17.0,1.0,,8.0,,,,,,,,1.0,4.0,,,,0.0342391,,,2.0,0.0,,,,,,,,,,,,,16.0,,,,,,,4.0,2.0,,6.5,,,,78.511813290845,,,,,1.0,,19.0,1.0,20.0,61.162798937207,32.403345772967,0,,21.0,,,,
2025-26,14025068,2,7,Aston_Villa,Away,1400655,,Triston Rowe,triston-rowe,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025068,2,7,Aston_Villa,Away,1410227,564505.0,Sam Proctor,proctor-sam,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025068,2,7,Aston_Villa,Away,1899712,645618.0,Bradley Burrowes,bradley-burrowes,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025091,3,7,Aston_Villa,Home,96538,101188.0,Lucas Digne,lucas-digne,D,True,,,,4.0,,4.0,,,,,,,,,,,,,,,,0.00180509,,,,0.0,,,,,,,,,,,,,15.0,,,,,,,2.0,,,6.6,,,,,,,2.0,,,,4.0,,4.0,,,0,,7.0,,,,
2025-26,14025091,3,7,Aston_Villa,Home,100390,72147.0,Marco Bizot,marco-bizot,G,False,,3.0,6.0,4.0,14.0,18.0,,,,7.0,,,,,,,,1.0,,,,0.00058218,,,1.0,0.0,,-0.5531,1.0,,,,,,,,,,90.0,,,,1.0,1.0,,,,1.0,5.7,1.0,1.0,,,3.0,,,3.0,6.0,,4.0,14.0,18.0,,,0,,27.0,,,,
2025-26,14025091,3,7,Aston_Villa,Home,250223,122806.0,John McGinn,john-mcginn,M,False,,,1.0,24.0,14.0,38.0,1.0,,,3.0,1.0,,,1.0,,,1.0,6.0,5.0,,,0.1227,,,2.0,0.0,,,,,,1.0,,,,,,,74.0,,,,,,,17.0,,,6.6,,,,,1.0,3.0,4.0,,4.0,,32.0,14.0,46.0,,,0,2.0,63.0,2.0,1.0,2.0,2.0
2025-26,14025091,3,7,Aston_Villa,Home,303638,149484.0,Tyrone Mings,tyrone-mings,D,False,,,2.0,33.0,31.0,64.0,2.0,,,2.0,,,,1.0,,,,4.0,2.0,,,0.019636,,,1.0,0.0,,,,,1.0,,,,,,,,90.0,,,,,,,5.0,,,6.1,,,,,2.0,1.0,,,6.0,,38.0,31.0,69.0,,,0,1.0,76.0,,,1.0,
2025-26,14025091,3,7,Aston_Villa,Home,331737,166989.0,Youri Tielemans,youri-tielemans,M,False,,,9.0,55.0,18.0,73.0,,,,5.0,,,,1.0,,,1.0,2.0,4.0,,,0.046389,0.0925,0.2174,,0.0,,,,,,1.0,,,,,,,90.0,1.0,1.0,,,,,10.0,,,7.4,,,2.0,,,1.0,1.0,,11.0,,63.0,18.0,81.0,,,3,1.0,94.0,,2.0,1.0,1.0
2025-26,14025091,3,7,Aston_Villa,Home,555386,178301.0,Ollie Watkins,ollie-watkins,F,False,,,,8.0,2.0,10.0,1.0,,,,,1.0,,,,,3.0,4.0,3.0,,,0.0422089,0.6056,0.2362,,0.0,,,,,,1.0,,,,,,,90.0,1.0,,,,,,5.0,,,6.7,,,2.0,,,,,,,,9.0,2.0,11.0,,,3,1.0,24.0,1.0,2.0,,
2025-26,14025091,3,7,Aston_Villa,Home,783126,195546.0,Emiliano Buendía,emiliano-buendia,M,True,,,,19.0,4.0,23.0,1.0,1.0,,3.0,,,,1.0,,,1.0,5.0,6.0,,,0.119516,0.0092,,1.0,0.0,,,,,1.0,3.0,,,,,,,45.0,,,,,,,5.0,,,7.0,,,1.0,,,1.0,,,1.0,,22.0,4.0,26.0,,,1,3.0,39.0,,2.0,,1.0
2025-26,14025091,3,7,Aston_Villa,Home,803039,204646.0,Donyell Malen,donyell-malen,F,False,1.0,,,10.0,,10.0,,,,3.0,,1.0,,,,,2.0,4.0,2.0,,,0.0161864,0.1814,,,0.0,,,,,,,,,,,,,83.0,,,,,,,10.0,,,6.0,,,2.0,,,3.0,2.0,,1.0,,13.0,2.0,15.0,,,2,,25.0,,1.0,1.0,
2025-26,14025091,3,7,Aston_Villa,Home,827679,199798.0,Ezri Konsa,ezri-konsa,D,False,,,3.0,45.0,38.0,83.0,,2.0,,5.0,,,,,,,,1.0,3.0,,,0.0324852,,,1.0,0.0,,,,,,1.0,,,,,,,90.0,,,,,,,6.0,,,6.5,,,,,5.0,,1.0,,4.0,,46.0,39.0,85.0,,,0,,97.0,2.0,1.0,,
2025-26,14025091,3,7,Aston_Villa,Home,833956,199796.0,Matty Cash,matty-cash,D,False,2.0,,2.0,25.0,22.0,47.0,1.0,,,1.0,,,,,,,2.0,4.0,1.0,,,0.110104,0.0086,,1.0,0.0,,,,,2.0,1.0,,,,,,,74.0,,,,,,,15.0,,,6.0,,,1.0,,1.0,1.0,8.0,,4.0,,29.0,24.0,53.0,,,1,,78.0,1.0,,1.0,
2025-26,14025091,3,7,Aston_Villa,Home,864169,244954.0,Pau Torres,pau-torres,D,True,,,1.0,6.0,5.0,11.0,1.0,1.0,,1.0,,,,,,,,1.0,2.0,,,0.00204634,,,,0.0,,,,,,,,,,,,,16.0,,,,,,,2.0,,,6.4,,,,,,,,,1.0,,7.0,6.0,13.0,,,0,1.0,14.0,,,,
2025-26,14025091,3,7,Aston_Villa,Home,930245,485337.0,Evann Guessand,evann-guessand,F,False,,,,8.0,2.0,10.0,,,,3.0,,,,,,,4.0,6.0,2.0,,,0.00479759,0.0685,0.0561,,0.0,,,,,,,,,,,,,45.0,1.0,,,,,,8.0,,,6.2,,,,,,2.0,1.0,,,,8.0,2.0,10.0,,,1,1.0,23.0,1.0,1.0,,1.0
2025-26,14025091,3,7,Aston_Villa,Home,948261,244850.0,Morgan Rogers,morgan-rogers,M,False,,,1.0,10.0,6.0,16.0,1.0,,,4.0,,,,1.0,,,3.0,6.0,4.0,,,0.0315136,0.0447,0.5051,,0.0,,,,,1.0,,,,,,,,90.0,1.0,,,,,,12.0,,,6.7,,,,,,2.0,,,2.0,,18.0,6.0,24.0,,,1,1.0,37.0,,2.0,1.0,
2025-26,14025091,3,7,Aston_Villa,Home,976263,441302.0,Ian Maatsen,ian-maatsen,D,False,3.0,,4.0,37.0,21.0,58.0,1.0,2.0,,5.0,,,1.0,,,,1.0,2.0,2.0,,,0.120907,0.13,,,0.0,,,,,1.0,2.0,,,,,,,84.0,,,,,,,15.0,,,6.3,,,,,5.0,,9.0,,5.0,,42.0,22.0,64.0,,,1,,95.0,1.0,,,
2025-26,14025091,3,7,Aston_Villa,Home,1089388,515597.0,Lamare Bogarde,lamare-bogarde,M,True,,,,5.0,2.0,7.0,,,,,,,,,,,,,,,,0.00160749,,,,0.0,,,,,,,,,,,,,14.0,,,,,,,,,,6.7,,,,,,,,,,,5.0,2.0,7.0,,,0,,7.0,,,,
2025-26,14025091,3,7,Aston_Villa,Home,1135879,534836.0,Travis Patterson,travis-patterson,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025091,3,7,Aston_Villa,Home,1400655,,Triston Rowe,triston-rowe,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025091,3,7,Aston_Villa,Home,1410178,559962.0,Jamaldeen Jimoh,jamaldeen-jimoh,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025091,3,7,Aston_Villa,Home,1410227,564505.0,Sam Proctor,proctor-sam,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025091,3,7,Aston_Villa,Home,1899712,645618.0,Bradley Burrowes,bradley-burrowes,M,True,,,,1.0,2.0,3.0,,,,1.0,,,,1.0,,,,2.0,1.0,,,0.00093143,,,,0.0,,,,,,,,,,,,,16.0,,,,,,,6.0,,,6.4,,,,,,1.0,3.0,,,,2.0,3.0,5.0,,,0,,12.0,,1.0,,
2025-26,14025136,4,7,Aston_Villa,Away,96538,101188.0,Lucas Digne,lucas-digne,D,False,1.0,,,12.0,14.0,26.0,3.0,1.0,,6.0,,,2.0,2.0,,,1.0,8.0,2.0,,,0.0102858,0.0762,,2.0,0.0,,,,,,,,,,,,,90.0,,,,,,,21.0,,,6.1,,,,,3.0,,6.0,,7.0,,20.0,19.0,39.0,,,2,1.0,63.0,,,,1.0
2025-26,14025136,4,7,Aston_Villa,Away,100390,72147.0,Marco Bizot,marco-bizot,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025136,4,7,Aston_Villa,Away,143334,184667.0,Victor Lindelöf,victor-lindelof,D,True,,,,3.0,1.0,4.0,,,,,,,,,,,,,,,,0.00070206,,,,0.0,,,,,,,,,,,,,13.0,,,,,,,,,,6.7,,,,,,,,,,,3.0,1.0,4.0,,,0,,4.0,,,,
2025-26,14025136,4,7,Aston_Villa,Away,158263,98980.0,Emiliano Martínez,emiliano-martinez,G,False,,,5.0,4.0,14.0,18.0,,1.0,,3.0,,,,,,,,,2.0,,,0.00192087,,,,0.0,,0.2926,1.0,,,,,,,,,,90.0,,,,,,,16.0,,1.0,6.8,2.0,2.0,,,2.0,,,,20.0,,17.0,17.0,34.0,,,0,,42.0,,1.0,,
2025-26,14025136,4,7,Aston_Villa,Away,250223,122806.0,John McGinn,john-mcginn,M,False,,,3.0,19.0,13.0,32.0,1.0,,,5.0,,,,1.0,,,1.0,7.0,2.0,,,0.0297837,,,2.0,0.0,,,,,2.0,1.0,,,,,,,90.0,,1.0,,,,,5.0,,,6.6,,,,,,2.0,,,3.0,,20.0,13.0,33.0,,,0,,42.0,,2.0,,
2025-26,14025136,4,7,Aston_Villa,Away,303638,149484.0,Tyrone Mings,tyrone-mings,D,False,,,2.0,12.0,27.0,39.0,5.0,7.0,,3.0,,,1.0,,,,1.0,7.0,9.0,,,0.0103576,0.2223,,1.0,0.0,,,,,,,,,,,,,90.0,,4.0,,,,,10.0,,,7.8,,,,,8.0,,,,6.0,,15.0,32.0,47.0,,,1,1.0,69.0,1.0,1.0,,1.0
2025-26,14025136,4,7,Aston_Villa,Away,331737,166989.0,Youri Tielemans,youri-tielemans,M,False,,,2.0,18.0,12.0,30.0,2.0,,,3.0,,,,,,,,3.0,2.0,,,0.0228408,,,1.0,0.0,,,,,,,,,,,,,45.0,,,,,,,6.0,,,6.7,,,,,,1.0,,,3.0,,20.0,15.0,35.0,,,0,1.0,43.0,1.0,,1.0,1.0
