playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,penaltiesSaved,catches,totalTackles,savesMadeFromOutsideBox,throughBalls,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,awayGoals,substituteOn,cornersTakenInclShortCorners,successfulCrossesAndCorners,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,homeGoals,tacklesLost,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,secondGoalAssists,overruns,offsides,unsuccessfulLayoffs,leftFootGoals,blocks,clearancesOffTheLine,ownGoalScored,rightFootGoals,attemptsFromSetPieces,hitWoodwork,handballsConceded,successfulCornersIntoBox,redCards2ndYellow,unsuccessfulCornersIntoBox,setPiecesGoals,penaltiesTaken,penaltyGoals,foulWonPenalty,otherGoals,putthroughBlockedDistribution
45175,Ádám Bogdán,Goalkeeper,Ferencváros,227,Hungary,2011-12,0.0,0.0,0.0,4.0,1.0,38.0,,29.0,,5.0,20.0,20.0,389.0,659.0,229.0,20.0,1.0,1.0,2.0,1800.0,2.0,8.0,1.0,2.0,31.0,1.0,7.0,1.0,97.0,16.0,40.0,3.0,7.0,77.0,1.0,0.0,6.0,1.0,635.0,213.0,20.0,6.0,1.0,,226.0,32.0,5.0,,158.0,280.0,394.0,,,126.0,17.0,17.0,1.0,239.0,860.0,195.0,44.0,48.0,384.0,25.0,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
1344,Jussi Jääskeläinen,Goalkeeper,Wigan Athletic,111,Finland,2011-12,0.0,0.0,1.0,1.0,,12.0,,21.0,,6.0,18.0,18.0,347.0,666.0,200.0,7.0,2.0,2.0,1.0,1620.0,6.0,6.0,,4.0,40.0,,9.0,1.0,134.0,21.0,37.0,1.0,14.0,63.0,2.0,0.0,7.0,1.0,632.0,227.0,18.0,2.0,,,263.0,31.0,5.0,2.0,178.0,330.0,352.0,,1.0,89.0,20.0,20.0,,279.0,841.0,205.0,56.0,41.0,341.0,24.0,,,,,,3.0,,,,,,,,,,1.0,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
110578,Jay Lynch,Goalkeeper,Fleetwood Town,2048,England,2011-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11334,Petr Cech,Goalkeeper,Chelsea PL2,7140,Czech Republic,2011-12,0.0,0.0,0.0,5.0,,59.0,,44.0,,14.0,34.0,34.0,387.0,1038.0,280.0,26.0,5.0,10.0,5.0,3060.0,11.0,3.0,,7.0,345.0,,15.0,4.0,97.0,45.0,39.0,4.0,138.0,84.0,6.0,0.0,16.0,,777.0,344.0,34.0,4.0,3.0,,197.0,36.0,11.0,4.0,335.0,595.0,401.0,,1.0,133.0,21.0,123.0,,306.0,1437.0,188.0,454.0,40.0,373.0,49.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
17694,Ross Turnbull,Goalkeeper,Leeds United,2,England,2011-12,0.0,0.0,0.0,,,2.0,,3.0,,,2.0,2.0,23.0,61.0,19.0,,,,1.0,180.0,,2.0,,,14.0,,2.0,,12.0,4.0,5.0,,7.0,6.0,,0.0,,,49.0,16.0,2.0,,,,18.0,3.0,,,20.0,34.0,23.0,,,8.0,1.0,5.0,,24.0,84.0,12.0,20.0,3.0,23.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
108132,Jamal Blackman,Goalkeeper,Shrewsbury Town,74,England,2011-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37634,Henrique Hilário,Goalkeeper,Chelsea,8,Portugal,2011-12,0.0,0.0,0.0,,,5.0,,4.0,,3.0,2.0,2.0,10.0,51.0,13.0,3.0,1.0,,,180.0,2.0,,,1.0,32.0,,,,2.0,1.0,2.0,,5.0,8.0,1.0,0.0,2.0,,37.0,29.0,2.0,,1.0,,6.0,2.0,1.0,1.0,31.0,31.0,10.0,,,3.0,2.0,9.0,,9.0,87.0,5.0,35.0,4.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15337,Tim Howard,Goalkeeper,Everton,11,United States,2011-12,0.0,0.0,1.0,2.0,2.0,54.0,,35.0,,11.0,38.0,38.0,488.0,959.0,340.0,21.0,,12.0,4.0,3420.0,8.0,6.0,,8.0,177.0,2.0,25.0,1.0,111.0,40.0,40.0,2.0,61.0,95.0,5.0,0.0,10.0,2.0,829.0,424.0,38.0,3.0,5.0,,258.0,34.0,10.0,,388.0,459.0,502.0,,1.0,183.0,18.0,68.0,,294.0,1406.0,250.0,213.0,59.0,477.0,27.0,,,1.0,1.0,,,,1.0,0.0,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
1827,Mark Schwarzer,Goalkeeper,Leicester City,13,Australia,2011-12,0.0,0.0,1.0,2.0,,53.0,,50.0,,9.0,30.0,30.0,289.0,615.0,,14.0,2.0,10.0,,2700.0,6.0,7.0,,4.0,180.0,,22.0,,109.0,26.0,37.0,2.0,,102.0,4.0,,8.0,,,353.0,30.0,5.0,5.0,,101.0,30.0,6.0,2.0,351.0,,,,,134.0,8.0,,1.0,146.0,1365.0,220.0,225.0,51.0,280.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
15903,David Stockdale,Goalkeeper,Sheffield Wednesday,19,England,2011-12,0.0,0.0,0.0,,,10.0,,19.0,,2.0,8.0,8.0,119.0,252.0,77.0,5.0,,1.0,,720.0,,3.0,,,60.0,,4.0,,29.0,8.0,14.0,,18.0,44.0,,0.0,,,207.0,110.0,8.0,1.0,1.0,,46.0,11.0,,,77.0,132.0,121.0,,,46.0,6.0,27.0,,73.0,361.0,54.0,87.0,25.0,117.0,11.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88734,Neil Etheridge,Goalkeeper,Birmingham City,41,Philippines,2011-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9631,Brad Jones,Goalkeeper,Middlesbrough PL2,7138,Australia,2011-12,0.0,0.0,1.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,15.0,25.0,4.0,2.0,,,2.0,64.0,1.0,,1.0,1.0,2.0,1.0,,1.0,4.0,,2.0,1.0,,5.0,1.0,0.0,2.0,,24.0,13.0,1.0,1.0,,,8.0,2.0,2.0,,4.0,11.0,17.0,,,3.0,1.0,1.0,1.0,8.0,38.0,7.0,2.0,2.0,14.0,2.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8432,Pepe Reina,Goalkeeper,Villarreal,449,Spain,2011-12,1.0,1.0,0.0,6.0,,15.0,1.0,35.0,,19.0,34.0,34.0,371.0,1037.0,263.0,24.0,5.0,12.0,3.0,3053.0,8.0,2.0,,6.0,348.0,,17.0,3.0,114.0,29.0,35.0,3.0,101.0,79.0,5.0,0.0,14.0,,782.0,349.0,34.0,,4.0,1.0,203.0,33.0,9.0,2.0,362.0,631.0,381.0,1.0,,96.0,14.0,154.0,,318.0,1370.0,216.0,463.0,43.0,352.0,51.0,,,,,,,,,,,,,3.0,,,5.0,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
26756,Doni,Goalkeeper,Liverpool,14,Brazil,2011-12,1.0,1.0,0.0,1.0,,4.0,,2.0,,1.0,4.0,4.0,22.0,78.0,25.0,,,,,295.0,1.0,,1.0,1.0,27.0,,2.0,,8.0,3.0,3.0,1.0,6.0,8.0,,0.0,2.0,,61.0,33.0,4.0,1.0,,,26.0,3.0,2.0,,34.0,38.0,22.0,,1.0,8.0,3.0,11.0,2.0,29.0,112.0,9.0,30.0,6.0,21.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3201,Stuart Taylor,Goalkeeper,Southampton,20,England,2011-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15749,Joe Hart,Goalkeeper,Celtic,61,England,2011-12,0.0,0.0,0.0,2.0,1.0,37.0,,47.0,,4.0,38.0,38.0,404.0,822.0,266.0,22.0,1.0,17.0,3.0,3420.0,10.0,5.0,1.0,9.0,228.0,1.0,21.0,2.0,68.0,31.0,29.0,2.0,83.0,97.0,8.0,0.0,12.0,1.0,674.0,326.0,38.0,2.0,3.0,,133.0,24.0,11.0,1.0,325.0,418.0,410.0,,,144.0,29.0,65.0,1.0,190.0,1208.0,207.0,285.0,50.0,400.0,43.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
56827,Costel Pantilimon,Goalkeeper,Nottingham Forest,17,Romania,2011-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51940,David de Gea,Goalkeeper,Fiorentina,125,Spain,2011-12,0.0,0.0,0.0,1.0,1.0,27.0,1.0,55.0,,15.0,29.0,29.0,355.0,800.0,264.0,22.0,3.0,13.0,3.0,2610.0,10.0,4.0,,7.0,233.0,1.0,21.0,2.0,58.0,26.0,29.0,1.0,98.0,102.0,6.0,0.0,11.0,,600.0,277.0,29.0,2.0,4.0,,118.0,25.0,8.0,3.0,258.0,435.0,360.0,,,130.0,25.0,102.0,,212.0,1095.0,174.0,327.0,47.0,340.0,52.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
39725,Anders Lindegaard,Goalkeeper,Burnley,90,Denmark,2011-12,0.0,0.0,0.0,,,7.0,,12.0,,5.0,8.0,8.0,103.0,224.0,71.0,8.0,1.0,6.0,,720.0,1.0,1.0,,,70.0,,4.0,,15.0,6.0,4.0,,24.0,18.0,,0.0,1.0,,178.0,99.0,8.0,,1.0,,30.0,3.0,,1.0,80.0,131.0,104.0,,,40.0,1.0,22.0,,51.0,304.0,54.0,91.0,6.0,98.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10135,Tomasz Kuszczak,Goalkeeper,Birmingham City,41,Poland,2011-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51922,Ben Amos,Goalkeeper,Port Vale,50,England,2011-12,0.0,0.0,0.0,,,1.0,,1.0,,2.0,1.0,1.0,6.0,25.0,4.0,,,1.0,,90.0,,,,,13.0,,1.0,,2.0,1.0,,,3.0,2.0,,0.0,,,14.0,4.0,1.0,,,,2.0,,,,8.0,18.0,6.0,,,,,8.0,,6.0,33.0,6.0,17.0,1.0,4.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20480,Tim Krul,Goalkeeper,Luton Town,102,Netherlands,2011-12,0.0,0.0,4.0,6.0,2.0,56.0,2.0,47.0,,32.0,38.0,38.0,741.0,1306.0,367.0,30.0,3.0,15.0,9.0,3420.0,7.0,6.0,1.0,7.0,124.0,2.0,23.0,7.0,203.0,38.0,51.0,3.0,54.0,114.0,5.0,0.0,13.0,,1199.0,442.0,38.0,3.0,3.0,,388.0,45.0,10.0,,275.0,618.0,762.0,,,208.0,25.0,53.0,1.0,441.0,1658.0,385.0,177.0,65.0,709.0,63.0,,,,,,1.0,,,,,,,3.0,,,2.0,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
19838,Robert Elliot,Goalkeeper,Gateshead,447,Ireland,2011-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50264,Declan Rudd,Goalkeeper,Preston North End,107,England,2011-12,0.0,0.0,0.0,,1.0,1.0,,4.0,,1.0,2.0,1.0,30.0,48.0,14.0,,1.0,,2.0,99.0,1.0,,,,3.0,1.0,1.0,1.0,10.0,2.0,3.0,,,6.0,,0.0,1.0,,48.0,22.0,2.0,,,,15.0,3.0,,1.0,15.0,24.0,30.0,,,9.0,1.0,,,15.0,67.0,16.0,3.0,2.0,29.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19236,John Ruddy,Goalkeeper,Newcastle United,4,England,2011-12,1.0,1.0,1.0,4.0,1.0,51.0,1.0,43.0,,12.0,37.0,37.0,508.0,1041.0,337.0,28.0,2.0,3.0,5.0,3320.0,4.0,11.0,1.0,2.0,150.0,1.0,19.0,4.0,171.0,31.0,63.0,4.0,48.0,137.0,1.0,0.0,8.0,,945.0,441.0,37.0,4.0,3.0,,345.0,52.0,6.0,2.0,351.0,462.0,529.0,,,168.0,30.0,47.0,1.0,383.0,1467.0,235.0,188.0,93.0,496.0,27.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
79852,Jed Steer,Goalkeeper,Peterborough United,73,England,2011-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3119,Paddy Kenny,Goalkeeper,Northampton Town,75,Ireland,2011-12,0.0,0.0,0.0,4.0,,22.0,1.0,45.0,,13.0,33.0,33.0,544.0,974.0,299.0,31.0,1.0,7.0,3.0,2970.0,7.0,10.0,1.0,6.0,57.0,,18.0,3.0,161.0,30.0,59.0,4.0,27.0,107.0,5.0,0.0,11.0,,924.0,329.0,33.0,4.0,4.0,,326.0,49.0,10.0,1.0,237.0,377.0,551.0,1.0,,159.0,27.0,23.0,1.0,373.0,1248.0,276.0,104.0,61.0,531.0,42.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
10589,Brian Murphy,Goalkeeper,Cardiff City U21,8949,Ireland,2011-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4202,Radek Cerny,Goalkeeper,Queens Park Rangers,52,Czech Republic,2011-12,0.0,0.0,0.0,,,,,5.0,,4.0,5.0,5.0,85.0,156.0,58.0,7.0,,,,450.0,1.0,1.0,,1.0,8.0,,4.0,,29.0,6.0,7.0,,2.0,21.0,,0.0,1.0,,152.0,43.0,5.0,,1.0,,61.0,6.0,1.0,,37.0,58.0,87.0,,1.0,30.0,2.0,2.0,,63.0,194.0,39.0,10.0,15.0,81.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73446,Elvijs Putnins,Goalkeeper,Queens Park Rangers,52,Latvia,2011-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18656,Heurelho Gomes,Goalkeeper,Watford,57,Brazil,2011-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,Brad Friedel,Goalkeeper,Tottenham Hotspur,6,United States,2011-12,0.0,0.0,0.0,1.0,,24.0,,56.0,,15.0,38.0,38.0,410.0,989.0,327.0,28.0,2.0,14.0,1.0,3420.0,7.0,8.0,,5.0,305.0,,12.0,1.0,84.0,25.0,41.0,1.0,95.0,114.0,5.0,0.0,8.0,,723.0,417.0,38.0,4.0,1.0,,169.0,33.0,6.0,2.0,415.0,545.0,421.0,,,168.0,27.0,170.0,,274.0,1431.0,189.0,410.0,58.0,395.0,37.0,,,,,,4.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
40349,Asmir Begovic,Goalkeeper,Everton,11,Bosnia & Herzegovina,2011-12,0.0,0.0,0.0,3.0,,37.0,1.0,40.0,,6.0,23.0,22.0,305.0,666.0,194.0,10.0,1.0,6.0,2.0,1996.0,5.0,9.0,,4.0,23.0,,9.0,2.0,161.0,26.0,31.0,3.0,13.0,79.0,2.0,0.0,8.0,1.0,645.0,235.0,23.0,2.0,3.0,1.0,325.0,22.0,7.0,1.0,170.0,248.0,313.0,1.0,,83.0,22.0,8.0,1.0,338.0,882.0,152.0,36.0,38.0,299.0,23.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
1945,Thomas Sørensen,Goalkeeper,Stoke City,110,Denmark,2011-12,0.0,0.0,1.0,1.0,,26.0,,27.0,,4.0,16.0,16.0,220.0,466.0,138.0,4.0,,2.0,5.0,1424.0,3.0,5.0,,3.0,23.0,,14.0,5.0,105.0,22.0,22.0,1.0,10.0,46.0,3.0,0.0,4.0,,447.0,170.0,16.0,3.0,4.0,,210.0,17.0,4.0,,104.0,193.0,223.0,,,66.0,15.0,9.0,,223.0,605.0,106.0,36.0,19.0,216.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
5207,Craig Gordon,Goalkeeper,Heart of Midlothian,59,Scotland,2011-12,0.0,0.0,0.0,,,4.0,,2.0,,1.0,1.0,1.0,22.0,43.0,11.0,,,,,90.0,,,,,5.0,,,,11.0,2.0,2.0,,2.0,4.0,,0.0,,,41.0,13.0,1.0,1.0,,,17.0,2.0,,,9.0,24.0,24.0,,,6.0,2.0,,,16.0,60.0,13.0,4.0,2.0,21.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
