playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,throwInsToOppositionPlayer,throwInsToOwnPlayer,cornersTakenInclShortCorners,successfulCornersIntoBox,leftFootGoals,unsuccessfulCornersIntoBox,penaltiesConceded,headedGoals,clearancesOffTheLine,redCards2ndYellow,penaltiesTaken,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,foulWonPenalty,penaltiesSaved,savesFromPenalty,crossesNotClaimed
101148,Jamaal Lascelles,Defender,Newcastle,4,England,2017-18,88.0,,0.7517,0.0,,,8.0,1.3441,31.0,12.0,,146.0,33.0,,,32.0,271.0,2.0,1184.0,3.0,,1.0,,1.0,188.0,9.0,1.0,,4.0,2928.0,4.0,,60.0,176.0,3.0,24.0,48.0,834.0,32.0,3.0,37.1839,,6.0,21.0,230.0,31.0,,28.0,223.0,12.0,2.0,264.0,9.0,2.0,558.0,179.0,33.0,1.0,,12.0,1.0,273.0,28.0,2.0,9.0,,,76.0,128.0,0.0,1163.0,4.0,2.0,291.0,19.0,5.0,24.0,,315.0,16.0,28.0,79.0,88.0,1591.0,1.0,,,82.0,640.0,5.0,,1.0879,5.0,125.0,102.0,,,5.0,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,
109528,Javier Manquillo,Defender,Newcastle,4,Spain,2017-18,81.0,6.0,0.4931,0.0,,,,,36.0,2.0,,89.0,21.0,1.0,2.0,20.0,135.0,24.0,540.0,,2.0,0.0,,1.0,41.0,4.0,,6.0,,1759.0,,,19.0,82.0,3.0,37.0,60.0,381.0,11.0,3.0,32.6284,,10.0,7.0,49.0,31.0,,62.0,140.0,12.0,0.0,163.0,19.0,0.0,256.0,70.0,21.0,,,14.0,12.0,219.0,28.0,24.0,23.0,,,122.0,22.0,0.0,538.0,2.0,6.0,251.0,22.0,12.0,6.0,,55.0,24.0,18.0,24.0,89.0,998.0,2.0,,,34.0,192.0,14.0,,0.078,2.0,46.0,48.0,,44.0,150.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27462,Jesús Gámez,Defender,Newcastle,4,Spain,2017-18,2.0,1.0,0.1298,0.0,,,,,4.0,1.0,,4.0,2.0,,,1.0,8.0,4.0,45.0,,,0.0,,1.0,1.0,1.0,,1.0,,97.0,,,,7.0,,5.0,6.0,35.0,1.0,,0.3923,,4.0,,5.0,,,2.0,21.0,1.0,0.0,9.0,2.0,0.0,19.0,6.0,2.0,,,2.0,,25.0,,4.0,,,,8.0,1.0,0.0,45.0,1.0,1.0,15.0,2.0,1.0,,,2.0,,2.0,2.0,3.0,81.0,,,,2.0,13.0,,,0.0529,0.0,4.0,2.0,,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
50232,Jonjo Shelvey,Midfielder,Newcastle,4,England,2017-18,83.0,9.0,3.6616,2.0,0.5971,15.0,9.0,1.1807,39.0,27.0,21.0,178.0,30.0,3.0,21.0,25.0,381.0,16.0,1382.0,1.0,,1.0,15.0,5.0,33.0,5.0,7.0,25.0,1.0,2267.0,1.0,,13.0,90.0,1.0,42.0,70.0,844.0,12.0,3.0,33.0149,,38.0,17.0,28.0,28.0,,70.0,338.0,8.0,0.0,173.0,21.0,0.0,601.0,199.0,30.0,7.0,1.0,15.0,10.0,570.0,27.0,54.0,29.0,6.0,,140.0,20.0,1.0,1277.0,18.0,15.0,504.0,24.0,23.0,5.0,6.0,282.0,23.0,28.0,157.0,161.0,1757.0,3.0,2.0,15.0,85.0,456.0,20.0,,2.3742,2.0,203.0,56.0,1.0,1.0,5.0,45.0,12.0,,26.0,,,,1.0,,,,,,,,,,,,,,,,,
61316,Joselu,Forward,Newcastle,4,Spain,2017-18,201.0,2.0,0.5044,0.0,,8.0,17.0,6.7089,22.0,39.0,1.0,211.0,30.0,1.0,58.0,19.0,221.0,4.0,593.0,4.0,3.0,0.0,7.0,11.0,267.0,,2.0,2.0,11.0,1716.0,11.0,11.0,122.0,196.0,4.0,33.0,51.0,363.0,59.0,1.0,23.4789,,15.0,,35.0,25.0,1.0,79.0,138.0,23.0,1.0,397.0,23.0,4.0,168.0,54.0,30.0,2.0,3.0,5.0,10.0,256.0,21.0,4.0,29.0,,1.0,130.0,145.0,0.0,588.0,22.0,7.0,303.0,17.0,7.0,2.0,,146.0,30.0,11.0,9.0,141.0,875.0,15.0,1.0,7.0,3.0,118.0,11.0,5.0,5.9198,2.0,10.0,42.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
59735,Karl Darlow,Goalkeeper,Newcastle,4,Wales,2017-18,,,0.0181,0.0,,,,,,,,2.0,10.0,,,10.0,160.0,,297.0,,,0.0,,,3.0,2.0,,,,900.0,,,,3.0,1.0,,,55.0,,3.0,16.1998,1.0,,37.0,6.0,15.0,,,26.0,1.0,0.0,3.0,,0.0,257.0,90.0,10.0,,,,,70.0,14.0,,,,,,3.0,0.0,143.0,,,160.0,,,,,14.0,,,82.0,,395.0,,,,96.0,67.0,,,,0.0,158.0,18.0,,,,,,,,,,,,,9.0,6.0,3.0,3.0,3.0,35.0,4.0,2.0,80.0,44.0,8.0,28.0,,,,
167767,Kenedy,Midfielder,Newcastle,4,Brazil,2017-18,92.0,6.0,1.7618,0.0,0.0688,11.0,5.0,2.0689,31.0,12.0,2.0,66.0,13.0,2.0,11.0,13.0,79.0,14.0,351.0,2.0,,0.0,7.0,,19.0,1.0,2.0,11.0,1.0,1030.0,1.0,,17.0,69.0,,30.0,67.0,264.0,23.0,1.0,11.3574,,11.0,,9.0,9.0,4.0,75.0,138.0,20.0,1.0,161.0,11.0,2.0,93.0,84.0,13.0,2.0,,14.0,18.0,188.0,9.0,27.0,38.0,1.0,4.0,142.0,2.0,0.0,341.0,7.0,9.0,196.0,17.0,16.0,1.0,1.0,33.0,15.0,14.0,8.0,87.0,643.0,7.0,3.0,7.0,5.0,95.0,12.0,1.0,2.4131,1.0,13.0,20.0,1.0,4.0,14.0,22.0,5.0,2.0,12.0,,,,,,,,,,,,,,,,,,1.0,,,
67089,Martin Dúbravka,Goalkeeper,Newcastle,4,Slovakia,2017-18,,,0.0136,0.0,,,,,,,,,12.0,,,12.0,145.0,,316.0,,,0.0,,,3.0,4.0,,,,1080.0,,,,4.0,,,1.0,99.0,,,14.7811,,,32.0,9.0,11.0,,,34.0,2.0,0.0,4.0,,0.0,245.0,87.0,12.0,,,,,57.0,11.0,,,,,1.0,3.0,0.0,157.0,,,145.0,,,,,37.0,,,72.0,,401.0,,,,72.0,114.0,,,,0.0,145.0,7.0,,,,,,,,,,,,,12.0,5.0,1.0,1.0,6.0,26.0,2.0,1.0,71.0,54.0,7.0,21.0,,1.0,1.0,2.0
92170,Massadio Haïdara,Defender,Newcastle,4,Mali,2017-18,,,,0.0,,,,,,,,,1.0,,,,,,2.0,,,0.0,,1.0,,,,,,3.0,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,0.0,,,1.0,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56983,Matt Ritchie,Midfielder,Newcastle,4,Scotland,2017-18,203.0,16.0,4.6555,0.0,0.3963,23.0,16.0,4.1649,46.0,36.0,7.0,211.0,35.0,5.0,40.0,32.0,288.0,73.0,1046.0,3.0,3.0,0.0,16.0,3.0,114.0,5.0,9.0,42.0,4.0,2812.0,4.0,1.0,81.0,131.0,4.0,76.0,98.0,710.0,47.0,3.0,37.4043,,47.0,7.0,53.0,35.0,7.0,122.0,146.0,36.0,2.0,334.0,32.0,3.0,366.0,184.0,35.0,9.0,1.0,14.0,16.0,506.0,31.0,148.0,46.0,6.0,7.0,220.0,33.0,0.0,1013.0,20.0,35.0,546.0,32.0,16.0,5.0,6.0,298.0,37.0,35.0,48.0,236.0,1716.0,11.0,3.0,16.0,32.0,294.0,29.0,,3.0786,6.0,77.0,66.0,,3.0,34.0,89.0,24.0,2.0,53.0,1.0,,,,,,,,,,,,,,,,,,,,
195384,Mikel Merino,Midfielder,Newcastle,4,Spain,2017-18,152.0,,0.6747,0.0,,7.0,6.0,0.8353,56.0,9.0,6.0,125.0,24.0,1.0,12.0,14.0,168.0,3.0,812.0,1.0,,0.0,5.0,10.0,79.0,2.0,5.0,,,1343.0,,1.0,40.0,151.0,3.0,41.0,112.0,603.0,15.0,2.0,16.1223,,15.0,2.0,23.0,18.0,2.0,112.0,199.0,29.0,1.0,303.0,28.0,1.0,294.0,139.0,24.0,5.0,,16.0,12.0,343.0,15.0,3.0,46.0,,2.0,224.0,39.0,0.0,798.0,3.0,2.0,254.0,40.0,28.0,8.0,,227.0,30.0,34.0,41.0,92.0,1163.0,6.0,1.0,5.0,13.0,301.0,20.0,2.0,0.5962,4.0,43.0,39.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
28147,Mohamed Diamé,Midfielder,Newcastle,4,Senegal,2017-18,203.0,1.0,0.5219,0.0,,6.0,6.0,2.1263,89.0,14.0,2.0,126.0,31.0,,21.0,23.0,151.0,5.0,816.0,2.0,,2.0,5.0,8.0,119.0,3.0,2.0,1.0,2.0,2043.0,2.0,,57.0,187.0,1.0,51.0,125.0,618.0,22.0,3.0,32.8643,,13.0,4.0,28.0,27.0,1.0,146.0,234.0,16.0,0.0,390.0,37.0,0.0,234.0,141.0,31.0,2.0,2.0,25.0,17.0,333.0,26.0,5.0,58.0,,1.0,271.0,62.0,0.0,813.0,8.0,5.0,248.0,64.0,25.0,7.0,,233.0,44.0,48.0,47.0,115.0,1230.0,9.0,,5.0,2.0,333.0,33.0,,1.3929,3.0,25.0,52.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
106618,Paul Dummett,Defender,Newcastle,4,Wales,2017-18,58.0,3.0,0.5932,0.0,,1.0,,,28.0,3.0,1.0,120.0,20.0,,,19.0,183.0,19.0,599.0,,,0.0,,1.0,90.0,5.0,,3.0,,1603.0,,,35.0,93.0,,40.0,38.0,377.0,4.0,2.0,23.4679,,6.0,21.0,92.0,18.0,1.0,23.0,202.0,11.0,0.0,151.0,17.0,0.0,319.0,73.0,20.0,,,9.0,,193.0,18.0,19.0,2.0,,1.0,61.0,55.0,0.0,593.0,3.0,3.0,250.0,19.0,,10.0,,22.0,8.0,23.0,39.0,56.0,1004.0,2.0,,,46.0,226.0,5.0,,0.2637,1.0,63.0,61.0,1.0,38.0,116.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
19838,Robert Elliot,Goalkeeper,Newcastle,4,Ireland,2017-18,2.0,,0.0505,0.0,,,,,,,,2.0,16.0,,,16.0,228.0,,491.0,,,0.0,,,7.0,3.0,,,,1440.0,,,1.0,7.0,3.0,,1.0,96.0,,1.0,19.2277,,,74.0,17.0,21.0,,1.0,26.0,2.0,0.0,9.0,,0.0,423.0,125.0,16.0,,,,,133.0,18.0,,,,,2.0,6.0,0.0,213.0,,,229.0,,,,,42.0,,,167.0,,624.0,,,,127.0,130.0,,,,0.0,226.0,30.0,,,,,,,,,,,,,13.0,13.0,4.0,2.0,9.0,44.0,7.0,2.0,135.0,70.0,14.0,31.0,,1.0,1.0,4.0
