season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385449,21,7,Aston_Villa,Away,783126,195546,Emiliano Buendía,emiliano-buendia,M,False,,,1.0,21.0,10.0,31.0,3.0,,8.0,,,,3.0,,,1.0,9.0,2.0,,,0.0443192,0.0685,0.0,2.0,,,,,,,2.0,69.0,,,,,,,,,12.0,,6.5,,,1.0,,,,,,2.0,,31.0,11.0,42.0,1,,48.0,,2.0,,
2022-23,10385449,21,7,Aston_Villa,Away,808590,215711,Leon Bailey,leon-bailey,M,False,,,1.0,7.0,10.0,17.0,1.0,2.0,5.0,,,1.0,,,,2.0,5.0,3.0,,,0.104349,0.3356,0.044,,,,,,,1.0,1.0,81.0,1.0,,,,,,,,15.0,,6.8,,,2.0,,,2.0,2.0,,2.0,,17.0,10.0,25.0,4,,38.0,1.0,1.0,,
2022-23,10385449,21,7,Aston_Villa,Away,826204,226944,Boubacar Kamara,boubacar-kamara,M,False,,,2.0,30.0,28.0,58.0,4.0,2.0,10.0,,,,,,,1.0,7.0,6.0,,,0.0348977,0.1017,0.0445,1.0,,,,,,2.0,,90.0,1.0,,,,,,,,12.0,,6.8,,,,,,1.0,,,4.0,,35.0,33.0,68.0,1,2.0,78.0,,2.0,,
2022-23,10385449,21,7,Aston_Villa,Away,867887,230046,Douglas Luiz,douglas-luiz,M,False,2.0,,3.0,35.0,27.0,60.0,3.0,,2.0,1.0,,1.0,,,,2.0,6.0,4.0,,,0.280482,0.0721,0.0,1.0,1.0,,,,,,3.0,88.0,,,,,,,,,11.0,,7.5,,,1.0,,,2.0,6.0,,3.0,,42.0,29.0,65.0,2,,81.0,,2.0,2.0,
2022-23,10385449,21,7,Aston_Villa,Away,975937,232653,Jacob Ramsey,jacob-ramsey,M,False,,,,23.0,16.0,39.0,4.0,2.0,8.0,,,,,,,4.0,9.0,11.0,,,0.106492,0.249,0.1479,,,,,,,1.0,2.0,90.0,2.0,,,,,,,,16.0,,7.6,,,,,2.0,2.0,,,1.0,,27.0,18.0,45.0,2,7.0,72.0,5.0,1.0,1.0,5.0
2022-23,10385449,21,7,Aston_Villa,Away,1167065,537403,Kadan Young,kadan-young,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385448,22,7,Aston_Villa,Home,119159,84583,Philippe Coutinho,philippe-coutinho,M,True,,,1.0,11.0,3.0,14.0,,,1.0,,,,,,,1.0,5.0,1.0,,,0.293157,0.1257,,,,,,,,,1.0,45.0,,,,,,,,,12.0,,6.4,,,2.0,,,4.0,1.0,,1.0,,16.0,3.0,18.0,2,,30.0,2.0,1.0,,
2022-23,10385448,22,7,Aston_Villa,Home,190405,151589,Leander Dendoncker,leander-dendoncker,M,True,,,,8.0,1.0,9.0,,2.0,,,,,,,,,,2.0,,,0.00297804,,,,,,,,,,,8.0,,,,,,,,,2.0,,6.6,,,,,,,,,,,9.0,1.0,10.0,0,,11.0,1.0,,,
2022-23,10385448,22,7,Aston_Villa,Home,250223,122806,John McGinn,john-mcginn,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385448,22,7,Aston_Villa,Home,783126,195546,Emiliano Buendía,emiliano-buendia,M,False,,,1.0,25.0,10.0,35.0,1.0,1.0,2.0,,,2.0,3.0,,,1.0,10.0,3.0,,,0.42818,0.2768,0.2811,3.0,,,,,2.0,,3.0,90.0,1.0,,,,,,,,9.0,,6.3,,,2.0,,,3.0,1.0,,1.0,,27.0,12.0,38.0,5,,53.0,2.0,1.0,1.0,
