season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2018-19,7828014,9,36,Brighton_and_Hove_Albion,Away,97409,106757,Jürgen Locadia,jurgen-locadia,F,True,,,1.0,9.0,1.0,10.0,6.0,1.0,3.0,1.0,,,,,,,9.0,4.0,,,4.0,,,,,,2.0,,74.0,1.0,,,,,,14.0,,7.2,,,1.0,,,1.0,,,1.0,,12.0,2.0,14.0,2,,30.0,9.0,2.0,1.0,
2018-19,7828014,9,36,Brighton_and_Hove_Albion,Away,235444,93284,Florin Andone,florin-andone,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7828014,9,36,Brighton_and_Hove_Albion,Away,331837,165210,Alireza Jahanbakhsh,alireza-jahanbakhsh,F,False,3.0,,1.0,12.0,2.0,11.0,3.0,2.0,7.0,,,,1.0,,,,6.0,9.0,,,2.0,,,,,1.0,1.0,,90.0,,,,,,,10.0,,7.5,,,1.0,,1.0,1.0,5.0,,3.0,,19.0,2.0,16.0,1,5.0,38.0,2.0,1.0,1.0,4.0
2018-19,7828014,9,36,Brighton_and_Hove_Albion,Away,358162,167473,José Izquierdo,jose-izquierdo,F,False,,,,11.0,3.0,14.0,2.0,,1.0,,,2.0,1.0,,,1.0,8.0,3.0,,,1.0,1.0,,,,,1.0,,80.0,,,,,,,8.0,,6.3,,,,,,5.0,,,2.0,,12.0,6.0,18.0,2,1.0,31.0,,,2.0,
2018-19,7827928,10,36,Brighton_and_Hove_Albion,Home,20097,20529,Glenn Murray,glenn-murray,F,False,,,,12.0,3.0,15.0,6.0,6.0,1.0,,,,,,,1.0,11.0,11.0,,,4.0,,1.0,,,,1.0,,90.0,1.0,,,,,,18.0,,7.5,,,,,1.0,2.0,,,2.0,,22.0,7.0,29.0,1,,45.0,3.0,3.0,2.0,
2018-19,7827928,10,36,Brighton_and_Hove_Albion,Home,97409,106757,Jürgen Locadia,jurgen-locadia,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827928,10,36,Brighton_and_Hove_Albion,Home,235444,93284,Florin Andone,florin-andone,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827928,10,36,Brighton_and_Hove_Albion,Home,331837,165210,Alireza Jahanbakhsh,alireza-jahanbakhsh,F,False,,,1.0,9.0,9.0,18.0,,,8.0,,,,4.0,,,2.0,10.0,2.0,,,2.0,,,,,1.0,,,90.0,,,,,,,15.0,,6.0,,,1.0,,,2.0,1.0,,4.0,,15.0,13.0,27.0,1,2.0,41.0,1.0,,,1.0
2018-19,7827928,10,36,Brighton_and_Hove_Albion,Home,358162,167473,José Izquierdo,jose-izquierdo,F,False,,,1.0,13.0,9.0,22.0,4.0,1.0,8.0,,,,,,,,5.0,6.0,,,,,,,,1.0,,,81.0,,1.0,,,,,10.0,,7.0,,,,,1.0,3.0,1.0,,1.0,,20.0,10.0,29.0,0,2.0,41.0,1.0,1.0,2.0,1.0
2018-19,7827953,11,36,Brighton_and_Hove_Albion,Away,20097,20529,Glenn Murray,glenn-murray,F,False,,,1.0,9.0,3.0,12.0,10.0,4.0,2.0,,,,,,,,13.0,9.0,,,3.0,,,,,,1.0,,90.0,,,,,,,11.0,,6.8,,,,,,1.0,,,1.0,1.0,19.0,3.0,22.0,0,,32.0,,4.0,1.0,
2018-19,7827953,11,36,Brighton_and_Hove_Albion,Away,97409,106757,Jürgen Locadia,jurgen-locadia,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827953,11,36,Brighton_and_Hove_Albion,Away,235444,93284,Florin Andone,florin-andone,F,True,,,,1.0,3.0,4.0,,,2.0,,,,,,,1.0,4.0,1.0,,,1.0,,,,,,,,12.0,,,,,,,4.0,,6.3,,,,,1.0,2.0,,,,,1.0,3.0,4.0,0,1.0,11.0,1.0,,,1.0
2018-19,7827953,11,36,Brighton_and_Hove_Albion,Away,331837,165210,Alireza Jahanbakhsh,alireza-jahanbakhsh,F,False,,,1.0,3.0,7.0,10.0,,2.0,4.0,,,,3.0,,,3.0,9.0,6.0,,,1.0,,,,,1.0,,,89.0,2.0,,,,,,18.0,,6.1,,,,,,2.0,3.0,,2.0,,8.0,12.0,17.0,2,4.0,40.0,3.0,,,2.0
2018-19,7827953,11,36,Brighton_and_Hove_Albion,Away,358162,167473,José Izquierdo,jose-izquierdo,F,False,,,1.0,7.0,6.0,13.0,1.0,,10.0,,,2.0,1.0,,,1.0,4.0,4.0,,,1.0,,,,,2.0,,,63.0,,,,,,,10.0,,6.5,,,,,1.0,2.0,1.0,,4.0,,10.0,10.0,19.0,2,1.0,35.0,2.0,1.0,2.0,
2018-19,7827968,12,36,Brighton_and_Hove_Albion,Away,20097,20529,Glenn Murray,glenn-murray,F,False,,,,7.0,1.0,8.0,7.0,6.0,3.0,,,1.0,2.0,,,2.0,16.0,8.0,,,6.0,,,,,,,,63.0,1.0,,,,,,14.0,,6.5,,,,,,,,,,,15.0,3.0,18.0,2,,31.0,2.0,3.0,,
2018-19,7827968,12,36,Brighton_and_Hove_Albion,Away,235444,93284,Florin Andone,florin-andone,F,True,,,,2.0,4.0,6.0,5.0,3.0,2.0,,,,,,,,9.0,5.0,,,2.0,,,,,,,,27.0,,,,,,,5.0,,6.4,,,,,2.0,3.0,,,,,4.0,5.0,9.0,0,,15.0,,1.0,1.0,
2018-19,7827968,12,36,Brighton_and_Hove_Albion,Away,358162,167473,José Izquierdo,jose-izquierdo,F,False,,,,6.0,6.0,12.0,1.0,,,,,,2.0,,,1.0,5.0,4.0,,,,,,,,,,,90.0,1.0,,,,,,8.0,,6.5,,,1.0,,1.0,3.0,,,1.0,,8.0,9.0,17.0,2,1.0,29.0,1.0,1.0,2.0,
2018-19,7827968,12,36,Brighton_and_Hove_Albion,Away,804508,224117,Viktor Gyökeres,viktor-gyokeres,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827994,13,36,Brighton_and_Hove_Albion,Home,20097,20529,Glenn Murray,glenn-murray,F,False,,,,3.0,,3.0,7.0,2.0,1.0,,,,,,,,11.0,6.0,,,4.0,,1.0,,,,,,89.0,1.0,,,,,,7.0,,7.2,,,,,,,,,,2.0,5.0,1.0,6.0,1,3.0,17.0,3.0,1.0,,1.0
2018-19,7827994,13,36,Brighton_and_Hove_Albion,Home,97409,106757,Jürgen Locadia,jurgen-locadia,F,True,1.0,,,4.0,,3.0,,,2.0,,,,,,,1.0,1.0,1.0,,,,,,,,,2.0,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,4.0,,3.0,0,1.0,7.0,,,,1.0
2018-19,7827994,13,36,Brighton_and_Hove_Albion,Home,235444,93284,Florin Andone,florin-andone,F,True,,,,3.0,,3.0,2.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,8.0,,,,,,,1.0,,6.5,,,,,,,,,,,4.0,,4.0,0,,4.0,,,,
