season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7090313,34,57,Watford,Away,96535,121599,Abdoulaye Doucouré,abdoulaye-doucoure,M,False,,,2.0,18.0,28.0,46.0,1.0,1.0,3.0,,,,,,,1.0,2.0,2.0,,,,,,,,1.0,,73.0,,,,,,,,4.0,,6.7,,,,,1.0,,,,2.0,,20.0,29.0,49.0,0,1.0,55.0,,,,1.0
2016-17,7090328,35,57,Watford,Home,11654,21123,Valon Behrami,valon-behrami,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090328,35,57,Watford,Home,16701,38439,Étienne Capoue,etienne-capoue,M,False,,,5.0,9.0,8.0,17.0,,,2.0,,,,,,,,1.0,1.0,,,1.0,,,,,1.0,,73.0,,,,,,,,6.0,,6.7,,,1.0,,,1.0,,,5.0,,12.0,10.0,22.0,1,,32.0,1.0,,1.0,
2016-17,7090328,35,57,Watford,Home,26136,,Camilo Zúñiga,camilo-zuniga,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090328,35,57,Watford,Home,27714,44604,Nordin Amrabat,nordin-amrabat,M,False,,,6.0,8.0,19.0,27.0,1.0,,8.0,,,1.0,3.0,,,1.0,9.0,8.0,,,,,,,,,,85.0,,1.0,,,,,,27.0,,6.8,,,,,1.0,7.0,3.0,,9.0,,19.0,23.0,39.0,1,5.0,73.0,2.0,,3.0,3.0
2016-17,7090328,35,57,Watford,Home,46432,43250,Tom Cleverley,tom-cleverley,M,False,1.0,,2.0,15.0,11.0,25.0,1.0,,7.0,,,,2.0,,,,4.0,3.0,,,1.0,,,,,1.0,2.0,90.0,,1.0,,,,,,18.0,,6.9,,,,,,1.0,6.0,,8.0,,26.0,16.0,36.0,0,2.0,52.0,,,1.0,2.0
2016-17,7090328,35,57,Watford,Home,96535,121599,Abdoulaye Doucouré,abdoulaye-doucoure,M,False,,,2.0,19.0,29.0,48.0,1.0,,11.0,,,1.0,2.0,,,1.0,4.0,3.0,,,,,,,,1.0,1.0,90.0,,,,,,,,12.0,,6.8,,,,,3.0,3.0,,,3.0,,25.0,33.0,58.0,1,,70.0,1.0,,3.0,
2016-17,7090332,36,57,Watford,Away,11654,21123,Valon Behrami,valon-behrami,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090332,36,57,Watford,Away,16701,38439,Étienne Capoue,etienne-capoue,M,False,,,1.0,21.0,9.0,30.0,2.0,1.0,3.0,,,,,,,1.0,4.0,4.0,1.0,,,,,,,2.0,,67.0,1.0,,,,,,,8.0,,6.5,,,,,,3.0,,,2.0,,24.0,11.0,35.0,1,1.0,48.0,1.0,,2.0,
2016-17,7090332,36,57,Watford,Away,26136,,Camilo Zúñiga,camilo-zuniga,M,True,,,,4.0,7.0,11.0,1.0,,2.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,18.0,,,,,,,,1.0,,6.3,,,1.0,,1.0,,,,,,4.0,7.0,11.0,1,,16.0,,1.0,,
