matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPenPost,attPenTarget,attPostHigh,attPostLeft,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2210373,11,2021-11-06 17:30:00,36,Brighton,Home,301.0,13.0,1.0,7.0,6.0,,,297.0,3.0,,6.0,,4.0,28.0,591.0,1.0,,20.0,9.0,11.0,11.0,1.0,1.0,,,,,,,,12.0,1.0,,,,,,,5.0,4.0,2.0,10.0,4.0,99.0,45.0,,,1.0,2.0,13.0,3.0,4.0,,2.0,2.0,13.0,2.0,,16.0,1.0,51.0,36.0,2.0,23.0,12.0,,19.0,70.0,16.0,9.0,1.0,,1.0,,,154.0,,,,,,,3.0,,2.0,1.0,12.0,,6.0,6.0,,6.0,200.0,74.0,54.0,5.0,,6.0,6.0,5.0,637.0,1.0,1.0,91.0,93.0,21.0,,,,1.0,107.0,107.0,2.0,9.0,25.0,65.7,,2.0,,,13.0,0.0,201.0,,,1.0,,,6.0,,3.0,8.0,109.0,578.0,6.0,12.0,320.0,25.0,23.0,8.0,2.0,17.0,15.0,,143.0,2.0,351.0,2.0,,11.0,4.0,51.0,1.0,654.0,1.0,1.0,14.0,15.0,,21.0,3.0,824.0,26.0,8.0,1.0,2.0,12.0,0.0
2210381,12,2021-11-20 15:00:00,36,Brighton,Away,331.0,19.0,1.0,3.0,2.0,,,215.0,4.0,,2.0,1.0,,33.0,543.0,,,19.0,9.0,16.0,4.0,,,,,,,,,,6.0,,,,,,,,7.0,7.0,2.0,3.0,3.0,101.0,53.0,1.0,1.0,,3.0,20.0,4.0,8.0,,,6.0,14.0,3.0,,6.0,3.0,46.0,56.0,3.0,21.0,10.0,,25.0,68.0,13.0,7.0,,,,1.0,,172.0,,,,,,,6.0,,,,10.0,,3.0,3.0,,2.0,166.0,60.0,42.0,5.0,,,4.0,2.0,592.0,3.0,,62.0,116.0,24.0,,,,,115.0,115.0,4.0,25.0,21.0,63.0,,,,1.0,20.0,0.0,169.0,3.0,,3.0,1.0,,,,3.0,8.0,102.0,529.0,7.0,4.0,350.0,36.0,21.0,27.0,6.0,24.0,18.0,,136.0,1.0,282.0,,,7.0,,53.0,,608.0,,0.0,6.0,16.0,,20.0,3.0,786.0,12.0,12.0,17.0,7.0,11.0,0.0
2210393,13,2021-11-27 17:30:00,36,Brighton,Home,205.0,14.0,1.0,4.0,3.0,1.0,,186.0,8.0,,2.0,3.0,5.0,21.0,387.0,,,15.0,14.0,17.0,15.0,,,,,,,,,,19.0,,,,,,2.0,1.0,6.0,7.0,4.0,12.0,8.0,87.0,80.0,2.0,2.0,,1.0,17.0,2.0,7.0,,,6.0,9.0,,,13.0,1.0,60.0,58.0,1.0,13.0,9.0,2.0,30.0,63.0,12.0,14.0,,,4.0,4.0,,187.0,,,,,,,9.0,,,,9.0,3.0,11.0,11.0,,2.0,109.0,69.0,39.0,1.0,,10.0,5.0,4.0,475.0,2.0,,56.0,70.0,41.0,,,,,181.0,181.0,6.0,31.0,41.0,56.5,2.0,,,,17.0,0.0,113.0,3.0,1.0,4.0,,,14.0,,3.0,12.0,103.0,368.0,8.0,15.0,233.0,28.0,13.0,31.0,6.0,19.0,13.0,,151.0,6.0,282.0,,,16.0,5.0,49.0,2.0,496.0,,0.0,20.0,11.0,7.0,20.0,1.0,710.0,38.0,22.0,16.0,6.0,8.0,0.0
2210406,14,2021-12-01 19:30:00,36,Brighton,Away,236.0,18.0,2.0,4.0,2.0,1.0,,230.0,6.0,,10.0,,6.0,26.0,462.0,1.0,1.0,16.0,11.0,16.0,4.0,2.0,3.0,,,,1.0,,,,5.0,,,,,,,,4.0,8.0,6.0,6.0,3.0,85.0,54.0,2.0,2.0,,,21.0,2.0,11.0,1.0,,5.0,11.0,,,5.0,3.0,42.0,53.0,,28.0,14.0,,23.0,47.0,8.0,10.0,1.0,,3.0,2.0,1.0,170.0,1.0,,1.0,1.0,,,7.0,1.0,1.0,1.0,14.0,,5.0,5.0,,10.0,143.0,59.0,42.0,9.0,,3.0,4.0,3.0,524.0,3.0,,75.0,85.0,29.0,,,,,130.0,130.0,8.0,15.0,18.0,65.7,,,1.0,2.0,21.0,0.0,142.0,3.0,2.0,4.0,,,4.0,,3.0,11.0,104.0,447.0,8.0,7.0,255.0,35.0,28.0,16.0,5.0,18.0,13.0,,142.0,6.0,303.0,1.0,,4.0,6.0,40.0,,540.0,2.0,0.0,9.0,19.0,1.0,18.0,1.0,736.0,28.0,23.0,8.0,5.0,12.0,0.0
2210416,15,2021-12-04 15:00:00,36,Brighton,Away,163.0,11.0,2.0,3.0,1.0,1.0,,125.0,3.0,,2.0,6.0,1.0,35.0,285.0,,,31.0,19.0,17.0,7.0,,2.0,,,,1.0,,,,9.0,,,,,,,2.0,7.0,10.0,4.0,7.0,7.0,59.0,61.0,2.0,1.0,1.0,2.0,20.0,6.0,12.0,,,2.0,5.0,3.0,,10.0,,55.0,59.0,2.0,22.0,13.0,,20.0,48.0,12.0,15.0,1.0,,3.0,2.0,1.0,169.0,1.0,,,,1.0,,10.0,,,,13.0,,6.0,6.0,,2.0,90.0,74.0,32.0,6.0,,,8.0,4.0,384.0,4.0,2.0,83.0,45.0,24.0,,,,,168.0,168.0,6.0,28.0,23.0,55.6,,,1.0,,20.0,0.0,92.0,3.0,,3.0,,,4.0,1.0,3.0,13.0,59.0,275.0,8.0,8.0,202.0,30.0,22.0,8.0,2.0,12.0,10.0,,111.0,8.0,220.0,,,30.0,2.0,83.0,,410.0,,0.0,14.0,21.0,,37.0,2.0,604.0,13.0,14.0,6.0,2.0,11.0,0.0
2210423,16,2022-03-16 19:30:00,36,Brighton,Home,192.0,13.0,3.0,5.0,2.0,1.0,,237.0,2.0,,5.0,1.0,4.0,14.0,424.0,,,13.0,11.0,10.0,7.0,3.0,3.0,2.0,,,,,,,12.0,,,,,,,,6.0,10.0,7.0,9.0,6.0,93.0,58.0,1.0,1.0,,,11.0,8.0,4.0,,,6.0,7.0,8.0,,10.0,3.0,37.0,41.0,,12.0,6.0,2.0,26.0,51.0,11.0,9.0,,,3.0,2.0,,143.0,,,,,,,7.0,,,,6.0,,11.0,11.0,1.0,5.0,124.0,55.0,32.0,3.0,,5.0,5.0,,479.0,5.0,1.0,75.0,87.0,32.0,,,,,126.0,126.0,8.0,15.0,30.0,48.2,,,,,11.0,0.0,136.0,3.0,2.0,5.0,,2.0,7.0,1.0,3.0,10.0,114.0,414.0,3.0,10.0,205.0,29.0,12.0,7.0,6.0,23.0,17.0,2.0,152.0,2.0,314.0,,,11.0,4.0,42.0,3.0,496.0,,0.0,15.0,16.0,,16.0,2.0,676.0,29.0,18.0,6.0,6.0,10.0,0.0
2210433,17,2021-12-15 19:30:00,36,Brighton,Home,203.0,14.0,,3.0,3.0,2.0,2.0,241.0,2.0,,7.0,2.0,4.0,15.0,441.0,,,21.0,11.0,9.0,6.0,2.0,1.0,,,,2.0,,1.0,,4.0,,,,,,,5.0,7.0,5.0,3.0,7.0,5.0,79.0,71.0,2.0,2.0,,,18.0,3.0,17.0,,,7.0,11.0,3.0,,10.0,1.0,56.0,48.0,,10.0,5.0,,26.0,74.0,11.0,15.0,,,7.0,5.0,2.0,183.0,,,,,,,3.0,,1.0,,5.0,,10.0,10.0,2.0,7.0,121.0,52.0,31.0,4.0,,6.0,2.0,2.0,509.0,1.0,,76.0,92.0,30.0,,,,,145.0,145.0,8.0,18.0,38.0,59.3,,,,,18.0,0.0,141.0,3.0,1.0,4.0,,,7.0,1.0,3.0,15.0,144.0,428.0,4.0,8.0,219.0,32.0,10.0,15.0,6.0,25.0,19.0,,193.0,6.0,330.0,1.0,,9.0,4.0,37.0,1.0,524.0,,0.0,12.0,16.0,,23.0,2.0,724.0,16.0,20.0,8.0,7.0,8.0,0.0
2210444,18,2022-02-15 20:15:00,36,Brighton,Away,248.0,23.0,,4.0,4.0,1.0,,191.0,3.0,,5.0,2.0,1.0,27.0,435.0,,1.0,17.0,14.0,6.0,8.0,,1.0,,,,,,,,9.0,,,,,1.0,,,3.0,7.0,12.0,5.0,5.0,96.0,72.0,3.0,3.0,,2.0,22.0,1.0,18.0,,1.0,2.0,13.0,2.0,,9.0,4.0,59.0,36.0,2.0,17.0,12.0,2.0,21.0,54.0,10.0,8.0,,,,,,163.0,,,,,,,5.0,,,1.0,12.0,1.0,22.0,22.0,6.0,5.0,128.0,58.0,39.0,10.0,,4.0,4.0,3.0,497.0,8.0,1.0,78.0,56.0,32.0,,,,,136.0,136.0,8.0,27.0,30.0,50.0,1.0,,,,22.0,0.0,129.0,4.0,1.0,5.0,2.0,,6.0,,3.0,12.0,98.0,421.0,13.0,8.0,278.0,49.0,17.0,14.0,1.0,16.0,15.0,,133.0,4.0,254.0,,,11.0,3.0,54.0,1.0,516.0,,1.0,10.0,17.0,2.0,21.0,1.0,728.0,15.0,19.0,5.0,2.0,7.0,0.0
2210452,19,2021-12-26 20:00:00,36,Brighton,Home,184.0,14.0,1.0,4.0,3.0,1.0,,195.0,2.0,,6.0,3.0,4.0,21.0,375.0,,1.0,11.0,15.0,20.0,6.0,1.0,1.0,,1.0,1.0,3.0,,,1.0,11.0,,,,,,,,4.0,12.0,4.0,4.0,11.0,84.0,74.0,1.0,,1.0,3.0,21.0,3.0,15.0,1.0,,6.0,10.0,1.0,,9.0,1.0,53.0,51.0,3.0,23.0,16.0,1.0,17.0,72.0,8.0,9.0,2.0,,3.0,,3.0,173.0,2.0,,1.0,2.0,,,4.0,2.0,1.0,,16.0,,11.0,11.0,1.0,6.0,102.0,54.0,28.0,9.0,,3.0,6.0,5.0,451.0,5.0,3.0,104.0,40.0,30.0,,,,,152.0,152.0,7.0,25.0,34.0,50.4,,,,1.0,21.0,0.0,108.0,4.0,2.0,5.0,,,7.0,,3.0,9.0,114.0,366.0,11.0,9.0,204.0,28.0,23.0,16.0,5.0,16.0,11.0,,165.0,4.0,279.0,1.0,,17.0,4.0,55.0,2.0,467.0,1.0,0.0,15.0,13.0,5.0,15.0,1.0,685.0,24.0,23.0,9.0,6.0,7.0,0.0
2210463,20,2021-12-29 19:30:00,36,Brighton,Away,199.0,11.0,1.0,6.0,5.0,1.0,,186.0,4.0,,6.0,3.0,4.0,18.0,379.0,1.0,1.0,18.0,20.0,14.0,12.0,,4.0,,,1.0,1.0,1.0,,,13.0,,,,,1.0,,,4.0,9.0,2.0,10.0,8.0,67.0,73.0,,,,,21.0,4.0,7.0,,,8.0,12.0,4.0,,16.0,,57.0,63.0,,19.0,6.0,1.0,24.0,50.0,7.0,12.0,,,5.0,2.0,1.0,161.0,1.0,,1.0,1.0,,,4.0,1.0,,,6.0,1.0,9.0,9.0,1.0,6.0,136.0,58.0,33.0,10.0,,6.0,7.0,6.0,452.0,3.0,,84.0,40.0,38.0,,,,,152.0,152.0,7.0,31.0,28.0,52.3,1.0,,1.0,,21.0,0.0,109.0,4.0,,4.0,,,8.0,,3.0,9.0,103.0,358.0,14.0,13.0,226.0,33.0,19.0,21.0,5.0,23.0,18.0,,155.0,4.0,270.0,1.0,,14.0,4.0,47.0,,473.0,1.0,0.0,18.0,23.0,3.0,25.0,1.0,708.0,28.0,11.0,14.0,8.0,14.0,0.0
