season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025187,6,8,Chelsea,Home,996958,482609,Malo Gusto,gusto-malo,D,True,,,,7.0,2.0,9.0,,1.0,,1.0,,,,,,1.0,1.0,4.0,,,0.00838416,,,,0.0,,,,,,,,,,,,,27.0,,,,,,,,6.0,,,6.0,,,,,,,,1.0,,,,9.0,2.0,11.0,,,0,2.0,21.0,2.0,1.0,,2.0
2025-26,14025187,6,8,Chelsea,Home,1153079,551210,Jorrel Hato,jorrel-hato,D,False,,,1.0,10.0,36.0,46.0,,1.0,,2.0,,,,1.0,,,1.0,3.0,,,0.00310017,,,,0.0,,,,,,,,,,,,,79.0,,1.0,,,,,,10.0,,,6.5,,,,,,,1.0,,,4.0,,15.0,40.0,55.0,,,0,1.0,60.0,,,1.0,
2025-26,14025187,6,8,Chelsea,Home,1403050,577016,Josh Acheampong,josh-acheampong,D,True,,,,2.0,11.0,13.0,,,,1.0,,,,,,2.0,2.0,2.0,1.0,1.0,0.00052022,,,,0.0,,,,,1.0,,,,,,,,36.0,,,,,,,,3.0,,,5.2,,,,,,2.0,2.0,,,,,2.0,12.0,14.0,,,0,,22.0,,,2.0,
2025-26,14025221,7,8,Chelsea,Home,794939,179268,Marc Cucurella,marc-cucurella,D,False,1.0,,3.0,27.0,15.0,42.0,1.0,,,4.0,1.0,,,,,,1.0,5.0,,,0.622591,,,,1.0,,,,,2.0,3.0,,,,,,,90.0,,,,,,,,9.0,,,8.2,,,,,,5.0,,3.0,,5.0,,31.0,18.0,49.0,,,0,2.0,72.0,,3.0,,2.0
2025-26,14025221,7,8,Chelsea,Home,885908,225796,Reece James,reece-james,D,False,,,4.0,19.0,31.0,50.0,1.0,2.0,,2.0,,,,,,,2.0,8.0,,,0.0596761,,,1.0,0.0,,,,,2.0,2.0,,,,,,,90.0,,1.0,,,,,,13.0,,,7.3,,,,,,2.0,,1.0,,10.0,,27.0,34.0,61.0,,,0,5.0,82.0,1.0,1.0,,3.0
2025-26,14025221,7,8,Chelsea,Home,904827,242880,Benoît Badiashile,benoit-badiashile,D,False,,,4.0,19.0,26.0,45.0,,,,1.0,,,,,,,,1.0,,,0.0212825,,,,0.0,,,,,2.0,,,,,,,,55.0,,1.0,,,,,,4.0,,,7.6,,,,,,1.0,,,,6.0,,21.0,27.0,48.0,,,0,1.0,54.0,1.0,,,
2025-26,14025221,7,8,Chelsea,Home,996958,482609,Malo Gusto,gusto-malo,D,False,,,2.0,23.0,25.0,48.0,,,,9.0,,,,,,,,1.0,,,0.0377168,0.0212,,1.0,1.0,,,,,,1.0,,,,,,,90.0,,1.0,,,,,,12.0,,,6.9,,,1.0,,,1.0,,2.0,,2.0,,26.0,28.0,54.0,,,1,1.0,70.0,2.0,,,
2025-26,14025221,7,8,Chelsea,Home,1153079,551210,Jorrel Hato,jorrel-hato,D,True,,,,3.0,13.0,16.0,,,,,,,,,,,,1.0,,,0.0008163,,,,0.0,,,,,2.0,,,,,,,,22.0,,1.0,,,,,,2.0,,,6.9,,,,,,,,,,,,4.0,13.0,17.0,,,0,1.0,23.0,1.0,,,1.0
2025-26,14025221,7,8,Chelsea,Home,1403050,577016,Josh Acheampong,josh-acheampong,D,False,,,,6.0,29.0,35.0,,1.0,,4.0,,,,,,,,1.0,,,0.00151835,,,,0.0,,,,,1.0,,,,,,,,68.0,,,,,,,,10.0,,,6.3,,,,,,,,,,3.0,,9.0,36.0,45.0,,,0,,49.0,,,,
2025-26,14025245,8,8,Chelsea,Away,352668,109646,Tosin Adarabioyo,tosin-adarabioyo,D,True,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,0.00013264,,,,0.0,,,,,,,,,,,,,9.0,,,,,,,,1.0,,,6.6,,,,,,,,,,,,1.0,1.0,2.0,,,0,,2.0,,,,
