season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352591,28,1,Manchester_United,Home,1136721,518466,Willy Kambwala,kambwala-willy,D,True,,,,,2.0,2.0,,,,,,,,,,,1.0,,,,7.82e-06,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,1.0,,,,,,2.0,2.0,0,,4.0,1.0,,,
2023-24,11352591,28,1,Manchester_United,Home,1150926,519325,Habeeb Ogunneye,ogunneye-habeeb,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,12190336,29,1,Manchester_United,Home,149380,95658,Harry Maguire,harry-maguire,D,False,,,3.0,42.0,49.0,91.0,,3.0,4.0,,,,,,,,,5.0,,,0.0161431,0.0866,0.5499,,,1.0,,,,,,,90.0,1.0,2.0,,,,,1.0,10.0,,8.3,,,,,1.0,,,,7.0,,49.0,51.0,100.0,1,1.0,110.0,1.0,1.0,,1.0
2023-24,12190336,29,1,Manchester_United,Home,843200,216051,Diogo Dalot,diogo-dalot,D,False,,,,50.0,17.0,67.0,1.0,2.0,5.0,1.0,,1.0,,,,1.0,2.0,6.0,,,0.1123,0.0889,0.3349,,,,,,,,3.0,,90.0,1.0,,,,,,,12.0,,7.8,,,,,,1.0,2.0,,1.0,,56.0,19.0,73.0,2,3.0,93.0,3.0,,1.0,1.0
2023-24,12190336,29,1,Manchester_United,Home,863653,214590,Aaron Wan-Bissaka,aaron-wan-bissaka,D,False,,,,38.0,32.0,70.0,,3.0,2.0,,,,,,,,1.0,6.0,,,0.026095,,,,,,,,,1.0,,,90.0,,,,,,,,10.0,,6.8,,,,,,1.0,1.0,,2.0,,43.0,35.0,77.0,0,3.0,99.0,1.0,,,2.0
2023-24,12190336,29,1,Manchester_United,Home,1150926,519325,Habeeb Ogunneye,ogunneye-habeeb,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,12190336,29,1,Manchester_United,Home,1167382,530117,Louis Jackson,jackson-louis,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352614,30,1,Manchester_United,Away,138310,90152,Raphaël Varane,raphael-varane,D,False,,,2.0,12.0,15.0,27.0,,,,,,,,,,,1.0,,,,0.00295599,,,1.0,,,,,,,,,45.0,,3.0,,,,,,3.0,,7.1,,,,,4.0,,,,3.0,,14.0,15.0,29.0,0,,37.0,1.0,,,
2023-24,11352614,30,1,Manchester_United,Away,143334,184667,Victor Lindelöf,victor-lindelof,D,False,,,,17.0,15.0,32.0,1.0,4.0,4.0,,,,1.0,,,,3.0,5.0,,,0.00932909,,,1.0,,,,,,1.0,,,69.0,,1.0,,,,,,5.0,,7.2,,,,,6.0,,,,1.0,,18.0,17.0,35.0,0,1.0,48.0,2.0,,,1.0
2023-24,11352614,30,1,Manchester_United,Away,149380,95658,Harry Maguire,harry-maguire,D,True,,,1.0,2.0,7.0,9.0,,3.0,,,,1.0,,,,,,3.0,,,0.00119021,0.1055,,,,,,,,1.0,,,45.0,,,,,,,,4.0,,6.8,,,,,8.0,,,,2.0,,3.0,10.0,13.0,1,,26.0,,,,
