season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385415,19,1,Manchester_United,Home,863653,214590,Aaron Wan-Bissaka,aaron-wan-bissaka,D,False,,,1.0,10.0,10.0,20.0,2.0,,4.0,,,,,,,1.0,3.0,1.0,,,0.0176566,0.0,0.0,,,,,,,2.0,1.0,,69.0,,,,,,,,10.0,,6.7,,,,,1.0,,,,3.0,,17.0,11.0,28.0,0,1.0,39.0,,,,1.0
2022-23,10385426,20,1,Manchester_United,Home,138310,90152,Raphaël Varane,raphael-varane,D,False,,,,,25.0,25.0,,,6.0,,,,,,,,,,,,6.241e-05,0.0,0.0,,,,,,,,,,90.0,,1.0,,,,,,3.0,,6.7,,,,,5.0,,,,1.0,1.0,1.0,27.0,28.0,0,,35.0,,,,
2022-23,10385426,20,1,Manchester_United,Home,143334,184667,Victor Lindelöf,victor-lindelof,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385426,20,1,Manchester_United,Home,149380,95658,Harry Maguire,harry-maguire,D,True,,,,,,,,1.0,,,,,,,,,,1.0,,,0.0,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,0,,2.0,,,,
2022-23,10385426,20,1,Manchester_United,Home,190839,106760,Luke Shaw,luke-shaw,D,False,,,2.0,3.0,19.0,22.0,1.0,2.0,2.0,,,,,,,,3.0,4.0,,,0.00295368,0.0,0.0,2.0,,,,,,,,,90.0,,,,,,,,7.0,,6.7,,,,,6.0,,2.0,,5.0,,9.0,20.0,27.0,0,2.0,39.0,,,,
2022-23,10385426,20,1,Manchester_United,Home,825839,222690,Tyrell Malacia,tyrell-malacia,D,False,,,,9.0,14.0,23.0,,,8.0,,,,,,,,5.0,4.0,,,0.00865987,0.0,0.0,4.0,,,,,,2.0,,,89.0,,,,,,,,10.0,,6.7,,,,,5.0,1.0,1.0,,2.0,1.0,12.0,19.0,30.0,0,3.0,51.0,,1.0,,3.0
2022-23,10385426,20,1,Manchester_United,Home,859999,221820,Lisandro Martínez,lisandro-martinez,D,True,,,,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,0,,4.0,,1.0,,
2022-23,10385426,20,1,Manchester_United,Home,863653,214590,Aaron Wan-Bissaka,aaron-wan-bissaka,D,False,,,2.0,5.0,12.0,17.0,2.0,,5.0,,,1.0,,,,,2.0,7.0,,,0.0120293,0.0357,0.0,,,,,,,1.0,,,90.0,,,,,,,,5.0,,7.2,,,,,1.0,3.0,,,2.0,,5.0,16.0,21.0,1,4.0,37.0,,,3.0,3.0
2022-23,10652685,21,1,Manchester_United,Away,138310,90152,Raphaël Varane,raphael-varane,D,False,,,,19.0,19.0,38.0,1.0,2.0,3.0,,,,,,,,1.0,2.0,,,0.00657536,0.0,0.0,,,,,,,2.0,,,89.0,,2.0,,,,,,5.0,,6.8,,,,,8.0,,,,1.0,,23.0,19.0,42.0,0,,57.0,,,,
2022-23,10652685,21,1,Manchester_United,Away,143334,184667,Victor Lindelöf,victor-lindelof,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10652685,21,1,Manchester_United,Away,149380,95658,Harry Maguire,harry-maguire,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10652685,21,1,Manchester_United,Away,190839,106760,Luke Shaw,luke-shaw,D,False,,,1.0,11.0,24.0,35.0,,2.0,5.0,,,,,,,1.0,5.0,6.0,,,0.0122264,0.0,0.0,3.0,,,,,,1.0,,,90.0,,4.0,,,,,,17.0,,6.7,,,,,1.0,2.0,5.0,,4.0,,21.0,28.0,44.0,0,2.0,80.0,,1.0,1.0,1.0
2022-23,10652685,21,1,Manchester_United,Away,825839,222690,Tyrell Malacia,tyrell-malacia,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10652685,21,1,Manchester_United,Away,859999,221820,Lisandro Martínez,lisandro-martinez,D,False,,,7.0,14.0,39.0,53.0,1.0,2.0,7.0,,,,1.0,,,,3.0,4.0,,,0.346084,0.077,0.1183,1.0,,1.0,,,,4.0,,,90.0,1.0,2.0,,,,,,11.0,,8.0,,,,,3.0,,,,15.0,,24.0,40.0,64.0,1,2.0,76.0,,,,1.0
2022-23,10652685,21,1,Manchester_United,Away,863653,214590,Aaron Wan-Bissaka,aaron-wan-bissaka,D,False,,,,12.0,10.0,22.0,,4.0,7.0,,,,,,,,2.0,8.0,,,0.00460655,0.0,0.0,1.0,,,,,,1.0,1.0,,90.0,,,,,,,,9.0,,6.8,,,,,6.0,1.0,,,2.0,,14.0,13.0,27.0,0,4.0,48.0,2.0,,,2.0
2022-23,10688772,22,1,Manchester_United,Home,138310,90152,Raphaël Varane,raphael-varane,D,False,,,3.0,28.0,37.0,65.0,,2.0,2.0,,,1.0,,,,,,3.0,,,0.0207478,0.1601,0.0,,,,,,,,,,90.0,,1.0,,,,,,6.0,,7.0,,,,,2.0,,,,5.0,,34.0,37.0,71.0,1,1.0,80.0,,,,1.0
2022-23,10688772,22,1,Manchester_United,Home,143334,184667,Victor Lindelöf,victor-lindelof,D,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,12.0,,,,,,,,,,6.5,,,,,,,,,,,,,,0,,,,,,
2022-23,10688772,22,1,Manchester_United,Home,149380,95658,Harry Maguire,harry-maguire,D,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,12.0,,,,,,,,,,6.5,,,,,,,,,,,,,,0,,,,,,
