team_dir,season,matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,result,accuratePass,aerialLost,aerialWon,attPenGoal,attSetpiece,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedPass,blockedScoringAtt,challengeLost,cleanSheet,cornerTaken,dispossessed,duelLost,duelWon,effectiveClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,goalAssist,goals,goalsAgainst,goalsConceded,goalsFor,halfTimeAgainst,halfTimeFor,hitWoodwork,interception,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,ownGoals,penAreaEntries,penaltyWon,possLostAll,possessionPercentage,redCard,redCardsAgainst,redCardsFor,saves,shotOffTarget,totalAttAssist,totalClearance,totalDistance,totalOffside,totalPass,totalScoringAtt,totalTackle,touchesInOppBox,wonCorners,wonTackle,yellowCard
C_Palace_31,2013-14,695113,22,2014-01-18 15:00:00,"Selhurst Park, London",24440,Home,Crystal Palace,Stoke,W,245.0,38.0,27.0,,1.0,1.0,2.0,,12.0,2.0,9.0,1.0,4.0,12.0,77.0,67.0,45.0,,,,,,,69.0,9.0,13.0,,1.0,0,,1,0,0,,11.0,4.0,6.0,3.0,,19.0,,184.0,43.7,0.0,0,0,2.0,4.0,7.0,45.0,,2.0,344.0,12.0,20.0,,4.0,14.0,0.0
C_Palace_31,2013-14,695122,23,2014-01-28 20:00:00,"Selhurst Park, London",22519,Home,Crystal Palace,Hull,W,194.0,33.0,28.0,,1.0,1.0,1.0,,11.0,,9.0,1.0,8.0,7.0,70.0,60.0,46.0,,1.0,,,,,67.0,14.0,7.0,1.0,1.0,0,,1,0,1,,23.0,2.0,3.0,2.0,,15.0,,155.0,37.5,0.0,1,0,4.0,10.0,10.0,46.0,,1.0,290.0,13.0,18.0,,8.0,15.0,0.0
C_Palace_31,2013-14,695131,24,2014-02-02 16:00:00,"Emirates Stadium, London",60005,Away,Crystal Palace,Arsenal,L,204.0,18.0,9.0,,1.0,1.0,1.0,,12.0,2.0,6.0,,5.0,11.0,58.0,55.0,19.0,,,,,,,38.0,14.0,9.0,,,2,2.0,0,0,0,,25.0,1.0,2.0,1.0,,21.0,,137.0,27.0,0.0,0,0,4.0,6.0,4.0,19.0,,3.0,282.0,10.0,31.0,10.0,5.0,22.0,0.0
C_Palace_31,2013-14,695143,25,2014-02-08 15:00:00,"Selhurst Park, London",24501,Home,Crystal Palace,West Brom,W,159.0,20.0,18.0,1.0,2.0,2.0,,3.0,24.0,2.0,10.0,,4.0,15.0,71.0,55.0,36.0,,,,,,,54.0,13.0,13.0,2.0,3.0,1,1.0,3,0,2,,29.0,5.0,6.0,5.0,,14.0,1.0,163.0,34.0,0.0,0,0,6.0,2.0,5.0,36.0,,1.0,254.0,10.0,18.0,,4.0,10.0,0.0
C_Palace_31,2013-14,695157,26,2014-04-16 19:45:00,"Goodison Park, Liverpool",39333,Away,Crystal Palace,Everton,W,182.0,13.0,24.0,,,,1.0,,14.0,,16.0,,3.0,13.0,60.0,73.0,38.0,,,,,,,52.0,10.0,6.0,3.0,3.0,2,2.0,3,0,1,1.0,22.0,4.0,4.0,3.0,,8.0,,129.0,30.9,0.0,0,0,3.0,3.0,6.0,38.0,,3.0,251.0,7.0,33.0,,3.0,22.0,0.0
C_Palace_31,2013-14,695163,27,2014-02-22 17:30:00,"Selhurst Park, London",24571,Home,Crystal Palace,Man Utd,L,238.0,11.0,19.0,,2.0,,,,12.0,5.0,12.0,,6.0,6.0,48.0,49.0,20.0,,,,,,,70.0,12.0,8.0,,,2,2.0,0,0,0,,16.0,11.0,6.0,4.0,,22.0,,136.0,33.5,0.0,0,0,3.0,4.0,14.0,20.0,,2.0,321.0,15.0,16.0,,6.0,13.0,0.0
C_Palace_31,2013-14,695179,28,2014-03-02 16:30:00,"Swansea.com Stadium, Swansea",20240,Away,Crystal Palace,Swansea,D,213.0,14.0,40.0,1.0,,,1.0,1.0,18.0,1.0,6.0,,4.0,9.0,54.0,75.0,23.0,,,,,,,75.0,11.0,8.0,,1.0,1,1.0,1,1,0,,18.0,2.0,3.0,1.0,,26.0,1.0,168.0,31.3,0.0,1,0,4.0,2.0,4.0,23.0,,,316.0,6.0,22.0,,4.0,20.0,0.0
C_Palace_31,2013-14,695183,29,2014-03-08 15:00:00,"Selhurst Park, London",25073,Home,Crystal Palace,Southampton,L,150.0,23.0,20.0,,1.0,,,,23.0,2.0,7.0,,8.0,11.0,68.0,66.0,35.0,1.0,1.0,,,,,73.0,13.0,16.0,,,1,1.0,0,1,0,,19.0,2.0,1.0,4.0,,32.0,,194.0,35.7,0.0,0,0,2.0,3.0,3.0,35.0,,7.0,255.0,6.0,24.0,,8.0,18.0,0.0
C_Palace_31,2013-14,695198,30,2014-03-15 15:00:00,"Stadium of Light, Sunderland",43636,Away,Crystal Palace,Sunderland,D,158.0,17.0,21.0,,3.0,1.0,1.0,,15.0,2.0,7.0,1.0,2.0,11.0,56.0,52.0,51.0,,1.0,,,,,61.0,14.0,16.0,,,0,,0,0,0,,22.0,6.0,5.0,5.0,,13.0,,143.0,35.5,0.0,0,0,2.0,5.0,10.0,51.0,,,244.0,12.0,11.0,,2.0,8.0,0.0
C_Palace_31,2013-14,695207,31,2014-03-22 15:00:00,"St. James' Park, Newcastle",51588,Away,Crystal Palace,Newcastle,L,172.0,21.0,24.0,,,1.0,1.0,,25.0,2.0,9.0,,5.0,3.0,54.0,64.0,32.0,,,,,,,61.0,8.0,4.0,,,1,1.0,0,0,0,1.0,22.0,3.0,1.0,4.0,,12.0,,145.0,27.3,0.0,0,0,7.0,5.0,8.0,32.0,,5.0,251.0,8.0,31.0,,5.0,24.0,0.0
