team_dir,season,matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,result,accuratePass,aerialLost,aerialWon,attPenGoal,attSetpiece,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedPass,blockedScoringAtt,challengeLost,cleanSheet,cornerTaken,dispossessed,duelLost,duelWon,effectiveClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,goalAssist,goals,goalsAgainst,goalsConceded,goalsFor,halfTimeAgainst,halfTimeFor,hitWoodwork,interception,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,ownGoals,penAreaEntries,penaltyWon,possLostAll,possessionPercentage,redCard,redCardsAgainst,redCardsFor,saves,shotOffTarget,totalAttAssist,totalClearance,totalDistance,totalOffside,totalPass,totalScoringAtt,totalTackle,touchesInOppBox,wonCorners,wonTackle,yellowCard
Everton_11,2009-10,284263,27,2010-02-20 12:45:00,"Goodison Park, Liverpool",39448.0,Home,Everton,Man Utd,W,266.0,12.0,8.0,,,,,,,2.0,10.0,,4.0,13.0,56.0,41.0,26.0,1.0,,,,,,84.0,12.0,11.0,2.0,3.0,1,1.0,3,1,1,,21.0,4.0,5.0,2.0,,20.0,,171.0,46.1,0.0,0,0,,5.0,7.0,54.0,,3.0,352.0,12.0,17.0,,4.0,15.0,0.0
Everton_11,2009-10,284279,28,2010-02-28 13:00:00,"White Hart Lane, London",35912.0,Away,Everton,Spurs,L,340.0,15.0,11.0,,,,,,,6.0,13.0,,9.0,20.0,71.0,46.0,16.0,,,,,,,77.0,19.0,9.0,1.0,1.0,2,2.0,1,2,0,,27.0,7.0,5.0,5.0,,23.0,,173.0,52.6,0.0,0,0,,4.0,10.0,29.0,,1.0,437.0,15.0,21.0,,9.0,17.0,0.0
Everton_11,2009-10,284283,29,2010-03-07 16:00:00,"Goodison Park, Liverpool",34682.0,Home,Everton,Hull,W,356.0,11.0,17.0,,,,,,,7.0,3.0,,4.0,16.0,44.0,58.0,14.0,,,,,,,103.0,12.0,23.0,3.0,5.0,1,1.0,5,1,2,1.0,25.0,8.0,7.0,2.0,,24.0,1.0,161.0,55.4,0.0,0,0,,7.0,14.0,37.0,,1.0,447.0,21.0,17.0,,4.0,16.0,0.0
Everton_11,2009-10,284290,30,2010-03-13 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",24579.0,Away,Everton,Birmingham,D,308.0,21.0,20.0,,1.0,,,,,4.0,2.0,,4.0,15.0,52.0,48.0,20.0,,,,,,,101.0,12.0,11.0,2.0,2.0,2,2.0,2,1,2,,20.0,8.0,6.0,1.0,,29.0,,190.0,51.3,0.0,0,0,,4.0,10.0,36.0,,4.0,425.0,14.0,13.0,,4.0,10.0,0.0
Everton_11,2009-10,284303,31,2010-03-20 15:00:00,"Goodison Park, Liverpool",36503.0,Home,Everton,Bolton,W,408.0,20.0,11.0,,2.0,,,,,8.0,3.0,1.0,6.0,21.0,60.0,54.0,14.0,,,,,,,115.0,15.0,17.0,1.0,2.0,0,,2,0,0,1.0,14.0,8.0,6.0,3.0,,36.0,,179.0,66.6,0.0,1,0,,7.0,12.0,26.0,,,512.0,21.0,17.0,,6.0,15.0,0.0
Everton_11,2009-10,284319,32,2010-03-27 15:00:00,"Molineux Stadium, Wolverhampton",28995.0,Away,Everton,Wolves,D,235.0,17.0,19.0,,2.0,,,,,6.0,6.0,1.0,7.0,15.0,54.0,53.0,24.0,,1.0,,,,,73.0,12.0,13.0,,,0,,0,0,0,1.0,15.0,11.0,10.0,2.0,,25.0,,185.0,46.4,0.0,0,0,,8.0,18.0,56.0,,3.0,327.0,24.0,15.0,,7.0,8.0,0.0
Everton_11,2009-10,284324,33,2010-04-04 16:00:00,"Goodison Park, Liverpool",37451.0,Home,Everton,West Ham,D,338.0,20.0,12.0,,,,,,,4.0,3.0,,2.0,21.0,53.0,68.0,9.0,,,,,,,90.0,7.0,17.0,2.0,2.0,2,2.0,2,0,1,,18.0,5.0,2.0,3.0,,20.0,,183.0,57.5,0.0,0,0,,6.0,9.0,25.0,,2.0,449.0,12.0,29.0,,2.0,23.0,0.0
Everton_11,2009-10,284330,34,2010-04-14 19:45:00,"Villa Park, Birmingham",38729.0,Away,Everton,Aston Villa,D,260.0,22.0,15.0,,1.0,,,,,8.0,10.0,,7.0,9.0,60.0,52.0,23.0,,,,,,,71.0,10.0,11.0,2.0,2.0,2,2.0,2,0,1,,16.0,9.0,4.0,4.0,1.0,15.0,,153.0,44.9,0.0,0,0,,2.0,11.0,36.0,,,346.0,14.0,18.0,,7.0,13.0,0.0
Everton_11,2009-10,284341,35,2010-04-17 15:00:00,"Ewood Park, Blackburn",27022.0,Away,Everton,Blackburn,W,342.0,9.0,11.0,1.0,,,,,,1.0,2.0,,2.0,11.0,39.0,58.0,28.0,,,,,,,93.0,13.0,15.0,2.0,3.0,2,2.0,3,0,1,1.0,19.0,2.0,5.0,7.0,,25.0,1.0,173.0,62.9,0.0,0,0,,6.0,7.0,62.0,,,435.0,12.0,22.0,,2.0,21.0,0.0
Everton_11,2009-10,284355,36,2010-04-25 15:00:00,"Goodison Park, Liverpool",35578.0,Home,Everton,Fulham,W,441.0,13.0,17.0,1.0,2.0,,,,,3.0,1.0,,10.0,21.0,50.0,58.0,17.0,1.0,,,,,,80.0,7.0,13.0,,2.0,1,1.0,2,1,0,1.0,24.0,5.0,7.0,3.0,,30.0,1.0,152.0,55.3,0.0,0,0,,7.0,11.0,35.0,,1.0,513.0,17.0,21.0,,10.0,17.0,0.0
Everton_11,2009-10,284366,37,2010-05-01 15:00:00,"bet365 Stadium, Stoke",27579.0,Away,Everton,Stoke,D,293.0,18.0,18.0,,1.0,,,,,6.0,5.0,1.0,5.0,11.0,51.0,55.0,24.0,,,,,,,85.0,10.0,10.0,,,0,,0,0,0,,21.0,7.0,2.0,4.0,,20.0,,166.0,54.4,0.0,0,0,,3.0,10.0,56.0,,2.0,376.0,11.0,24.0,,5.0,16.0,0.0
Everton_11,2009-10,284375,38,2010-05-09 16:00:00,"Goodison Park, Liverpool",38730.0,Home,Everton,Portsmouth,W,475.0,17.0,10.0,,2.0,,,,,6.0,5.0,1.0,13.0,14.0,51.0,43.0,6.0,,,,,,,68.0,11.0,12.0,1.0,1.0,0,,1,0,0,,17.0,14.0,8.0,1.0,,14.0,,122.0,63.3,0.0,0,0,,8.0,22.0,14.0,,,536.0,22.0,13.0,,14.0,11.0,0.0
Everton_11,2010-11,321658,1,2010-08-14 15:00:00,"Ewood Park, Blackburn",25869,Away,Everton,Blackburn,L,380.0,10.0,14.0,,2.0,,,,,8.0,4.0,,3.0,10.0,43.0,53.0,21.0,1.0,,,,,,92.0,16.0,19.0,,,1,1.0,0,1,0,,5.0,8.0,4.0,1.0,,,,,69.6,0.0,0,0,,8.0,14.0,44.0,,2.0,469.0,20.0,16.0,,3.0,11.0,0.0
Everton_11,2010-11,321669,2,2010-08-21 15:00:00,"Goodison Park, Liverpool",37767,Home,Everton,Wolves,D,323.0,17.0,22.0,,3.0,,,1.0,,4.0,2.0,,3.0,13.0,56.0,58.0,15.0,,,,,,,87.0,17.0,15.0,,1.0,1,1.0,1,0,1,,11.0,3.0,2.0,2.0,,31.0,,184.0,59.3,0.0,0,0,,8.0,9.0,32.0,,3.0,421.0,14.0,16.0,,3.0,12.0,0.0
