matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
442105,11,2012-11-10 15:00:00,108,Reading,Home,112.0,12.0,2.0,5.0,3.0,2.0,1.0,107.0,6.0,,4.0,8.0,2.0,19.0,214.0,,,25.0,39.0,34.0,4.0,2.0,,1.0,,,,,1.0,,,,6.0,,,,2.0,5.0,6.0,,,48.0,44.0,,,,3.0,2.0,,,,10.0,18.0,9.0,,7.0,,68.0,72.0,3.0,15.0,11.0,,2.0,69.0,9.0,17.0,,,5.0,4.0,1.0,149.0,,,,,,,13.0,,1.0,,18.0,1.0,16.0,14.0,,4.0,53.0,93.0,44.0,3.0,,3.0,3.0,2.0,,2.0,2.0,61.0,60.0,24.0,,,,,203.0,187.0,1.0,19.0,16.0,49.3,,,0.0,66.0,1.0,,,,1.0,5.0,,,3.0,61.0,,6.0,129.0,24.0,31.0,23.0,10.0,41.0,31.0,1.0,114.0,11.0,228.0,1.0,,43.0,2.0,47.0,4.0,316.0,1.0,0.0,9.0,11.0,,31.0,0.0,536.0,,10.0,10.0,10.0,11.0,0.0
442116,12,2012-11-17 15:00:00,108,Reading,Home,55.0,10.0,4.0,13.0,9.0,2.0,3.0,130.0,7.0,,1.0,14.0,,25.0,172.0,,,14.0,17.0,16.0,5.0,4.0,,,,,,,,,,,7.0,1.0,,,2.0,15.0,6.0,,,37.0,17.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,,7.0,15.0,12.0,,14.0,,42.0,46.0,6.0,17.0,8.0,1.0,1.0,70.0,12.0,12.0,2.0,,7.0,5.0,,120.0,1.0,1.0,1.0,,1.0,,12.0,,2.0,2.0,16.0,,13.0,9.0,1.0,1.0,43.0,75.0,40.0,13.0,,8.0,2.0,3.0,,5.0,1.0,87.0,32.0,18.0,,,,1.0,152.0,136.0,,6.0,6.0,39.6,,2.0,0.0,47.0,4.0,2.0,,,,10.0,,,1.0,64.0,,10.0,73.0,28.0,33.0,4.0,7.0,39.0,32.0,,99.0,7.0,213.0,2.0,,30.0,,43.0,2.0,247.0,,0.0,14.0,14.0,,18.0,3.0,448.0,,9.0,4.0,7.0,11.0,0.0
442128,13,2012-11-24 15:00:00,108,Reading,Away,58.0,10.0,2.0,12.0,10.0,,2.0,106.0,2.0,,2.0,9.0,7.0,20.0,152.0,,1.0,15.0,14.0,18.0,11.0,2.0,,,,,,1.0,1.0,,,,10.0,,,,5.0,17.0,1.0,,,29.0,46.0,1.0,1.0,,6.0,6.0,7.0,2.0,1.0,5.0,12.0,10.0,1.0,13.0,3.0,51.0,54.0,6.0,28.0,10.0,1.0,,57.0,11.0,15.0,,,6.0,3.0,1.0,115.0,1.0,1.0,1.0,,1.0,,10.0,,,1.0,13.0,,17.0,16.0,1.0,2.0,43.0,70.0,29.0,9.0,,6.0,8.0,5.0,,5.0,,46.0,53.0,18.0,,,,,150.0,136.0,4.0,22.0,15.0,33.3,,2.0,0.0,39.0,6.0,,,1.0,,6.0,1.0,,2.0,65.0,,14.0,68.0,23.0,42.0,13.0,4.0,29.0,25.0,2.0,107.0,,187.0,,1.0,27.0,8.0,40.0,1.0,226.0,2.0,0.0,17.0,15.0,1.0,20.0,0.0,452.0,,11.0,6.0,5.0,9.0,0.0
442129,14,2012-11-27 20:00:00,108,Reading,Away,56.0,13.0,2.0,8.0,6.0,3.0,,145.0,4.0,1.0,4.0,12.0,5.0,21.0,193.0,,,33.0,28.0,25.0,8.0,2.0,,,,,,,,,,,9.0,,,,,10.0,6.0,,,44.0,55.0,2.0,2.0,,5.0,3.0,2.0,,,3.0,12.0,9.0,,19.0,1.0,56.0,53.0,5.0,42.0,20.0,,,77.0,6.0,11.0,,,1.0,2.0,,144.0,,,,,,,13.0,,2.0,2.0,35.0,,12.0,9.0,1.0,4.0,49.0,81.0,36.0,8.0,,5.0,5.0,3.0,,5.0,3.0,86.0,58.0,30.0,,,,,199.0,178.0,3.0,17.0,23.0,44.8,,1.0,0.0,55.0,2.0,2.0,,1.0,,6.0,1.0,,2.0,75.0,,10.0,76.0,26.0,63.0,9.0,3.0,26.0,23.0,,129.0,12.0,242.0,2.0,1.0,39.0,7.0,44.0,3.0,292.0,,0.0,12.0,11.0,1.0,44.0,0.0,556.0,,13.0,6.0,3.0,3.0,0.0
442146,15,2012-12-01 17:30:00,108,Reading,Home,138.0,10.0,4.0,9.0,5.0,3.0,1.0,179.0,3.0,1.0,1.0,15.0,17.0,29.0,308.0,,,19.0,15.0,13.0,4.0,4.0,,,,,,1.0,1.0,,,,5.0,,,,2.0,9.0,2.0,,,65.0,60.0,2.0,,2.0,1.0,1.0,6.0,1.0,,6.0,17.0,7.0,1.0,8.0,,50.0,49.0,,10.0,5.0,1.0,1.0,79.0,10.0,12.0,1.0,,5.0,4.0,1.0,157.0,2.0,2.0,2.0,,2.0,,7.0,1.0,1.0,,9.0,,18.0,12.0,1.0,1.0,88.0,85.0,44.0,1.0,1.0,4.0,6.0,7.0,,1.0,1.0,50.0,90.0,16.0,1.0,1.0,1.0,,158.0,151.0,2.0,25.0,28.0,41.7,,,0.0,87.0,2.0,,,,,4.0,,,3.0,83.0,,10.0,151.0,23.0,16.0,16.0,6.0,34.0,28.0,1.0,142.0,12.0,280.0,1.0,1.0,42.0,21.0,57.0,,397.0,2.0,0.0,12.0,19.0,2.0,20.0,1.0,584.0,,12.0,5.0,6.0,16.0,0.0
442154,16,2012-12-08 15:00:00,108,Reading,Away,66.0,12.0,,7.0,7.0,,,92.0,2.0,2.0,1.0,10.0,1.0,22.0,151.0,,,22.0,20.0,12.0,5.0,,,2.0,,,,,,,,,4.0,,,1.0,,9.0,9.0,,,35.0,31.0,,,,5.0,,1.0,,1.0,4.0,13.0,5.0,,14.0,4.0,55.0,42.0,5.0,18.0,6.0,,,65.0,13.0,11.0,,,3.0,4.0,,102.0,,,,,,,12.0,,1.0,1.0,13.0,1.0,13.0,9.0,2.0,1.0,45.0,83.0,35.0,7.0,,3.0,2.0,2.0,,3.0,2.0,26.0,65.0,10.0,,,,,177.0,154.0,,9.0,12.0,34.9,1.0,1.0,0.0,49.0,2.0,2.0,,1.0,2.0,4.0,,,3.0,38.0,,5.0,83.0,27.0,41.0,12.0,2.0,24.0,22.0,2.0,76.0,5.0,172.0,1.0,2.0,26.0,2.0,44.0,4.0,231.0,,0.0,6.0,15.0,,31.0,0.0,446.0,,10.0,4.0,4.0,12.0,0.0
442165,17,2012-12-17 20:00:00,108,Reading,Home,134.0,11.0,1.0,4.0,3.0,3.0,,127.0,4.0,1.0,3.0,7.0,9.0,11.0,257.0,,2.0,15.0,14.0,15.0,4.0,1.0,1.0,,,,,,,,,1.0,8.0,,,,,19.0,7.0,5.0,4.0,54.0,55.0,2.0,,2.0,6.0,4.0,14.0,1.0,,3.0,10.0,4.0,,15.0,6.0,51.0,44.0,6.0,17.0,7.0,,,44.0,7.0,4.0,,,,,,150.0,2.0,,2.0,2.0,,,9.0,2.0,,,11.0,,12.0,8.0,2.0,3.0,64.0,80.0,36.0,7.0,1.0,2.0,5.0,3.0,331.0,7.0,2.0,39.0,59.0,26.0,,,,,132.0,132.0,,23.0,25.0,32.9,,,0.0,80.0,6.0,2.0,7.0,,,2.0,,1.0,3.0,48.0,251.0,7.0,154.0,30.0,26.0,14.0,3.0,17.0,14.0,,82.0,10.0,211.0,,1.0,28.0,11.0,43.0,5.0,348.0,,0.0,9.0,12.0,6.0,15.0,1.0,525.0,19.0,5.0,13.0,3.0,8.0,0.0
442171,18,2012-12-22 15:00:00,108,Reading,Away,80.0,6.0,3.0,6.0,3.0,1.0,,92.0,6.0,,,9.0,,17.0,166.0,,,18.0,25.0,19.0,3.0,2.0,,,,,,,,,,,3.0,,,,,16.0,5.0,,,52.0,33.0,,,,3.0,,7.0,,1.0,3.0,9.0,5.0,,6.0,,56.0,46.0,3.0,20.0,11.0,,,51.0,16.0,11.0,,,1.0,2.0,,101.0,,,,,,,11.0,,2.0,,15.0,,19.0,13.0,4.0,,44.0,71.0,35.0,12.0,,4.0,1.0,1.0,,8.0,,23.0,75.0,17.0,,,,,124.0,108.0,1.0,20.0,5.0,26.7,,2.0,0.0,38.0,2.0,,,1.0,,4.0,,,2.0,34.0,,5.0,89.0,22.0,36.0,3.0,3.0,19.0,16.0,,75.0,7.0,165.0,2.0,,25.0,1.0,47.0,1.0,235.0,,0.0,5.0,15.0,,22.0,3.0,409.0,,8.0,1.0,3.0,9.0,0.0
442186,19,2012-12-26 15:00:00,108,Reading,Home,70.0,10.0,,4.0,4.0,1.0,2.0,75.0,4.0,1.0,,4.0,1.0,9.0,141.0,,,25.0,10.0,18.0,2.0,,,,,,,,,,,,2.0,,,,1.0,3.0,7.0,,,33.0,26.0,,1.0,,1.0,1.0,6.0,,,6.0,10.0,6.0,,12.0,2.0,43.0,56.0,1.0,13.0,2.0,,1.0,54.0,17.0,15.0,,,5.0,6.0,,109.0,,,,,,,10.0,,1.0,2.0,5.0,,13.0,5.0,1.0,,39.0,64.0,28.0,4.0,,1.0,1.0,1.0,,2.0,,37.0,45.0,21.0,,,,,143.0,131.0,1.0,10.0,8.0,28.0,,,0.0,39.0,1.0,1.0,,,,1.0,,,2.0,45.0,,2.0,83.0,18.0,25.0,,6.0,28.0,22.0,1.0,93.0,10.0,165.0,1.0,1.0,19.0,1.0,27.0,2.0,220.0,,0.0,3.0,23.0,,28.0,2.0,391.0,,5.0,,6.0,17.0,0.0
442196,20,2012-12-29 15:00:00,108,Reading,Home,49.0,6.0,,1.0,1.0,2.0,,91.0,6.0,,,2.0,1.0,17.0,139.0,,,20.0,27.0,20.0,2.0,,,,,,,,,,,1.0,3.0,,,,,10.0,3.0,,,34.0,31.0,1.0,1.0,1.0,7.0,,1.0,,,2.0,9.0,3.0,,19.0,2.0,68.0,51.0,7.0,31.0,12.0,,,46.0,18.0,8.0,1.0,1.0,4.0,2.0,,110.0,,,,,,,10.0,1.0,2.0,1.0,21.0,1.0,11.0,7.0,,,30.0,75.0,39.0,2.0,,1.0,1.0,2.0,,1.0,2.0,25.0,59.0,9.0,,,,,161.0,140.0,,14.0,9.0,33.8,,,0.0,40.0,2.0,1.0,,,,1.0,,,2.0,49.0,,2.0,72.0,16.0,52.0,9.0,1.0,15.0,14.0,,80.0,8.0,157.0,2.0,,14.0,1.0,39.0,5.0,214.0,,0.0,3.0,18.0,1.0,26.0,3.0,423.0,,10.0,5.0,2.0,11.0,0.0
442205,21,2013-01-01 15:00:00,108,Reading,Away,118.0,8.0,2.0,4.0,2.0,1.0,,84.0,4.0,,3.0,5.0,2.0,21.0,198.0,,,12.0,12.0,10.0,3.0,1.0,,,,,1.0,,1.0,,,,4.0,,1.0,,1.0,10.0,24.0,,,49.0,29.0,1.0,2.0,1.0,2.0,1.0,7.0,,,3.0,3.0,2.0,,13.0,6.0,43.0,37.0,2.0,13.0,5.0,,,59.0,11.0,10.0,1.0,,2.0,1.0,1.0,116.0,,,,,,,13.0,,,,11.0,1.0,25.0,16.0,5.0,3.0,59.0,83.0,38.0,12.0,,1.0,3.0,3.0,,12.0,,22.0,69.0,8.0,,,,,141.0,123.0,,14.0,10.0,32.0,1.0,2.0,0.0,57.0,1.0,7.0,,1.0,,3.0,,,3.0,28.0,,4.0,136.0,24.0,31.0,1.0,3.0,9.0,6.0,,77.0,6.0,154.0,,,17.0,2.0,48.0,4.0,281.0,,0.0,7.0,16.0,,14.0,0.0,455.0,,7.0,1.0,3.0,11.0,0.0
