matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenMiss,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
321761,11,2010-11-06 12:45:00,6,Spurs,Away,171.0,15.0,2.0,7.0,5.0,8.0,,159.0,6.0,,8.0,10.0,21.0,31.0,323.0,,1.0,26.0,21.0,25.0,8.0,1.0,,,1.0,,1.0,,,,,10.0,,,,,1.0,1.0,11.0,9.0,55.0,56.0,1.0,1.0,,3.0,2.0,6.0,,6.0,18.0,4.0,1.0,27.0,1.0,72.0,69.0,3.0,26.0,11.0,1.0,2.0,70.0,10.0,12.0,1.0,1.0,3.0,2.0,1.0,165.0,1.0,,,1.0,,,12.0,1.0,4.0,1.0,25.0,1.0,8.0,8.0,,10.0,107.0,99.0,56.0,7.0,,6.0,4.0,4.0,3.0,4.0,,71.0,43.0,19.0,1.0,1.0,1.0,,,215.0,193.0,,25.0,19.0,56.6,1.0,3.0,0.0,95.0,1.0,1.0,,,7.0,,3.0,56.0,10.0,201.0,33.0,48.0,15.0,4.0,28.0,24.0,,103.0,17.0,249.0,4.0,,29.0,25.0,61.0,4.0,422.0,,0.0,13.0,25.0,1.0,30.0,0.0,689.0,16.0,6.0,6.0,16.0,0.0
321768,12,2010-11-09 20:00:00,6,Spurs,Home,129.0,14.0,4.0,9.0,5.0,3.0,,205.0,2.0,2.0,7.0,9.0,16.0,35.0,325.0,,2.0,27.0,14.0,18.0,9.0,5.0,,2.0,,1.0,3.0,,,1.0,,10.0,,,1.0,,,,4.0,4.0,52.0,60.0,1.0,,1.0,3.0,7.0,5.0,,17.0,19.0,16.0,,10.0,,47.0,60.0,3.0,11.0,6.0,1.0,,87.0,7.0,15.0,,,5.0,2.0,3.0,168.0,1.0,,1.0,1.0,,,6.0,1.0,,,11.0,1.0,17.0,15.0,,8.0,108.0,85.0,46.0,3.0,1.0,6.0,9.0,7.0,1.0,,,93.0,74.0,30.0,,,,,,194.0,188.0,3.0,24.0,25.0,57.0,1.0,,0.0,98.0,1.0,,4.0,,10.0,,1.0,100.0,15.0,149.0,32.0,17.0,21.0,13.0,50.0,37.0,,155.0,11.0,327.0,1.0,2.0,26.0,17.0,63.0,2.0,426.0,,0.0,24.0,18.0,4.0,32.0,2.0,657.0,12.0,9.0,17.0,13.0,0.0
321783,13,2010-11-13 15:00:00,6,Spurs,Home,157.0,18.0,1.0,5.0,4.0,6.0,,184.0,4.0,,10.0,10.0,17.0,48.0,336.0,,,12.0,11.0,19.0,9.0,3.0,1.0,,,,2.0,,2.0,,,12.0,,1.0,,,,1.0,10.0,6.0,59.0,56.0,3.0,4.0,1.0,4.0,5.0,5.0,2.0,12.0,13.0,8.0,,16.0,5.0,54.0,56.0,4.0,33.0,21.0,1.0,,71.0,13.0,12.0,2.0,,3.0,,2.0,136.0,3.0,1.0,2.0,2.0,1.0,,5.0,3.0,3.0,,42.0,1.0,13.0,13.0,,12.0,112.0,91.0,55.0,6.0,2.0,5.0,10.0,7.0,5.0,2.0,,58.0,43.0,20.0,,,,,1.0,181.0,154.0,1.0,22.0,20.0,56.9,,4.0,0.0,110.0,4.0,2.0,,1.0,10.0,,2.0,87.0,15.0,171.0,33.0,60.0,22.0,9.0,30.0,21.0,1.0,138.0,12.0,276.0,3.0,,29.0,20.0,76.0,1.0,417.0,,0.0,22.0,13.0,6.0,17.0,2.0,662.0,11.0,12.0,12.0,10.0,0.0
321787,14,2010-11-20 12:45:00,6,Spurs,Away,125.0,6.0,4.0,7.0,3.0,3.0,1.0,103.0,3.0,,8.0,7.0,11.0,26.0,221.0,,1.0,22.0,20.0,16.0,5.0,3.0,1.0,,,,1.0,,,,,4.0,1.0,,,,,2.0,9.0,6.0,38.0,57.0,1.0,1.0,1.0,3.0,2.0,7.0,,6.0,11.0,3.0,1.0,10.0,2.0,57.0,59.0,3.0,13.0,8.0,,,63.0,17.0,18.0,,,6.0,3.0,1.0,145.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,1.0,3.0,1.0,17.0,,22.0,15.0,3.0,8.0,67.0,90.0,34.0,2.0,2.0,5.0,5.0,5.0,6.0,,,49.0,44.0,15.0,,,,,1.0,170.0,154.0,,25.0,18.0,39.6,,,0.0,71.0,,2.0,2.0,1.0,6.0,,3.0,44.0,10.0,141.0,27.0,29.0,13.0,6.0,23.0,17.0,2.0,95.0,10.0,203.0,4.0,,32.0,11.0,58.0,2.0,321.0,,0.0,13.0,16.0,4.0,25.0,1.0,530.0,14.0,9.0,6.0,12.0,0.0
321804,15,2010-11-28 16:00:00,6,Spurs,Home,159.0,33.0,2.0,4.0,2.0,3.0,,168.0,6.0,,8.0,7.0,6.0,47.0,323.0,1.0,,14.0,14.0,17.0,6.0,2.0,1.0,2.0,,,4.0,,,,,13.0,,1.0,,,,,10.0,7.0,44.0,60.0,1.0,3.0,1.0,4.0,4.0,5.0,,5.0,14.0,4.0,,20.0,2.0,59.0,72.0,4.0,21.0,11.0,,,69.0,6.0,17.0,,,7.0,1.0,4.0,137.0,1.0,,,1.0,,,9.0,1.0,,,13.0,,16.0,12.0,2.0,11.0,111.0,78.0,44.0,8.0,1.0,3.0,6.0,8.0,8.0,2.0,,51.0,68.0,18.0,,,,,1.0,177.0,169.0,3.0,22.0,22.0,50.4,,1.0,0.0,116.0,,3.0,1.0,1.0,8.0,,3.0,92.0,9.0,177.0,43.0,29.0,33.0,5.0,24.0,19.0,1.0,132.0,9.0,255.0,,,25.0,8.0,70.0,1.0,408.0,1.0,0.0,20.0,19.0,,20.0,0.0,651.0,15.0,19.0,5.0,15.0,0.0
321808,16,2010-12-04 15:00:00,6,Spurs,Away,114.0,18.0,4.0,11.0,7.0,9.0,,190.0,9.0,4.0,7.0,8.0,14.0,30.0,293.0,2.0,,22.0,22.0,24.0,10.0,2.0,,,,1.0,1.0,,,,,9.0,,,,,,1.0,8.0,6.0,58.0,59.0,,,1.0,7.0,3.0,7.0,,11.0,13.0,8.0,1.0,14.0,3.0,59.0,67.0,7.0,31.0,6.0,,,67.0,10.0,14.0,,,4.0,1.0,1.0,158.0,,,,,,,15.0,,3.0,3.0,17.0,,18.0,15.0,2.0,8.0,95.0,84.0,45.0,6.0,,7.0,5.0,4.0,1.0,2.0,,59.0,77.0,19.0,,,,,,189.0,173.0,2.0,21.0,18.0,50.7,,2.0,0.0,81.0,2.0,1.0,2.0,,7.0,,1.0,95.0,12.0,137.0,30.0,47.0,25.0,9.0,31.0,22.0,,142.0,21.0,286.0,4.0,4.0,33.0,16.0,57.0,3.0,392.0,2.0,0.0,14.0,13.0,1.0,25.0,1.0,647.0,16.0,16.0,11.0,10.0,0.0
321824,17,2010-12-12 16:00:00,6,Spurs,Home,136.0,19.0,,7.0,7.0,4.0,,115.0,8.0,2.0,8.0,4.0,10.0,31.0,244.0,,,12.0,13.0,17.0,5.0,,,1.0,,,1.0,,,,,9.0,,,,,,,7.0,8.0,33.0,60.0,1.0,1.0,,4.0,2.0,8.0,,1.0,10.0,5.0,,16.0,6.0,55.0,66.0,4.0,26.0,13.0,1.0,1.0,56.0,10.0,14.0,1.0,,3.0,1.0,1.0,128.0,1.0,,1.0,1.0,,,12.0,1.0,3.0,,25.0,,22.0,21.0,3.0,9.0,81.0,77.0,42.0,7.0,,4.0,2.0,1.0,1.0,6.0,,38.0,41.0,16.0,,1.0,1.0,1.0,,161.0,137.0,2.0,31.0,17.0,38.6,,1.0,0.0,82.0,3.0,4.0,1.0,,7.0,,3.0,58.0,6.0,152.0,35.0,50.0,18.0,1.0,17.0,16.0,,100.0,14.0,189.0,3.0,2.0,18.0,10.0,52.0,1.0,324.0,,0.0,10.0,25.0,6.0,14.0,2.0,560.0,9.0,10.0,1.0,21.0,0.0
321830,18,2011-02-22 20:00:00,6,Spurs,Away,155.0,28.0,,4.0,4.0,3.0,,286.0,4.0,1.0,2.0,9.0,17.0,44.0,437.0,1.0,3.0,31.0,5.0,20.0,24.0,1.0,,,,,1.0,,,,,21.0,,,,,,1.0,7.0,3.0,71.0,50.0,4.0,4.0,,4.0,6.0,8.0,,7.0,15.0,6.0,,18.0,1.0,46.0,59.0,4.0,11.0,7.0,1.0,,82.0,8.0,11.0,,,3.0,,1.0,183.0,,,,,,,10.0,,1.0,,9.0,,13.0,10.0,,2.0,138.0,88.0,57.0,1.0,,15.0,10.0,5.0,2.0,1.0,,73.0,91.0,33.0,1.0,1.0,1.0,,,151.0,147.0,1.0,28.0,19.0,61.5,,,0.0,122.0,1.0,,2.0,,15.0,,3.0,165.0,25.0,168.0,45.0,15.0,24.0,5.0,26.0,21.0,,218.0,7.0,372.0,1.0,1.0,19.0,19.0,64.0,3.0,514.0,1.0,0.0,26.0,11.0,4.0,34.0,0.0,722.0,10.0,17.0,7.0,5.0,0.0
321838,19,2010-12-26 17:30:00,6,Spurs,Away,154.0,14.0,1.0,2.0,2.0,2.0,1.0,123.0,7.0,,4.0,4.0,11.0,28.0,275.0,1.0,2.0,18.0,12.0,20.0,5.0,3.0,2.0,1.0,,1.0,2.0,,,,,9.0,,,,,,1.0,21.0,7.0,41.0,50.0,1.0,1.0,,9.0,4.0,8.0,,4.0,3.0,2.0,,12.0,4.0,46.0,58.0,9.0,36.0,18.0,,3.0,47.0,10.0,13.0,,,7.0,3.0,2.0,111.0,2.0,,2.0,2.0,,1.0,14.0,2.0,,,43.0,,9.0,7.0,1.0,4.0,96.0,75.0,38.0,8.0,2.0,4.0,6.0,4.0,5.0,4.0,,69.0,35.0,9.0,,,,,,148.0,116.0,1.0,27.0,14.0,42.7,,8.0,0.0,91.0,8.0,1.0,,2.0,5.0,,3.0,52.0,10.0,167.0,21.0,68.0,16.0,3.0,10.0,8.0,3.0,78.0,9.0,182.0,,,23.0,13.0,47.0,1.0,339.0,1.0,1.0,13.0,13.0,3.0,20.0,3.0,574.0,14.0,12.0,4.0,11.0,0.0
321853,20,2010-12-28 15:00:00,6,Spurs,Home,144.0,7.0,1.0,5.0,4.0,7.0,,155.0,6.0,,5.0,9.0,11.0,25.0,294.0,,,22.0,20.0,12.0,9.0,1.0,2.0,,,1.0,1.0,,,,,11.0,,,,,,,6.0,6.0,43.0,43.0,1.0,1.0,,6.0,3.0,2.0,1.0,9.0,11.0,3.0,,14.0,2.0,50.0,56.0,6.0,15.0,5.0,,,51.0,9.0,16.0,,,3.0,1.0,1.0,134.0,2.0,,,2.0,,1.0,11.0,2.0,4.0,,16.0,1.0,16.0,13.0,1.0,6.0,102.0,71.0,37.0,7.0,2.0,3.0,9.0,8.0,4.0,1.0,,53.0,54.0,15.0,,,,,,163.0,147.0,,19.0,14.0,55.0,,4.0,0.0,102.0,3.0,1.0,1.0,2.0,5.0,,3.0,73.0,12.0,165.0,18.0,31.0,15.0,5.0,20.0,15.0,3.0,115.0,19.0,236.0,4.0,,24.0,11.0,47.0,5.0,381.0,,1.0,16.0,18.0,1.0,27.0,2.0,596.0,9.0,10.0,9.0,13.0,0.0
321863,21,2011-01-01 15:00:00,6,Spurs,Home,310.0,22.0,2.0,4.0,2.0,4.0,,184.0,6.0,1.0,8.0,5.0,25.0,70.0,490.0,1.0,1.0,26.0,6.0,19.0,10.0,1.0,3.0,,,,2.0,,,,,7.0,,,,,,1.0,4.0,10.0,81.0,60.0,1.0,1.0,,3.0,4.0,2.0,,5.0,10.0,2.0,,11.0,1.0,37.0,46.0,3.0,24.0,13.0,,,65.0,12.0,9.0,,,2.0,,2.0,180.0,1.0,,,,1.0,,12.0,,3.0,,26.0,,9.0,7.0,,9.0,165.0,99.0,50.0,1.0,1.0,5.0,7.0,5.0,4.0,,,86.0,60.0,13.0,,,,,,176.0,155.0,2.0,19.0,27.0,55.5,,2.0,0.0,165.0,1.0,1.0,3.0,3.0,6.0,,3.0,79.0,12.0,329.0,39.0,45.0,9.0,4.0,16.0,12.0,3.0,132.0,15.0,278.0,3.0,1.0,20.0,27.0,95.0,2.0,591.0,2.0,0.0,15.0,15.0,3.0,28.0,2.0,798.0,14.0,3.0,5.0,9.0,0.0
