season,matchId,gameweek,kickoff,ground,attendance,home_team,away_team,goalsFor_h,goalsFor_a,goalsAgainst_h,goalsAgainst_a,result_h,result_a,halfTimeFor_h,halfTimeFor_a,halfTimeAgainst_h,halfTimeAgainst_a,redCardsFor_h,redCardsFor_a,redCardsAgainst_h,redCardsAgainst_a,goals_h,goals_a,totalScoringAtt_h,totalScoringAtt_a,ontargetScoringAtt_h,ontargetScoringAtt_a,shotOffTarget_h,shotOffTarget_a,blockedScoringAtt_h,blockedScoringAtt_a,bigChanceCreated_h,bigChanceCreated_a,bigChanceScored_h,bigChanceScored_a,bigChanceMissed_h,bigChanceMissed_a,hitWoodwork_h,hitWoodwork_a,goalAssist_h,goalAssist_a,totalAttAssist_h,totalAttAssist_a,ontargetAttAssist_h,ontargetAttAssist_a,penAreaEntries_h,penAreaEntries_a,finalThirdEntries_h,finalThirdEntries_a,totalPass_h,totalPass_a,accuratePass_h,accuratePass_a,possessionPercentage_h,possessionPercentage_a,totalTackle_h,totalTackle_a,wonTackle_h,wonTackle_a,interception_h,interception_a,totalClearance_h,totalClearance_a,effectiveClearance_h,effectiveClearance_a,blockedPass_h,blockedPass_a,outfielderBlock_h,outfielderBlock_a,errorLeadToShot_h,errorLeadToShot_a,errorLeadToGoal_h,errorLeadToGoal_a,challengeLost_h,challengeLost_a,dispossessed_h,dispossessed_a,possLostAll_h,possLostAll_a,saves_h,saves_a,goalsConceded_h,goalsConceded_a,cleanSheet_h,cleanSheet_a,ownGoals_h,ownGoals_a,duelWon_h,duelWon_a,duelLost_h,duelLost_a,aerialWon_h,aerialWon_a,aerialLost_h,aerialLost_a,cornerTaken_h,cornerTaken_a,wonCorners_h,wonCorners_a,attSetpiece_h,attSetpiece_a,fkFoulLost_h,fkFoulLost_a,fkFoulWon_h,fkFoulWon_a,yellowCard_h,yellowCard_a,redCard_h,redCard_a,penaltyWon_h,penaltyWon_a,attPenGoal_h,attPenGoal_a,totalOffside_h,totalOffside_a,touchesInOppBox_h,touchesInOppBox_a
2014-15,755313,2,2014-08-23 12:45:00,"Villa Park, Birmingham",30267,Aston Villa,Newcastle,0,0,0,0,D,D,0,0,0,0,0,1,1,0,,,10.0,11.0,,4.0,6.0,5.0,4.0,2.0,,2.0,,,,2.0,,,,,6.0,11.0,3.0,6.0,17.0,30.0,57.0,63.0,348.0,535.0,270.0,445.0,40.4,59.6,17.0,12.0,13.0,8.0,11.0,10.0,29.0,23.0,29.0,23.0,6.0,6.0,2.0,4.0,,1.0,,,6.0,8.0,7.0,7.0,130.0,136.0,4.0,,,,1.0,1.0,,,49.0,45.0,45.0,49.0,17.0,17.0,17.0,17.0,7.0,7.0,7.0,7.0,1.0,1.0,11.0,8.0,8.0,10.0,0.0,0.0,0.0,0.0,,,,,4.0,,,
2014-15,755314,2,2014-08-23 15:00:00,"Stamford Bridge, London",41604,Chelsea,Leicester,2,0,0,2,W,L,0,0,0,0,0,0,0,0,2.0,,27.0,6.0,10.0,4.0,9.0,,8.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,21.0,6.0,13.0,6.0,20.0,11.0,55.0,74.0,530.0,295.0,464.0,210.0,63.3,36.7,23.0,28.0,18.0,18.0,5.0,15.0,42.0,26.0,42.0,26.0,8.0,8.0,2.0,8.0,1.0,,,,6.0,22.0,10.0,9.0,124.0,150.0,4.0,8.0,,2.0,1.0,,,,82.0,60.0,60.0,82.0,27.0,15.0,15.0,27.0,8.0,7.0,8.0,7.0,1.0,,11.0,11.0,10.0,11.0,0.0,0.0,0.0,0.0,,,,,2.0,2.0,,
2014-15,755315,2,2014-08-23 15:00:00,"Selhurst Park, London",24242,Crystal Palace,West Ham,1,3,3,1,L,W,0,2,2,0,0,0,0,0,1.0,3.0,9.0,17.0,4.0,8.0,3.0,4.0,2.0,5.0,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,8.0,14.0,6.0,10.0,17.0,14.0,71.0,64.0,378.0,454.0,275.0,355.0,45.9,54.1,29.0,23.0,26.0,17.0,13.0,15.0,23.0,36.0,23.0,36.0,17.0,16.0,5.0,2.0,1.0,,1.0,,6.0,7.0,10.0,20.0,164.0,155.0,5.0,3.0,3.0,1.0,,,,,73.0,68.0,68.0,73.0,27.0,25.0,25.0,27.0,6.0,9.0,6.0,9.0,2.0,2.0,14.0,11.0,11.0,14.0,0.0,0.0,0.0,0.0,,,,,1.0,3.0,,
2014-15,755316,2,2014-08-23 17:30:00,"Goodison Park, Liverpool",39490,Everton,Arsenal,2,2,2,2,D,D,2,0,0,2,0,0,0,0,2.0,2.0,8.0,13.0,2.0,3.0,4.0,9.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,,2.0,2.0,6.0,10.0,4.0,3.0,11.0,27.0,62.0,63.0,445.0,527.0,356.0,448.0,45.8,54.2,19.0,15.0,15.0,11.0,13.0,19.0,33.0,28.0,33.0,28.0,19.0,19.0,1.0,2.0,1.0,1.0,,,7.0,7.0,6.0,5.0,126.0,131.0,1.0,,2.0,2.0,,,,,52.0,42.0,42.0,52.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,3.0,1.0,1.0,10.0,18.0,17.0,10.0,0.0,0.0,0.0,0.0,,,,,2.0,,,
2014-15,755317,2,2014-08-24 13:30:00,"The MKM Stadium, Hull",24348,Hull,Stoke,1,1,1,1,D,D,1,0,0,1,1,0,0,1,1.0,1.0,9.0,19.0,2.0,3.0,3.0,11.0,4.0,5.0,,,1.0,1.0,,1.0,,1.0,,,5.0,10.0,4.0,5.0,12.0,37.0,58.0,78.0,378.0,501.0,279.0,420.0,42.7,57.3,19.0,16.0,17.0,13.0,11.0,13.0,39.0,47.0,39.0,47.0,16.0,16.0,5.0,4.0,,,,,7.0,7.0,11.0,9.0,144.0,141.0,2.0,1.0,1.0,1.0,,,,,58.0,59.0,59.0,58.0,22.0,29.0,29.0,22.0,4.0,5.0,4.0,5.0,1.0,2.0,10.0,10.0,10.0,9.0,0.0,0.0,0.0,0.0,,,,,,2.0,,
2014-15,755318,2,2014-08-25 20:00:00,"Etihad Stadium, Manchester",45471,Man City,Liverpool,3,1,1,3,W,L,1,0,0,1,0,0,0,0,3.0,1.0,9.0,11.0,4.0,3.0,4.0,4.0,1.0,4.0,2.0,1.0,3.0,,,2.0,,,2.0,,7.0,9.0,3.0,5.0,14.0,22.0,54.0,57.0,586.0,508.0,506.0,441.0,52.9,47.1,16.0,17.0,12.0,14.0,10.0,13.0,25.0,20.0,25.0,20.0,24.0,24.0,4.0,1.0,1.0,,,1.0,9.0,4.0,13.0,5.0,118.0,117.0,3.0,1.0,1.0,3.0,,,1.0,,34.0,46.0,46.0,34.0,7.0,8.0,8.0,7.0,6.0,7.0,6.0,7.0,,,13.0,7.0,7.0,13.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,
2014-15,755319,2,2014-08-23 15:00:00,"St. Mary's Stadium, Southampton",27598,Southampton,West Brom,0,0,0,0,D,D,0,0,0,0,0,0,0,0,,,9.0,8.0,2.0,2.0,5.0,4.0,2.0,2.0,,1.0,,,,1.0,1.0,,,,8.0,5.0,4.0,2.0,17.0,11.0,77.0,58.0,507.0,368.0,412.0,276.0,57.6,42.4,22.0,19.0,16.0,16.0,14.0,17.0,13.0,17.0,13.0,17.0,16.0,17.0,2.0,2.0,,1.0,,,5.0,3.0,15.0,20.0,148.0,149.0,2.0,2.0,,,1.0,1.0,,,54.0,45.0,45.0,54.0,15.0,9.0,9.0,15.0,1.0,5.0,1.0,5.0,,1.0,14.0,15.0,15.0,14.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,
2014-15,755320,2,2014-08-24 16:00:00,"Stadium of Light, Sunderland",43217,Sunderland,Man Utd,1,1,1,1,D,D,1,1,1,1,0,0,0,0,1.0,1.0,11.0,10.0,3.0,3.0,6.0,4.0,2.0,3.0,,1.0,,1.0,,1.0,,,1.0,,10.0,6.0,5.0,3.0,11.0,17.0,32.0,54.0,431.0,544.0,363.0,480.0,44.7,55.3,17.0,23.0,13.0,18.0,9.0,18.0,22.0,24.0,22.0,24.0,15.0,15.0,3.0,2.0,1.0,2.0,,,13.0,12.0,15.0,8.0,116.0,111.0,2.0,2.0,1.0,1.0,,,,,53.0,58.0,58.0,53.0,10.0,12.0,12.0,10.0,4.0,4.0,4.0,4.0,1.0,,10.0,15.0,14.0,10.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,
2014-15,755321,2,2014-08-23 15:00:00,"Swansea.com Stadium, Swansea",20565,Swansea,Burnley,1,0,0,1,W,L,1,0,0,1,0,0,0,0,1.0,,10.0,12.0,5.0,1.0,3.0,6.0,2.0,5.0,1.0,1.0,,,1.0,1.0,,,1.0,,6.0,7.0,6.0,3.0,12.0,25.0,54.0,79.0,558.0,445.0,479.0,353.0,55.4,44.6,16.0,19.0,11.0,15.0,11.0,13.0,39.0,23.0,39.0,23.0,15.0,14.0,5.0,3.0,2.0,1.0,,1.0,3.0,6.0,6.0,13.0,129.0,145.0,1.0,3.0,,1.0,1.0,,,,52.0,55.0,55.0,52.0,19.0,22.0,22.0,19.0,2.0,3.0,2.0,3.0,3.0,2.0,14.0,13.0,12.0,13.0,0.0,0.0,0.0,0.0,,,,,3.0,1.0,,
2014-15,755322,2,2014-08-24 13:30:00,"White Hart Lane, London",36109,Spurs,QPR,4,0,0,4,W,L,3,0,0,3,0,0,0,0,4.0,,18.0,9.0,5.0,1.0,6.0,7.0,7.0,1.0,3.0,2.0,3.0,,,2.0,1.0,,4.0,,14.0,6.0,10.0,1.0,18.0,7.0,58.0,41.0,686.0,347.0,619.0,279.0,65.5,34.5,24.0,24.0,19.0,13.0,17.0,18.0,15.0,22.0,15.0,22.0,13.0,13.0,1.0,7.0,1.0,3.0,,,3.0,15.0,9.0,9.0,125.0,129.0,1.0,1.0,,4.0,1.0,,,,52.0,46.0,46.0,52.0,7.0,9.0,9.0,7.0,7.0,6.0,7.0,6.0,1.0,,12.0,6.0,6.0,11.0,0.0,0.0,0.0,0.0,,,,,1.0,4.0,,
2014-15,755323,3,2014-08-31 13:30:00,"Villa Park, Birmingham",28336,Aston Villa,Hull,2,1,1,2,W,L,2,0,0,2,0,0,0,0,2.0,1.0,11.0,9.0,4.0,3.0,6.0,3.0,1.0,3.0,,,,,,,2.0,,2.0,1.0,7.0,7.0,3.0,4.0,16.0,28.0,55.0,68.0,449.0,543.0,345.0,466.0,44.8,55.2,12.0,13.0,8.0,11.0,8.0,18.0,25.0,37.0,25.0,37.0,9.0,9.0,3.0,1.0,,1.0,,,3.0,5.0,10.0,7.0,132.0,131.0,2.0,2.0,1.0,2.0,,,,,41.0,42.0,42.0,41.0,15.0,17.0,17.0,15.0,3.0,7.0,3.0,7.0,1.0,1.0,9.0,10.0,10.0,9.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,,
2014-15,755324,3,2014-08-30 12:45:00,"Turf Moor, Burnley",21099,Burnley,Man Utd,0,0,0,0,D,D,0,0,0,0,0,0,0,0,,,9.0,7.0,3.0,2.0,4.0,3.0,2.0,2.0,,,,,,,1.0,,,,5.0,6.0,3.0,3.0,17.0,17.0,83.0,68.0,313.0,553.0,213.0,451.0,36.0,64.0,19.0,21.0,12.0,16.0,12.0,22.0,35.0,30.0,35.0,30.0,17.0,17.0,3.0,2.0,,1.0,,,12.0,4.0,11.0,9.0,153.0,155.0,1.0,3.0,,,1.0,1.0,,,58.0,55.0,55.0,58.0,22.0,15.0,15.0,22.0,3.0,6.0,3.0,6.0,2.0,,10.0,14.0,14.0,9.0,0.0,0.0,0.0,0.0,,,,,2.0,1.0,,
2014-15,755325,3,2014-08-30 17:30:00,"Goodison Park, Liverpool",39402,Everton,Chelsea,3,6,6,3,L,W,1,2,2,1,0,0,0,0,3.0,6.0,16.0,12.0,6.0,8.0,4.0,1.0,6.0,3.0,3.0,4.0,1.0,3.0,2.0,1.0,2.0,,3.0,5.0,14.0,11.0,10.0,10.0,40.0,25.0,75.0,48.0,551.0,355.0,474.0,258.0,61.5,38.5,16.0,30.0,15.0,25.0,10.0,15.0,22.0,31.0,22.0,31.0,15.0,15.0,3.0,6.0,1.0,1.0,2.0,,9.0,13.0,17.0,6.0,158.0,138.0,3.0,3.0,6.0,3.0,,,1.0,,60.0,56.0,56.0,60.0,15.0,10.0,10.0,15.0,8.0,2.0,8.0,2.0,1.0,,7.0,16.0,16.0,7.0,0.0,0.0,0.0,0.0,,,,,8.0,1.0,,
2014-15,755326,3,2014-08-31 16:00:00,"King Power Stadium, Leicester",31535,Leicester,Arsenal,1,1,1,1,D,D,1,1,1,1,0,0,0,0,1.0,1.0,9.0,24.0,3.0,6.0,4.0,5.0,2.0,13.0,1.0,3.0,,1.0,1.0,3.0,,,1.0,,9.0,19.0,5.0,15.0,16.0,26.0,53.0,102.0,307.0,690.0,230.0,613.0,31.7,68.3,27.0,18.0,22.0,14.0,14.0,9.0,32.0,31.0,32.0,31.0,21.0,21.0,13.0,2.0,1.0,,,,12.0,13.0,13.0,14.0,129.0,142.0,5.0,2.0,1.0,1.0,,,,,54.0,68.0,68.0,54.0,10.0,26.0,26.0,10.0,5.0,10.0,5.0,10.0,,1.0,14.0,5.0,4.0,14.0,0.0,0.0,0.0,0.0,,,,,3.0,3.0,,
2014-15,755327,3,2014-08-30 15:00:00,"Etihad Stadium, Manchester",45622,Man City,Stoke,0,1,1,0,L,W,0,0,0,0,0,0,0,0,,1.0,16.0,7.0,2.0,2.0,5.0,4.0,9.0,1.0,,,,,,,1.0,,,1.0,14.0,7.0,9.0,3.0,30.0,16.0,62.0,45.0,668.0,240.0,587.0,169.0,72.2,27.8,14.0,24.0,10.0,14.0,15.0,28.0,14.0,36.0,14.0,36.0,10.0,11.0,1.0,9.0,,,1.0,,13.0,11.0,17.0,7.0,134.0,121.0,1.0,2.0,1.0,,,1.0,,,42.0,67.0,67.0,42.0,13.0,17.0,17.0,13.0,11.0,4.0,11.0,4.0,,,14.0,5.0,4.0,13.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,,
2014-15,755328,3,2014-08-30 15:00:00,"St. James' Park, Newcastle",49226,Newcastle,Crystal Palace,3,3,3,3,D,D,1,1,1,1,0,0,0,0,3.0,3.0,18.0,12.0,4.0,7.0,10.0,4.0,4.0,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,11.0,9.0,4.0,6.0,32.0,14.0,52.0,47.0,477.0,268.0,401.0,179.0,64.3,35.7,18.0,20.0,12.0,15.0,11.0,12.0,15.0,48.0,15.0,48.0,15.0,16.0,1.0,4.0,,,,,12.0,11.0,13.0,9.0,143.0,140.0,4.0,1.0,3.0,3.0,,,,,72.0,70.0,70.0,72.0,25.0,28.0,28.0,25.0,11.0,4.0,11.0,4.0,2.0,1.0,12.0,19.0,19.0,10.0,0.0,0.0,0.0,0.0,,,,,,2.0,,
2014-15,755329,3,2014-08-30 15:00:00,"MATRADE Loftus Road, London",17930,QPR,Sunderland,1,0,0,1,W,L,1,0,0,1,0,0,0,0,1.0,,18.0,16.0,5.0,6.0,7.0,5.0,6.0,5.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,16.0,12.0,9.0,8.0,25.0,23.0,52.0,63.0,328.0,510.0,253.0,442.0,39.7,60.3,23.0,21.0,16.0,13.0,11.0,9.0,32.0,25.0,32.0,25.0,20.0,20.0,5.0,7.0,,1.0,,,9.0,10.0,9.0,11.0,122.0,127.0,6.0,3.0,,1.0,1.0,,,,54.0,55.0,55.0,54.0,13.0,17.0,17.0,13.0,4.0,6.0,4.0,6.0,1.0,,8.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
2014-15,755330,3,2014-08-30 15:00:00,"Swansea.com Stadium, Swansea",20318,Swansea,West Brom,3,0,0,3,W,L,2,0,0,2,0,0,0,0,3.0,,15.0,16.0,8.0,2.0,7.0,7.0,,7.0,3.0,1.0,2.0,,1.0,1.0,,1.0,2.0,,10.0,11.0,5.0,7.0,10.0,16.0,40.0,57.0,573.0,441.0,510.0,366.0,55.9,44.1,16.0,21.0,9.0,14.0,19.0,15.0,29.0,8.0,29.0,8.0,20.0,20.0,7.0,1.0,1.0,,,2.0,3.0,8.0,13.0,12.0,107.0,127.0,2.0,4.0,,3.0,1.0,,,,42.0,43.0,43.0,42.0,12.0,10.0,10.0,12.0,,7.0,,7.0,2.0,3.0,10.0,8.0,6.0,9.0,0.0,0.0,0.0,0.0,,,,,2.0,1.0,,
2014-15,755331,3,2014-08-31 13:30:00,"White Hart Lane, London",36130,Spurs,Liverpool,0,3,3,0,L,W,0,1,1,0,0,0,0,0,,3.0,7.0,17.0,1.0,8.0,4.0,8.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,,1.0,6.0,11.0,2.0,6.0,21.0,12.0,69.0,55.0,559.0,370.0,478.0,283.0,60.4,39.6,17.0,28.0,15.0,24.0,16.0,14.0,16.0,45.0,16.0,45.0,15.0,15.0,1.0,2.0,1.0,,1.0,,8.0,10.0,15.0,11.0,164.0,127.0,5.0,1.0,3.0,,,1.0,,,51.0,52.0,52.0,51.0,13.0,4.0,4.0,13.0,7.0,3.0,7.0,3.0,,1.0,14.0,11.0,11.0,12.0,0.0,0.0,0.0,0.0,,1.0,,1.0,3.0,1.0,,
