season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,punches,redCard,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,wonContest,wonCorners,wonTackle,yellowCard,attPenTarget,backwardPass,bigChanceCreated,bigChanceMissed,bigChanceScored,fwdPass,goalFastbreak,leftsidePass,overrun,penaltySave,rightsidePass,unsuccessfulTouch,attOneOnOne,contentiousDecision,keeperGoals,ptsGainedLosingPos,subsGoals,winningGoal,attLgRight,attemptedTackleFoul,blockedPass,putThrough,successfulPutThrough,attLgLeft,secondYellow,attPenMiss,attPenPost,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,successfulFiftyFifty,expectedGoalsFreekick,totalDistance
2009-10,284105,11,2009-10-31 15:00:00,54,Fulham,Home,137.0,17.0,,3.0,3.0,4.0,,128.0,,,3.0,9.0,21.0,26.0,262.0,,1.0,17.0,9.0,15.0,4.0,1.0,,,,,,,1.0,,,,,,,,,,2.0,1.0,9.0,,,49.0,1.0,3.0,6.0,,2.0,6.0,3.0,,15.0,,41.0,52.0,1.0,16.0,8.0,,,61.0,10.0,13.0,2.0,,,,1.0,3.0,,3.0,3.0,,3.0,,1.0,,18.0,,20.0,20.0,1.0,3.0,87.0,54.0,2.0,1.0,2.0,6.0,6.0,,4.0,,30.0,46.0,17.0,,,,,144.0,128.0,2.0,27.0,12.0,35.8,,,2.0,0.0,,,,,,4.0,,3.0,56.0,,8.0,164.0,29.0,32.0,6.0,1.0,10.0,9.0,,100.0,13.0,202.0,1.0,,35.0,23.0,55.0,3.0,356.0,2.0,0.0,13.0,19.0,3.0,22.0,1.0,575.0,,5.0,2.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284118,12,2009-11-08 15:00:00,54,Fulham,Away,117.0,8.0,1.0,5.0,4.0,6.0,,137.0,3.0,,4.0,10.0,17.0,14.0,249.0,,1.0,15.0,12.0,9.0,4.0,2.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,,2.0,10.0,12.0,,,41.0,3.0,1.0,10.0,,6.0,4.0,9.0,,12.0,5.0,57.0,47.0,3.0,23.0,9.0,,,50.0,15.0,15.0,,,,,1.0,,,,,,8.0,,1.0,,16.0,1.0,23.0,23.0,1.0,4.0,76.0,40.0,10.0,1.0,4.0,2.0,4.0,,6.0,,27.0,54.0,26.0,,,,1.0,139.0,128.0,2.0,16.0,12.0,42.5,1.0,,2.0,0.0,4.0,4.0,,,,6.0,1.0,2.0,55.0,,6.0,133.0,15.0,34.0,11.0,5.0,22.0,17.0,,94.0,9.0,216.0,1.0,,32.0,24.0,39.0,5.0,327.0,,0.0,11.0,20.0,3.0,18.0,1.0,566.0,,3.0,6.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284120,13,2009-11-21 15:00:00,54,Fulham,Away,189.0,25.0,1.0,6.0,5.0,9.0,,222.0,3.0,,3.0,16.0,26.0,36.0,405.0,,,35.0,14.0,25.0,11.0,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,63.0,2.0,5.0,7.0,,5.0,12.0,12.0,,11.0,,46.0,52.0,2.0,19.0,10.0,,,98.0,13.0,7.0,,,,,,,,,,,8.0,,2.0,4.0,19.0,,10.0,10.0,,4.0,113.0,64.0,,,7.0,5.0,2.0,,,,61.0,79.0,37.0,,,,,205.0,189.0,2.0,30.0,21.0,66.0,,,,0.0,1.0,,,1.0,,7.0,,2.0,102.0,,12.0,218.0,57.0,35.0,9.0,5.0,30.0,25.0,,180.0,26.0,353.0,3.0,,35.0,30.0,70.0,1.0,541.0,,0.0,14.0,16.0,2.0,41.0,0.0,805.0,,4.0,7.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284134,14,2009-11-28 15:00:00,54,Fulham,Home,213.0,16.0,3.0,6.0,3.0,10.0,,241.0,2.0,,,7.0,24.0,26.0,448.0,,1.0,37.0,32.0,18.0,8.0,2.0,,,,,,,2.0,,1.0,,,,,,,,2.0,3.0,2.0,,,59.0,4.0,7.0,6.0,,8.0,7.0,10.0,,6.0,,60.0,56.0,4.0,17.0,6.0,,,91.0,8.0,19.0,,,,,2.0,1.0,,,1.0,,4.0,,1.0,2.0,12.0,,20.0,20.0,1.0,,100.0,49.0,5.0,1.0,4.0,7.0,5.0,,2.0,,58.0,93.0,35.0,,,,,193.0,181.0,2.0,28.0,22.0,63.6,,,1.0,0.0,,,,1.0,,6.0,1.0,2.0,112.0,,11.0,241.0,45.0,29.0,12.0,7.0,27.0,20.0,,188.0,20.0,374.0,1.0,,41.0,27.0,61.0,1.0,588.0,1.0,0.0,18.0,17.0,4.0,38.0,1.0,851.0,,2.0,8.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284144,15,2009-12-06 15:00:00,54,Fulham,Home,84.0,22.0,1.0,6.0,5.0,12.0,,141.0,3.0,1.0,3.0,14.0,20.0,29.0,219.0,,1.0,31.0,11.0,17.0,11.0,,,,,1.0,,,3.0,,,,,,,1.0,,,2.0,4.0,4.0,,,62.0,4.0,3.0,5.0,,4.0,6.0,5.0,,10.0,3.0,38.0,48.0,4.0,24.0,11.0,,1.0,84.0,10.0,14.0,1.0,,,,3.0,1.0,,1.0,1.0,,8.0,,6.0,2.0,22.0,1.0,19.0,19.0,1.0,3.0,109.0,45.0,8.0,,9.0,3.0,2.0,,1.0,,49.0,71.0,30.0,,,,,187.0,163.0,,22.0,21.0,46.8,1.0,,2.0,0.0,2.0,2.0,,1.0,,11.0,,2.0,75.0,,12.0,103.0,41.0,48.0,8.0,2.0,15.0,13.0,,140.0,26.0,260.0,6.0,1.0,36.0,24.0,69.0,2.0,348.0,1.0,0.0,16.0,13.0,3.0,35.0,1.0,625.0,,4.0,4.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284152,16,2009-12-12 15:00:00,54,Fulham,Away,135.0,20.0,1.0,4.0,3.0,12.0,,181.0,4.0,,3.0,11.0,27.0,24.0,312.0,,3.0,28.0,23.0,19.0,8.0,1.0,1.0,1.0,,,,,,,,,,7.0,,,,,3.0,6.0,8.0,9.0,3.0,75.0,7.0,1.0,4.0,,4.0,8.0,7.0,,8.0,2.0,48.0,60.0,7.0,19.0,8.0,,1.0,61.0,9.0,13.0,1.0,,3.0,3.0,,1.0,1.0,1.0,,1.0,8.0,,,1.0,19.0,,21.0,21.0,,3.0,117.0,61.0,7.0,,4.0,6.0,6.0,418.0,3.0,,32.0,80.0,33.0,,,,,184.0,164.0,1.0,26.0,37.0,50.5,,2.0,,0.0,2.0,4.0,6.0,3.0,1.0,5.0,,1.0,68.0,300.0,10.0,156.0,46.0,39.0,10.0,4.0,22.0,18.0,1.0,124.0,21.0,307.0,1.0,,36.0,32.0,54.0,1.0,441.0,,0.0,12.0,23.0,7.0,31.0,2.0,674.0,17.0,5.0,4.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284165,17,2010-01-05 19:45:00,54,Fulham,Away,165.0,21.0,2.0,4.0,2.0,5.0,,134.0,4.0,1.0,5.0,8.0,24.0,38.0,295.0,,1.0,32.0,19.0,9.0,11.0,2.0,,,,2.0,,,2.0,,,,1.0,,,,,,,13.0,2.0,,,52.0,3.0,10.0,6.0,2.0,10.0,5.0,3.0,,13.0,2.0,51.0,38.0,3.0,16.0,7.0,,,72.0,9.0,13.0,,,,,2.0,2.0,,2.0,2.0,,7.0,,1.0,2.0,13.0,,15.0,15.0,1.0,5.0,103.0,47.0,8.0,2.0,4.0,11.0,4.0,,5.0,,49.0,44.0,23.0,,,,,193.0,177.0,,25.0,19.0,57.8,,,,0.0,4.0,1.0,,3.0,,6.0,,3.0,48.0,,15.0,194.0,53.0,32.0,8.0,9.0,18.0,9.0,,106.0,16.0,252.0,1.0,1.0,34.0,25.0,75.0,1.0,428.0,1.0,0.0,20.0,14.0,2.0,39.0,0.0,683.0,,2.0,10.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284174,18,2009-12-19 15:00:00,54,Fulham,Home,156.0,17.0,,8.0,8.0,9.0,,186.0,6.0,,4.0,12.0,17.0,23.0,334.0,,1.0,13.0,10.0,13.0,6.0,1.0,,,,,,,,,,,,,,,,,1.0,4.0,12.0,,,58.0,3.0,2.0,8.0,,5.0,10.0,4.0,,22.0,,54.0,44.0,3.0,18.0,9.0,,,69.0,10.0,9.0,1.0,,,,,2.0,,2.0,2.0,,12.0,,1.0,,22.0,,31.0,31.0,1.0,4.0,105.0,62.0,2.0,2.0,3.0,6.0,6.0,,2.0,,27.0,79.0,24.0,,,,,175.0,148.0,4.0,24.0,17.0,41.6,,,,0.0,1.0,1.0,,,,3.0,1.0,3.0,95.0,,9.0,175.0,21.0,45.0,6.0,4.0,21.0,17.0,,139.0,18.0,275.0,1.0,,33.0,20.0,49.0,3.0,429.0,1.0,0.0,11.0,20.0,1.0,18.0,0.0,708.0,,2.0,5.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284183,19,2009-12-26 13:00:00,54,Fulham,Home,152.0,24.0,1.0,8.0,7.0,3.0,,177.0,5.0,,2.0,14.0,21.0,28.0,321.0,,1.0,19.0,18.0,11.0,9.0,3.0,,,,,1.0,,1.0,,,,,,,1.0,,,3.0,3.0,6.0,,,57.0,1.0,1.0,3.0,,4.0,3.0,6.0,,9.0,1.0,58.0,49.0,1.0,15.0,7.0,,,76.0,19.0,12.0,,,,,1.0,,,,,,8.0,,1.0,,14.0,1.0,21.0,21.0,2.0,2.0,93.0,48.0,2.0,,7.0,5.0,6.0,,2.0,,21.0,72.0,26.0,,,,,169.0,150.0,1.0,30.0,20.0,51.3,1.0,,,0.0,,2.0,,,,9.0,,,79.0,,12.0,179.0,44.0,34.0,16.0,4.0,16.0,12.0,,133.0,13.0,269.0,1.0,,39.0,23.0,57.0,1.0,432.0,,0.0,16.0,19.0,2.0,28.0,1.0,689.0,,7.0,4.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284193,20,2009-12-28 15:00:00,54,Fulham,Away,97.0,12.0,1.0,3.0,2.0,9.0,,99.0,5.0,1.0,3.0,10.0,13.0,20.0,193.0,,,21.0,11.0,9.0,1.0,2.0,,,,,,,,1.0,,,,3.0,,,,,1.0,11.0,12.0,,,56.0,6.0,2.0,8.0,,6.0,9.0,5.0,,10.0,4.0,49.0,47.0,6.0,29.0,12.0,,,48.0,15.0,12.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,11.0,1.0,1.0,1.0,23.0,,17.0,17.0,4.0,3.0,69.0,25.0,10.0,1.0,,4.0,3.0,,7.0,1.0,31.0,69.0,17.0,,,,,167.0,143.0,,28.0,16.0,34.6,,,1.0,0.0,4.0,2.0,,3.0,,,1.0,3.0,42.0,,4.0,122.0,26.0,53.0,6.0,6.0,21.0,15.0,,80.0,13.0,187.0,1.0,1.0,32.0,16.0,49.0,3.0,288.0,,0.0,5.0,26.0,,25.0,1.0,516.0,,,6.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
