season,matchId,gameweek,kickoff,ground,attendance,home_team,away_team,goalsFor_h,goalsFor_a,goalsAgainst_h,goalsAgainst_a,result_h,result_a,halfTimeFor_h,halfTimeFor_a,halfTimeAgainst_h,halfTimeAgainst_a,redCardsFor_h,redCardsFor_a,redCardsAgainst_h,redCardsAgainst_a,goals_h,goals_a,totalScoringAtt_h,totalScoringAtt_a,ontargetScoringAtt_h,ontargetScoringAtt_a,shotOffTarget_h,shotOffTarget_a,blockedScoringAtt_h,blockedScoringAtt_a,bigChanceCreated_h,bigChanceCreated_a,bigChanceScored_h,bigChanceScored_a,bigChanceMissed_h,bigChanceMissed_a,hitWoodwork_h,hitWoodwork_a,goalAssist_h,goalAssist_a,totalAttAssist_h,totalAttAssist_a,ontargetAttAssist_h,ontargetAttAssist_a,penAreaEntries_h,penAreaEntries_a,finalThirdEntries_h,finalThirdEntries_a,totalPass_h,totalPass_a,accuratePass_h,accuratePass_a,possessionPercentage_h,possessionPercentage_a,touchesInOppBox_h,touchesInOppBox_a,totalTackle_h,totalTackle_a,wonTackle_h,wonTackle_a,interception_h,interception_a,totalClearance_h,totalClearance_a,effectiveClearance_h,effectiveClearance_a,blockedPass_h,blockedPass_a,outfielderBlock_h,outfielderBlock_a,errorLeadToShot_h,errorLeadToShot_a,errorLeadToGoal_h,errorLeadToGoal_a,challengeLost_h,challengeLost_a,dispossessed_h,dispossessed_a,possLostAll_h,possLostAll_a,saves_h,saves_a,goalsConceded_h,goalsConceded_a,cleanSheet_h,cleanSheet_a,ownGoals_h,ownGoals_a,duelWon_h,duelWon_a,duelLost_h,duelLost_a,aerialWon_h,aerialWon_a,aerialLost_h,aerialLost_a,cornerTaken_h,cornerTaken_a,wonCorners_h,wonCorners_a,attSetpiece_h,attSetpiece_a,fkFoulLost_h,fkFoulLost_a,fkFoulWon_h,fkFoulWon_a,yellowCard_h,yellowCard_a,redCard_h,redCard_a,penaltyWon_h,penaltyWon_a,attPenGoal_h,attPenGoal_a,totalOffside_h,totalOffside_a,expectedGoals_h,expectedGoals_a,expectedGoalsOnTarget_h,expectedGoalsOnTarget_a,expectedAssists_h,expectedAssists_a,expectedGoalsOnTargetConceded_h,expectedGoalsOnTargetConceded_a
2023-24,2367550,2,2023-08-19 15:00:00,"Craven Cottage, London",24236.0,Fulham,Brentford,0,3,3,0,L,W,0,1,1,0,1,0,0,1,,3.0,10.0,17.0,2.0,8.0,4.0,7.0,4.0,2.0,,2.0,,3.0,,2.0,1.0,,,1.0,6.0,9.0,5.0,4.0,30.0,34.0,58.0,49.0,474.0,391.0,396.0,325.0,54.6,45.4,20.0,35.0,10.0,13.0,9.0,9.0,3.0,9.0,22.0,25.0,22.0,25.0,5.0,9.0,2.0,3.0,,,1.0,,8.0,8.0,8.0,5.0,118.0,107.0,5.0,2.0,3.0,,,1.0,,,42.0,46.0,46.0,42.0,12.0,12.0,12.0,12.0,5.0,5.0,5.0,5.0,1.0,5.0,13.0,12.0,12.0,13.0,0.0,0.0,0.0,0.0,,1.0,,1.0,1.0,4.0,,,,,,,,
2023-24,2367551,2,2023-08-19 15:00:00,"Anfield, Liverpool",49699.0,Liverpool,Bournemouth,3,1,1,3,W,L,2,1,1,2,1,0,0,1,3.0,1.0,26.0,13.0,10.0,5.0,8.0,7.0,8.0,1.0,,2.0,2.0,,2.0,3.0,1.0,,,1.0,15.0,8.0,8.0,4.0,40.0,19.0,55.0,38.0,600.0,325.0,516.0,236.0,64.7,35.3,40.0,23.0,15.0,18.0,11.0,11.0,11.0,14.0,15.0,28.0,15.0,28.0,13.0,11.0,,8.0,,,1.0,,13.0,17.0,7.0,7.0,137.0,133.0,4.0,8.0,1.0,3.0,,,,,64.0,52.0,52.0,64.0,20.0,11.0,11.0,20.0,10.0,2.0,10.0,2.0,1.0,,11.0,13.0,13.0,10.0,0.0,0.0,0.0,0.0,1.0,,,,,3.0,,,,,,,,
2023-24,2367552,2,2023-10-03 19:30:00,"Kenilworth Road, Luton",10918.0,Luton,Burnley,1,2,2,1,L,W,0,1,1,0,0,0,0,0,1.0,2.0,18.0,14.0,3.0,4.0,10.0,8.0,5.0,2.0,,1.0,,1.0,1.0,,,,1.0,2.0,15.0,9.0,6.0,4.0,42.0,18.0,66.0,65.0,370.0,412.0,254.0,295.0,48.6,51.4,36.0,28.0,14.0,15.0,8.0,9.0,8.0,7.0,14.0,34.0,14.0,34.0,9.0,9.0,2.0,6.0,,,,,8.0,9.0,9.0,6.0,180.0,168.0,2.0,1.0,2.0,1.0,,,,,64.0,59.0,59.0,64.0,35.0,26.0,26.0,35.0,7.0,6.0,7.0,6.0,,2.0,14.0,6.0,6.0,13.0,0.0,0.0,0.0,0.0,,,,,3.0,3.0,,,,,,,,
2023-24,2367553,2,2023-08-19 20:00:00,"Etihad Stadium, Manchester",,Man City,Newcastle,1,0,0,1,W,L,1,0,0,1,0,0,0,0,1.0,,14.0,7.0,4.0,1.0,3.0,2.0,7.0,4.0,,,,,,,,,1.0,,13.0,7.0,10.0,5.0,21.0,14.0,49.0,44.0,684.0,477.0,611.0,412.0,58.7,41.3,22.0,18.0,11.0,10.0,7.0,4.0,4.0,7.0,10.0,11.0,10.0,11.0,6.0,4.0,3.0,7.0,1.0,,,,5.0,14.0,5.0,7.0,103.0,99.0,1.0,3.0,,1.0,1.0,,,,39.0,34.0,34.0,39.0,3.0,6.0,6.0,3.0,3.0,,3.0,,1.0,,13.0,11.0,11.0,13.0,0.0,0.0,0.0,0.0,,,,,1.0,4.0,,,,,,,,
2023-24,2367554,2,2023-08-18 19:45:00,"The City Ground, Nottingham",29432.0,Nott'm Forest,Sheff Utd,2,1,1,2,W,L,1,0,0,1,0,0,0,0,2.0,1.0,16.0,7.0,4.0,3.0,7.0,3.0,5.0,1.0,1.0,,1.0,,,1.0,,,2.0,,13.0,2.0,6.0,,32.0,29.0,52.0,48.0,436.0,437.0,343.0,328.0,49.9,50.1,26.0,20.0,20.0,22.0,11.0,15.0,14.0,17.0,24.0,15.0,24.0,15.0,9.0,7.0,1.0,5.0,1.0,,,,6.0,7.0,6.0,5.0,161.0,166.0,2.0,2.0,1.0,2.0,,,,,66.0,53.0,53.0,66.0,31.0,20.0,20.0,31.0,6.0,7.0,6.0,7.0,1.0,,5.0,9.0,9.0,5.0,0.0,0.0,0.0,0.0,,,,,3.0,2.0,,,,,,,,
2023-24,2367555,2,2023-08-19 17:30:00,"Tottenham Hotspur Stadium, London",61910.0,Spurs,Man Utd,2,0,0,2,W,L,0,0,0,0,0,0,0,0,2.0,,17.0,22.0,6.0,6.0,7.0,7.0,4.0,9.0,2.0,4.0,1.0,,2.0,4.0,2.0,1.0,,,13.0,19.0,6.0,14.0,33.0,33.0,42.0,48.0,502.0,401.0,428.0,332.0,55.7,44.3,40.0,35.0,15.0,22.0,9.0,11.0,5.0,8.0,20.0,17.0,20.0,17.0,9.0,15.0,9.0,3.0,,,,,10.0,14.0,9.0,5.0,128.0,114.0,6.0,5.0,,2.0,1.0,,,1.0,40.0,51.0,51.0,40.0,3.0,10.0,10.0,3.0,5.0,6.0,5.0,6.0,1.0,2.0,9.0,8.0,8.0,9.0,0.0,0.0,0.0,0.0,,,,,1.0,4.0,,,,,,,,
2023-24,2367556,2,2023-08-20 16:30:00,"London Stadium, London",62470.0,West Ham,Chelsea,3,1,1,3,W,L,1,1,1,1,1,0,0,1,3.0,1.0,12.0,17.0,6.0,4.0,3.0,9.0,3.0,4.0,1.0,,2.0,,,1.0,1.0,,2.0,,9.0,11.0,6.0,6.0,19.0,43.0,33.0,61.0,227.0,716.0,157.0,630.0,24.3,75.7,18.0,54.0,14.0,16.0,6.0,11.0,18.0,3.0,27.0,13.0,27.0,13.0,11.0,5.0,4.0,3.0,,1.0,,,15.0,5.0,13.0,8.0,118.0,139.0,3.0,3.0,1.0,3.0,,,,,39.0,62.0,62.0,39.0,11.0,20.0,20.0,11.0,3.0,9.0,3.0,9.0,,1.0,12.0,9.0,9.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,3.0,2.0,,,,,,,,
2023-24,2367557,2,2023-08-19 15:00:00,"Molineux Stadium, Wolverhampton",31317.0,Wolves,Brighton,1,4,4,1,L,W,0,1,1,0,1,0,0,1,1.0,4.0,16.0,16.0,5.0,8.0,6.0,5.0,5.0,3.0,3.0,5.0,,4.0,4.0,1.0,2.0,,1.0,4.0,12.0,15.0,8.0,11.0,24.0,21.0,50.0,44.0,462.0,552.0,389.0,486.0,46.4,53.6,33.0,40.0,20.0,25.0,15.0,17.0,6.0,10.0,6.0,21.0,6.0,21.0,5.0,9.0,3.0,4.0,,,,,13.0,24.0,17.0,10.0,137.0,115.0,4.0,4.0,4.0,1.0,,,,,59.0,57.0,57.0,59.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,2.0,,14.0,11.0,10.0,14.0,0.0,0.0,0.0,0.0,,,,,4.0,7.0,,,,,,,,
2023-24,2367558,3,2023-08-26 12:30:00,"Vitality Stadium, Bournemouth",10567.0,Bournemouth,Spurs,0,2,2,0,L,W,0,1,1,0,0,0,0,0,,2.0,11.0,17.0,3.0,6.0,5.0,7.0,3.0,4.0,,4.0,,2.0,,2.0,,,,2.0,8.0,12.0,5.0,7.0,35.0,27.0,41.0,45.0,391.0,537.0,312.0,477.0,43.1,56.9,27.0,47.0,17.0,22.0,8.0,14.0,8.0,12.0,11.0,27.0,11.0,27.0,10.0,7.0,4.0,3.0,1.0,,,,14.0,14.0,7.0,10.0,140.0,105.0,4.0,3.0,2.0,,,1.0,,,54.0,60.0,60.0,54.0,12.0,8.0,8.0,12.0,6.0,2.0,6.0,2.0,1.0,3.0,18.0,11.0,11.0,16.0,0.0,0.0,0.0,0.0,,,,,3.0,,,,,,,,,
2023-24,2367559,3,2023-08-26 15:00:00,"Emirates Stadium, London",59961.0,Arsenal,Fulham,2,2,2,2,D,D,0,1,1,0,0,1,1,0,2.0,2.0,19.0,8.0,11.0,3.0,5.0,3.0,3.0,2.0,3.0,1.0,2.0,,3.0,1.0,,,1.0,1.0,15.0,4.0,10.0,3.0,58.0,13.0,78.0,29.0,680.0,274.0,614.0,196.0,71.1,28.9,62.0,11.0,14.0,18.0,8.0,10.0,6.0,6.0,10.0,38.0,10.0,38.0,12.0,8.0,2.0,4.0,1.0,,1.0,,1.0,15.0,8.0,9.0,135.0,113.0,1.0,8.0,2.0,2.0,,,,,43.0,38.0,38.0,43.0,9.0,14.0,14.0,9.0,8.0,3.0,8.0,3.0,,1.0,6.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,,1.0,,4.0,1.0,,,,,,,,
2023-24,2367560,3,2023-08-26 15:00:00,"Gtech Community Stadium, Brentford",16997.0,Brentford,Crystal Palace,1,1,1,1,D,D,1,0,0,1,0,0,0,0,1.0,1.0,12.0,15.0,1.0,5.0,4.0,4.0,7.0,6.0,1.0,,,,1.0,1.0,,,1.0,1.0,10.0,11.0,6.0,7.0,32.0,24.0,63.0,32.0,518.0,348.0,439.0,283.0,59.8,40.2,26.0,20.0,9.0,20.0,6.0,9.0,6.0,6.0,9.0,24.0,9.0,24.0,11.0,6.0,6.0,6.0,1.0,,,,17.0,4.0,9.0,4.0,137.0,115.0,4.0,,1.0,1.0,,,,,47.0,63.0,63.0,47.0,20.0,17.0,17.0,20.0,8.0,6.0,8.0,6.0,,,9.0,15.0,15.0,9.0,0.0,0.0,0.0,0.0,,,,,2.0,2.0,,,,,,,,
2023-24,2367561,3,2023-08-26 17:30:00,"American Express Stadium, Falmer",31508.0,Brighton,West Ham,1,3,3,1,L,W,0,1,1,0,0,0,0,0,1.0,3.0,25.0,12.0,10.0,7.0,5.0,4.0,10.0,1.0,1.0,3.0,,2.0,2.0,4.0,1.0,1.0,1.0,2.0,21.0,9.0,17.0,7.0,69.0,18.0,94.0,27.0,749.0,208.0,668.0,141.0,78.0,22.0,68.0,32.0,12.0,15.0,6.0,11.0,6.0,19.0,12.0,42.0,12.0,42.0,9.0,9.0,1.0,10.0,,,1.0,,9.0,7.0,6.0,4.0,144.0,107.0,4.0,9.0,3.0,1.0,,,,,41.0,47.0,47.0,41.0,13.0,13.0,13.0,13.0,17.0,4.0,17.0,4.0,,,10.0,9.0,9.0,10.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,,,,,,,,
2023-24,2367562,3,2023-08-27 14:00:00,"Turf Moor, Burnley",21591.0,Burnley,Aston Villa,1,3,3,1,L,W,0,2,2,0,0,0,0,0,1.0,3.0,9.0,16.0,2.0,6.0,6.0,4.0,1.0,6.0,1.0,4.0,,2.0,1.0,3.0,,,1.0,3.0,9.0,13.0,3.0,10.0,26.0,26.0,66.0,48.0,594.0,454.0,528.0,380.0,56.9,43.1,17.0,28.0,10.0,15.0,4.0,11.0,11.0,6.0,14.0,14.0,14.0,14.0,,5.0,6.0,1.0,1.0,,,,10.0,8.0,9.0,6.0,111.0,107.0,3.0,1.0,3.0,1.0,,,,,35.0,45.0,45.0,35.0,10.0,8.0,8.0,10.0,4.0,6.0,4.0,6.0,,,12.0,11.0,8.0,12.0,0.0,0.0,0.0,0.0,,,,,5.0,1.0,,,,,,,,
2023-24,2367563,3,2023-08-25 20:00:00,"Stamford Bridge, London",39893.0,Chelsea,Luton,3,0,0,3,W,L,1,0,0,1,0,0,0,0,3.0,,19.0,11.0,8.0,1.0,6.0,5.0,5.0,5.0,4.0,,2.0,,3.0,,2.0,,2.0,,14.0,6.0,10.0,3.0,30.0,24.0,44.0,48.0,653.0,306.0,603.0,240.0,67.2,32.8,41.0,17.0,10.0,18.0,6.0,10.0,9.0,5.0,12.0,18.0,12.0,18.0,7.0,2.0,5.0,5.0,,,,,7.0,7.0,11.0,6.0,100.0,100.0,1.0,5.0,,3.0,1.0,,,,42.0,46.0,46.0,42.0,14.0,6.0,6.0,14.0,6.0,4.0,6.0,4.0,2.0,1.0,15.0,12.0,11.0,15.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023-24,2367564,3,2023-08-26 15:00:00,"Goodison Park, Liverpool",38851.0,Everton,Wolves,0,1,1,0,L,W,0,0,0,0,0,0,0,0,,1.0,15.0,11.0,7.0,2.0,6.0,5.0,2.0,4.0,4.0,2.0,,1.0,5.0,1.0,1.0,,,1.0,8.0,8.0,6.0,4.0,39.0,19.0,54.0,51.0,406.0,472.0,333.0,396.0,46.8,53.2,28.0,12.0,26.0,18.0,16.0,10.0,10.0,5.0,7.0,20.0,7.0,20.0,7.0,3.0,4.0,2.0,,,,,5.0,6.0,12.0,13.0,134.0,133.0,2.0,7.0,1.0,,,1.0,,,60.0,42.0,42.0,60.0,14.0,10.0,10.0,14.0,7.0,,7.0,,1.0,1.0,10.0,14.0,14.0,10.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,,,,,,,
