season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385478,25,2,Leeds_United,Home,881931,241519,Weston McKennie,weston-mckennie,M,False,1.0,,3.0,40.0,19.0,58.0,1.0,2.0,8.0,,,,1.0,,,,4.0,4.0,,,0.0996084,0.0717,0.0,1.0,,,,,,,2.0,,90.0,,,,,,,,11.0,,7.3,,,1.0,,,1.0,2.0,,3.0,1.0,47.0,19.0,64.0,1,2.0,77.0,2.0,,,2.0
2022-23,10385478,25,2,Leeds_United,Home,917005,450070,Crysencio Summerville,crysencio-summerville,M,True,,,,7.0,1.0,8.0,,,3.0,,,1.0,1.0,,,2.0,5.0,,,,0.00685028,0.2381,0.0,1.0,,,,,,,,,29.0,,,,,,,,9.0,,6.2,,,1.0,,1.0,1.0,1.0,,,,10.0,1.0,10.0,2,,21.0,3.0,,,
2022-23,10385478,25,2,Leeds_United,Home,946695,463067,Georginio Rutter,georginio-rutter,M,True,,,,5.0,,5.0,,2.0,,,,,,,,3.0,5.0,5.0,,,0.00385044,0.0,0.0,,,,,,,,,,15.0,,,,,,,,11.0,,6.3,,,,,,3.0,,,,,7.0,2.0,9.0,0,2.0,21.0,,,1.0,2.0
2022-23,10385478,25,2,Leeds_United,Home,973431,427637,Brenden Aaronson,brenden-aaronson,M,False,,,,13.0,3.0,16.0,1.0,,1.0,,,1.0,1.0,,,5.0,12.0,4.0,,,0.0309317,0.1665,0.0,1.0,,,,,,,2.0,,75.0,,,,,,,,19.0,,5.9,,,1.0,,,6.0,4.0,,,,20.0,3.0,19.0,2,1.0,44.0,2.0,1.0,2.0,1.0
2022-23,10385478,25,2,Leeds_United,Home,980640,248937,Sam Greenwood,sam-greenwood,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385478,25,2,Leeds_United,Home,1067117,470294,Darko Gyabi,darko-gyabi,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385495,26,2,Leeds_United,Away,800419,200785,Tyler Adams,tyler-adams,M,False,,,2.0,17.0,27.0,44.0,1.0,3.0,6.0,,,,1.0,,,3.0,5.0,7.0,,,0.00890145,0.0337,0.0,,,,,,,4.0,,,90.0,,,,,,,,15.0,,7.0,,,1.0,,1.0,,,,4.0,,21.0,32.0,53.0,1,4.0,74.0,3.0,,,3.0
2022-23,10385495,26,2,Leeds_United,Away,847128,234370,Marc Roca,marc-roca,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385495,26,2,Leeds_United,Away,881931,241519,Weston McKennie,weston-mckennie,M,False,,,4.0,21.0,32.0,53.0,1.0,3.0,9.0,,,,2.0,,,4.0,8.0,7.0,,,0.0232202,0.0316,0.0,1.0,,,,,,,,,90.0,,,,,,,,18.0,,6.5,,,1.0,,1.0,2.0,,,6.0,,29.0,34.0,63.0,1,1.0,79.0,3.0,1.0,2.0,1.0
2022-23,10385495,26,2,Leeds_United,Away,917005,450070,Crysencio Summerville,crysencio-summerville,M,False,,,,13.0,9.0,22.0,1.0,,6.0,,,1.0,,,,2.0,5.0,10.0,,,0.0226249,0.0644,0.0,,,,,,,1.0,,,90.0,,,,,,,,12.0,,6.9,,,,,,6.0,1.0,,1.0,,18.0,9.0,26.0,1,1.0,48.0,1.0,5.0,4.0,1.0
