season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385696,11,54,Fulham,Home,891920,245824,Carlos Vinícius,carlos-vinicius,F,True,,,,,1.0,1.0,,,,,,,,,,,,,,,5.234e-05,0.0,0.0,,,,,,,,,,9.0,,,,,,,,,,,6.5,,,,,,,,,,,,1.0,1.0,0,,2.0,,,,
2022-23,10385708,12,54,Fulham,Home,192144,128389,Aleksandar Mitrović,aleksandar-mitrovic,F,False,,,2.0,8.0,5.0,13.0,3.0,5.0,,1.0,2.0,2.0,1.0,,,2.0,10.0,7.0,,,0.0552885,1.3785,0.8777,2.0,,1.0,,,,,1.0,,84.0,2.0,,,,,,,,12.0,,6.9,,,3.0,,2.0,3.0,,,2.0,,12.0,6.0,18.0,7,1.0,39.0,3.0,,1.0,
2022-23,10385708,12,54,Fulham,Home,891920,245824,Carlos Vinícius,carlos-vinicius,F,True,,,,,,,,,,,,,,,,,1.0,,,,0.0,0.0,0.0,1.0,,,,,,,,,9.0,,,,,,,,,,,6.5,,,,,,,,,,,,,,0,,,,,,
2022-23,10385754,13,54,Fulham,Away,192144,128389,Aleksandar Mitrović,aleksandar-mitrovic,F,False,,,,6.0,7.0,13.0,7.0,6.0,4.0,1.0,,1.0,,,,3.0,11.0,6.0,,1.0,0.00329603,0.3162,0.0923,1.0,,1.0,,,,,1.0,,89.0,1.0,,,,,,,,12.0,,7.2,,,1.0,,,,,,,3.0,12.0,9.0,21.0,3,,34.0,1.0,,,
2022-23,10385754,13,54,Fulham,Away,891920,245824,Carlos Vinícius,carlos-vinicius,F,True,,,,,,,,,,,,,,,,2.0,3.0,,,,0.0,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,1.0,,,,,1.0,,1.0,0,,7.0,,,,
2022-23,10385378,14,54,Fulham,Home,192144,128389,Aleksandar Mitrović,aleksandar-mitrovic,F,False,,,3.0,17.0,4.0,21.0,3.0,5.0,2.0,,,4.0,1.0,,,4.0,13.0,6.0,,,0.111562,0.4992,0.3035,4.0,,,,,,,2.0,,90.0,1.0,,,,,,,,18.0,,6.9,,,5.0,,,1.0,,,4.0,,25.0,5.0,30.0,10,,53.0,4.0,1.0,,
2022-23,10385378,14,54,Fulham,Home,891920,245824,Carlos Vinícius,carlos-vinicius,F,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385385,15,54,Fulham,Away,891920,245824,Carlos Vinícius,carlos-vinicius,F,False,,,,2.0,2.0,4.0,1.0,2.0,,,,,,,,1.0,4.0,2.0,,,0.165402,0.0,0.0,,,,,,,,,,76.0,,,,,,,,,13.0,,6.4,,,,,1.0,2.0,,,,,8.0,4.0,12.0,0,,20.0,2.0,,,
2022-23,10385399,16,54,Fulham,Home,891920,245824,Carlos Vinícius,carlos-vinicius,F,False,,,,4.0,3.0,7.0,11.0,1.0,1.0,,,1.0,,,,1.0,14.0,3.0,,,0.0112786,0.1955,0.0833,2.0,,,,,,,1.0,,90.0,2.0,,,,,,,,13.0,,6.7,,,,,2.0,1.0,2.0,,,,11.0,5.0,14.0,3,,30.0,2.0,2.0,,
2022-23,10385394,17,54,Fulham,Away,192144,128389,Aleksandar Mitrović,aleksandar-mitrovic,F,False,1.0,,,16.0,6.0,21.0,2.0,4.0,3.0,2.0,,1.0,,,,3.0,6.0,9.0,,,0.185347,0.7712,1.2903,1.0,1.0,1.0,,,,,2.0,,85.0,4.0,,,,,,,,9.0,,9.1,,,2.0,,,1.0,1.0,,1.0,1.0,20.0,7.0,26.0,7,,46.0,1.0,4.0,1.0,
2022-23,10385394,17,54,Fulham,Away,891920,245824,Carlos Vinícius,carlos-vinicius,F,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,10.0,,,,,,,,,,,6.5,,,,,,,,,,,,,,0,,1.0,,,,
2022-23,10385407,18,54,Fulham,Home,192144,128389,Aleksandar Mitrović,aleksandar-mitrovic,F,False,,,2.0,15.0,2.0,17.0,2.0,3.0,2.0,,1.0,,,,,2.0,7.0,7.0,,,0.0249148,0.8004,0.9911,2.0,,,,,,,,,90.0,1.0,,,,,1.0,,,13.0,,6.3,,,1.0,,1.0,2.0,,,2.0,,23.0,2.0,25.0,2,1.0,43.0,2.0,2.0,1.0,1.0
2022-23,10385407,18,54,Fulham,Home,891920,245824,Carlos Vinícius,carlos-vinicius,F,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
