season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576212,29,13,Leicester_City,Away,359642,173515,Kelechi Iheanacho,kelechi-iheanacho,F,False,,,,8.0,8.0,16.0,,1.0,2.0,,,,,,1.0,4.0,1.0,,,2.0,,,,,,,,,74.0,1.0,,,,,,,8.0,,6.4,,,,,1.0,1.0,,,,,12.0,8.0,20.0,1,,30.0,2.0,,,
2021-22,9576212,29,13,Leicester_City,Away,824200,219352,Ademola Lookman,ademola-lookman,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576212,29,13,Leicester_City,Away,855647,201666,Harvey Barnes,harvey-barnes,F,False,,,1.0,20.0,3.0,23.0,2.0,1.0,4.0,,1.0,,,,2.0,6.0,1.0,,,,,,,,,,,,90.0,2.0,,,,,,,17.0,,6.0,,,,,,2.0,,,1.0,,27.0,5.0,32.0,2,,43.0,3.0,,,
2021-22,9576212,29,13,Leicester_City,Away,865057,245419,Patson Daka,patson-daka,F,True,,,,,,,1.0,,1.0,,,,,,1.0,5.0,1.0,,,3.0,,,,,,,,,16.0,,,,,,,,3.0,,6.3,,,,,,,,,,,,,,0,,4.0,2.0,1.0,,
2021-22,9576248,30,13,Leicester_City,Home,345195,168580,Ayoze Pérez,ayoze-perez,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576248,30,13,Leicester_City,Home,359642,173515,Kelechi Iheanacho,kelechi-iheanacho,F,False,,,,18.0,4.0,22.0,2.0,,2.0,,1.0,1.0,,,,6.0,3.0,,,2.0,,,,,,1.0,2.0,,86.0,,,,,,,,9.0,,6.5,,,2.0,,,5.0,,,1.0,,21.0,5.0,26.0,3,,41.0,3.0,,3.0,
2021-22,9576248,30,13,Leicester_City,Home,855647,201666,Harvey Barnes,harvey-barnes,F,False,,,,14.0,5.0,19.0,3.0,,5.0,,1.0,,,,,4.0,2.0,,,,1.0,,,,,1.0,1.0,,90.0,,,,,,,,9.0,,6.6,,,1.0,,1.0,1.0,2.0,,,2.0,19.0,6.0,23.0,1,1.0,35.0,2.0,1.0,,1.0
2021-22,9576248,30,13,Leicester_City,Home,865057,245419,Patson Daka,patson-daka,F,True,,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,9.0,,,,,,,,2.0,,6.3,,,,,,1.0,,,,,,1.0,1.0,0,,4.0,1.0,,,
2021-22,9576327,31,13,Leicester_City,Away,345195,168580,Ayoze Pérez,ayoze-perez,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576327,31,13,Leicester_City,Away,359642,173515,Kelechi Iheanacho,kelechi-iheanacho,F,False,,,1.0,18.0,9.0,27.0,1.0,2.0,2.0,,1.0,,2.0,,4.0,9.0,4.0,,,2.0,,1.0,,,,,1.0,,89.0,1.0,,,,,,,8.0,,7.1,,,2.0,,2.0,2.0,,,1.0,,21.0,9.0,30.0,3,,44.0,1.0,,2.0,
2021-22,9576327,31,13,Leicester_City,Away,824200,219352,Ademola Lookman,ademola-lookman,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576327,31,13,Leicester_City,Away,855647,201666,Harvey Barnes,harvey-barnes,F,False,,,,21.0,5.0,26.0,1.0,,2.0,,,2.0,2.0,,2.0,5.0,5.0,,,,,,,,,,1.0,,90.0,,,,,,,,11.0,,6.9,,,4.0,,,4.0,,,,,26.0,7.0,33.0,6,,49.0,1.0,1.0,4.0,
2021-22,9576327,31,13,Leicester_City,Away,865057,245419,Patson Daka,patson-daka,F,True,,,1.0,,2.0,2.0,1.0,,2.0,,,,1.0,,,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,2.0,3.0,0,1.0,5.0,1.0,,,1.0
2021-22,9576452,32,13,Leicester_City,Home,359642,173515,Kelechi Iheanacho,kelechi-iheanacho,F,True,,,,1.0,,1.0,3.0,,1.0,,,,,,1.0,4.0,,,,,,,,,,,,,14.0,,,,,,,,3.0,,6.3,,,,,,,,,,,1.0,,1.0,0,,4.0,2.0,,,
2021-22,9576452,32,13,Leicester_City,Home,824200,219352,Ademola Lookman,ademola-lookman,F,False,,,,10.0,4.0,14.0,2.0,,5.0,,,,1.0,,7.0,11.0,4.0,,,1.0,,1.0,,,,1.0,,,77.0,1.0,,,,,,,16.0,,7.0,,,1.0,,,1.0,,,2.0,,16.0,5.0,21.0,2,3.0,43.0,2.0,,1.0,2.0
2021-22,9576452,32,13,Leicester_City,Home,855647,201666,Harvey Barnes,harvey-barnes,F,True,1.0,,,5.0,,4.0,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,13.0,,,,,,,,1.0,,6.7,,,,,,,1.0,,,,6.0,,5.0,0,,8.0,,,,
2021-22,9576452,32,13,Leicester_City,Home,865057,245419,Patson Daka,patson-daka,F,False,,,1.0,6.0,4.0,10.0,,1.0,1.0,,,1.0,1.0,,1.0,2.0,2.0,,,,,,,,,,,,76.0,,,,,,,,10.0,,6.4,,,,,,,,,1.0,,11.0,5.0,16.0,1,,25.0,3.0,1.0,,
2021-22,9576279,33,13,Leicester_City,Away,345195,168580,Ayoze Pérez,ayoze-perez,F,False,1.0,,,8.0,6.0,13.0,5.0,1.0,4.0,,,1.0,,,1.0,8.0,3.0,,,1.0,1.0,,,,,,1.0,,60.0,,,,,,,,7.0,,6.6,,,,,,1.0,1.0,,,,12.0,6.0,17.0,1,1.0,29.0,1.0,1.0,,1.0
2021-22,9576279,33,13,Leicester_City,Away,359642,173515,Kelechi Iheanacho,kelechi-iheanacho,F,True,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,12.0,,,,,,,,,,6.6,,,,,,,,,,,,,,1,,3.0,,1.0,,
2021-22,9576279,33,13,Leicester_City,Away,824200,219352,Ademola Lookman,ademola-lookman,F,False,1.0,,,15.0,6.0,20.0,,,4.0,,,,,,1.0,6.0,5.0,,,1.0,,1.0,,,,,3.0,,66.0,1.0,,,,,,,17.0,,7.1,,,,,,6.0,3.0,,1.0,,19.0,7.0,23.0,1,1.0,47.0,7.0,2.0,2.0,
2021-22,9576279,33,13,Leicester_City,Away,855647,201666,Harvey Barnes,harvey-barnes,F,True,,,,9.0,,9.0,,,1.0,,,,1.0,,,2.0,3.0,,,,,,,,,,,,24.0,,,,,,,,4.0,,6.6,,,,,,2.0,,,,,11.0,,11.0,0,2.0,18.0,1.0,,1.0,1.0
2021-22,9576279,33,13,Leicester_City,Away,865057,245419,Patson Daka,patson-daka,F,False,,,,6.0,5.0,11.0,4.0,1.0,1.0,,,,1.0,,,10.0,3.0,,,2.0,,,,,,1.0,,,78.0,,,,,,,,8.0,,6.4,,,,,,3.0,,,,,9.0,5.0,14.0,0,2.0,23.0,2.0,,,2.0
2021-22,9576267,34,13,Leicester_City,Home,173827,101668,Jamie Vardy,jamie-vardy,F,True,,,,,,,2.0,,1.0,,,,,,,3.0,,,,1.0,,,,,,,,,19.0,,,,,,,,3.0,,6.5,,,,,1.0,,1.0,,,,2.0,1.0,2.0,0,,5.0,,,,
