season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyMiss,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6768029,4,31,Crystal_Palace,Away,39282,50471.0,James McArthur,james-mcarthur,M,False,,,,15.0,16.0,31.0,2.0,2.0,5.0,,,,2.0,,,1.0,9.0,6.0,,,4.0,,,,,1.0,2.0,,90.0,,,,,,,,6.8,,,,6.0,,,,1.0,,17.0,17.0,34.0,0,4.0,49.0,,,
2015-16,6768029,4,31,Crystal_Palace,Away,45502,58376.0,Alex McCarthy,alex-mccarthy,G,False,,,9.0,8.0,2.0,10.0,,,13.0,,,,,,,,,,,,,,,3.0,,,,,90.0,,,,,,,1.0,7.5,4.0,7.0,,1.0,,,,34.0,,31.0,4.0,35.0,0,,49.0,,,
2015-16,6768029,4,31,Crystal_Palace,Away,46620,55452.0,Yannick Bolasie,yannick-bolasie,F,True,1.0,,,8.0,2.0,9.0,,1.0,,,1.0,,1.0,,,,2.0,3.0,,,1.0,,,,,,2.0,,35.0,,,,,,,,6.6,,,2.0,,,2.0,,,,9.0,2.0,9.0,2,1.0,16.0,1.0,1.0,
2015-16,6768029,4,31,Crystal_Palace,Away,50485,59125.0,Connor Wickham,connor-wickham,F,False,,,,8.0,6.0,14.0,12.0,4.0,2.0,,,,,,,2.0,20.0,6.0,,,5.0,,,,,,,,90.0,,,,,,,,6.3,,,1.0,1.0,1.0,3.0,,,,17.0,7.0,21.0,1,,38.0,5.0,2.0,
2015-16,6768029,4,31,Crystal_Palace,Away,51455,44343.0,Bakary Sako,bakary-sako,F,False,2.0,,1.0,15.0,6.0,19.0,1.0,,3.0,2.0,,1.0,,,,4.0,8.0,1.0,,,1.0,1.0,1.0,,,,3.0,,84.0,3.0,,,,,,,8.1,,,1.0,,2.0,4.0,,1.0,1.0,19.0,6.0,21.0,5,1.0,39.0,1.0,,
2015-16,6768029,4,31,Crystal_Palace,Away,84686,79228.0,Pape Souaré,pape-souare,M,False,1.0,,2.0,11.0,9.0,19.0,,2.0,6.0,,,,,,,1.0,2.0,4.0,,,1.0,,,,,,1.0,,90.0,,,,,,,,6.8,,,,6.0,,4.0,,2.0,,16.0,10.0,22.0,0,1.0,56.0,1.0,1.0,
2015-16,6768029,4,31,Crystal_Palace,Away,111850,82403.0,Wilfried Zaha,wilfried-zaha,M,False,,,,7.0,6.0,13.0,,,3.0,1.0,,,1.0,,,1.0,3.0,3.0,,,,,,,,,2.0,,55.0,,,,,,,,6.8,,,,,3.0,3.0,,1.0,,13.0,7.0,17.0,0,1.0,27.0,,,2.0
2015-16,6768029,4,31,Crystal_Palace,Away,232118,104547.0,Dwight Gayle,dwight-gayle,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768039,5,31,Crystal_Palace,Home,3574,27341.0,Yohan Cabaye,yohan-cabaye,M,False,1.0,,3.0,18.0,17.0,34.0,,,5.0,,,1.0,,,,3.0,4.0,5.0,,,,,,,,5.0,2.0,,90.0,,,,,,,,7.3,,,,1.0,2.0,2.0,,6.0,,24.0,19.0,41.0,1,3.0,64.0,1.0,1.0,1.0
2015-16,6768039,5,31,Crystal_Palace,Home,6381,15284.0,Brede Hangeland,brede-hangeland,D,False,,,4.0,7.0,31.0,38.0,3.0,3.0,2.0,,,,,,,,5.0,4.0,,,2.0,,,,,1.0,,,90.0,,,,,,,,6.8,,,,9.0,,,,6.0,1.0,11.0,34.0,45.0,0,1.0,56.0,,,
2015-16,6768039,5,31,Crystal_Palace,Home,10597,20145.0,Adrian Mariappa,adrian-mariappa,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768039,5,31,Crystal_Palace,Home,16620,20066.0,Wayne Hennessey,wayne-hennessey,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768039,5,31,Crystal_Palace,Home,19593,19197.0,Jason Puncheon,jason-puncheon,M,False,,,,13.0,6.0,19.0,,2.0,5.0,,,,,,,,3.0,6.0,,,1.0,,,,,,,,83.0,1.0,,,,,,,7.0,,,1.0,,3.0,3.0,,1.0,1.0,21.0,7.0,25.0,2,2.0,39.0,,2.0,1.0
2015-16,6768039,5,31,Crystal_Palace,Home,20278,19188.0,Scott Dann,scott-dann,D,False,,,2.0,3.0,23.0,26.0,,1.0,3.0,,,,1.0,,,,2.0,2.0,,,1.0,,,,,2.0,,,90.0,,2.0,,,,,,6.5,,,,5.0,,,,5.0,,7.0,25.0,32.0,0,,46.0,,1.0,
