playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,cleanSheets,ownGoalScored,blocks,clearancesOffTheLine,oboxBlocked,unsuccessfulLayoffs,leftFootGoals,hitWoodwork,shotsBlockedOutsideBox,cornersTakenInclShortCorners,unsuccessfulCornersIntoBox,secondGoalAssists,penaltiesConceded,successfulCornersIntoBox,catches,savesMade,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeFromInsideBox,foulWonPenalty,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,headedGoals,penaltiesTaken,penaltyGoals,savesMadeFromOutsideBox,penaltiesFaced,punches,goalkeeperSmother,drops,crossesNotClaimed,savesMadeParried,setPiecesGoals,otherGoals
123354,Kortney Hause,Defender,Wolves,39,England,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151589,Leander Dendoncker,Midfielder,Wolves,39,Belgium,2018-19,101.0,1.0,0.9141,0.0,1.0,10.0,3.6127,53.0,16.0,,114.0,19.0,,12.0,17.0,125.0,6.0,607.0,2.0,1.0,1.0,2.0,108.0,,1.0,8.0,1469.0,8.0,52.0,132.0,3.0,42.0,76.0,467.0,34.0,,2.0,17.0567,7.0,2.0,29.0,21.0,,49.0,114.0,11.0,1.0,233.0,29.0,1.0,157.0,92.0,19.0,,1.0,27.0,,233.0,18.0,6.0,7.0,,125.0,56.0,0.0,607.0,6.0,5.0,155.0,26.0,12.0,187.0,11.0,23.0,15.0,149.0,858.0,1.0,4.0,7.0,250.0,6.0,,3.5286,1.0,11.0,41.0,3.0,,6.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
141569,Léo Bonatini,Forward,Wolves,39,Brazil,2018-19,13.0,,0.1218,0.0,2.0,1.0,0.3342,1.0,7.0,,11.0,7.0,1.0,5.0,,12.0,4.0,57.0,,,0.0,7.0,4.0,,,1.0,130.0,1.0,3.0,3.0,,6.0,2.0,43.0,16.0,,,1.1071,1.0,,,,2.0,10.0,15.0,,0.0,16.0,1.0,0.0,10.0,11.0,7.0,,,,2.0,32.0,,4.0,6.0,2.0,12.0,1.0,0.0,56.0,6.0,2.0,26.0,1.0,1.0,14.0,,,2.0,18.0,84.0,,,,13.0,,,1.2792,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87835,Matt Doherty,Defender,Wolves,39,Ireland,2018-19,206.0,14.0,4.1725,0.0,7.0,18.0,2.9513,67.0,39.0,3.0,322.0,38.0,5.0,2.0,35.0,397.0,48.0,1399.0,4.0,3.0,3.0,3.0,248.0,2.0,14.0,12.0,3147.0,12.0,103.0,253.0,10.0,97.0,108.0,949.0,110.0,59.0,3.0,36.5897,33.0,10.0,84.0,41.0,5.0,103.0,55.0,21.0,3.0,459.0,42.0,1.0,546.0,166.0,38.0,2.0,1.0,25.0,29.0,658.0,31.0,48.0,52.0,5.0,211.0,145.0,0.0,1395.0,21.0,30.0,628.0,42.0,20.0,534.0,30.0,60.0,53.0,264.0,2374.0,308.0,6.0,33.0,358.0,17.0,,4.3907,5.0,75.0,104.0,7.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,
214048,Maximilian Kilman,Defender,Wolves,39,England,2018-19,,,,0.0,,,,,,,,1.0,,,,,,,,,0.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222531,Morgan Gibbs-White,Midfielder,Wolves,39,England,2018-19,50.0,2.0,0.9889,0.0,2.0,1.0,0.0321,6.0,6.0,4.0,43.0,26.0,1.0,9.0,5.0,51.0,5.0,317.0,,2.0,0.0,21.0,30.0,,6.0,1.0,650.0,1.0,18.0,36.0,5.0,13.0,24.0,246.0,15.0,,1.0,11.0797,10.0,,,12.0,,32.0,72.0,6.0,0.0,86.0,6.0,0.0,73.0,42.0,26.0,,,3.0,7.0,159.0,7.0,11.0,23.0,,56.0,12.0,0.0,308.0,5.0,2.0,116.0,3.0,12.0,101.0,8.0,1.0,20.0,71.0,448.0,,5.0,5.0,113.0,4.0,2.0,1.1163,1.0,8.0,12.0,,,,,2.0,1.0,,1.0,2.0,9.0,5.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,
102057,Raúl Jiménez,Forward,Wolves,39,Mexico,2018-19,261.0,8.0,3.9942,0.0,24.0,35.0,12.4854,30.0,87.0,13.0,257.0,38.0,7.0,68.0,36.0,288.0,19.0,1059.0,13.0,33.0,5.0,2.0,185.0,2.0,8.0,20.0,3122.0,20.0,107.0,179.0,8.0,74.0,101.0,735.0,178.0,1.0,3.0,35.5299,35.0,3.0,39.0,40.0,17.0,154.0,247.0,38.0,4.0,440.0,22.0,8.0,234.0,139.0,38.0,2.0,9.0,12.0,35.0,493.0,32.0,19.0,103.0,17.0,255.0,78.0,0.0,1017.0,52.0,22.0,516.0,18.0,34.0,253.0,42.0,26.0,36.0,325.0,1669.0,5.0,16.0,8.0,286.0,15.0,5.0,15.2243,4.0,31.0,57.0,4.0,,3.0,,7.0,7.0,1.0,3.0,7.0,,,,,,,,,,,,1.0,,,,3.0,2.0,2.0,,,,,,,,,
107613,Romain Saïss,Midfielder,Wolves,39,Morocco,2018-19,76.0,2.0,0.2519,0.0,1.0,5.0,1.5348,39.0,10.0,,116.0,19.0,,1.0,12.0,169.0,7.0,737.0,2.0,,1.0,7.0,88.0,,2.0,3.0,1144.0,3.0,28.0,109.0,3.0,30.0,49.0,507.0,11.0,3.0,,13.8605,4.0,8.0,58.0,17.0,,48.0,169.0,8.0,1.0,185.0,13.0,1.0,311.0,82.0,19.0,,1.0,13.0,2.0,248.0,14.0,7.0,4.0,,97.0,60.0,0.0,717.0,5.0,,188.0,26.0,5.0,194.0,27.0,26.0,61.0,63.0,960.0,8.0,2.0,23.0,322.0,16.0,,1.3876,7.0,53.0,75.0,2.0,,12.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
38533,Rui Patrício,Goalkeeper,Wolves,39,Portugal,2018-19,2.0,,0.012,0.0,,,,2.0,,,3.0,37.0,,,37.0,352.0,,759.0,,,0.0,,7.0,,,,3329.0,,1.0,9.0,10.0,,3.0,153.0,,,3.0,39.9764,,64.0,15.0,46.0,,1.0,86.0,1.0,0.0,11.0,,0.0,600.0,260.0,37.0,,,2.0,,112.0,36.0,,,,4.0,6.0,0.0,361.0,,,354.0,,,73.0,,1.0,254.0,,999.0,1.0,1.0,170.0,295.0,,,,0.0,349.0,122.0,7.0,,,,,,,,,,,,,,12.0,97.0,267.0,8.0,120.0,57.0,,,,,,,,39.0,4.0,8.0,2.0,2.0,1.0,19.0,,
41727,Ryan Bennett,Defender,Wolves,39,England,2018-19,148.0,,0.5061,0.0,2.0,4.0,0.7532,58.0,13.0,1.0,145.0,34.0,,,34.0,275.0,1.0,1346.0,1.0,1.0,0.0,,217.0,,,3.0,3060.0,3.0,94.0,191.0,8.0,29.0,68.0,1004.0,24.0,33.0,3.0,33.7641,9.0,13.0,124.0,38.0,2.0,54.0,136.0,11.0,0.0,339.0,21.0,1.0,564.0,133.0,34.0,,,26.0,1.0,367.0,30.0,1.0,2.0,2.0,122.0,123.0,0.0,1329.0,9.0,4.0,322.0,32.0,3.0,527.0,37.0,43.0,67.0,119.0,1754.0,19.0,,53.0,704.0,22.0,,1.2685,12.0,130.0,88.0,9.0,,21.0,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,
232351,Ryan Giles,Defender,Wolves,39,England,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171317,Rúben Neves,Midfielder,Wolves,39,Portugal,2018-19,167.0,4.0,1.6279,0.0,30.0,16.0,4.7103,75.0,44.0,11.0,212.0,35.0,3.0,6.0,34.0,364.0,12.0,1940.0,4.0,,1.0,1.0,66.0,12.0,5.0,,3009.0,,35.0,132.0,9.0,74.0,101.0,1364.0,3.0,,3.0,36.2876,21.0,4.0,44.0,43.0,,132.0,659.0,18.0,0.0,299.0,39.0,3.0,609.0,286.0,35.0,12.0,4.0,43.0,13.0,751.0,34.0,21.0,41.0,,233.0,31.0,0.0,1877.0,28.0,15.0,463.0,32.0,11.0,473.0,37.0,73.0,212.0,199.0,2445.0,2.0,3.0,33.0,830.0,24.0,2.0,3.9683,8.0,152.0,92.0,8.0,,18.0,,30.0,,,,30.0,2.0,2.0,1.0,,,,,,,,,,0.9145,11.0,11.0,,2.0,2.0,,,,,,,,2.0,
216054,Rúben Vinagre,Defender,Wolves,39,Portugal,2018-19,51.0,7.0,0.6122,0.0,1.0,3.0,0.8999,14.0,3.0,1.0,51.0,17.0,,,7.0,65.0,44.0,286.0,,1.0,0.0,10.0,26.0,1.0,7.0,2.0,706.0,2.0,17.0,44.0,5.0,26.0,35.0,213.0,12.0,11.0,,7.9311,6.0,4.0,13.0,9.0,,34.0,82.0,8.0,0.0,95.0,8.0,0.0,101.0,54.0,17.0,1.0,,5.0,7.0,138.0,4.0,45.0,19.0,,69.0,9.0,0.0,285.0,,11.0,165.0,9.0,13.0,12.0,12.0,14.0,8.0,91.0,555.0,68.0,3.0,9.0,90.0,7.0,,0.4536,1.0,14.0,23.0,1.0,,2.0,,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
168399,Will Norris,Goalkeeper,Wolves,39,England,2018-19,,,,0.0,,,,,,,,1.0,,,,,,,,,0.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90585,Willy Boly,Defender,Wolves,39,Cote d’Ivoire,2018-19,131.0,,0.7488,1.0,4.0,6.0,2.8045,84.0,20.0,2.0,193.0,36.0,,,36.0,326.0,,1715.0,4.0,3.0,2.0,,201.0,,,2.0,3168.0,2.0,64.0,248.0,10.0,46.0,111.0,1304.0,34.0,,2.0,36.9337,11.0,12.0,173.0,41.0,3.0,67.0,656.0,14.0,0.0,379.0,23.0,2.0,828.0,213.0,36.0,,,33.0,3.0,527.0,31.0,,18.0,3.0,178.0,137.0,1.0,1686.0,14.0,4.0,363.0,51.0,13.0,146.0,29.0,72.0,85.0,85.0,2236.0,3.0,1.0,43.0,862.0,16.0,,3.5791,2.0,133.0,134.0,7.0,,32.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0
