season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12437024,7,40,Ipswich_Town,Away,997087,463034,Liam Delap,liam-delap,F,False,,,1.0,3.0,1.0,4.0,2.0,2.0,3.0,,1.0,,2.0,,,1.0,7.0,4.0,,,0.0266311,0.1242,0.654,1.0,0.0,1.0,,,,,2.0,,83.0,2.0,,,,,,12.0,,7.0,,,,,,2.0,,,1.0,,7.0,1.0,8.0,2,1.0,20.0,6.0,,1.0,
2024-25,12437030,8,40,Ipswich_Town,Home,839712,222625,George Hirst,george-hirst,F,True,,,,2.0,,2.0,,,,,,,,,,,,,,,0.00436037,,,,0.0,,,,,,,,11.0,,,,,,,1.0,,6.5,,,,,,,,,,,3.0,,3.0,0,,3.0,,,,
2024-25,12437030,8,40,Ipswich_Town,Home,911710,173818,Nathan Broadhead,nathan-broadhead,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437030,8,40,Ipswich_Town,Home,997087,463034,Liam Delap,liam-delap,F,False,,,,5.0,3.0,8.0,3.0,1.0,,,,1.0,1.0,,,1.0,10.0,5.0,,,0.0122169,0.1982,,2.0,0.0,,,,,,,,79.0,,,,,,,8.0,,6.6,,,2.0,,2.0,5.0,,,,,8.0,3.0,11.0,3,,29.0,1.0,2.0,2.0,
2024-25,12437043,9,40,Ipswich_Town,Away,839712,222625,George Hirst,george-hirst,F,False,,,,7.0,2.0,9.0,3.0,2.0,1.0,1.0,,,,,,,6.0,3.0,,,0.0724911,0.2653,0.69,2.0,1.0,1.0,,,,,2.0,,73.0,1.0,,,,,,12.0,,8.0,,,,,1.0,1.0,,,,,13.0,2.0,15.0,1,,25.0,5.0,1.0,,
2024-25,12437043,9,40,Ipswich_Town,Away,911710,173818,Nathan Broadhead,nathan-broadhead,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437043,9,40,Ipswich_Town,Away,997087,463034,Liam Delap,liam-delap,F,True,,,,,,,1.0,2.0,1.0,,,,,,,,2.0,2.0,,,,0.1623,0.605,1.0,0.0,1.0,,,1.0,,,,17.0,1.0,,,,,,4.0,,7.5,,,1.0,,,,,,,,1.0,,1.0,2,,6.0,3.0,,,
2024-25,12437043,9,40,Ipswich_Town,Away,1010010,,Ali Al-Hamadi,ali-al-hamadi,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437053,10,40,Ipswich_Town,Home,839712,222625,George Hirst,george-hirst,F,True,,,,1.0,,1.0,1.0,2.0,,,,,,,,3.0,4.0,2.0,,,0.00410489,,,,0.0,,,,,,,,15.0,,,,,,,5.0,,6.3,,,,,2.0,,,,,,3.0,,3.0,0,,9.0,,,,
2024-25,12437053,10,40,Ipswich_Town,Home,911710,173818,Nathan Broadhead,nathan-broadhead,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
