playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,gamesPlayed,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,totalFoulsWon,winningGoal,duels,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,redCards2ndYellow,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,gkUnsuccessfulDistribution,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalAssists,goals,awayGoals,homeGoals,rightFootGoals,headedGoals,otherGoals,foulWonPenalty,substituteOn,penaltiesTaken,hitWoodwork,leftFootGoals,lastPlayerTackle,setPiecesGoals,penaltyGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,forwardPasses,drops,crossesNotClaimed,gkSuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesConceded,clearancesOffTheLine,ownGoalScored
1550,Maik Taylor,Goalkeeper,Birmingham,41,Northern Ireland,2009-10,0.0,2.0,0.0,0.0,,,,,,,,1.0,,2.0,34.0,,61.0,,,1.0,1.0,,180.0,,,1.0,,,3.0,,,,1.0,,11.0,3.0,5.0,,,0.0,1.0,17.0,2.0,,,21.0,5.0,,,,,1.0,29.0,,,36.0,,,,,15.0,,,,24.0,86.0,,,16.0,6.0,,33.0,4.0,,,,,,,,,,,,,,,,6.0,2.0,25.0,1.0,1.0,1.0,7.0,,,1.0,,18.0,3.0,5.0,,,
1450,Marcus Bent,Forward,Birmingham,41,England,2009-10,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51860,Míchel,Midfielder,Birmingham,41,Spain,2009-10,0.0,9.0,0.0,1.0,33.0,,,1.0,26.0,2.0,1.0,25.0,7.0,3.0,32.0,4.0,192.0,,,8.0,,,305.0,1.0,6.0,38.0,,36.0,137.0,,2.0,,,2.0,,6.0,7.0,27.0,6.0,0.0,71.0,25.0,9.0,8.0,1.0,80.0,7.0,,4.0,9.0,63.0,2.0,191.0,1.0,,48.0,18.0,4.0,1.0,,,10.0,11.0,,23.0,271.0,,3.0,2.0,80.0,,7.0,10.0,1.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
83283,Nathan Redmond,Forward,Birmingham,41,England,2009-10,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8358,Roger Johnson,Defender,Birmingham,41,England,2009-10,0.0,38.0,0.0,8.0,122.0,1.0,5.0,3.0,55.0,19.0,2.0,254.0,2.0,38.0,393.0,2.0,993.0,4.0,,206.0,11.0,1.0,3420.0,3.0,82.0,250.0,7.0,126.0,531.0,,59.0,,3.0,10.0,38.0,441.0,47.0,40.0,65.0,0.0,372.0,85.0,38.0,16.0,3.0,252.0,40.0,,2.0,5.0,166.0,124.0,971.0,16.0,9.0,593.0,39.0,6.0,51.0,,,23.0,90.0,,69.0,1790.0,2.0,,122.0,349.0,1.0,139.0,106.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,
19188,Scott Dann,Defender,Birmingham,41,England,2009-10,0.0,30.0,0.0,4.0,102.0,1.0,2.0,1.0,72.0,13.0,2.0,168.0,3.0,30.0,248.0,2.0,824.0,,,148.0,9.0,1.0,2700.0,,53.0,191.0,7.0,96.0,506.0,,35.0,,2.0,5.0,17.0,322.0,39.0,49.0,16.0,0.0,293.0,89.0,30.0,32.0,2.0,186.0,32.0,,2.0,5.0,145.0,95.0,808.0,12.0,3.0,418.0,40.0,8.0,30.0,,,25.0,64.0,,70.0,1406.0,,,69.0,391.0,,80.0,84.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0
19057,Sebastian Larsson,Midfielder,Birmingham,41,Sweden,2009-10,0.0,33.0,0.0,3.0,146.0,9.0,13.0,15.0,57.0,27.0,10.0,185.0,53.0,26.0,248.0,70.0,845.0,3.0,77.0,58.0,6.0,36.0,2380.0,5.0,38.0,117.0,3.0,97.0,563.0,19.0,40.0,4.0,1.0,31.0,13.0,29.0,30.0,108.0,23.0,2.0,263.0,116.0,33.0,13.0,12.0,388.0,27.0,,146.0,48.0,205.0,20.0,824.0,12.0,24.0,469.0,44.0,17.0,8.0,15.0,,38.0,60.0,53.0,34.0,1443.0,44.0,11.0,34.0,245.0,3.0,63.0,51.0,2.0,4.0,4.0,0.0,4.0,,,1.0,7.0,,,,,3.0,,,,,,,,,,,,,,,,,1.0,
1879,Stephen Carr,Defender,Birmingham,41,Ireland,2009-10,0.0,35.0,0.0,10.0,98.0,8.0,4.0,1.0,66.0,3.0,7.0,241.0,4.0,35.0,356.0,39.0,1179.0,,,46.0,10.0,8.0,3112.0,1.0,18.0,135.0,7.0,107.0,762.0,,19.0,89.0,3.0,17.0,29.0,146.0,42.0,80.0,25.0,0.0,233.0,158.0,35.0,17.0,19.0,459.0,35.0,,39.0,30.0,187.0,28.0,1142.0,2.0,7.0,588.0,49.0,16.0,22.0,,,40.0,69.0,,61.0,2056.0,294.0,2.0,90.0,372.0,,115.0,88.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,1.0,
7907,Stuart Parnaby,Defender,Birmingham,41,England,2009-10,0.0,8.0,0.0,2.0,20.0,4.0,,1.0,13.0,3.0,,42.0,2.0,6.0,57.0,9.0,208.0,,,8.0,2.0,4.0,546.0,,3.0,21.0,,16.0,144.0,,5.0,25.0,1.0,7.0,5.0,26.0,4.0,17.0,3.0,0.0,41.0,23.0,8.0,6.0,4.0,88.0,4.0,,9.0,4.0,33.0,5.0,206.0,2.0,2.0,105.0,7.0,,2.0,,,6.0,9.0,,7.0,375.0,55.0,2.0,13.0,67.0,1.0,15.0,13.0,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,
6278,Teemu Tainio,Midfielder,Birmingham,41,Finland,2009-10,0.0,6.0,0.0,0.0,24.0,1.0,2.0,,10.0,2.0,3.0,26.0,5.0,5.0,35.0,4.0,161.0,,,8.0,1.0,1.0,361.0,,5.0,20.0,,17.0,115.0,,3.0,9.0,,4.0,2.0,17.0,6.0,19.0,6.0,0.0,44.0,23.0,6.0,3.0,2.0,69.0,6.0,,4.0,7.0,36.0,3.0,159.0,2.0,2.0,62.0,7.0,1.0,2.0,,,3.0,24.0,,11.0,275.0,17.0,3.0,3.0,58.0,,9.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
