season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243638,24,3,Arsenal,Away,888550,200089,Joe Willock,joe-willock,M,True,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,0,,4.0,,,,
2019-20,8243646,25,3,Arsenal,Away,16176,37605,Mesut Özil,mesut-ozil,M,False,1.0,,2.0,22.0,13.0,34.0,,,6.0,,,1.0,1.0,,,1.0,4.0,1.0,,,2.0,,,,,2.0,2.0,63.0,,,,,,,12.0,,6.8,,,,,,,4.0,,3.0,,27.0,17.0,40.0,1,1.0,51.0,1.0,,,1.0
2019-20,8243646,25,3,Arsenal,Away,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,1.0,28.0,29.0,57.0,2.0,2.0,6.0,1.0,,,,,,1.0,4.0,8.0,,,1.0,,,,,,1.0,90.0,,,,,,,12.0,,7.4,,,,,2.0,1.0,3.0,,4.0,,35.0,32.0,64.0,0,2.0,88.0,,3.0,1.0,1.0
2019-20,8243646,25,3,Arsenal,Away,547838,182539,Dani Ceballos,dani-ceballos,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243646,25,3,Arsenal,Away,754794,198849,Lucas Torreira,lucas-torreira,M,True,,,2.0,11.0,15.0,26.0,,1.0,5.0,,,,,,,,1.0,2.0,,,1.0,,,,,1.0,2.0,45.0,1.0,,,,,,8.0,,7.0,,,,,,1.0,3.0,,5.0,,17.0,17.0,31.0,1,,37.0,,,1.0,
2019-20,8243646,25,3,Arsenal,Away,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,False,,,3.0,26.0,18.0,44.0,1.0,,4.0,,,1.0,2.0,,,2.0,6.0,3.0,,,,,,,,1.0,,90.0,,,,,,,12.0,,6.3,,,,,,1.0,1.0,,3.0,,30.0,23.0,52.0,1,,65.0,,3.0,,
2019-20,8243646,25,3,Arsenal,Away,888550,200089,Joe Willock,joe-willock,M,True,,,,5.0,4.0,9.0,,,1.0,,,,,,,2.0,3.0,5.0,,,,,,,,,1.0,27.0,,,,,,,4.0,,6.8,,,1.0,,1.0,3.0,,,,,6.0,4.0,10.0,1,2.0,20.0,,1.0,2.0,1.0
2019-20,8243653,26,3,Arsenal,Home,16176,37605,Mesut Özil,mesut-ozil,M,False,,,1.0,34.0,13.0,47.0,,,5.0,,,,3.0,,,,6.0,4.0,,,2.0,,1.0,,,,4.0,89.0,1.0,,,,,,4.0,,7.5,,,,,,2.0,1.0,,1.0,1.0,36.0,14.0,49.0,1,1.0,57.0,,2.0,1.0,
2019-20,8243653,26,3,Arsenal,Home,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,2.0,64.0,33.0,97.0,4.0,2.0,4.0,,,,2.0,,,,8.0,4.0,,,3.0,,,,,1.0,,90.0,,1.0,,,,,10.0,,6.9,,,,,1.0,,1.0,,5.0,,73.0,33.0,105.0,0,2.0,114.0,,,,2.0
2019-20,8243653,26,3,Arsenal,Home,547838,182539,Dani Ceballos,dani-ceballos,M,False,,,7.0,58.0,27.0,85.0,4.0,1.0,9.0,,,,3.0,,,2.0,14.0,5.0,,,3.0,,,,,1.0,3.0,82.0,,,,,,,14.0,,6.8,,,,,,3.0,2.0,,8.0,,64.0,27.0,89.0,0,1.0,109.0,4.0,2.0,1.0,
2019-20,8243653,26,3,Arsenal,Home,754794,198849,Lucas Torreira,lucas-torreira,M,True,,,,12.0,1.0,13.0,2.0,,,,,,1.0,,,,3.0,,,,,,,,,,,8.0,,,,,,,,,6.3,,,,,,,,,,,12.0,1.0,13.0,0,,13.0,,,,
2019-20,8243653,26,3,Arsenal,Home,888550,200089,Joe Willock,joe-willock,M,True,,,,1.0,2.0,3.0,,,1.0,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,2.0,2.0,4.0,0,2.0,6.0,,,,1.0
2019-20,8243732,27,3,Arsenal,Home,16176,37605,Mesut Özil,mesut-ozil,M,False,,,2.0,32.0,16.0,48.0,,,2.0,,,,,,,2.0,3.0,3.0,,,1.0,,,,,,1.0,82.0,,,,,,,10.0,,6.6,,,,,,1.0,1.0,,3.0,,37.0,17.0,53.0,0,1.0,65.0,1.0,1.0,1.0,1.0
2019-20,8243732,27,3,Arsenal,Home,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,8.0,32.0,33.0,65.0,2.0,,10.0,,,,1.0,,,1.0,7.0,5.0,,,3.0,,,,,,,90.0,,,,,,,10.0,,6.9,,,,,1.0,2.0,2.0,,10.0,,39.0,35.0,72.0,0,1.0,84.0,,2.0,2.0,
2019-20,8243732,27,3,Arsenal,Home,547838,182539,Dani Ceballos,dani-ceballos,M,False,,,2.0,19.0,29.0,48.0,,,6.0,,,,1.0,,,2.0,6.0,4.0,,,3.0,,,,,4.0,,76.0,,,,,,,11.0,,6.9,,,1.0,,,,2.0,,3.0,,25.0,32.0,55.0,1,2.0,70.0,,2.0,,1.0
2019-20,8243732,27,3,Arsenal,Home,754794,198849,Lucas Torreira,lucas-torreira,M,True,,,,3.0,5.0,8.0,,,2.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,14.0,,,,,,,4.0,,6.6,,,,,,1.0,,,,,6.0,5.0,11.0,0,,13.0,,,,
2019-20,8243732,27,3,Arsenal,Home,826139,200641,Reiss Nelson,reiss-nelson,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
