playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,handballsConceded,secondGoalAssists,foulWonPenalty,throwInsToOppositionPlayer,penaltiesTaken,headedGoals,clearancesOffTheLine,penaltyGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,penaltiesConceded,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,redCards2ndYellow,lastPlayerTackle,otherGoals
85633,Matz Sels,Goalkeeper,Nott'm Forest,17,Belgium,2024-25,3.0,,,,1.0,,38.0,902.0,,,,,,,,2.0,6.0,9.0,,3.0,50.5475,2.0,150.0,,10.0,0.0,204.0,38.0,,,,,,,492.0,,479.0,1.0,,95.0,1.0,,259.0,,1209.0,,,214.0,461.0,37.0,,0.3237,0.0,,,,3.0,,,38.0,464.0,,,19.0,13.0,,,3420.0,,26.0,,179.0,,54.0,46.0,1.0,60.0,29.0,,,747.0,,,224.0,40.0,,10.0,17.0,0.0,1.0,,,,,,271.0,1.0,,4.0,,,,,,,,,16.0,28.0,270.0,1.0,3.0,1.0,28.0,120.0,5.0,3.0,216.0,137.0,52.0,91.0,,,
485047,Morato,Defender,Nott'm Forest,17,Brazil,2024-25,36.0,1.0,1.0,0.4446,22.0,1.0,26.0,304.0,,,,,20.0,1.0,1.0,14.0,1.0,26.0,,,18.0874,,3.0,1.0,2.0,0.0,36.0,26.0,,,,,3.0,,290.0,,81.0,14.0,,64.0,11.0,,13.0,16.0,467.0,2.0,,146.0,27.0,34.0,,0.0439,0.0,,,1.0,41.0,,,6.0,68.0,,,20.0,3.0,,,893.0,,32.0,20.0,223.0,2.0,75.0,14.0,22.0,59.0,68.0,9.0,,165.0,,8.0,90.0,13.0,1.0,48.0,6.0,0.0,,2.0,5.0,10.0,2.0,,20.0,5.0,0.1802,5.0,,,,1.0,,,,,,,3.0,,,,,,,,3.0,,,,,,
222531,Morgan Gibbs-White,Midfielder,Nott'm Forest,17,England,2024-25,188.0,13.0,22.0,7.199,43.0,19.0,34.0,1213.0,7.0,7.0,5.0,8.0,,10.0,10.0,55.0,5.0,113.0,,2.0,39.8853,43.0,3.0,5.0,40.0,2.0,127.0,34.0,4.0,1.0,35.0,32.0,79.0,4.0,1196.0,26.0,431.0,22.0,4.0,320.0,38.0,,51.0,253.0,1739.0,1.0,,286.0,31.0,46.0,13.0,4.6878,1.0,0.2824,6.0,48.0,203.0,8.0,62.0,34.0,234.0,32.0,1.0,96.0,3.0,5.0,13.0,2822.0,4.0,154.0,40.0,928.0,97.0,29.0,34.0,133.0,260.0,342.0,13.0,2.0,380.0,5.0,21.0,706.0,29.0,5.0,246.0,41.0,0.0,13.0,31.0,5.0,23.0,20.0,8.0,11.0,18.0,6.3379,9.0,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,1.0,,
575476,Murillo,Defender,Nott'm Forest,17,Brazil,2024-25,88.0,5.0,6.0,1.6802,53.0,8.0,36.0,1420.0,2.0,,1.0,2.0,,3.0,3.0,23.0,6.0,86.0,,3.0,47.7425,13.0,15.0,3.0,6.0,0.0,142.0,36.0,,1.0,10.0,8.0,20.0,3.0,1263.0,14.0,351.0,36.0,3.0,215.0,27.0,,120.0,56.0,1995.0,3.0,2.0,669.0,167.0,80.0,2.0,1.1416,0.0,0.0988,,20.0,124.0,,,36.0,291.0,6.0,,67.0,11.0,1.0,6.0,3191.0,,130.0,30.0,1009.0,26.0,242.0,44.0,65.0,449.0,218.0,24.0,1.0,700.0,1.0,17.0,466.0,38.0,3.0,151.0,44.0,0.0,5.0,27.0,45.0,36.0,3.0,2.0,70.0,11.0,1.421,6.0,,,,,,1.0,3.0,,,,50.0,,,1.0,,,,,48.0,2.0,,,,4.0,
215136,Neco Williams,Defender,Nott'm Forest,17,Wales,2024-25,125.0,16.0,7.0,1.6858,90.0,1.0,35.0,850.0,1.0,2.0,0.0,10.0,7.0,4.0,4.0,30.0,4.0,151.0,,2.0,37.8496,15.0,11.0,6.0,43.0,0.0,110.0,35.0,1.0,,19.0,46.0,40.0,1.0,835.0,14.0,353.0,57.0,1.0,94.0,24.0,2.0,29.0,190.0,1667.0,138.0,1.0,292.0,61.0,50.0,12.0,1.5286,0.0,0.0316,4.0,21.0,97.0,3.0,2.0,28.0,158.0,41.0,2.0,70.0,7.0,2.0,13.0,2590.0,,191.0,63.0,663.0,47.0,120.0,31.0,95.0,218.0,316.0,32.0,1.0,348.0,2.0,33.0,413.0,27.0,6.0,246.0,40.0,0.0,15.0,18.0,10.0,31.0,5.0,10.0,35.0,16.0,2.3008,7.0,2.0,,,65.0,,,,,,,,,,,,,,,,,,,,,
250199,Nicolás Domínguez,Midfielder,Nott'm Forest,17,Argentina,2024-25,112.0,3.0,9.0,1.2335,86.0,7.0,34.0,927.0,,1.0,,3.0,11.0,7.0,7.0,23.0,1.0,107.0,,3.0,29.409,12.0,3.0,,18.0,0.0,114.0,34.0,,,4.0,5.0,16.0,,884.0,9.0,166.0,45.0,,290.0,33.0,,22.0,173.0,1276.0,6.0,,346.0,19.0,34.0,2.0,1.5867,0.0,,1.0,18.0,95.0,1.0,14.0,23.0,114.0,4.0,,50.0,3.0,2.0,2.0,1970.0,1.0,134.0,37.0,791.0,34.0,52.0,27.0,89.0,172.0,246.0,26.0,,292.0,2.0,41.0,469.0,26.0,,196.0,27.0,0.0,4.0,3.0,12.0,29.0,18.0,3.0,9.0,17.0,1.5282,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
227444,Nikola Milenkovic,Defender,Nott'm Forest,17,Serbia,2024-25,67.0,5.0,8.0,4.6769,51.0,,37.0,1026.0,5.0,2.0,4.0,1.0,,3.0,3.0,40.0,6.0,57.0,,3.0,49.3597,7.0,46.0,4.0,5.0,1.0,85.0,37.0,2.0,,,,2.0,,994.0,16.0,189.0,29.0,,368.0,20.0,,94.0,73.0,1434.0,,,597.0,85.0,49.0,,0.5392,0.0,,,24.0,91.0,2.0,1.0,37.0,176.0,,,141.0,13.0,,,3330.0,,158.0,20.0,756.0,65.0,208.0,45.0,27.0,220.0,225.0,17.0,1.0,365.0,,22.0,253.0,39.0,4.0,84.0,101.0,0.0,3.0,1.0,24.0,27.0,,1.0,63.0,5.0,4.0219,4.0,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,2.0,1.0
159506,Ola Aina,Defender,Nott'm Forest,17,Nigeria,2024-25,118.0,3.0,2.0,0.7365,55.0,,35.0,1027.0,2.0,2.0,1.0,2.0,,,,19.0,6.0,123.0,,3.0,42.3814,15.0,8.0,1.0,35.0,1.0,190.0,35.0,1.0,1.0,27.0,46.0,49.0,,1012.0,6.0,457.0,42.0,,319.0,23.0,,28.0,161.0,1812.0,159.0,,377.0,61.0,78.0,13.0,2.215,0.0,,5.0,8.0,144.0,1.0,2.0,35.0,205.0,46.0,,32.0,11.0,,13.0,3003.0,1.0,136.0,68.0,794.0,22.0,106.0,39.0,99.0,98.0,254.0,22.0,1.0,449.0,,13.0,458.0,33.0,1.0,222.0,13.0,0.0,15.0,33.0,12.0,33.0,7.0,2.0,34.0,15.0,0.6385,5.0,1.0,,,105.0,,,3.0,,,,,,,1.0,,,,,,,,,,,
502222,Ramón Sosa,Forward,Nott'm Forest,17,Paraguay,2024-25,27.0,3.0,5.0,1.5301,5.0,,19.0,84.0,1.0,3.0,1.0,,18.0,2.0,2.0,8.0,,21.0,,,3.4885,8.0,,3.0,8.0,0.0,25.0,19.0,1.0,,5.0,5.0,10.0,,82.0,3.0,50.0,3.0,,15.0,6.0,3.0,3.0,25.0,175.0,3.0,,24.0,2.0,3.0,3.0,0.3634,0.0,,2.0,8.0,22.0,,3.0,1.0,24.0,1.0,4.0,12.0,,2.0,3.0,281.0,,25.0,11.0,57.0,15.0,4.0,5.0,19.0,23.0,52.0,9.0,0.0,21.0,2.0,2.0,39.0,5.0,3.0,40.0,4.0,0.0,3.0,8.0,,4.0,1.0,,2.0,3.0,1.0116,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
204968,Ryan Yates,Midfielder,Nott'm Forest,17,England,2024-25,124.0,11.0,9.0,2.3637,42.0,,35.0,747.0,2.0,7.0,2.0,8.0,17.0,5.0,5.0,30.0,4.0,97.0,,1.0,26.8729,17.0,1.0,3.0,49.0,0.0,104.0,35.0,2.0,,5.0,8.0,23.0,,691.0,13.0,188.0,21.0,,198.0,53.0,,10.0,139.0,1115.0,,1.0,278.0,31.0,39.0,,0.4984,0.0,,1.0,22.0,98.0,1.0,6.0,18.0,129.0,8.0,2.0,78.0,6.0,2.0,,1904.0,,145.0,47.0,608.0,43.0,60.0,27.0,94.0,190.0,269.0,28.0,0.0,220.0,2.0,21.0,340.0,23.0,3.0,191.0,48.0,0.0,13.0,9.0,10.0,26.0,5.0,8.0,16.0,20.0,2.2996,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
210156,Taiwo Awoniyi,Forward,Nott'm Forest,17,Nigeria,2024-25,71.0,1.0,4.0,1.4272,6.0,1.0,26.0,94.0,1.0,1.0,1.0,,23.0,3.0,3.0,38.0,2.0,19.0,,,8.1775,2.0,,1.0,10.0,0.0,18.0,26.0,,1.0,5.0,2.0,24.0,,94.0,5.0,79.0,3.0,,24.0,8.0,,1.0,20.0,198.0,,,14.0,3.0,2.0,,0.1174,0.0,,1.0,9.0,30.0,,9.0,3.0,33.0,2.0,,52.0,,,,400.0,,33.0,5.0,60.0,23.0,7.0,10.0,33.0,24.0,104.0,1.0,0.0,26.0,,3.0,47.0,8.0,1.0,52.0,14.0,0.0,4.0,4.0,,,3.0,,1.0,2.0,2.1211,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
20066,Wayne Hennessey,Goalkeeper,Nott'm Forest,17,Wales,2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
90585,Willy Boly,Defender,Nott'm Forest,17,Cote d’Ivoire,2024-25,3.0,,1.0,0.2515,6.0,,6.0,70.0,,,,,5.0,1.0,1.0,2.0,,6.0,,,2.1325,,3.0,,,0.0,5.0,6.0,,,,,,,69.0,,16.0,1.0,,16.0,1.0,,5.0,4.0,98.0,,,40.0,9.0,4.0,,0.0045,0.0,,,1.0,6.0,,,1.0,15.0,,,8.0,,,,146.0,,12.0,2.0,50.0,1.0,12.0,1.0,1.0,12.0,15.0,2.0,,38.0,,5.0,15.0,1.0,,7.0,6.0,0.0,1.0,,2.0,3.0,,,6.0,1.0,0.0721,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
549067,Zach Abbott,Defender,Nott'm Forest,17,England,2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
106468,Álex Moreno,Defender,Nott'm Forest,17,Spain,2024-25,61.0,5.0,,,25.0,3.0,15.0,320.0,,,,,4.0,,,11.0,2.0,39.0,,1.0,,7.0,1.0,,6.0,0.0,50.0,15.0,,,8.0,14.0,14.0,,320.0,1.0,151.0,18.0,,34.0,12.0,,6.0,51.0,587.0,54.0,,108.0,16.0,22.0,4.0,,0.0,,3.0,1.0,55.0,1.0,1.0,11.0,71.0,14.0,,14.0,1.0,,5.0,959.0,,42.0,16.0,243.0,8.0,38.0,16.0,50.0,88.0,103.0,6.0,,147.0,,7.0,146.0,14.0,,89.0,3.0,0.0,4.0,8.0,5.0,15.0,8.0,,10.0,9.0,,2.0,,,,31.0,,,,,,,,,,,,,,,,,,,,,
