season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243422,2,20,Southampton,Home,130181,84939.0,Danny Ings,danny-ings,F,True,,,,3.0,,3.0,1.0,,,,1.0,1.0,,,,2.0,1.0,,,1.0,,1.0,,,,,,26.0,1.0,,,,,,,,1.0,,7.0,,,2.0,,1.0,1.0,,,,4.0,,3.0,4,,12.0,,,1.0,
2019-20,8243422,2,20,Southampton,Home,149593,132015.0,Pierre-Emile Højbjerg,pierre-emile-hjbjerg,M,False,,,5.0,16.0,13.0,29.0,,,4.0,,,2.0,2.0,,,4.0,4.0,,,2.0,,,,,,,,90.0,1.0,,,,,,,,18.0,,6.7,,,,2.0,2.0,2.0,,9.0,,29.0,14.0,41.0,3,2.0,61.0,4.0,,2.0,1.0
2019-20,8243422,2,20,Southampton,Home,161717,101178.0,James Ward-Prowse,james-ward-prowse,M,False,2.0,,1.0,11.0,5.0,14.0,3.0,3.0,8.0,1.0,,,1.0,,2.0,7.0,6.0,,,1.0,,,,,2.0,2.0,,90.0,,,,,,,,,21.0,,7.0,,,,1.0,1.0,6.0,,3.0,,25.0,8.0,27.0,0,1.0,47.0,1.0,1.0,1.0,1.0
2019-20,8243422,2,20,Southampton,Home,227946,107265.0,Angus Gunn,angus-gunn,G,False,,1.0,6.0,3.0,3.0,6.0,,1.0,8.0,,,,,,,,1.0,,,,,,1.0,,,,,90.0,,,,,,,,,13.0,,6.9,3.0,4.0,,1.0,,,1.0,19.0,,15.0,4.0,19.0,0,,29.0,,,,
2019-20,8243422,2,20,Southampton,Home,286085,171771.0,Jan Bednarek,jan-bednarek,D,False,,,2.0,6.0,17.0,23.0,1.0,1.0,6.0,,,,1.0,,,3.0,2.0,1.0,,1.0,,,,,3.0,,,90.0,,1.0,,,,,,,12.0,,6.0,,,,6.0,,,,7.0,,12.0,18.0,30.0,0,1.0,51.0,1.0,,,
2019-20,8243422,2,20,Southampton,Home,773409,200439.0,Che Adams,che-adams,F,False,,,,6.0,2.0,8.0,3.0,1.0,3.0,1.0,1.0,,,,1.0,4.0,4.0,,,,,,,,,1.0,,68.0,,,,,,,,,11.0,,6.7,,,2.0,1.0,2.0,2.0,,,1.0,12.0,3.0,13.0,2,,26.0,3.0,1.0,2.0,
2019-20,8243422,2,20,Southampton,Home,794953,135720.0,Kevin Danso,kevin-danso,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243422,2,20,Southampton,Home,826202,213482.0,Yan Valery,yan-valery,D,False,1.0,,1.0,12.0,10.0,21.0,2.0,1.0,7.0,1.0,,1.0,,,3.0,5.0,6.0,,,,,,,,1.0,1.0,,90.0,,,,,,,,,16.0,,6.8,,,,4.0,2.0,3.0,,6.0,1.0,20.0,14.0,31.0,1,3.0,61.0,,,2.0,
2019-20,8243422,2,20,Southampton,Home,869910,431131.0,Moussa Djenepo,moussa-djenepo,F,True,,,,5.0,1.0,6.0,1.0,,,,,,,,,3.0,3.0,,,1.0,,,,,,,,13.0,,,,,,,,,2.0,,6.5,,,,1.0,1.0,,,,,5.0,1.0,6.0,0,1.0,12.0,1.0,2.0,,1.0
2019-20,8243422,2,20,Southampton,Home,921216,220598.0,Michael Obafemi,michael-obafemi,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243424,3,20,Southampton,Away,24248,80447.0,Maya Yoshida,maya-yoshida,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243424,3,20,Southampton,Away,44760,58822.0,Cédric Soares,cedric-soares,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243424,3,20,Southampton,Away,45502,58376.0,Alex McCarthy,alex-mccarthy,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243424,3,20,Southampton,Away,69416,78056.0,Oriol Romeu,oriol-romeu,M,False,,,2.0,20.0,19.0,39.0,2.0,,8.0,,,,4.0,,,7.0,3.0,,,1.0,,,,,,,,90.0,,,,,,,,,5.0,,6.3,,,,,1.0,,,2.0,,23.0,20.0,43.0,0,1.0,50.0,1.0,1.0,1.0,
2019-20,8243424,3,20,Southampton,Away,115346,83283.0,Nathan Redmond,nathan-redmond,M,False,,,1.0,16.0,6.0,22.0,,1.0,5.0,1.0,,,1.0,,3.0,5.0,7.0,,,,,1.0,,,,2.0,,90.0,2.0,,,,,,,,17.0,,7.8,,,1.0,,5.0,,,2.0,,24.0,8.0,32.0,3,1.0,52.0,2.0,1.0,4.0,1.0
2019-20,8243424,3,20,Southampton,Away,117083,91047.0,Stuart Armstrong,stuart-armstrong,M,True,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,12.0,1.0,,,,,,,,,,6.3,,,,,,,,,,,,,1,,1.0,,,,
2019-20,8243424,3,20,Southampton,Away,120538,93100.0,Jannik Vestergaard,jannik-vestergaard,D,False,,,1.0,8.0,24.0,32.0,2.0,4.0,3.0,1.0,,,1.0,,,3.0,7.0,,,,,,,,2.0,2.0,,90.0,,,,,,,,,7.0,,7.6,,,1.0,6.0,,,,3.0,,14.0,24.0,38.0,1,3.0,53.0,1.0,,,2.0
2019-20,8243424,3,20,Southampton,Away,130181,84939.0,Danny Ings,danny-ings,F,False,,,1.0,7.0,6.0,13.0,1.0,1.0,5.0,,,,,,2.0,5.0,3.0,,,1.0,1.0,,,,,3.0,,84.0,,,,,,,,,14.0,,7.2,,,1.0,,2.0,1.0,,2.0,,14.0,8.0,21.0,1,1.0,37.0,2.0,,1.0,
2019-20,8243424,3,20,Southampton,Away,149593,132015.0,Pierre-Emile Højbjerg,pierre-emile-hjbjerg,M,False,,,3.0,27.0,29.0,56.0,1.0,1.0,11.0,,,,1.0,,1.0,7.0,3.0,,,4.0,,,,,1.0,,,90.0,,,,,,,,,18.0,,6.4,,,,,,,,10.0,,38.0,32.0,70.0,0,2.0,80.0,3.0,,,1.0
2019-20,8243424,3,20,Southampton,Away,161717,101178.0,James Ward-Prowse,james-ward-prowse,M,False,4.0,,1.0,20.0,11.0,27.0,4.0,2.0,9.0,,,,1.0,,2.0,9.0,4.0,,,2.0,,,,,1.0,1.0,,90.0,,1.0,,,,,,,15.0,,7.0,,,2.0,2.0,,6.0,,4.0,,29.0,14.0,37.0,2,2.0,60.0,1.0,1.0,,2.0
2019-20,8243424,3,20,Southampton,Away,227946,107265.0,Angus Gunn,angus-gunn,G,False,,1.0,5.0,3.0,6.0,9.0,,,6.0,,,,,,,,2.0,,,,,,,,,,,90.0,,,,,,,,,14.0,,7.4,2.0,3.0,,,,,1.0,19.0,,17.0,6.0,23.0,0,,33.0,,2.0,,
2019-20,8243424,3,20,Southampton,Away,257205,128198.0,Sofiane Boufal,sofiane-boufal,F,True,,,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,,2.0,3.0,,,,1.0,,,,,1.0,,10.0,,,,,,,,,1.0,,7.3,,,,,2.0,,,,,2.0,,2.0,0,,6.0,,1.0,2.0,
2019-20,8243424,3,20,Southampton,Away,286085,171771.0,Jan Bednarek,jan-bednarek,D,False,,,3.0,9.0,20.0,29.0,4.0,1.0,3.0,,,,,,,4.0,4.0,,,,,,,,,,,90.0,,1.0,,,,,,,9.0,,7.3,,,,6.0,,,,4.0,,13.0,22.0,35.0,0,3.0,51.0,,,,2.0
2019-20,8243424,3,20,Southampton,Away,773409,200439.0,Che Adams,che-adams,F,False,,,,6.0,1.0,7.0,4.0,1.0,1.0,,1.0,2.0,,,2.0,6.0,2.0,,,,,,,,,1.0,,80.0,,,,,,,,,9.0,,6.3,,,,2.0,1.0,,,1.0,,11.0,1.0,12.0,2,,21.0,2.0,,1.0,
2019-20,8243424,3,20,Southampton,Away,794953,135720.0,Kevin Danso,kevin-danso,D,False,,,,20.0,21.0,41.0,4.0,2.0,3.0,,,,1.0,,,7.0,4.0,,,1.0,,,,,,,,90.0,,1.0,,,,,,,18.0,,6.8,,,,2.0,1.0,,,3.0,,28.0,23.0,51.0,0,2.0,75.0,2.0,,,2.0
2019-20,8243424,3,20,Southampton,Away,826202,213482.0,Yan Valery,yan-valery,D,False,,,,4.0,3.0,7.0,,2.0,3.0,,,,1.0,,1.0,3.0,5.0,,,,,,,,,,,53.0,,,,,,,,,12.0,,6.3,,,,3.0,1.0,,,3.0,,11.0,4.0,15.0,0,1.0,30.0,1.0,2.0,,
2019-20,8243424,3,20,Southampton,Away,869910,431131.0,Moussa Djenepo,moussa-djenepo,F,True,,,,6.0,8.0,14.0,1.0,,4.0,,,1.0,,,,3.0,6.0,,,1.0,,1.0,,,,,,37.0,1.0,,,,,,,,6.0,,7.4,,,,1.0,3.0,,,1.0,,7.0,9.0,16.0,2,3.0,31.0,2.0,1.0,2.0,2.0
2019-20,8243424,3,20,Southampton,Away,921216,220598.0,Michael Obafemi,michael-obafemi,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243437,4,20,Southampton,Home,10486,20452.0,Shane Long,shane-long,F,True,,,,6.0,3.0,9.0,3.0,3.0,2.0,,,,,,1.0,6.0,5.0,,,3.0,,,,,,,,28.0,,,,,,,,,8.0,,6.6,,,,2.0,,1.0,,,,9.0,5.0,13.0,0,2.0,21.0,2.0,,,
2019-20,8243437,4,20,Southampton,Home,24248,80447.0,Maya Yoshida,maya-yoshida,D,True,,,,4.0,1.0,5.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,13.0,,,,,,,,,3.0,,6.7,,,,2.0,,,,1.0,,5.0,2.0,7.0,0,1.0,13.0,,,,1.0
2019-20,8243437,4,20,Southampton,Home,44760,58822.0,Cédric Soares,cedric-soares,M,False,1.0,,3.0,13.0,10.0,22.0,2.0,1.0,1.0,,,,,,1.0,3.0,3.0,,,,,,,,2.0,,,90.0,,,,,,,,,14.0,,7.0,,,,3.0,,5.0,,6.0,,23.0,11.0,29.0,0,2.0,59.0,,,,2.0
2019-20,8243437,4,20,Southampton,Home,45502,58376.0,Alex McCarthy,alex-mccarthy,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243437,4,20,Southampton,Home,69416,78056.0,Oriol Romeu,oriol-romeu,M,False,,,3.0,21.0,14.0,35.0,2.0,,11.0,,,1.0,2.0,,,6.0,7.0,,,2.0,,,,,2.0,1.0,,90.0,,,,,,,,,10.0,,7.1,,,,1.0,,,,8.0,,29.0,16.0,45.0,1,7.0,58.0,,,,6.0
2019-20,8243437,4,20,Southampton,Home,117083,91047.0,Stuart Armstrong,stuart-armstrong,M,True,,,,2.0,2.0,4.0,1.0,,2.0,,,,,,1.0,4.0,1.0,,,1.0,,,,,,,,19.0,,,,,,,,,3.0,,6.2,,,,,1.0,,,,,2.0,2.0,4.0,0,1.0,13.0,1.0,,,
2019-20,8243437,4,20,Southampton,Home,120538,93100.0,Jannik Vestergaard,jannik-vestergaard,D,False,,,2.0,8.0,28.0,36.0,3.0,2.0,5.0,,,,,,,6.0,3.0,,,2.0,,1.0,,,5.0,,,90.0,1.0,2.0,,,,,,,5.0,,7.7,,,,4.0,1.0,,,3.0,,9.0,30.0,39.0,1,,54.0,1.0,1.0,,
2019-20,8243437,4,20,Southampton,Home,130181,84939.0,Danny Ings,danny-ings,F,False,1.0,,,4.0,1.0,4.0,5.0,2.0,3.0,,,,2.0,,,9.0,8.0,,,,,,,,,1.0,,77.0,1.0,,,,,,,,20.0,,6.9,,,1.0,,3.0,2.0,,2.0,,16.0,3.0,17.0,2,3.0,36.0,3.0,2.0,1.0,2.0
2019-20,8243437,4,20,Southampton,Home,134361,88900.0,Jack Stephens,jack-stephens,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243437,4,20,Southampton,Home,149593,132015.0,Pierre-Emile Højbjerg,pierre-emile-hjbjerg,M,False,,,4.0,29.0,15.0,44.0,1.0,3.0,11.0,,,,3.0,,3.0,8.0,7.0,,,1.0,,,,,6.0,1.0,,90.0,,,,,,,,,18.0,,6.9,,,2.0,4.0,,,,7.0,,40.0,17.0,57.0,2,2.0,84.0,2.0,2.0,,2.0
2019-20,8243437,4,20,Southampton,Home,161717,101178.0,James Ward-Prowse,james-ward-prowse,M,False,1.0,,3.0,17.0,8.0,24.0,1.0,,3.0,,,,,,,2.0,1.0,,,2.0,,,,,,1.0,,90.0,,1.0,,,,,,,10.0,,6.7,,,,1.0,,4.0,,5.0,,26.0,9.0,31.0,0,,39.0,,1.0,,
2019-20,8243437,4,20,Southampton,Home,227946,107265.0,Angus Gunn,angus-gunn,G,False,,1.0,5.0,3.0,6.0,9.0,,,11.0,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,16.0,,7.9,4.0,7.0,,,,,1.0,21.0,,18.0,7.0,25.0,0,,36.0,,,,
2019-20,8243437,4,20,Southampton,Home,257205,128198.0,Sofiane Boufal,sofiane-boufal,F,False,,,1.0,7.0,5.0,12.0,1.0,1.0,5.0,1.0,,2.0,1.0,,3.0,10.0,6.0,,,3.0,,,,,,1.0,,71.0,,,,,,,,,21.0,,6.3,,,1.0,,5.0,3.0,,2.0,,13.0,7.0,17.0,3,3.0,45.0,7.0,,2.0,1.0
2019-20,8243437,4,20,Southampton,Home,286085,171771.0,Jan Bednarek,jan-bednarek,D,False,,,1.0,6.0,33.0,39.0,,2.0,2.0,,,,2.0,,,2.0,6.0,,,,,,,,1.0,,,90.0,,1.0,,,,,,,12.0,,6.8,,,,8.0,1.0,,,7.0,,11.0,40.0,51.0,0,3.0,68.0,,,1.0,1.0
2019-20,8243437,4,20,Southampton,Home,773409,200439.0,Che Adams,che-adams,F,False,,,,8.0,4.0,12.0,5.0,2.0,4.0,,1.0,,,,,6.0,2.0,,,,,,,,1.0,1.0,,62.0,,,,,,,,,7.0,,6.3,,,1.0,,1.0,1.0,,,,11.0,4.0,14.0,1,,23.0,2.0,,,
2019-20,8243437,4,20,Southampton,Home,794953,135720.0,Kevin Danso,kevin-danso,D,False,,,,15.0,6.0,21.0,3.0,2.0,5.0,,,,,,,8.0,5.0,,,3.0,1.0,,,,2.0,1.0,,73.0,,,,,,,,,14.0,,6.2,,,,,4.0,3.0,,2.0,,23.0,6.0,26.0,0,1.0,49.0,2.0,,2.0,
2019-20,8243437,4,20,Southampton,Home,826202,213482.0,Yan Valery,yan-valery,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243437,4,20,Southampton,Home,920374,,Dan N'Lundulu,dan-nlundulu,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243456,5,20,Southampton,Away,10486,20452.0,Shane Long,shane-long,F,True,,,,,,,1.0,,,,,,1.0,,,3.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243456,5,20,Southampton,Away,20756,40146.0,Ryan Bertrand,ryan-bertrand,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243456,5,20,Southampton,Away,24248,80447.0,Maya Yoshida,maya-yoshida,D,False,,,1.0,5.0,42.0,47.0,2.0,2.0,9.0,,,,,,1.0,3.0,4.0,,,,,,,,1.0,,,90.0,,1.0,,,,,,,9.0,,7.1,,,,3.0,,,,4.0,,11.0,44.0,55.0,0,1.0,65.0,,1.0,,
