season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,12190340,29,31,Crystal_Palace,Home,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,False,,,1.0,11.0,3.0,14.0,2.0,5.0,3.0,,,,,,,5.0,12.0,9.0,,,0.0324703,0.3582,1.1422,1.0,,2.0,,,,,1.0,,90.0,3.0,,,,,,15.0,,8.7,,,1.0,,,5.0,,,1.0,1.0,15.0,5.0,20.0,4,2.0,40.0,,1.0,1.0,2.0
2023-24,11352622,30,31,Crystal_Palace,Away,103045,80146,Jordan Ayew,jordan-ayew,F,False,,,,4.0,12.0,16.0,,1.0,7.0,,,,2.0,,,2.0,5.0,6.0,,,0.00862363,0.0361,,1.0,,,,,,,,,66.0,,,,,,,8.0,,6.8,,,1.0,,,,1.0,,1.0,,7.0,12.0,18.0,1,2.0,33.0,2.0,3.0,,2.0
2023-24,11352622,30,31,Crystal_Palace,Away,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,False,1.0,,2.0,6.0,3.0,8.0,7.0,,2.0,,,1.0,,,,1.0,11.0,2.0,,,0.0257309,0.2451,0.2407,2.0,,1.0,,,,,,,90.0,1.0,1.0,,,,,12.0,,7.4,,,,,1.0,1.0,2.0,,3.0,,13.0,3.0,14.0,2,1.0,32.0,3.0,1.0,,1.0
2023-24,11352622,30,31,Crystal_Palace,Away,1149851,574398,Franco Umeh,franco-umeh,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352319,31,31,Crystal_Palace,Away,103045,80146,Jordan Ayew,jordan-ayew,F,False,,,,11.0,6.0,17.0,1.0,,2.0,,,,,,,1.0,4.0,5.0,,,0.0108949,0.0326,0.0336,1.0,,,,,,,,,70.0,1.0,,,,,,8.0,,6.9,,,,,,2.0,2.0,,,,14.0,7.0,19.0,1,1.0,33.0,2.0,3.0,1.0,
2023-24,11352319,31,31,Crystal_Palace,Away,795228,199670,Odsonne Édouard,odsonne-edouard,F,True,,,,2.0,1.0,3.0,,,,,,,,,,,,1.0,,,0.07504,,,,,,,,,,,,10.0,,,,,,,1.0,,6.6,,,,,,,,,,,3.0,1.0,4.0,0,,5.0,,1.0,,
2023-24,11352319,31,31,Crystal_Palace,Away,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,False,,,,14.0,4.0,18.0,1.0,1.0,8.0,,,,1.0,,,4.0,7.0,4.0,,,0.0283793,0.1238,0.2397,1.0,,,,,,,,,90.0,1.0,1.0,,,,,15.0,,7.0,,,,,3.0,2.0,1.0,,,3.0,23.0,5.0,27.0,1,1.0,44.0,1.0,,2.0,1.0
2023-24,11352319,31,31,Crystal_Palace,Away,1149851,574398,Franco Umeh,franco-umeh,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352362,32,31,Crystal_Palace,Home,103045,80146,Jordan Ayew,jordan-ayew,F,False,,,,6.0,5.0,11.0,1.0,,3.0,,,,,,,,1.0,2.0,,,0.00872946,0.1382,,,,,,,1.0,1.0,,,74.0,,,,,,,2.0,,6.9,,,2.0,,,1.0,,,,,8.0,5.0,13.0,2,,20.0,,1.0,1.0,
2023-24,11352362,32,31,Crystal_Palace,Home,795228,199670,Odsonne Édouard,odsonne-edouard,F,True,,,,1.0,1.0,2.0,,,1.0,,1.0,1.0,,,,1.0,2.0,2.0,,,0.0001745,0.472,0.59,1.0,,1.0,,,,,,,16.0,1.0,,,,,,1.0,,6.9,,,,,,,,,,,1.0,1.0,2.0,2,2.0,8.0,,,,
2023-24,11352362,32,31,Crystal_Palace,Home,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,False,,,1.0,,5.0,5.0,1.0,1.0,3.0,,,,1.0,,,2.0,6.0,3.0,,,9.046e-05,0.4026,0.7156,2.0,,1.0,,,,,,,74.0,1.0,,,,,,7.0,,6.8,,,,,,,1.0,,1.0,2.0,1.0,6.0,6.0,1,2.0,15.0,3.0,,,
2023-24,11352362,32,31,Crystal_Palace,Home,1149851,574398,Franco Umeh,franco-umeh,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352403,33,31,Crystal_Palace,Away,103045,80146,Jordan Ayew,jordan-ayew,F,True,,,,2.0,1.0,3.0,1.0,,4.0,,,,,,,1.0,5.0,3.0,,,0.00101516,,,,,,,,,,,,22.0,,,,,,,6.0,,6.4,,,,,1.0,4.0,,,,,4.0,1.0,5.0,0,,15.0,,2.0,1.0,
2023-24,11352403,33,31,Crystal_Palace,Away,795228,199670,Odsonne Édouard,odsonne-edouard,F,True,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,8.0,,,,,,,2.0,,6.3,,,,,,1.0,,,,,,,,0,,3.0,1.0,,,
