season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7090117,13,13,Leicester_City,Home,54331,61604.0,Matty James,matty-james,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090117,13,13,Leicester_City,Home,139502,90714.0,Ahmed Musa,ahmed-musa,F,True,1.0,,,7.0,1.0,7.0,1.0,2.0,1.0,,,,,,,,1.0,3.0,,,,,,,,1.0,1.0,,22.0,,,,,,,,6.0,,7.0,,,2.0,,,3.0,,,,12.0,2.0,11.0,2,,18.0,,1.0,,
2016-17,7090117,13,13,Leicester_City,Home,148710,86417.0,Jeffrey Schlupp,jeffrey-schlupp,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090117,13,13,Leicester_City,Home,158213,103025.0,Riyad Mahrez,riyad-mahrez,M,False,1.0,,1.0,6.0,8.0,13.0,1.0,,6.0,,,,1.0,,,,5.0,6.0,,,1.0,,1.0,,,,1.0,,68.0,1.0,,,,,,,16.0,,7.2,,,,,6.0,3.0,,3.0,1.0,14.0,12.0,23.0,1,,39.0,2.0,2.0,4.0,
2016-17,7090117,13,13,Leicester_City,Home,173827,101668.0,Jamie Vardy,jamie-vardy,F,False,,,,1.0,,1.0,3.0,,,,,,1.0,,,,5.0,1.0,,,1.0,,,,,,,,65.0,,,,,,,,5.0,,6.3,,,,,,1.0,,,,5.0,,4.0,0,,9.0,1.0,1.0,,
2016-17,7090117,13,13,Leicester_City,Home,238708,149828.0,Islam Slimani,islam-slimani,F,True,,,,4.0,1.0,5.0,2.0,,1.0,,,,,,,1.0,3.0,,,,1.0,,1.0,,,,,,25.0,1.0,,,,,,,4.0,,6.7,,,,,,,,,1.0,4.0,2.0,6.0,1,,10.0,2.0,,,
2016-17,7090117,13,13,Leicester_City,Home,260097,,Luis Hernández,luis-hernandez,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090117,13,13,Leicester_City,Home,308526,155569.0,Daniel Amartey,daniel-amartey,M,False,1.0,,1.0,15.0,24.0,38.0,2.0,3.0,13.0,,,1.0,1.0,,,,8.0,8.0,,,5.0,,,,,2.0,1.0,,90.0,,,,,,,,14.0,,6.9,,,2.0,1.0,,1.0,,5.0,,25.0,25.0,49.0,3,5.0,65.0,2.0,,,2.0
2016-17,7090117,13,13,Leicester_City,Home,355152,172632.0,Demarai Gray,demarai-gray,M,True,,,,5.0,,5.0,2.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,14.0,,,,,,,,1.0,,6.4,,,,,,,,,,5.0,,5.0,0,,6.0,1.0,,,
2016-17,7090094,14,13,Leicester_City,Away,1203,12413.0,Robert Huth,robert-huth,D,False,,,1.0,2.0,12.0,14.0,1.0,2.0,4.0,,,,,,,,3.0,3.0,,,2.0,,,,,4.0,,,90.0,1.0,2.0,1.0,,,,,7.0,,7.1,,,,5.0,,,,5.0,,8.0,13.0,21.0,1,1.0,36.0,,,,1.0
