season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576201,27,39,Wolverhampton_Wanderers,Away,894474,214048,Max Kilman,max-kilman,D,False,,,2.0,19.0,49.0,68.0,4.0,1.0,13.0,,,,2.0,,,1.0,8.0,4.0,,,1.0,,,,,,,,,90.0,,1.0,,,,,11.0,,6.4,,,1.0,,,,,,7.0,,23.0,53.0,76.0,1,2.0,85.0,2.0,1.0,,2.0
2021-22,9576201,27,39,Wolverhampton_Wanderers,Away,931278,448514,Rayan Aït-Nouri,rayan-ait-nouri,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576201,27,39,Wolverhampton_Wanderers,Away,954044,441271,Ki-Jana Hoever,ki-jana-hoever,D,False,,,,14.0,10.0,24.0,1.0,1.0,2.0,,,,1.0,,,3.0,6.0,4.0,,,,,,,,,1.0,,,90.0,,,,,,,20.0,,6.3,,,,,1.0,1.0,2.0,,1.0,,20.0,15.0,33.0,0,3.0,55.0,1.0,,,2.0
2021-22,9576288,28,39,Wolverhampton_Wanderers,Home,98449,94147,Conor Coady,conor-coady,D,False,,,1.0,18.0,26.0,44.0,1.0,1.0,6.0,,,,,,,,1.0,3.0,,,,,,,,,1.0,,,90.0,,2.0,,,,,5.0,,6.9,,,1.0,,,,,,3.0,,19.0,30.0,49.0,1,2.0,57.0,,,,1.0
2021-22,9576288,28,39,Wolverhampton_Wanderers,Home,139310,90585,Willy Boly,willy-boly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576288,28,39,Wolverhampton_Wanderers,Home,143593,111291,Marçal,marcal,D,False,,,2.0,30.0,17.0,47.0,2.0,,3.0,,,,1.0,,,,4.0,8.0,,,2.0,,,,,,1.0,2.0,,90.0,1.0,1.0,,,,,13.0,,7.6,,,,,3.0,3.0,2.0,,3.0,,40.0,20.0,58.0,1,5.0,82.0,,,3.0,1.0
2021-22,9576288,28,39,Wolverhampton_Wanderers,Home,187729,107613,Romain Saïss,romain-saiss,D,False,,,4.0,26.0,32.0,58.0,1.0,6.0,10.0,,,,,,,,1.0,7.0,,,,,,,,,3.0,,,90.0,,,,,,,15.0,,6.9,,,,,2.0,1.0,1.0,,10.0,1.0,36.0,36.0,71.0,0,,83.0,1.0,,1.0,
2021-22,9576288,28,39,Wolverhampton_Wanderers,Home,235648,114128,Jonny Otto,jonny-otto,D,True,1.0,,2.0,26.0,12.0,37.0,2.0,2.0,7.0,,,1.0,2.0,,,1.0,6.0,7.0,,,1.0,,,,,,,1.0,,65.0,,,,,,,16.0,,6.7,,,,,2.0,3.0,2.0,,3.0,,35.0,14.0,47.0,1,,68.0,3.0,2.0,3.0,
2021-22,9576288,28,39,Wolverhampton_Wanderers,Home,894474,214048,Max Kilman,max-kilman,D,False,,,2.0,14.0,27.0,41.0,3.0,,5.0,,,,2.0,,,,6.0,2.0,,1.0,1.0,,,,,,,,,79.0,,,,1.0,,,12.0,,5.6,,,,,2.0,,,,6.0,,19.0,34.0,53.0,0,2.0,61.0,,,,1.0
2021-22,9576288,28,39,Wolverhampton_Wanderers,Home,931278,448514,Rayan Aït-Nouri,rayan-ait-nouri,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
