playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedGoalsOnTargetConceded,expectedAssists,goalsConceded,totalRedCards,rightsidePasses,shotsOnTargetIncGoals,winningGoal,duels,homeGoals,expectedGoalsOnTarget,appearances,rightFootGoals,totalShots,gamesPlayed,successfulPassesOppositionHalf,goalsConcededInsideBox,totalPasses,goals,awayGoals,straightRedCards,openPlayPasses,substituteOn,aerialDuels,leftsidePasses,backwardPasses,timePlayed,touches,aerialDuelsLost,successfulShortPasses,expectedGoals,yellowCards,blockedShots,totalTackles,unsuccessfulShortPasses,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,offsides,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,totalTouchesInOppositionBox,keyPassesAttemptAssists,totalClearances,shotsBlockedInBox,groundDuelsLost,totalFoulsWon,putthroughBlockedDistributionWon,forwardPasses,recoveries,tacklesLost,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,cornersWon,totalLossesOfPossession,totalFoulsConceded,interceptions,successfulLongPasses,substituteOff,successfulPassesOwnHalf,foulAttemptedTackle,unsuccessfulDribbles,shotsOffTargetIncWoodwork,tacklesWon,iboxTarget,shotsOnTargetInBox,unsuccessfulLongPasses,overruns,goalAssists,cleanSheets,unsuccessfulLayoffs,aerialDuelsWon,successfulDribbles,blocks,unsuccessfulLaunches,unsuccessfulPassesOwnHalf,cornersTakenInclShortCorners,successfulCrossesAndCorners,unsuccessfulCornersIntoBox,oboxBlocked,shotsBlockedOutsideBox,handballsConceded,goalKicks,gkSuccessfulDistribution,successfulLaunches,punches,catches,savesMade,savesMadeFromOutsideBox,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,successfulCrossesOpenPlay,throughBalls,shotsOnTargetOutsideBox,successfulCornersIntoBox,oboxTarget,leftFootGoals,throwInsToOppositionPlayer,throwInsToOwnPlayer,headedGoals
480455,Jarrad Branthwaite,Defender,Everton,11,England,2026-27,3.0,3.7711,0.0209,3.0,0.0,42.0,3.0,0.0,17.0,,0.1737,3.0,,3.0,3.0,36.0,2.0,119.0,,,0.0,111.0,,11.0,28.0,5.0,270.0,163.0,1.0,94.0,0.161,0.0,,4.0,7.0,1.0,3.0,17.0,,1.0,14.0,1.0,3.0,4.0,6.0,,17.0,,2.0,,3.0,44.0,9.0,2.0,,1.0,,6.0,1.0,19.0,1.0,5.0,8.0,,66.0,1.0,1.0,,2.0,3.0,3.0,10.0,,,1.0,,10.0,,5.0,1.0,4.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
111234,Jordan Pickford,Goalkeeper,Everton,11,England,2026-27,,3.7711,0.0197,3.0,0.0,29.0,,0.0,3.0,,,3.0,,,3.0,10.0,2.0,108.0,,,0.0,78.0,,,11.0,,270.0,140.0,,49.0,,0.0,,,,,3.0,43.0,,,3.0,1.0,,3.0,,,4.0,,,3.0,,68.0,35.0,,,,,3.0,,43.0,,,16.0,,55.0,,,,,,,43.0,,,1.0,,,,,21.0,3.0,,,,,,,10.0,18.0,4.0,3.0,1.0,9.0,3.0,1.0,6.0,1.0,6.0,,,,,,,,,
215413,Kiernan Dewsbury-Hall,Midfielder,Everton,11,England,2026-27,16.0,3.7711,0.3979,3.0,0.0,22.0,4.0,1.0,31.0,1.0,0.556,3.0,,6.0,3.0,73.0,2.0,109.0,1.0,0.0,0.0,101.0,,2.0,33.0,27.0,269.0,177.0,2.0,87.0,0.4522,0.0,3.0,9.0,14.0,3.0,3.0,18.0,7.0,,15.0,1.0,9.0,15.0,9.0,8.0,3.0,2.0,14.0,3.0,4.0,27.0,17.0,5.0,12.0,11.0,2.0,29.0,1.0,46.0,1.0,,4.0,1.0,20.0,,6.0,2.0,4.0,2.0,2.0,4.0,1.0,,,1.0,,3.0,,,,6.0,2.0,4.0,1.0,1.0,,,,1.0,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,
229600,Mark Travers,Goalkeeper,Everton,11,Ireland,2026-27,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513466,Merlin Röhl,Midfielder,Everton,11,Germany,2026-27,14.0,3.467,0.1921,2.0,0.0,4.0,,0.0,26.0,,,3.0,,,3.0,40.0,1.0,88.0,,,0.0,87.0,,9.0,42.0,15.0,251.0,160.0,6.0,65.0,,1.0,,5.0,16.0,1.0,3.0,17.0,6.0,,12.0,1.0,14.0,9.0,1.0,2.0,6.0,,8.0,4.0,6.0,27.0,13.0,1.0,6.0,3.0,,17.0,2.0,37.0,3.0,1.0,6.0,2.0,32.0,,2.0,,4.0,,,1.0,,,1.0,,3.0,,,,10.0,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,6.0,22.0,
106611,Michael Keane,Defender,Everton,11,England,2026-27,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586309,Thierno Barry,Forward,Everton,11,France,2026-27,22.0,2.7968,0.1106,3.0,0.0,10.0,3.0,0.0,39.0,1.0,1.5164,3.0,,6.0,3.0,24.0,2.0,46.0,1.0,0.0,0.0,46.0,,26.0,11.0,17.0,239.0,90.0,17.0,34.0,2.3087,0.0,3.0,1.0,11.0,7.0,3.0,12.0,1.0,,17.0,1.0,4.0,8.0,16.0,3.0,2.0,2.0,5.0,4.0,2.0,8.0,7.0,,1.0,5.0,2.0,13.0,,32.0,,,,2.0,11.0,,2.0,3.0,1.0,2.0,2.0,1.0,,,,1.0,9.0,3.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0
496661,Tyler Dibling,Forward,Everton,11,England,2026-27,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550615,Tyrique George,Forward,Everton,11,England,2026-27,8.0,2.7968,0.1486,3.0,0.0,37.0,2.0,0.0,22.0,1.0,0.529,3.0,1.0,5.0,3.0,48.0,2.0,78.0,1.0,0.0,0.0,78.0,,2.0,8.0,21.0,236.0,127.0,,66.0,0.2601,0.0,3.0,1.0,9.0,1.0,3.0,9.0,6.0,2.0,14.0,1.0,4.0,12.0,16.0,6.0,1.0,1.0,8.0,4.0,2.0,12.0,8.0,,6.0,5.0,1.0,20.0,3.0,30.0,1.0,3.0,3.0,2.0,21.0,1.0,2.0,3.0,1.0,,,,1.0,,,,2.0,7.0,,,3.0,,,,2.0,2.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,
224967,Vitalii Mykolenko,Defender,Everton,11,Ukraine,2026-27,10.0,3.7711,0.0632,3.0,0.0,28.0,,0.0,26.0,,,3.0,,,3.0,48.0,2.0,114.0,,,0.0,111.0,,13.0,12.0,19.0,270.0,192.0,5.0,88.0,,0.0,,4.0,12.0,1.0,3.0,23.0,7.0,,16.0,1.0,4.0,8.0,1.0,1.0,11.0,,5.0,3.0,2.0,55.0,15.0,3.0,7.0,2.0,,13.0,1.0,46.0,1.0,3.0,3.0,,43.0,,1.0,,1.0,,,11.0,,,1.0,,8.0,2.0,4.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,20.0,
