season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,crossNotClaimed,dispossessed,duelLost,duelWon,fouls,goalAssist,goals,goodHighClaim,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,possessionLostCtrl,rating,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonTackle
2013-14,3965403,18,56,Sunderland,Away,801455,41574,Jozy Altidore,jozy-altidore,F,True,,,,,,,,,,,,,,,,,,0.0,0.0,,,,1.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965419,19,56,Sunderland,Away,9216,18953,Steven Fletcher,steven-fletcher,F,True,,,,,,,,,,,,,,,,,,0.0,1.0,,,,45.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965419,19,56,Sunderland,Away,89510,77454,Fabio Borini,fabio-borini,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,45.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965419,19,56,Sunderland,Away,801455,41574,Jozy Altidore,jozy-altidore,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965451,20,56,Sunderland,Home,834,19959,Adam Johnson,adam-johnson,F,True,,,,,,,,,,,,,,,,,,0.0,0.0,,,,13.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965451,20,56,Sunderland,Home,9216,18953,Steven Fletcher,steven-fletcher,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965451,20,56,Sunderland,Home,89510,77454,Fabio Borini,fabio-borini,F,True,,,,,,,,,,,,,,,,,,0.0,0.0,,,,44.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965451,20,56,Sunderland,Home,801455,41574,Jozy Altidore,jozy-altidore,F,True,,,,,,,,,,,,,,,,,,0.0,0.0,,,,23.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965451,20,56,Sunderland,Home,823127,98769,Ji Dong-Won,ji-dong-won,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,67.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965463,21,56,Sunderland,Away,834,19959,Adam Johnson,adam-johnson,F,False,,,,,,,,,,,,,,,,,,0.0,3.0,,,,87.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965463,21,56,Sunderland,Away,9216,18953,Steven Fletcher,steven-fletcher,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,66.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965463,21,56,Sunderland,Away,89510,77454,Fabio Borini,fabio-borini,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,75.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965463,21,56,Sunderland,Away,801455,41574,Jozy Altidore,jozy-altidore,F,True,,,,,,,,,,,,,,,,,,0.0,0.0,,,,24.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965463,21,56,Sunderland,Away,823127,98769,Ji Dong-Won,ji-dong-won,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965489,22,56,Sunderland,Home,834,19959,Adam Johnson,adam-johnson,F,False,,,,,,,,,,,,,,,,,,0.0,1.0,,,,90.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965489,22,56,Sunderland,Home,9216,18953,Steven Fletcher,steven-fletcher,F,True,,,,,,,,,,,,,,,,,,0.0,0.0,,,,18.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965489,22,56,Sunderland,Home,89510,77454,Fabio Borini,fabio-borini,F,False,,,,,,,,,,,,,,,,,,0.0,1.0,,,,90.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965489,22,56,Sunderland,Home,801455,41574,Jozy Altidore,jozy-altidore,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,72.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965509,23,56,Sunderland,Home,834,19959,Adam Johnson,adam-johnson,F,False,,,,,,,,,,,,,,,,,,0.0,1.0,,,,87.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965509,23,56,Sunderland,Home,9216,18953,Steven Fletcher,steven-fletcher,F,True,,,,,,,,,,,,,,,,,,0.0,0.0,,,,23.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965509,23,56,Sunderland,Home,50485,59125,Connor Wickham,connor-wickham,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965509,23,56,Sunderland,Home,89510,77454,Fabio Borini,fabio-borini,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965509,23,56,Sunderland,Home,801455,41574,Jozy Altidore,jozy-altidore,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,67.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965529,24,56,Sunderland,Away,834,19959,Adam Johnson,adam-johnson,F,False,,,,,,,,,,,,,,,,,,0.0,1.0,,,,77.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965529,24,56,Sunderland,Away,41015,52856,Ignacio Scocco,nacho-scocco,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965529,24,56,Sunderland,Away,50485,59125,Connor Wickham,connor-wickham,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965529,24,56,Sunderland,Away,89510,77454,Fabio Borini,fabio-borini,F,False,,,,,,,,,,,,,,,,,,1.0,1.0,,,,89.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965529,24,56,Sunderland,Away,801455,41574,Jozy Altidore,jozy-altidore,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965551,25,56,Sunderland,Home,834,19959,Adam Johnson,adam-johnson,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965551,25,56,Sunderland,Home,50485,59125,Connor Wickham,connor-wickham,F,True,,,,,,,,,,,,,,,,,,0.0,0.0,,,,14.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965551,25,56,Sunderland,Home,89510,77454,Fabio Borini,fabio-borini,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,12.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3965551,25,56,Sunderland,Home,801455,41574,Jozy Altidore,jozy-altidore,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,5187228,26,56,Sunderland,Away,834,19959,Adam Johnson,adam-johnson,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,5187228,26,56,Sunderland,Away,41015,52856,Ignacio Scocco,nacho-scocco,F,True,,,,,,,,,,,,,,,,,,0.0,0.0,,,,21.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
