season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6768278,29,6,Tottenham_Hotspur,Home,108579,78830,Harry Kane,harry-kane,F,False,,,,13.0,6.0,19.0,4.0,,5.0,,,1.0,,,,1.0,8.0,4.0,,,1.0,,1.0,,,1.0,2.0,,90.0,4.0,,,,,,,7.9,,,3.0,,2.0,2.0,,,,2.0,15.0,7.0,22.0,8,1.0,47.0,4.0,3.0,
2015-16,6768278,29,6,Tottenham_Hotspur,Home,111505,85971,Son Heung-min,son-heung-min,F,True,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,6.5,,,,,,,,,,,3.0,1.0,4.0,0,,4.0,,,
2015-16,6768288,30,6,Tottenham_Hotspur,Away,108579,78830,Harry Kane,harry-kane,F,False,,,1.0,19.0,6.0,25.0,2.0,,4.0,,2.0,,,,,2.0,5.0,2.0,,,,,2.0,,1.0,,1.0,,90.0,4.0,,,,,,,8.1,,,3.0,,1.0,1.0,1.0,,1.0,2.0,24.0,6.0,29.0,7,1.0,43.0,,1.0,
2015-16,6768288,30,6,Tottenham_Hotspur,Away,111505,85971,Son Heung-min,son-heung-min,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768293,31,6,Tottenham_Hotspur,Home,108579,78830,Harry Kane,harry-kane,F,False,,,1.0,15.0,5.0,20.0,2.0,3.0,2.0,,,,1.0,,,2.0,7.0,5.0,,,,,2.0,,,1.0,2.0,1.0,90.0,4.0,,,,,,,8.5,,,1.0,,1.0,2.0,,,1.0,1.0,20.0,5.0,25.0,5,1.0,41.0,2.0,1.0,
2015-16,6768293,31,6,Tottenham_Hotspur,Home,111505,85971,Son Heung-min,son-heung-min,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768305,32,6,Tottenham_Hotspur,Away,108579,78830,Harry Kane,harry-kane,F,False,,,1.0,9.0,4.0,13.0,2.0,1.0,4.0,1.0,,2.0,,,,3.0,7.0,6.0,,,1.0,,1.0,,,1.0,3.0,,90.0,1.0,1.0,,,,,,8.0,,,1.0,,,5.0,1.0,,2.0,,13.0,5.0,17.0,4,,38.0,3.0,1.0,4.0
2015-16,6768305,32,6,Tottenham_Hotspur,Away,111505,85971,Son Heung-min,son-heung-min,F,False,,,,16.0,7.0,23.0,,1.0,4.0,,1.0,2.0,,,,1.0,4.0,1.0,,,2.0,,,,,1.0,,,66.0,,,,,,,,6.0,,,1.0,,,1.0,3.0,,,1.0,26.0,7.0,30.0,3,,46.0,3.0,,
2015-16,6768321,33,6,Tottenham_Hotspur,Home,108579,78830,Harry Kane,harry-kane,F,False,,,2.0,12.0,2.0,14.0,1.0,3.0,2.0,,,,,,,4.0,7.0,8.0,,,2.0,,,,,,,,89.0,2.0,,,,,,,7.1,,,,,,2.0,,,2.0,1.0,21.0,4.0,25.0,2,,39.0,,3.0,2.0
2015-16,6768321,33,6,Tottenham_Hotspur,Home,111505,85971,Son Heung-min,son-heung-min,F,True,,,,4.0,1.0,5.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,5.0,1.0,6.0,0,,8.0,,,1.0
2015-16,6768367,34,6,Tottenham_Hotspur,Away,108579,78830,Harry Kane,harry-kane,F,False,1.0,,1.0,10.0,6.0,15.0,3.0,1.0,4.0,,,,,,,2.0,10.0,6.0,,,2.0,,2.0,,,3.0,1.0,,90.0,3.0,,,,,,,8.8,,,2.0,,2.0,4.0,2.0,,2.0,,20.0,7.0,25.0,5,2.0,56.0,1.0,2.0,1.0
2015-16,6768367,34,6,Tottenham_Hotspur,Away,111505,85971,Son Heung-min,son-heung-min,F,True,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,2,,3.0,,,
2015-16,6768362,35,6,Tottenham_Hotspur,Home,108579,78830,Harry Kane,harry-kane,F,False,,,3.0,12.0,2.0,14.0,3.0,2.0,1.0,,1.0,2.0,1.0,,,2.0,8.0,7.0,,,1.0,,,,1.0,,,,90.0,2.0,,,,,,,6.9,,,1.0,,1.0,3.0,1.0,,4.0,1.0,16.0,3.0,18.0,5,,35.0,,3.0,2.0
2015-16,6768362,35,6,Tottenham_Hotspur,Home,111505,85971,Son Heung-min,son-heung-min,F,True,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,6.5,,,,,,,,,,,2.0,,2.0,0,,4.0,2.0,,
2015-16,6768354,36,6,Tottenham_Hotspur,Away,108579,78830,Harry Kane,harry-kane,F,False,,,1.0,11.0,6.0,17.0,4.0,2.0,1.0,,,1.0,,,,2.0,8.0,5.0,,,1.0,,1.0,,,,,,90.0,3.0,,,,,,,7.4,,,1.0,,2.0,2.0,3.0,,2.0,,19.0,6.0,22.0,5,,41.0,2.0,2.0,1.0
2015-16,6768354,36,6,Tottenham_Hotspur,Away,111505,85971,Son Heung-min,son-heung-min,F,False,,,1.0,15.0,6.0,21.0,1.0,1.0,2.0,,,2.0,2.0,,,3.0,7.0,3.0,,,1.0,,1.0,,,2.0,,,65.0,1.0,,,,,,,7.0,,,2.0,,,,,,2.0,,16.0,9.0,25.0,5,2.0,41.0,,,
2015-16,6768354,36,6,Tottenham_Hotspur,Away,291665,145212,Clinton N'Jie,clinton-njie,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768398,37,6,Tottenham_Hotspur,Home,108579,78830,Harry Kane,harry-kane,F,False,,,1.0,11.0,2.0,13.0,5.0,1.0,1.0,,1.0,,,,,3.0,9.0,3.0,,,,,,,,,2.0,,90.0,1.0,,,,,,,6.8,,,5.0,,,1.0,,,1.0,1.0,18.0,2.0,20.0,6,,35.0,1.0,2.0,
2015-16,6768398,37,6,Tottenham_Hotspur,Home,111505,85971,Son Heung-min,son-heung-min,F,False,,,1.0,20.0,7.0,27.0,,1.0,2.0,,,,1.0,,,2.0,4.0,4.0,,,,,1.0,,,1.0,,,65.0,1.0,,,,,,,7.1,,,,,1.0,3.0,2.0,,1.0,,27.0,7.0,32.0,1,,45.0,,1.0,2.0
2015-16,6768398,37,6,Tottenham_Hotspur,Home,291665,145212,Clinton N'Jie,clinton-njie,F,True,,,,6.0,1.0,7.0,,,1.0,,,,,,,1.0,2.0,2.0,,,,,,,,,,,25.0,,,,,,,,6.5,,,,,,1.0,,,,,7.0,2.0,9.0,0,2.0,15.0,1.0,,
2015-16,6768383,38,6,Tottenham_Hotspur,Away,108579,78830,Harry Kane,harry-kane,F,False,,,,20.0,5.0,25.0,1.0,1.0,4.0,,,2.0,,,,1.0,3.0,5.0,,,,,,,1.0,,1.0,,90.0,,2.0,,,,,,7.1,,,2.0,,2.0,3.0,,,,1.0,27.0,5.0,32.0,4,,49.0,,2.0,2.0
2015-16,6768383,38,6,Tottenham_Hotspur,Away,111505,85971,Son Heung-min,son-heung-min,F,False,,,,11.0,2.0,13.0,,,1.0,,,,,,,4.0,5.0,,,,1.0,,,,,,1.0,,45.0,,,,,,,,5.9,,,,,,,,,,,14.0,2.0,16.0,0,,23.0,2.0,,
2015-16,6768383,38,6,Tottenham_Hotspur,Away,291665,145212,Clinton N'Jie,clinton-njie,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
