playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,overruns,totalTackles,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,shotsBlockedInBox,iboxBlocked,shotsOffTargetIncWoodwork,expectedGoals,catches,savesMadeFromOutsideBox,goalKicks,penaltiesFaced,penaltiesConceded,punches,savesMade,goalkeeperSmother,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,shotsOnTargetOutsideBox,ownGoalScored,oboxTarget,lastPlayerTackle,goals,awayGoals,oboxBlocked,homeGoals,rightFootGoals,leftFootGoals,headedGoals,shotsBlockedOutsideBox,successfulCornersIntoBox,unsuccessfulCornersIntoBox,hitWoodwork,foulWonPenalty,cornersTakenInclShortCorners,secondGoalAssists,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,savesMadeCaught,drops,otherGoals
158534,Kyle Walker-Peters,Defender,West Ham,21,England,2025-26,64.0,1.0,0.3849,0.0,2.0,44.0,1.0,61.0,23.0,,1.0,15.0,86.0,19.0,596.0,1.0,8.0,31.0,4.0,1.0,1380.0,19.0,97.0,1.0,35.0,85.0,495.0,19.0,10.0,5.0,26.3074,7.0,3.0,34.0,25.0,45.0,39.0,25.0,1.0,161.0,18.0,215.0,59.0,23.0,14.0,8.0,298.0,24.0,19.0,25.0,130.0,12.0,0.0,588.0,4.0,160.0,30.0,16.0,4.0,213.0,12.0,9.0,,15.0,129.0,968.0,102.0,3.0,12.0,213.0,6.0,2.0,2.0,25.0,29.0,,3.0,1.0415,5.0,2.0,2.0,,,,2.0,1.1305,,,,,,,,,,,,,,,,,1.0,0.0,,1.0,1.0,,,,,,,,,,,,,,,,,
518442,Lewis Orford,Midfielder,West Ham,21,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37096,Lukasz Fabianski,Goalkeeper,West Ham,21,Poland,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467189,Mads Hermansen,Goalkeeper,West Ham,21,Denmark,2025-26,,,0.0338,0.0,,,,4.0,18.0,1.0,,18.0,248.0,,593.0,,,10.0,7.0,,1620.0,,11.0,2.0,,1.0,263.0,,,1.0,22.8862,1.0,38.0,20.0,28.0,,95.0,2.0,0.0,11.0,,353.0,167.0,18.0,,,63.0,26.0,,,1.0,10.0,0.0,436.0,1.0,253.0,,,,145.0,,,,82.0,,804.0,,,151.0,282.0,,,0.0,244.0,31.0,,,,,,,,,,,,20.0,20.0,87.0,1.0,,12.0,55.0,1.0,129.0,62.0,11.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,
551226,Mateus Fernandes,Midfielder,West Ham,21,Portugal,2025-26,160.0,6.0,2.9693,0.0,2.0,103.0,14.0,127.0,36.0,4.0,60.0,35.0,196.0,23.0,1562.0,,1.0,39.0,4.0,12.0,3024.0,20.0,199.0,5.0,59.0,180.0,1256.0,22.0,2.0,5.0,42.7317,33.0,1.0,36.0,50.0,140.0,429.0,49.0,0.0,359.0,40.0,425.0,182.0,36.0,36.0,20.0,712.0,45.0,40.0,52.0,320.0,19.0,0.0,1438.0,14.0,333.0,67.0,28.0,12.0,369.0,49.0,35.0,,110.0,339.0,2120.0,4.0,12.0,11.0,666.0,30.0,2.0,7.0,69.0,50.0,11.0,8.0,1.7321,17.0,2.0,2.0,1.0,3.0,3.0,9.0,1.9994,,,,,,,,,,,,,3.0,,3.0,,3.0,1.0,8.0,2.0,2.0,,1.0,8.0,4.0,8.0,1.0,,13.0,,,,,,,,,
214048,Maximilian Kilman,Defender,West Ham,21,England,2025-26,63.0,1.0,0.3092,0.0,,16.0,,34.0,21.0,,,17.0,83.0,2.0,687.0,,4.0,82.0,1.0,1.0,1559.0,35.0,69.0,2.0,8.0,22.0,577.0,13.0,,4.0,35.6594,4.0,9.0,111.0,37.0,28.0,261.0,2.0,0.0,132.0,7.0,213.0,43.0,21.0,8.0,1.0,187.0,35.0,2.0,6.0,50.0,47.0,0.0,658.0,4.0,98.0,8.0,4.0,24.0,181.0,16.0,9.0,,27.0,32.0,916.0,,,18.0,418.0,3.0,1.0,4.0,49.0,20.0,2.0,1.0,0.0701,5.0,1.0,1.0,,2.0,2.0,4.0,0.5682,,,16.0,,2.0,,,,16.0,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,
630699,Mohamadou Kanté,Midfielder,West Ham,21,France,2025-26,12.0,,0.0548,0.0,,6.0,,8.0,11.0,,,,9.0,,31.0,,11.0,3.0,,,67.0,1.0,10.0,,3.0,8.0,22.0,4.0,,,0.9461,1.0,,2.0,1.0,11.0,6.0,1.0,0.0,22.0,2.0,8.0,7.0,11.0,2.0,,15.0,1.0,,4.0,19.0,2.0,0.0,31.0,,14.0,4.0,1.0,1.0,12.0,4.0,,,,5.0,57.0,,,,7.0,,,2.0,1.0,,,,,2.0,,,,,,2.0,0.0943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536109,Ollie Scarles,Defender,West Ham,21,England,2025-26,29.0,2.0,0.3113,0.0,1.0,30.0,1.0,29.0,13.0,,,9.0,54.0,10.0,275.0,1.0,4.0,14.0,,3.0,659.0,7.0,46.0,1.0,14.0,39.0,203.0,7.0,9.0,2.0,14.7489,5.0,8.0,30.0,16.0,22.0,80.0,7.0,0.0,75.0,8.0,122.0,35.0,13.0,8.0,7.0,110.0,15.0,31.0,7.0,61.0,7.0,0.0,271.0,4.0,117.0,22.0,2.0,1.0,14.0,7.0,13.0,,18.0,59.0,500.0,46.0,5.0,13.0,114.0,5.0,1.0,2.0,25.0,16.0,,,,3.0,,,,,,3.0,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,1.0,18.0,,,,,,,,,
530335,Pablo,Forward,West Ham,21,Brazil,2025-26,95.0,2.0,1.1175,0.0,1.0,26.0,3.0,50.0,14.0,1.0,15.0,10.0,53.0,3.0,201.0,,4.0,63.0,,2.0,826.0,42.0,63.0,1.0,23.0,42.0,146.0,26.0,,2.0,10.2023,13.0,,12.0,12.0,53.0,45.0,8.0,0.0,158.0,10.0,49.0,28.0,14.0,12.0,5.0,102.0,11.0,3.0,22.0,95.0,21.0,0.0,201.0,4.0,102.0,14.0,9.0,2.0,40.0,23.0,4.0,,2.0,67.0,365.0,,8.0,,48.0,13.0,,0.0,3.0,13.0,3.0,3.0,0.4596,9.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564940,Soungoutou Magassa,Midfielder,West Ham,21,France,2025-26,56.0,1.0,0.3107,0.0,,40.0,,61.0,22.0,,9.0,11.0,78.0,8.0,405.0,,11.0,27.0,,1.0,979.0,16.0,73.0,2.0,29.0,62.0,308.0,7.0,,2.0,20.7598,5.0,1.0,14.0,23.0,40.0,99.0,17.0,0.0,129.0,16.0,116.0,54.0,22.0,19.0,3.0,169.0,21.0,8.0,9.0,102.0,11.0,0.0,398.0,1.0,109.0,21.0,5.0,4.0,132.0,17.0,16.0,,19.0,58.0,594.0,4.0,9.0,8.0,159.0,11.0,1.0,4.0,17.0,30.0,2.0,2.0,0.9706,5.0,,,,,,3.0,0.442,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,2.0,0.0,1.0,,,2.0,,,,,,,,,,,,,,
215439,Tomás Soucek,Midfielder,West Ham,21,Czech Republic,2025-26,127.0,,0.5298,1.0,1.0,43.0,1.0,159.0,35.0,,28.0,24.0,200.0,14.0,898.0,5.0,11.0,122.0,6.0,,2198.0,54.0,136.0,2.0,35.0,68.0,664.0,57.0,,3.0,38.5501,11.0,4.0,83.0,41.0,73.0,219.0,22.0,0.0,263.0,14.0,297.0,66.0,35.0,19.0,7.0,336.0,39.0,14.0,15.0,141.0,68.0,1.0,873.0,10.0,262.0,24.0,4.0,15.0,226.0,37.0,16.0,1.0,34.0,156.0,1230.0,2.0,8.0,20.0,362.0,14.0,2.0,3.0,41.0,51.0,5.0,14.0,6.9672,21.0,8.0,8.0,3.0,5.0,5.0,7.0,5.6788,,,,,,,,,,,,,1.0,,1.0,,5.0,1.0,,4.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,1.0
247670,Valentín Castellanos,Forward,West Ham,21,Argentina,2025-26,96.0,2.0,0.8093,0.0,1.0,11.0,2.0,82.0,18.0,,20.0,17.0,89.0,7.0,250.0,9.0,1.0,63.0,1.0,2.0,1395.0,36.0,56.0,1.0,20.0,29.0,159.0,75.0,2.0,2.0,16.28,12.0,,21.0,16.0,60.0,67.0,16.0,1.0,152.0,8.0,73.0,31.0,18.0,3.0,10.0,115.0,15.0,7.0,21.0,89.0,27.0,0.0,248.0,7.0,148.0,8.0,2.0,2.0,49.0,32.0,6.0,,2.0,61.0,453.0,4.0,14.0,2.0,48.0,18.0,1.0,6.0,7.0,18.0,8.0,22.0,6.2682,42.0,13.0,13.0,6.0,6.0,6.0,20.0,5.804,,,,,,,,,,,,,3.0,,3.0,,6.0,3.0,2.0,3.0,3.0,,3.0,2.0,,,3.0,,,,1.0,1.0,0.0477,,,,,
