playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,blocks,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesConceded,timesTackled,interceptions,successfulCrossesOpenPlay,shotsOnTargetIncGoals,totalTackles,totalShots,setPiecesGoals,unsuccessfulCrossesOpenPlay,goals,awayGoals,substituteOn,successfulCrossesAndCorners,totalTouchesInOppositionBox,throwInsToOppositionPlayer,homeGoals,tacklesLost,leftFootGoals,lastPlayerTackle,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,otherGoals,shotsOffTargetIncWoodwork,tacklesWon,attemptsFromSetPieces,backwardPasses,throwInsToOwnPlayer,substituteOff,blockedShots,overruns,goalAssists,successfulLayoffs,rightFootGoals,headedGoals,successfulDribbles,hitWoodwork,handballsConceded,offsides,ownGoalScored,throughBalls,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,redCards2ndYellow,clearancesOffTheLine,unsuccessfulLayoffs,foulWonPenalty,penaltiesTaken,penaltyGoals
45158,Ryan Shotton,Defender,Middlesbrough PL2,England,2010-11,5.0,,0.0,,,1.0,2.0,,2.0,7.0,,,4.0,,,50.0,3.0,6.0,,5.0,4.0,,,,,1.0,4.0,,2.0,1.0,,1.0,0.0,11.0,,4.0,2.0,2.0,,,2.0,,7.0,1.0,0.0,,6.0,,11.0,1.0,,,1.0,,1.0,35.0,,3.0,,0.0,1.0,1.0,,2.0,1.0,,,4.0,,,1.0,,,2.0,,,6.0,,1.0,,,1.0,1.0,,,3.0,,1.0,5.0,,,,,,,,,,,1.0,,,,,,,,,,,
12150,Glenn Whelan,Midfielder,Bristol Rovers,Ireland,2010-11,73.0,,0.0,,,99.0,29.0,14.0,135.0,626.0,,,18.0,3.0,,1347.0,9.0,77.0,2.0,68.0,420.0,,,2.0,14.0,7.0,16.0,25.0,64.0,154.0,,16.0,0.0,150.0,,232.0,101.0,29.0,,,269.0,23.0,132.0,9.0,0.0,,611.0,7.0,188.0,9.0,,,146.0,27.0,71.0,858.0,15.0,226.0,,2.0,36.0,18.0,,18.0,33.0,2.0,5.0,48.0,14.0,,9.0,,,15.0,4.0,7.0,,,10.0,,,,19.0,,9.0,38.0,2.0,94.0,1.0,6.0,7.0,1.0,1.0,13.0,,,4.0,1.0,2.0,,,2.0,13.0,2.0,10.0,,,,,,
3658,Jermaine Pennant,Midfielder,Billericay Town,England,2010-11,146.0,,0.0,,,110.0,29.0,26.0,133.0,493.0,,,22.0,1.0,,2030.0,18.0,134.0,3.0,130.0,338.0,,,,45.0,2.0,10.0,19.0,128.0,49.0,,65.0,2.0,280.0,,177.0,137.0,29.0,,,297.0,16.0,258.0,4.0,0.0,,475.0,26.0,417.0,1.0,,,158.0,21.0,22.0,1092.0,12.0,125.0,,3.0,23.0,21.0,,90.0,35.0,29.0,9.0,38.0,20.0,,94.0,3.0,0.0,3.0,62.0,45.0,,3.0,6.0,1.0,,50.0,157.0,,11.0,32.0,10.0,109.0,,19.0,8.0,6.0,8.0,16.0,2.0,,27.0,2.0,,9.0,,8.0,68.0,26.0,38.0,,,4.0,,,
18074,Tom Soares,Midfielder,Stevenage,England,2010-11,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14489,Danny Pugh,Defender,Port Vale,England,2010-11,27.0,,0.0,,,31.0,10.0,5.0,45.0,142.0,,,9.0,,,521.0,9.0,19.0,1.0,19.0,84.0,,,,3.0,5.0,15.0,10.0,18.0,49.0,,5.0,0.0,46.0,,68.0,15.0,10.0,,,53.0,9.0,37.0,,0.0,,139.0,2.0,76.0,1.0,,,8.0,5.0,13.0,239.0,9.0,46.0,,1.0,14.0,10.0,,5.0,3.0,1.0,,14.0,2.0,,7.0,,,5.0,2.0,4.0,7.0,,4.0,,,3.0,11.0,,2.0,10.0,,17.0,14.0,,,,,2.0,,,,,,2.0,,1.0,5.0,1.0,4.0,,,,,,
6769,Salif Diao,Midfielder,Stoke City,Senegal,2010-11,13.0,,0.0,,,16.0,8.0,3.0,19.0,95.0,,,5.0,,,235.0,,16.0,1.0,11.0,70.0,,,1.0,,1.0,8.0,5.0,13.0,30.0,,,0.0,29.0,,25.0,15.0,8.0,,,37.0,4.0,24.0,5.0,0.0,,94.0,,24.0,3.0,,,27.0,5.0,6.0,138.0,,40.0,,3.0,3.0,5.0,,4.0,8.0,1.0,,11.0,1.0,,,,,5.0,1.0,1.0,,,4.0,,,,,,1.0,7.0,,13.0,,2.0,1.0,,,3.0,,,,,,,,,,,,,1.0,,,,
5589,Dean Whitehead,Midfielder,Huddersfield Town,England,2010-11,161.0,,0.0,,,224.0,37.0,31.0,268.0,1059.0,,,49.0,7.0,,2897.0,36.0,137.0,6.0,124.0,726.0,,,3.0,17.0,11.0,53.0,40.0,125.0,229.0,,50.0,2.0,298.0,,423.0,166.0,37.0,,,449.0,34.0,249.0,13.0,0.0,,1039.0,4.0,375.0,20.0,,,258.0,46.0,65.0,1524.0,35.0,345.0,,6.0,44.0,62.0,,50.0,73.0,2.0,7.0,71.0,19.0,,17.0,2.0,1.0,6.0,3.0,36.0,1.0,1.0,20.0,1.0,,8.0,19.0,,12.0,51.0,,149.0,7.0,1.0,7.0,4.0,1.0,17.0,,1.0,3.0,,4.0,1.0,,1.0,2.0,,2.0,,,1.0,1.0,,
11535,Michael Tonge,Midfielder,Port Vale,England,2010-11,2.0,,0.0,,,,2.0,,,2.0,,,,,,25.0,,2.0,,2.0,2.0,,,,,,,,2.0,,,,0.0,4.0,,1.0,1.0,2.0,,,1.0,,4.0,,0.0,,2.0,,3.0,,,,1.0,1.0,,8.0,,1.0,,0.0,,,,1.0,1.0,,,2.0,,,1.0,,,2.0,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1679,Rory Delap,Midfielder,Stoke City,Ireland,2010-11,140.0,,0.0,,,221.0,37.0,33.0,261.0,763.0,,,77.0,6.0,,2960.0,32.0,144.0,5.0,99.0,459.0,,,2.0,40.0,9.0,56.0,40.0,108.0,173.0,,21.0,0.0,284.0,,326.0,103.0,37.0,,,302.0,35.0,207.0,45.0,0.0,,757.0,22.0,596.0,9.0,,,159.0,48.0,43.0,1511.0,32.0,204.0,,5.0,40.0,56.0,,34.0,61.0,4.0,4.0,62.0,13.0,,30.0,2.0,1.0,4.0,4.0,32.0,239.0,1.0,20.0,,,12.0,30.0,,9.0,42.0,,105.0,102.0,10.0,6.0,2.0,1.0,13.0,1.0,1.0,16.0,2.0,2.0,2.0,1.0,5.0,,,,,1.0,1.0,,,
2570,Matthew Etherington,Midfielder,Stoke City,England,2010-11,113.0,,0.0,,,166.0,32.0,30.0,195.0,668.0,,,5.0,,,2529.0,5.0,83.0,5.0,83.0,453.0,,,3.0,66.0,3.0,15.0,37.0,108.0,215.0,,27.0,2.0,196.0,,223.0,153.0,32.0,,,391.0,32.0,191.0,,0.0,,639.0,42.0,520.0,,,,80.0,10.0,20.0,1279.0,8.0,155.0,,5.0,29.0,30.0,,89.0,25.0,33.0,12.0,30.0,24.0,,121.0,5.0,3.0,2.0,73.0,67.0,,2.0,10.0,5.0,,44.0,186.0,,12.0,20.0,5.0,150.0,3.0,14.0,19.0,10.0,6.0,24.0,,,26.0,1.0,,5.0,,10.0,92.0,36.0,54.0,,,3.0,1.0,2.0,2.0
1310,Eidur Gudjohnsen,Forward,Molde,Iceland,2010-11,44.0,,0.0,,,46.0,14.0,4.0,51.0,213.0,,,6.0,1.0,,472.0,5.0,17.0,,16.0,157.0,,,,8.0,,3.0,6.0,39.0,69.0,,5.0,0.0,61.0,,53.0,25.0,14.0,,,130.0,6.0,55.0,1.0,0.0,,213.0,2.0,86.0,1.0,,,50.0,8.0,5.0,298.0,1.0,33.0,,1.0,5.0,8.0,,21.0,5.0,1.0,2.0,6.0,10.0,,5.0,,,10.0,1.0,20.0,,,1.0,,,7.0,5.0,,8.0,5.0,1.0,41.0,,3.0,2.0,,1.0,20.0,,,5.0,1.0,,1.0,,4.0,,,,,,3.0,,,
18215,Kenwyne Jones,Forward,Cardiff City,Trinidad & Tobago,2010-11,282.0,,0.0,,,303.0,34.0,33.0,309.0,731.0,,,387.0,6.0,,2794.0,161.0,312.0,4.0,86.0,408.0,,,2.0,25.0,,45.0,32.0,121.0,178.0,,47.0,4.0,594.0,,283.0,59.0,34.0,,,358.0,28.0,207.0,226.0,0.0,,731.0,12.0,497.0,7.0,,,164.0,19.0,14.0,1218.0,1.0,66.0,,0.0,6.0,22.0,,93.0,13.0,2.0,33.0,22.0,77.0,,5.0,9.0,3.0,1.0,2.0,152.0,1.0,6.0,5.0,1.0,,33.0,5.0,1.0,44.0,17.0,,106.0,1.0,13.0,12.0,8.0,,51.0,1.0,6.0,17.0,6.0,1.0,8.0,,8.0,,,,,,15.0,1.0,,
11721,Ricardo Fuller,Forward,Nantwich Town,Jamaica,2010-11,149.0,,0.0,,,84.0,28.0,9.0,87.0,268.0,,,62.0,,,1084.0,42.0,63.0,1.0,43.0,176.0,,,1.0,9.0,,,15.0,107.0,62.0,,15.0,2.0,212.0,,81.0,30.0,28.0,,,151.0,14.0,150.0,20.0,0.0,,268.0,14.0,206.0,1.0,,,58.0,28.0,5.0,511.0,,31.0,,3.0,3.0,4.0,,72.0,7.0,1.0,12.0,11.0,29.0,,8.0,4.0,0.0,19.0,1.0,90.0,1.0,4.0,4.0,2.0,,30.0,8.0,,17.0,7.0,,67.0,1.0,8.0,13.0,11.0,1.0,17.0,2.0,,17.0,2.0,,9.0,,4.0,,,,,,6.0,,,
10370,Mamady Sidibe,Forward,Stoke City,Mali,2010-11,8.0,,0.0,,,4.0,2.0,,4.0,9.0,,,9.0,,,40.0,5.0,5.0,1.0,1.0,5.0,,,,,,,2.0,3.0,2.0,,,0.0,13.0,,4.0,,2.0,,,4.0,1.0,4.0,4.0,0.0,,9.0,,7.0,,,,,1.0,,15.0,,1.0,,0.0,,,,1.0,,,1.0,1.0,1.0,,,,,2.0,,1.0,,,,,,,,,,1.0,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,
12813,Jonathan Walters,Forward,Burnley,Ireland,2010-11,230.0,,0.0,,,285.0,36.0,27.0,296.0,764.0,,,194.0,5.0,,2342.0,106.0,161.0,4.0,73.0,459.0,,,2.0,25.0,4.0,17.0,34.0,124.0,160.0,,25.0,4.0,391.0,,288.0,94.0,36.0,,,330.0,30.0,197.0,88.0,0.0,,763.0,21.0,468.0,,,,184.0,34.0,9.0,1148.0,13.0,145.0,,4.0,11.0,36.0,1.0,83.0,20.0,7.0,18.0,36.0,38.0,,39.0,6.0,2.0,9.0,7.0,114.0,2.0,4.0,10.0,,,27.0,39.0,,20.0,26.0,,132.0,2.0,9.0,4.0,2.0,2.0,42.0,5.0,1.0,12.0,2.0,3.0,19.0,,5.0,,,,,,3.0,,1.0,1.0
4101,John Carew,Forward,Stoke City,Norway,2010-11,138.0,,0.0,,,136.0,20.0,13.0,140.0,346.0,,,95.0,1.0,,1152.0,40.0,92.0,2.0,37.0,205.0,,,,12.0,,17.0,21.0,98.0,79.0,,19.0,0.0,230.0,,127.0,37.0,20.0,,,157.0,19.0,135.0,55.0,0.0,,346.0,10.0,257.0,1.0,,,60.0,39.0,1.0,576.0,1.0,51.0,,1.0,4.0,12.0,,56.0,6.0,2.0,8.0,8.0,23.0,,11.0,1.0,0.0,7.0,2.0,69.0,,1.0,1.0,,,17.0,11.0,,15.0,7.0,,80.0,,8.0,9.0,4.0,1.0,28.0,1.0,,10.0,2.0,1.0,12.0,,6.0,,,,,,4.0,,1.0,
