playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,groundDuelsLost,substituteOn,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,foulAttemptedTackle,expectedGoals,goals,oboxBlocked,headedGoals,shotsBlockedOutsideBox,offsides,expectedGoalsFreekick,foulWonPenalty,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCornersIntoBox,penaltiesTaken,oboxTarget,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,hitWoodwork,ownGoalScored,handballsConceded,clearancesOffTheLine,rightFootGoals,unsuccessfulLayoffs,penaltyGoals,penaltiesConceded,otherGoals
160729,Jason Denayer,Defender,Lyon,143,Belgium,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57410,Nicolás Otamendi,Defender,Benfica,251,Argentina,2015-16,129.0,0.3323,0.0,,90.0,,147.0,30.0,30.0,249.0,1569.0,,139.0,11.0,,2672.0,49.0,219.0,7.0,31.0,129.0,1223.0,,30.8079,5.0,16.0,209.0,35.0,420.0,,30.0,348.0,19.0,,655.0,190.0,30.0,,,30.0,545.0,28.0,209.0,90.0,0.0,,1539.0,303.0,11.0,,,433.0,97.0,2122.0,1.0,40.0,775.0,,9.0,102.0,92.0,80.0,,,8.0,8.0,1.9072,19.0,,,1.0,1.0,,7.0,7.0,,,5.0,3.0,1.0,5.0,11.0,6.0,60.0,13.0,31.0,104.0,61.0,4.0,23.0,1.1883,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,2.0,,,,,
170154,Pablo Maffeo,Defender,Mallorca,181,Argentina,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145235,Angeliño,Defender,Roma,121,Spain,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113037,Cameron Humphreys,Defender,Port Vale,50,England,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52538,Fernando,Midfielder,Sevilla,179,Brazil,2015-16,106.0,0.4955,0.0,,60.0,,81.0,24.0,17.0,101.0,915.0,,65.0,6.0,,1697.0,27.0,122.0,3.0,35.0,84.0,766.0,,19.5195,8.0,3.0,36.0,22.0,336.0,,9.0,228.0,26.0,,231.0,112.0,24.0,,,10.0,514.0,19.0,163.0,38.0,0.0,,895.0,132.0,16.0,,,276.0,48.0,1168.0,3.0,10.0,301.0,,4.0,20.0,34.0,79.0,7.0,1.0,4.0,5.0,2.9692,11.0,,,12.0,,1.0,3.0,3.0,,,2.0,4.0,,2.0,6.0,2.0,50.0,5.0,27.0,43.0,72.0,,17.0,2.8981,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,
28554,Samir Nasri,Midfielder,West Ham United,21,France,2015-16,35.0,1.0442,0.0,,11.0,,26.0,12.0,4.0,27.0,416.0,,7.0,,,535.0,7.0,22.0,,11.0,22.0,377.0,,4.7274,8.0,1.0,,6.0,139.0,,5.0,57.0,6.0,,99.0,29.0,12.0,,,1.0,295.0,6.0,50.0,,0.0,,408.0,65.0,6.0,,,86.0,12.0,516.0,2.0,1.0,101.0,,3.0,1.0,4.0,28.0,8.0,2.0,3.0,7.0,2.976,11.0,5.0,2.0,14.0,7.0,7.0,4.0,4.0,,1.0,1.0,5.0,10.0,1.0,4.0,4.0,10.0,,4.0,2.0,92.0,3.0,3.0,2.6,2.0,2.0,,2.0,1.0,,,7.0,1.0,4.0,,1.0,,,,2.0,,,,,2.0,,,,
17740,Jesús Navas,Defender,Sevilla,179,Spain,2015-16,137.0,4.9679,0.0,,29.0,,175.0,34.0,24.0,210.0,1268.0,,42.0,8.0,,2279.0,33.0,110.0,4.0,74.0,101.0,1018.0,,17.2813,47.0,1.0,11.0,22.0,99.0,,24.0,247.0,38.0,,292.0,130.0,34.0,,,5.0,847.0,18.0,205.0,9.0,0.0,,1254.0,471.0,48.0,,,460.0,40.0,1798.0,8.0,17.0,244.0,,1.0,35.0,43.0,104.0,10.0,14.0,11.0,8.0,2.8028,20.0,7.0,7.0,46.0,117.0,33.0,7.0,7.0,1.0,2.0,7.0,22.0,143.0,7.0,12.0,44.0,24.0,,18.0,21.0,417.0,12.0,10.0,2.8725,,4.0,,4.0,4.0,,,53.0,1.0,17.0,,1.0,,,,23.0,,,,,,2.0,,,
61366,Kevin De Bruyne,Midfielder,Manchester City,43,Belgium,2015-16,154.0,6.9325,0.0,,28.0,,222.0,25.0,22.0,245.0,1127.0,,41.0,5.0,,2003.0,29.0,94.0,6.0,76.0,82.0,834.0,,21.221,72.0,1.0,13.0,26.0,283.0,,18.0,248.0,21.0,,335.0,131.0,25.0,,,4.0,751.0,20.0,207.0,12.0,0.0,,1090.0,497.0,36.0,,,290.0,48.0,1643.0,4.0,4.0,180.0,,2.0,23.0,39.0,125.0,3.0,13.0,10.0,25.0,7.8791,39.0,15.0,9.0,54.0,87.0,49.0,6.0,6.0,2.0,2.0,4.0,26.0,132.0,4.0,14.0,38.0,24.0,,16.0,18.0,219.0,10.0,10.0,4.4225,7.0,6.0,,6.0,8.0,0.2536,,89.0,12.0,35.0,,12.0,,4.0,4.0,42.0,1.0,,,,7.0,6.0,,,
41823,Fabian Delph,Midfielder,Everton,11,England,2015-16,52.0,0.6579,0.0,,26.0,,50.0,17.0,8.0,69.0,483.0,,15.0,1.0,,753.0,9.0,65.0,1.0,23.0,59.0,404.0,,11.0403,2.0,,8.0,14.0,172.0,,9.0,117.0,14.0,,123.0,65.0,17.0,,,13.0,286.0,13.0,102.0,6.0,0.0,,477.0,112.0,24.0,,,114.0,10.0,657.0,7.0,8.0,129.0,,0.0,19.0,21.0,43.0,9.0,1.0,3.0,5.0,0.3454,10.0,1.0,,16.0,6.0,1.0,,,,,1.0,7.0,6.0,1.0,5.0,2.0,13.0,2.0,7.0,22.0,74.0,3.0,5.0,0.3255,2.0,2.0,,2.0,,,,,3.0,,,3.0,2.0,,,,1.0,,1.0,,,,,,
