playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,otherGoals,timesTackled,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,successfulCrossesOpenPlay,expectedAssists,totalRedCards,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,successfulLaunches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,clearancesOffTheLine,expectedGoalsFreekick,lastPlayerTackle,headedGoals,freekickTotal,attemptsFromSetPieces,ownGoalScored,penaltiesConceded,setPiecesGoals,penaltiesTaken,penaltyGoals
40145,Jack Cork,Defender,Southampton,20,England,2013-14,114.0,7.0,4.0,0.2385,65.0,2.0,28.0,1332.0,,1.0,,7.0,7.0,,,41.0,6.0,93.0,,1.0,23.685,14.0,,16.0,0.0,144.0,28.0,,,7.0,12.0,,31.0,1309.0,7.0,249.0,47.0,369.0,23.0,,111.0,170.0,1630.0,4.0,1.0,561.0,,33.0,39.0,1.0,3.0,0.9174,0.0,2.0,11.0,152.0,1.0,26.0,1.0,21.0,185.0,12.0,,72.0,4.0,4.0,3.0,1736.0,,124.0,26.0,1036.0,6.0,,48.0,26.0,73.0,418.0,238.0,16.0,,375.0,4.0,18.0,589.0,20.0,,166.0,31.0,0.0,6.0,16.0,2.0,29.0,11.0,7.0,12.0,8.0,0.52,5.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
101178,James Ward-Prowse,Midfielder,Southampton,20,England,2013-14,106.0,4.0,7.0,0.6106,36.0,1.0,34.0,1031.0,,,,4.0,18.0,2.0,2.0,36.0,4.0,57.0,32.0,1.0,20.2496,37.0,,17.0,0.0,108.0,34.0,,,9.0,104.0,,26.0,1000.0,9.0,281.0,30.0,285.0,21.0,57.0,74.0,206.0,1415.0,15.0,,420.0,,31.0,35.0,2.0,15.0,4.0732,0.0,1.0,16.0,102.0,2.0,23.0,,16.0,133.0,34.0,97.0,50.0,1.0,5.0,55.0,1601.0,1.0,71.0,39.0,824.0,10.0,1.0,16.0,23.0,70.0,208.0,177.0,25.0,,332.0,5.0,6.0,533.0,19.0,,127.0,14.0,0.0,13.0,5.0,3.0,23.0,7.0,4.0,14.0,5.0,0.7858,3.0,,,,,,,6.0,,,,,,,,,,0.2317,,,3.0,3.0,,,,,
44683,Jay Rodriguez,Forward,Southampton,20,England,2013-14,230.0,27.0,32.0,12.1994,47.0,5.0,33.0,730.0,15.0,27.0,9.0,13.0,3.0,14.0,14.0,63.0,6.0,119.0,,3.0,34.8404,17.0,14.0,32.0,4.0,111.0,33.0,9.0,3.0,51.0,30.0,,114.0,721.0,42.0,416.0,39.0,103.0,29.0,,24.0,191.0,1327.0,6.0,4.0,139.0,1.0,16.0,28.0,,6.0,2.3111,0.0,15.0,74.0,155.0,3.0,71.0,,30.0,171.0,30.0,,102.0,4.0,3.0,6.0,2567.0,16.0,158.0,48.0,535.0,146.0,,27.0,39.0,167.0,240.0,388.0,28.0,6.0,196.0,3.0,8.0,426.0,33.0,14.0,286.0,39.0,0.0,18.0,40.0,2.0,23.0,12.0,13.0,4.0,10.0,10.1937,2.0,,,,,,,2.0,,,,,,,,,,,,3.0,,,,,,,
15976,Jos Hooiveld,Defender,Southampton,20,Netherlands,2013-14,15.0,1.0,,,8.0,,3.0,164.0,,,,,,,,8.0,,10.0,,1.0,4.2933,,1.0,2.0,0.0,11.0,3.0,,,,2.0,,1.0,155.0,,31.0,6.0,27.0,3.0,,19.0,17.0,209.0,,,112.0,,9.0,8.0,,,0.0084,0.0,,,18.0,,,,3.0,27.0,2.0,,17.0,,,,270.0,,19.0,2.0,118.0,2.0,,22.0,6.0,7.0,60.0,34.0,,,60.0,,2.0,25.0,6.0,1.0,17.0,9.0,0.0,1.0,,,5.0,,,11.0,,0.0617,1.0,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,
38580,José Fonte,Defender,Southampton,20,Portugal,2013-14,109.0,7.0,6.0,1.8593,68.0,,36.0,1929.0,3.0,,1.0,,1.0,3.0,3.0,52.0,10.0,85.0,,3.0,40.9367,3.0,7.0,16.0,1.0,165.0,36.0,1.0,,2.0,10.0,,5.0,1866.0,7.0,364.0,52.0,651.0,33.0,,177.0,201.0,2502.0,3.0,,1218.0,,142.0,92.0,1.0,4.0,0.5049,0.0,,13.0,195.0,,3.0,,35.0,337.0,10.0,,138.0,15.0,,4.0,3181.0,,171.0,20.0,1415.0,33.0,,297.0,41.0,57.0,304.0,280.0,10.0,2.0,773.0,,16.0,378.0,31.0,7.0,142.0,86.0,0.0,3.0,3.0,19.0,74.0,,,116.0,10.0,1.8346,7.0,,,,,,,32.0,,,,,,,,,,,1.0,2.0,,,,3.0,,,
3673,Kelvin Davis,Goalkeeper,Southampton,20,England,2013-14,,,,,,,2.0,58.0,,,,,,,,,1.0,,,,4.0564,,,,0.0,15.0,2.0,,,,,,,38.0,,19.0,,8.0,,,26.0,,72.0,,,29.0,,17.0,7.0,,,0.003,0.0,,,2.0,,,,2.0,19.0,,,,,,,180.0,,,,13.0,,,,5.0,,11.0,,,,39.0,,,10.0,4.0,,,,0.0,,,,,,,8.0,,,0.0,1.0,2.0,13.0,,,,13.0,4.0,1.0,,,14.0,7.0,1.0,2.0,,,,,,,,,,,
101179,Lloyd Isgrove,Midfielder,Southampton,20,Wales,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106760,Luke Shaw,Defender,Southampton,20,England,2013-14,183.0,7.0,10.0,1.9928,72.0,2.0,35.0,1402.0,,,,5.0,,4.0,4.0,48.0,8.0,171.0,,2.0,36.3331,34.0,2.0,45.0,0.0,175.0,35.0,,,44.0,113.0,,90.0,1372.0,7.0,592.0,61.0,40.0,27.0,,40.0,282.0,2490.0,308.0,1.0,479.0,2.0,64.0,76.0,,29.0,2.3371,0.0,11.0,17.0,229.0,1.0,4.0,1.0,35.0,293.0,113.0,,109.0,13.0,6.0,29.0,2992.0,,232.0,74.0,1069.0,42.0,47.0,122.0,38.0,135.0,599.0,415.0,42.0,,481.0,6.0,11.0,659.0,30.0,2.0,306.0,61.0,0.0,25.0,56.0,4.0,37.0,5.0,5.0,48.0,10.0,0.8649,4.0,,,,,,,7.0,,,,,,,,,,0.0687,,,1.0,1.0,,,,,
169359,Matt Targett,Defender,Southampton,20,England,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
80447,Maya Yoshida,Defender,Southampton,20,Japan,2013-14,14.0,1.0,1.0,0.7612,9.0,1.0,8.0,363.0,1.0,,1.0,,1.0,,,10.0,3.0,13.0,,,8.4749,1.0,1.0,4.0,0.0,40.0,8.0,,,,,,,355.0,1.0,70.0,7.0,69.0,3.0,,33.0,19.0,454.0,1.0,,221.0,,27.0,22.0,,,0.0463,0.0,,2.0,42.0,,,,7.0,69.0,,,38.0,3.0,,,632.0,,41.0,2.0,261.0,4.0,,48.0,10.0,4.0,106.0,55.0,2.0,0.0,169.0,,2.0,73.0,7.0,1.0,17.0,28.0,0.0,1.0,,1.0,16.0,,,24.0,,0.3805,0.0,,,,,,,7.0,,,,,,,,,,,,1.0,,,,,,,
42774,Morgan Schneiderlin,Midfielder,Southampton,20,France,2013-14,165.0,7.0,8.0,2.3112,113.0,3.0,33.0,1932.0,2.0,3.0,0.0,2.0,2.0,5.0,5.0,29.0,8.0,162.0,,3.0,34.0702,29.0,5.0,31.0,0.0,215.0,33.0,1.0,,15.0,6.0,,45.0,1899.0,16.0,295.0,87.0,441.0,51.0,,140.0,260.0,2407.0,3.0,,783.0,,35.0,46.0,1.0,3.0,1.974,0.0,2.0,24.0,171.0,1.0,42.0,,31.0,206.0,6.0,,80.0,13.0,1.0,3.0,2766.0,,213.0,46.0,1586.0,41.0,,49.0,35.0,136.0,661.0,378.0,35.0,2.0,570.0,1.0,26.0,946.0,27.0,5.0,298.0,51.0,0.0,7.0,21.0,4.0,68.0,3.0,2.0,11.0,29.0,2.1249,8.0,,,,,,,4.0,,,,,,,,,,,2.0,1.0,,,,,,,
57328,Nathaniel Clyne,Defender,Southampton,20,England,2013-14,88.0,1.0,3.0,1.1624,56.0,2.0,25.0,969.0,,,,,5.0,2.0,2.0,23.0,5.0,86.0,,1.0,19.6133,24.0,1.0,10.0,0.0,69.0,25.0,,,18.0,47.0,,41.0,963.0,,324.0,43.0,366.0,17.0,,27.0,171.0,1563.0,200.0,,337.0,2.0,23.0,47.0,1.0,15.0,1.691,0.0,7.0,3.0,156.0,4.0,2.0,,20.0,179.0,47.0,,33.0,10.0,1.0,15.0,1861.0,,96.0,40.0,763.0,25.0,28.0,70.0,18.0,65.0,79.0,184.0,21.0,,353.0,1.0,13.0,468.0,13.0,1.0,151.0,10.0,0.0,19.0,20.0,5.0,28.0,3.0,,36.0,6.0,0.5464,3.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,
37979,Pablo Daniel Osvaldo,Forward,Southampton,20,Italy,2013-14,86.0,4.0,12.0,4.5933,9.0,4.0,13.0,227.0,3.0,15.0,0.0,1.0,4.0,7.0,7.0,31.0,2.0,25.0,,1.0,11.6012,6.0,3.0,7.0,1.0,32.0,13.0,1.0,1.0,12.0,3.0,,41.0,212.0,12.0,131.0,9.0,48.0,16.0,,3.0,70.0,371.0,2.0,,37.0,,2.0,7.0,,4.0,1.0825,0.0,4.0,24.0,59.0,,28.0,,9.0,61.0,3.0,3.0,42.0,3.0,2.0,4.0,855.0,11.0,36.0,8.0,163.0,49.0,1.0,7.0,10.0,55.0,60.0,122.0,,3.0,49.0,2.0,,133.0,8.0,3.0,80.0,11.0,0.0,9.0,10.0,,2.0,4.0,1.0,,5.0,2.8202,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
102884,Paulo Gazzaniga,Goalkeeper,Southampton,20,Argentina,2013-14,2.0,,,,,,8.0,210.0,,,,,1.0,,,,2.0,1.0,,1.0,10.6967,1.0,,1.0,0.0,64.0,8.0,,,,,,,119.0,,79.0,,52.0,,,49.0,,297.0,,,106.0,,74.0,23.0,,,0.0076,0.0,,,4.0,,,,7.0,78.0,,,2.0,1.0,,,662.0,,3.0,,83.0,,,15.0,15.0,2.0,26.0,5.0,,,132.0,,,26.0,13.0,,3.0,2.0,0.0,,,,,,,30.0,,,0.0,12.0,6.0,53.0,2.0,1.0,8.0,19.0,14.0,2.0,1.0,2.0,70.0,23.0,6.0,7.0,,,,,,,,,,,
11037,Rickie Lambert,Forward,Southampton,20,England,2013-14,195.0,22.0,41.0,13.5953,10.0,26.0,37.0,1112.0,13.0,28.0,5.0,16.0,6.0,16.0,16.0,94.0,8.0,34.0,,2.0,35.7631,44.0,6.0,18.0,4.0,56.0,37.0,11.0,,10.0,37.0,1.0,71.0,1089.0,40.0,519.0,9.0,230.0,37.0,,41.0,253.0,1533.0,10.0,5.0,191.0,1.0,36.0,33.0,,15.0,7.4429,0.0,1.0,81.0,301.0,10.0,133.0,,31.0,337.0,37.0,,163.0,7.0,12.0,15.0,2816.0,17.0,103.0,37.0,734.0,149.0,1.0,25.0,37.0,101.0,278.0,298.0,13.0,8.0,351.0,12.0,1.0,599.0,29.0,6.0,135.0,69.0,0.0,32.0,9.0,2.0,5.0,11.0,16.0,4.0,4.0,11.8163,2.0,,,,,,,1.0,,,,,,,,,,1.2112,,1.0,21.0,21.0,,,2.0,3.0,3.0
153371,Sam Gallagher,Forward,Southampton,20,England,2013-14,50.0,2.0,4.0,1.3168,2.0,1.0,18.0,68.0,1.0,2.0,0.0,,15.0,3.0,3.0,26.0,2.0,9.0,,1.0,6.1474,1.0,2.0,5.0,0.0,9.0,18.0,1.0,,8.0,3.0,,16.0,60.0,3.0,59.0,1.0,9.0,7.0,,,14.0,129.0,,,6.0,,,,,,0.0727,0.0,,7.0,27.0,,4.0,,3.0,27.0,3.0,,36.0,,,,383.0,,19.0,5.0,41.0,20.0,1.0,3.0,5.0,24.0,20.0,69.0,4.0,1.0,25.0,,1.0,35.0,3.0,2.0,33.0,10.0,0.0,4.0,2.0,,1.0,3.0,,,,2.8311,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17339,Steven Davis,Midfielder,Southampton,20,Northern Ireland,2013-14,134.0,11.0,7.0,1.66,57.0,17.0,34.0,1832.0,2.0,2.0,0.0,6.0,6.0,2.0,2.0,30.0,7.0,98.0,21.0,2.0,33.9197,51.0,5.0,17.0,0.0,166.0,34.0,1.0,1.0,8.0,65.0,,49.0,1794.0,14.0,441.0,39.0,478.0,25.0,29.0,112.0,343.0,2277.0,8.0,1.0,596.0,,53.0,48.0,1.0,4.0,4.3665,0.0,3.0,21.0,230.0,7.0,97.0,,28.0,283.0,28.0,67.0,43.0,5.0,3.0,29.0,2497.0,3.0,111.0,73.0,1437.0,43.0,1.0,34.0,35.0,104.0,467.0,245.0,37.0,2.0,544.0,3.0,18.0,982.0,28.0,5.0,202.0,13.0,0.0,12.0,24.0,5.0,17.0,14.0,6.0,15.0,11.0,1.881,3.0,,,1.0,,,,3.0,,,,,1.0,,,,,,,,,,,,,,
54756,Victor Wanyama,Midfielder,Southampton,20,Kenya,2013-14,147.0,5.0,2.0,0.5087,65.0,1.0,23.0,1102.0,,,,4.0,4.0,,,43.0,4.0,110.0,,2.0,16.7495,7.0,1.0,31.0,0.0,157.0,23.0,,,11.0,,,41.0,1084.0,11.0,233.0,53.0,355.0,47.0,,77.0,165.0,1398.0,,,482.0,,31.0,48.0,,,0.4254,0.0,4.0,13.0,140.0,,18.0,,19.0,171.0,,,96.0,8.0,2.0,,1659.0,2.0,163.0,21.0,854.0,8.0,,48.0,14.0,104.0,313.0,310.0,12.0,,269.0,2.0,12.0,449.0,10.0,1.0,214.0,53.0,0.0,3.0,16.0,2.0,33.0,5.0,4.0,7.0,26.0,0.5053,7.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
