season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437733,2,14,Liverpool,Home,10406,66797,Simon Mignolet,simon-mignolet,G,False,,,8.0,5.0,13.0,18.0,,,7.0,,,,,,,,,,,,,,,1.0,,,,,90.0,,,,,,,,5.0,,7.0,1.0,1.0,,,,,,13.0,,10.0,13.0,23.0,0,,29.0,,,,
2017-18,7437733,2,14,Liverpool,Home,20963,40755,Daniel Sturridge,daniel-sturridge,F,False,,,,13.0,2.0,15.0,,,4.0,,,1.0,,,,1.0,1.0,6.0,,,,,,,,,1.0,,61.0,,,,,,,,9.0,,7.1,,,1.0,,4.0,,,,,17.0,2.0,19.0,2,,34.0,4.0,2.0,4.0,
2017-18,7437733,2,14,Liverpool,Home,22126,41733,Georginio Wijnaldum,georginio-wijnaldum,M,False,,,,17.0,6.0,23.0,1.0,,1.0,,,1.0,,,,,1.0,4.0,,,,,,,,,,,71.0,1.0,,,,,,,7.0,,7.0,,,,,1.0,,,,,22.0,6.0,28.0,2,1.0,37.0,1.0,2.0,1.0,
2017-18,7437733,2,14,Liverpool,Home,39480,38454,Dejan Lovren,dejan-lovren,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437733,2,14,Liverpool,Home,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,6.0,36.0,27.0,63.0,,2.0,10.0,,,,1.0,,,1.0,4.0,7.0,,,2.0,,,,,3.0,1.0,,90.0,1.0,,,,,,,22.0,,7.4,,,,1.0,,1.0,,15.0,,53.0,30.0,82.0,1,5.0,98.0,1.0,,,
2017-18,7437733,2,14,Liverpool,Home,51501,60914,Joël Matip,joel-matip,D,False,,,4.0,21.0,44.0,65.0,2.0,5.0,6.0,,1.0,,1.0,,,,3.0,14.0,,,,,,,,1.0,1.0,,90.0,,,,,,,,9.0,,7.8,,,1.0,1.0,,,,7.0,,29.0,45.0,74.0,1,4.0,89.0,,6.0,,
2017-18,7437733,2,14,Liverpool,Home,138156,112338,Emre Can,emre-can,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437733,2,14,Liverpool,Home,143024,91979,Jon Flanagan,jon-flanagan,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437733,2,14,Liverpool,Home,143697,92217,Roberto Firmino,roberto-firmino,M,False,,,,29.0,6.0,35.0,3.0,1.0,6.0,,,2.0,2.0,,,3.0,13.0,4.0,,,3.0,,,,,,2.0,,89.0,2.0,1.0,,,,,,16.0,,6.9,,,1.0,,2.0,,,,1.0,37.0,9.0,46.0,5,3.0,63.0,,,,
2017-18,7437733,2,14,Liverpool,Home,159665,118748,Mohamed Salah,mohamed-salah,M,True,,,,6.0,3.0,9.0,,2.0,2.0,,,,1.0,,,3.0,5.0,4.0,,,1.0,,,,,,1.0,,29.0,2.0,,,,,,,7.0,,6.9,,,,,1.0,,,1.0,1.0,9.0,3.0,12.0,2,1.0,20.0,1.0,,1.0,
