season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14023993,30,21,West_Ham_United,Home,1101174,530335,Pablo Felipe,pablo-felipe,F,False,,,1.0,4.0,10.0,14.0,,,4.0,2.0,,,,,,,,1.0,,,0.00341903,,,,0.0,,,,,,,,,,,,,64.0,,,,,,,6.0,0.0,,6.6,,,,,20.234067954216,2.0,1.0,,,3.0,,8.0,10.0,18.0,0.59666084659573,,0,,23.0,2.0,,1.0,
2025-26,14024014,31,21,West_Ham_United,Away,113956,75115,Callum Wilson,callum-wilson,F,True,,,,9.0,1.0,10.0,1.0,1.0,3.0,2.0,,,,,,1.0,2.0,1.0,,,0.0803071,,,,0.0,,,,,,,,,,,,,45.0,,,,,,,3.0,0.0,,6.3,,,,,30.320805571271,,,,,,1.0,9.0,2.0,11.0,10.294585218883,,0,,14.0,1.0,,,
2025-26,14024014,31,21,West_Ham_United,Away,286165,159533,Adama Traoré,adama-traore,F,True,1.0,,,4.0,2.0,6.0,1.0,,9.0,2.0,,,,1.0,,1.0,5.0,4.0,,,0.0088977,,,,0.0,,,,,,,,,,,,,45.0,,,,,,,9.0,3.0,,6.6,,,,,127.76310684117,,6.0,5.0,,,,5.0,2.0,7.0,78.388193247,74.943681086812,0,,22.0,1.0,,4.0,
2025-26,14024014,31,21,West_Ham_United,Away,877013,247670,Valentín Castellanos,valentin-castellanos,F,False,,,,5.0,2.0,7.0,,3.0,2.0,1.0,,,,,,1.0,1.0,4.0,,,0.00182893,0.1228,,,0.0,,,,,,,,,,,,,45.0,,,,,,,3.0,1.0,,6.7,,,1.0,,42.72386856801,1.0,,,,,2.0,6.0,3.0,9.0,14.781174919319,34.806704871332,1,,13.0,,1.0,,
2025-26,14024014,31,21,West_Ham_United,Away,1101174,530335,Pablo Felipe,pablo-felipe,F,False,,,,5.0,5.0,10.0,3.0,1.0,5.0,4.0,,,1.0,1.0,,2.0,7.0,5.0,,,0.0101392,0.2063,,1.0,0.0,,,,,2.0,1.0,,,,,,,90.0,,,,,,,6.0,1.0,,6.5,,,1.0,,47.212942335943,1.0,1.0,,,,,5.0,6.0,11.0,32.127142506879,21.440022597936,2,2.0,27.0,2.0,1.0,1.0,1.0
2025-26,14025029,32,21,West_Ham_United,Home,113956,75115,Callum Wilson,callum-wilson,F,True,,,,1.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,0.00022975,,,,0.0,,,,,,,,,,,,,8.0,,,,,,,3.0,0.0,,6.5,,,,,4.0972577414656,1.0,,,,,,2.0,2.0,4.0,-3.9193992214478,,0,,6.0,1.0,,,
2025-26,14025029,32,21,West_Ham_United,Home,286165,159533,Adama Traoré,adama-traore,F,True,,,,1.0,3.0,4.0,,,3.0,,,1.0,,,,,,,,,0.00020056,0.346,,,0.0,,,,,,,,,,,,,12.0,,,,,,,4.0,2.0,,6.5,,,1.0,,39.051079283099,,,2.0,,,,1.0,3.0,4.0,19.784912796808,35.969099237738,1,,11.0,1.0,,,
2025-26,14025029,32,21,West_Ham_United,Home,877013,247670,Valentín Castellanos,valentin-castellanos,F,False,,,1.0,6.0,2.0,8.0,5.0,3.0,6.0,3.0,,,,1.0,,,9.0,4.0,,,0.0786237,0.7242,1.3946,2.0,0.0,2.0,,,,,2.0,,,,,,,82.0,3.0,,,,,,10.0,2.0,,8.8,,,2.0,,31.291270707756,1.0,1.0,,,1.0,,11.0,4.0,15.0,20.523524889098,11.102567382053,5,1.0,28.0,1.0,,,
2025-26,14025029,32,21,West_Ham_United,Home,1101174,530335,Pablo Felipe,pablo-felipe,F,False,,,,11.0,3.0,14.0,3.0,1.0,6.0,3.0,1.0,,,1.0,,2.0,8.0,6.0,,,0.276552,0.1036,0.0995,2.0,1.0,,,,,,2.0,,,,,,,78.0,1.0,1.0,,,,,8.0,0.0,,6.8,,,,,81.57392867442,1.0,,,,,,13.0,5.0,18.0,-19.774404273067,,1,5.0,34.0,2.0,,,2.0
2025-26,14025034,33,21,West_Ham_United,Away,113956,75115,Callum Wilson,callum-wilson,F,True,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,2.0,1.0,,,1.576e-05,,,,0.0,,,,,,,,,,,,,15.0,,,,,,,3.0,,,6.4,,,,,,,,,,,,1.0,1.0,2.0,,,0,,4.0,1.0,,,
2025-26,14025034,33,21,West_Ham_United,Away,286165,159533,Adama Traoré,adama-traore,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025034,33,21,West_Ham_United,Away,877013,247670,Valentín Castellanos,valentin-castellanos,F,False,,,,11.0,2.0,13.0,1.0,,4.0,2.0,,,,,,,3.0,1.0,,,0.0196112,0.3031,0.027,1.0,0.0,,,,,1.0,,,,,,,,84.0,2.0,,,,,,7.0,0.0,,6.2,,,1.0,,19.34884713103,2.0,1.0,,,1.0,,14.0,2.0,16.0,-2.0964485084201,,3,,31.0,2.0,1.0,,
2025-26,14025034,33,21,West_Ham_United,Away,1101174,530335,Pablo Felipe,pablo-felipe,F,False,,,,12.0,2.0,14.0,5.0,4.0,2.0,1.0,,,1.0,2.0,,,9.0,7.0,,,0.0145561,0.021,,2.0,0.0,,,,,,,,,,,,,75.0,,,,,,,13.0,0.0,,6.4,,,,,11.340934097728,1.0,2.0,2.0,,1.0,,20.0,3.0,23.0,3.3122315276444,,1,1.0,34.0,2.0,,2.0,
2025-26,14023934,34,21,West_Ham_United,Home,113956,75115,Callum Wilson,callum-wilson,F,True,,,,,,,1.0,,,,,,,,,,1.0,,,,,0.3785,0.2951,,0.0,1.0,,,,,,,,,,,,9.0,1.0,,,,,,1.0,,,7.2,,,,,,,,,,,1.0,,,,,,1,,2.0,1.0,,,
2025-26,14023934,34,21,West_Ham_United,Home,286165,159533,Adama Traoré,adama-traore,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14023934,34,21,West_Ham_United,Home,877013,247670,Valentín Castellanos,valentin-castellanos,F,False,,,,4.0,2.0,6.0,2.0,,2.0,1.0,,1.0,,1.0,,,4.0,2.0,,,0.00688416,0.2562,0.6415,1.0,0.0,,,,,1.0,,,,,,,,79.0,1.0,,,,,,4.0,0.0,,6.1,,,,,6.4938752543477,,,,,,,6.0,3.0,9.0,0.77516927417298,,1,2.0,16.0,,,,2.0
2025-26,14023934,34,21,West_Ham_United,Home,1101174,530335,Pablo Felipe,pablo-felipe,F,False,,,,7.0,5.0,12.0,6.0,2.0,3.0,1.0,,,,1.0,,3.0,11.0,4.0,,,0.00516079,,,1.0,0.0,,,,,,,,,,,,,81.0,,,,,,,6.0,1.0,,6.1,,,,,81.323303119981,1.0,,,,,,9.0,5.0,14.0,-1.0149857742528,27.359095178752,0,1.0,25.0,1.0,1.0,,
2025-26,14023945,35,21,West_Ham_United,Away,113956,75115,Callum Wilson,callum-wilson,F,True,,,,1.0,1.0,2.0,,,1.0,,,,,,,1.0,2.0,,,,0.00702726,,,,0.0,,,,,,,,,,,,,25.0,,,,,,,2.0,0.0,,6.4,,,,,6.2406769664837,,1.0,,,,,1.0,1.0,2.0,4.6872655653235,,0,,5.0,,,,
2025-26,14023945,35,21,West_Ham_United,Away,286165,159533,Adama Traoré,adama-traore,F,True,1.0,,,3.0,,3.0,,,6.0,,,,,,,3.0,3.0,1.0,,,0.0128089,,,,0.0,,,,,,,,,,,,,16.0,,,,,,,8.0,3.0,,6.5,,,,,75.679606914355,,,4.0,,,,5.0,,5.0,57.571049972857,56.836429660208,0,1.0,13.0,,,,1.0
2025-26,14023945,35,21,West_Ham_United,Away,877013,247670,Valentín Castellanos,valentin-castellanos,F,False,1.0,,,8.0,3.0,11.0,1.0,5.0,5.0,2.0,,1.0,,2.0,,,4.0,6.0,,,0.154033,0.3713,0.0538,1.0,0.0,,,,2.0,1.0,1.0,,,,,,,65.0,1.0,,,,,,4.0,1.0,,6.5,,,4.0,,46.049361604359,1.0,,1.0,,,,11.0,4.0,15.0,26.899261683418,20.352642310029,5,1.0,25.0,,,,
2025-26,14023945,35,21,West_Ham_United,Away,1101174,530335,Pablo Felipe,pablo-felipe,F,False,,,1.0,11.0,3.0,14.0,3.0,1.0,8.0,4.0,,,,,,2.0,8.0,5.0,,,0.00828177,0.1547,0.3601,3.0,0.0,,,,,,3.0,,,,,,,90.0,1.0,1.0,,,,,10.0,1.0,,6.8,,,1.0,,71.999614766497,1.0,,,,1.0,,13.0,6.0,19.0,27.921250769865,19.539062643842,2,4.0,37.0,3.0,,,3.0
2025-26,14023942,36,21,West_Ham_United,Home,113956,75115,Callum Wilson,callum-wilson,F,True,,,,,,,1.0,,2.0,1.0,,,1.0,,,,2.0,2.0,,,,0.2056,,1.0,0.0,,,,,,,,,,,,,17.0,,,,,,,2.0,0.0,,6.6,,,,,6.9059433385382,,1.0,1.0,,,,0.0,,,-6.4482464418919,,1,,5.0,1.0,1.0,1.0,
2025-26,14023942,36,21,West_Ham_United,Home,877013,247670,Valentín Castellanos,valentin-castellanos,F,False,,,,2.0,1.0,3.0,2.0,,1.0,,,1.0,1.0,,,,4.0,2.0,,,0.00118297,0.1658,0.278,2.0,0.0,,,,,,,,,,,,,67.0,1.0,,,,,,7.0,0.0,,6.6,,,,,12.531214186981,3.0,,,,,,6.0,2.0,8.0,6.2858757464324,,2,1.0,17.0,2.0,1.0,,1.0
2025-26,14023942,36,21,West_Ham_United,Home,1101174,530335,Pablo Felipe,pablo-felipe,F,True,,,,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,,,,,1.0,4.0,2.0,,,0.539434,,,1.0,0.0,,,,,,1.0,,,,,,,23.0,,,,,,,5.0,0.0,,6.6,,,,,10.979569392336,,1.0,,,,,3.0,1.0,4.0,-6.5140273063841,,0,1.0,12.0,1.0,,,1.0
2025-26,14023957,37,21,West_Ham_United,Away,113956,75115,Callum Wilson,callum-wilson,F,False,,,,7.0,2.0,9.0,2.0,2.0,3.0,,,,,,,1.0,8.0,4.0,,,0.10837,0.0808,0.0935,1.0,0.0,,,,,,,,,,,,,90.0,1.0,,,,,,14.0,0.0,,6.1,,,,,16.987026563385,,4.0,,,,,9.0,3.0,12.0,4.3622153317428,,1,1.0,30.0,6.0,1.0,,1.0
2025-26,14023957,37,21,West_Ham_United,Away,877013,247670,Valentín Castellanos,valentin-castellanos,F,True,,,,6.0,,6.0,,5.0,4.0,3.0,,1.0,2.0,1.0,,2.0,6.0,6.0,,,0.00742844,0.4871,0.5512,4.0,0.0,1.0,,,1.0,1.0,,,,,,,,64.0,4.0,,,,,,10.0,1.0,,7.4,,,2.0,,45.238206428405,,,,,1.0,2.0,12.0,2.0,14.0,30.292512300169,26.763121193164,8,1.0,30.0,,,,1.0
2025-26,14023957,37,21,West_Ham_United,Away,1101174,530335,Pablo Felipe,pablo-felipe,F,True,1.0,,,5.0,1.0,6.0,2.0,,5.0,1.0,,,,,,,2.0,3.0,1.0,,0.0594789,,,,0.0,,,,,,1.0,,,,,,,27.0,,,,,,,4.0,0.0,,6.5,,,,,38.377031524242,2.0,,1.0,,,,5.0,2.0,7.0,16.803402387295,,0,3.0,20.0,3.0,,,2.0
2025-26,14023968,38,21,West_Ham_United,Home,113956,75115,Callum Wilson,callum-wilson,F,True,,,,3.0,,3.0,,,4.0,1.0,1.0,1.0,1.0,,,4.0,5.0,1.0,,,0.049512,0.4462,0.7657,,0.0,1.0,,,,,1.0,,,,,,,45.0,2.0,,,,,,8.0,2.0,,8.2,,,,,42.923565587127,1.0,2.0,,,,,3.0,1.0,4.0,33.259806151099,34.345666294333,3,,24.0,2.0,,1.0,
2025-26,14023968,38,21,West_Ham_United,Home,877013,247670,Valentín Castellanos,valentin-castellanos,F,False,,,1.0,4.0,3.0,7.0,2.0,1.0,6.0,2.0,,1.0,,,,,4.0,5.0,,,0.0100095,0.828,0.9464,2.0,0.0,1.0,,,,1.0,,,,,,,,88.0,2.0,,,,,,8.0,3.0,,7.7,,,2.0,,46.423474586339,1.0,,3.0,,2.0,,8.0,3.0,11.0,30.489174392518,29.961057953431,4,,26.0,1.0,4.0,,
2025-26,14023968,38,21,West_Ham_United,Home,1101174,530335,Pablo Felipe,pablo-felipe,F,False,1.0,,,7.0,1.0,8.0,1.0,,6.0,1.0,,1.0,,1.0,,,5.0,4.0,,,0.12493,0.2294,,2.0,0.0,,,,,,2.0,,,,,,,45.0,1.0,,,,,,6.0,1.0,,6.6,,,1.0,,46.190382110652,,3.0,2.0,,,,11.0,1.0,12.0,24.904470152388,17.653266694864,2,,21.0,,2.0,2.0,
