season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025077,2,11,Everton,Home,76632,59949,Séamus Coleman,seamus-coleman,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025077,2,11,Everton,Home,106337,80801,Idrissa Gana Gueye,idrissa-gana-gueye,M,False,,,,21.0,14.0,35.0,2.0,3.0,,2.0,,,,,,1.0,3.0,8.0,,,0.014911,,,,0.0,,,,,2.0,,,,,,,,90.0,,,,,,,,7.0,,,7.4,,,,,1.0,1.0,,,,,25.0,15.0,40.0,,,0,2.0,52.0,1.0,2.0,1.0,1.0
2025-26,14025077,2,11,Everton,Home,110846,106611,Michael Keane,michael-keane,D,False,,,5.0,8.0,15.0,23.0,1.0,2.0,,1.0,,,,1.0,,,2.0,4.0,,,0.00784674,,,,0.0,,,,,,,,,,,,,90.0,,,,,,,,2.0,,,7.3,,,,,11.0,,,,7.0,,9.0,16.0,25.0,,,0,2.0,38.0,,,,
2025-26,14025077,2,11,Everton,Home,138530,111234,Jordan Pickford,jordan-pickford,G,False,,1.0,17.0,14.0,13.0,27.0,,1.0,,11.0,,,,,,,,1.0,,,0.0033391,,,,0.0,,1.5401,1.0,,,,,,,,,,90.0,,,,,1.0,1.0,,20.0,,1.0,8.7,2.0,4.0,,,2.0,,,1.0,37.0,,32.0,15.0,47.0,,,0,,57.0,,,,
2025-26,14025077,2,11,Everton,Home,145188,17761,James Tarkowski,james-tarkovsky,D,False,,,4.0,8.0,24.0,32.0,1.0,5.0,,3.0,,,,1.0,,,2.0,8.0,,2.0,0.00268317,,,,0.0,,,,,,,,,,,,,90.0,,,,,,,,11.0,,,6.9,,,,,10.0,1.0,,,11.0,,17.0,26.0,43.0,,,0,,56.0,,2.0,1.0,
2025-26,14025077,2,11,Everton,Home,189061,114283,Jack Grealish,jack-grealish,M,False,,,,24.0,5.0,29.0,1.0,1.0,,7.0,1.0,,1.0,,,3.0,8.0,6.0,,,0.698578,0.0094,,,2.0,,,,,,3.0,,,,,,,89.0,,1.0,,,,,,16.0,,,8.7,,,,,,5.0,2.0,,1.0,,29.0,6.0,35.0,,,1,3.0,57.0,1.0,1.0,1.0,3.0
2025-26,14025077,2,11,Everton,Home,856720,229600,Mark Travers,mark-travers,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025077,2,11,Everton,Home,861970,215413,Kiernan Dewsbury-Hall,kiernan-dewsbury-hall,M,False,2.0,,3.0,25.0,10.0,35.0,4.0,1.0,,2.0,1.0,,,,,,5.0,5.0,,,0.172665,,,2.0,0.0,,,,,1.0,4.0,,,,,,,90.0,,,,1.0,,,,10.0,,,7.3,,,,,,1.0,4.0,,5.0,,29.0,11.0,40.0,,,0,,58.0,3.0,3.0,1.0,
2025-26,14025077,2,11,Everton,Home,914309,440993,Iliman Ndiaye,iliman-ndiaye,M,False,,,,6.0,4.0,10.0,,,,4.0,,,,1.0,,2.0,7.0,8.0,,,0.00336475,0.7257,1.1491,2.0,0.0,1.0,,,,1.0,,,,,,,,64.0,2.0,,,,,,,8.0,,,7.5,,,,,,5.0,,,,,7.0,4.0,11.0,,,2,3.0,30.0,3.0,2.0,3.0,1.0
2025-26,14025077,2,11,Everton,Home,927361,232928,James Garner,james-garner,M,False,1.0,,1.0,14.0,16.0,30.0,1.0,2.0,,5.0,,,,5.0,,,6.0,3.0,,,0.0663066,0.0414,0.0606,,0.0,1.0,,,,1.0,2.0,,,,,,,90.0,1.0,,,,,,,12.0,,,8.1,,,1.0,,9.0,,2.0,,4.0,,20.0,19.0,39.0,,,2,1.0,69.0,,,,1.0
2025-26,14025077,2,11,Everton,Home,935543,433154,Dwight McNeil,dwight-mcneil,M,True,,,,5.0,,5.0,,1.0,,,,,,,,,,1.0,,,0.00492155,0.2446,,,0.0,,,,,,1.0,,,,,,,19.0,,,,,,,,1.0,,,6.4,,,2.0,,,,,,,,6.0,,6.0,,,2,,8.0,,,,
2025-26,14025077,2,11,Everton,Home,987489,486385,Beto,beto,F,True,,,,2.0,,2.0,1.0,2.0,,,,,,,,1.0,3.0,3.0,,,0.00087033,0.1428,,1.0,0.0,,,,,,,,,,,,,26.0,,,,,,,,4.0,,,6.4,,,1.0,,,,,,,,5.0,,5.0,,,1,,9.0,,1.0,,
2025-26,14025077,2,11,Everton,Home,998253,512462,Jake O'Brien,jake-obrien,D,False,1.0,,,7.0,11.0,18.0,,4.0,,1.0,,,,,,2.0,3.0,6.0,,,0.00585719,,,,0.0,,,,,,,,,,,,,90.0,,,,,,,,16.0,,,6.7,,,,,2.0,1.0,3.0,,3.0,,15.0,12.0,27.0,,,0,2.0,45.0,,,,2.0
2025-26,14025077,2,11,Everton,Home,1004342,461446,Tyler Onyango,tyler-onyango,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
